"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34"
1.1543,-0.2077,-1.2801,0.713,1.2889,0.667,0.8574,0.318,1.3352,-0.1776,0.4182,-0.7933,-0.2785,-0.2866,0.2059,-1.0687,-2.359,-2.0304,0.5184,0.3,-2.1888,-0.2726,-2.4591,-0.467,0.7288,-0.7021,0.1967,0.4114,-0.9372,-0.2557,0.0876,-0.1777,-0.1714,0.1258,0.0364,-0.909,-0.2316,0.1853,-0.9593,0.6707,0.6942,-1.2123,-0.7516,-0.2659,0.3531,-1.7934,0.4873,-0.6043,0.1253,1.4198,-0.7895,-0.3162,-0.6558,-2.1725,-0.3194,0.5115,0.9365,0.5129,0.7689,-0.0953,1.9279,-0.7281,-1.0897,-0.198,-0.45,-0.3566,1.1192,0.8477,0.7077,-0.0845,-0.5051,-0.6299,1.5342,-0.8993,-1.412,1.3921
0.5013,0.4665,-0.6455,-0.8665,0.5797,0.3084,1.4862,0.815,1.0877,0.2179,-0.5947,-1.8716,0.7399,0.4689,0.5047,1.2371,1.1698,-1.5493,0.2489,-1.4609,-0.058,-0.2083,0.275,-0.1481,-0.7736,0.3903,-0.3718,-0.3756,0.5147,1.556,1.3464,0.0935,-1.2982,-1.363,-0.0856,1.442,-1.3533,0.6875,0.3539,-1.3447,-0.8594,-0.079,1.5847,0.0269,-0.3582,-0.269,1.1478,2.0549,0.1142,-1.0872,0.466,-1.5853,-0.3499,-0.5178,2.3073,0.0161,0.244,2.0632,-1.4571,-1.2562,0.937,0.4291,-0.1367,0.1976,1.1521,-0.2237,-0.0838,-0.6959,-0.6547,-0.9979,-0.1875,-1.9337,0.9679,0.2952,1.9989,1.3138
-0.6169,-0.5109,1.0361,-1.4299,0.0506,0.4393,0.6354,-0.0368,0.9708,0.9515,0.3702,0.8753,-0.7946,-0.1813,-0.1549,-1.0978,-0.3661,0.5742,0.7901,-1.3998,-0.1215,-0.5902,0.3984,0.4803,-0.1883,0.7545,-0.2314,-0.3077,0.0578,0.9248,-1.6544,-0.1805,0.1669,0.0797,-0.1699,0.9573,0.8357,-0.2998,-0.8838,-0.6842,-0.1286,1.5289,-0.5755,2.3081,0.2703,0.9684,0.0605,0.0512,0.6231,0.0058,0.662,2.2347,-0.6206,0.9657,0.1929,0.6592,-1.4788,-0.4572,0.7898,0.3083,0.499,0.145,-0.3345,-0.4289,-0.1417,0.7113,1.9301,-0.5669,0.6168,-0.6979,-0.2723,0.3931,-0.8748,-1.6295,-1.0386,-0.0235
1.4928,-1.0764,0.3013,-0.6651,-0.1747,0.1396,0.0231,-2.3324,-0.183,1.4974,0.0303,-0.7269,-1.129,1.1162,-0.8287,-0.6019,0.5376,-0.1175,1.9749,0.2746,-0.9591,1.0149,-0.002,0.0989,-1.5258,-0.9686,-0.3025,-0.3788,-0.5386,0.8241,-1.1059,-0.8218,-0.5517,-0.3505,-0.6709,-0.5068,0.0385,-0.1668,-0.3539,-0.6114,-0.0394,0.4149,-0.9434,-0.7792,-2.5552,-1.7332,-1.1589,0.6917,1.2279,-1.3012,-1.0553,-0.1092,0.2746,0.0203,-0.088,-0.0829,0.3064,1.0508,0.0999,0.4815,-0.055,1.5701,0.2683,0.4415,0.4617,-0.5544,-0.0515,1.2698,0.3366,0.1016,0.0734,0.9252,2.1853,-0.5661,0.7507,1.362
0.0461,-0.9586,-0.7056,-0.3545,0.4927,1.4958,0.3775,-0.338,1.7431,-0.9113,1.1674,-1.2128,0.4865,0.5099,-0.8564,0.3688,-1.0571,-0.1296,-0.4308,0.2843,0.15,2.1656,0.288,-1.5121,-0.1139,-0.9224,-0.0744,-0.7328,0.9439,-1.29,0.775,0.5043,-0.209,0.0901,1.7077,-0.4342,-1.0504,1.2894,-1.7613,-0.628,-0.939,1.3808,1.186,1.8679,0.1884,-1.005,-0.4168,-0.9266,-0.6289,0.5643,-0.8077,1.8748,-0.806,-3.196,-0.3674,-0.9969,0.9174,-1.3607,0.3715,0.3716,-1.2805,-1.4709,-0.7481,-0.6065,1.7748,-0.7311,-0.8264,-1.634,-2.0452,0.407,-0.3971,-1.302,0.5165,0.1428,-2.4239,0.0715
-0.5785,-0.3136,-1.2641,-0.4697,-0.2861,-0.0435,-1.7387,1.2161,-0.1865,1.094,-0.5894,-1.84,-0.4773,-0.955,-1.2883,-0.6206,-1.16,1.0578,-0.2646,1.0113,0.5051,0.5596,0.8343,0.0954,1.2652,1.4711,-0.3436,0.6889,1.6787,1.1388,-1.4531,-0.74,2.0706,-0.9657,-0.0423,0.7905,2.1151,-1.3324,-1.157,0.0836,0.8085,-0.0741,0.9146,2.2492,0.6142,-0.2967,-0.4367,-0.5106,0.3507,0.451,-0.2419,0.2137,-0.1593,1.0967,0.0999,-0.5006,1.2638,-1.7748,0.8076,0.9322,-1.1351,0.1063,-0.3941,-0.728,-0.1081,1.1074,-0.3566,-1.8253,1.1648,0.4867,-0.1327,-1.5839,0.4554,0.152,-1.269,-0.5871
-0.8895,-0.8023,-1.2272,-1.0773,-0.638,-0.082,-1.1034,-1.4862,1.6328,1.2599,-0.5286,-0.785,0.2899,-0.97,-0.8415,-0.7449,-0.0775,2.3948,0.4633,0.1608,0.8442,1.1081,0.0728,1.1556,0.2003,-0.5054,-0.1412,0.9575,-0.7112,0.4458,-0.0727,-1.4575,0.1524,-1.1659,2.4709,0.8048,0.0167,-0.4782,1.1897,0.799,0.2179,-1.3385,-0.1213,0.5467,0.6607,1.3265,-1.1957,0.0951,0.7892,-0.203,-0.0049,-0.4849,0.5465,0.247,0.2854,0.4785,1.5038,1.7741,-0.9191,-0.3381,-0.322,-0.5599,-0.6389,-0.0627,-0.8701,-2.4897,0.6146,0.1991,0.496,-1.5819,0.367,2.6941,-2.688,0.5695,-0.9616,-1.3392
0.5241,-0.287,-0.9369,-0.3638,-0.0066,1.598,-1.3456,-0.5347,-0.5254,-0.1978,0.1552,0.0113,0.0293,0.2781,-2.0315,1.4538,-0.5518,-0.9415,-1.7121,0.4099,0.2703,-1.1485,-0.9348,-0.934,0.7392,0.4524,1.1116,0.2145,-2.3894,0.4545,-0.7556,0.7914,1.4908,0.7056,-0.1095,0.7063,0.6416,-1.6351,0.714,0.9955,0.3464,-0.1898,1.2609,-0.122,0.8705,-1.3448,0.8965,-0.4286,-1.1413,-0.9543,-0.7646,-1.8139,-0.8527,-1.1578,-0.7008,-0.4857,-0.5831,0.0071,-0.4756,-0.4761,1.1813,1.3006,0.1351,-0.5197,0.1665,-0.2471,-0.1219,1.4646,0.197,-1.7451,-1.6645,-0.8406,-1.563,0.8826,-1.2156,1.6421
-0.2031,0.0262,-0.7583,-0.8443,-0.7763,-1.0695,1.6017,2.2549,-0.4566,-0.6486,0.8482,0.861,-2.1576,-1.1038,0.3493,-1.267,-0.1119,-2.2628,-0.9675,0.4199,0.3737,1.9398,2.2154,0.3106,0.1011,-1.3954,-0.3575,1.4412,1.3971,0.8241,-1.3684,0.429,0.7015,-1.9823,-0.386,-1.5964,-1.2592,-0.515,-0.4746,0.109,0.9765,-0.5056,-0.3756,0.6036,0.7691,1.2615,0.0927,0.8104,-0.3074,0.92,0.3849,-0.1453,0.3059,0.3139,1.0364,0.8915,0.0088,0.5748,0.2206,-0.1072,0.2836,-1.2607,0.9743,-0.9471,-0.105,0.4751,0.9558,-0.9048,-2.4022,1.0966,-1.1343,-1.0662,-1.029,-0.6114,2.2506,-0.1607
0.5201,0.4775,1.0441,0.0229,0.9771,0.6772,-0.9253,0.2535,0.7369,-0.8415,-0.2995,0.5372,0.3294,0.2926,-0.1517,-2.3923,0.3454,0.2173,-1.1655,-0.0724,0.8151,0.1798,-0.4594,0.1777,0.3465,0.5387,0.0861,-0.621,0.1627,-0.9846,0.0533,-1.4779,-1.0137,0.1133,-0.3173,0.7303,-0.1307,-1.5426,-1.5176,0.5506,-0.3846,-0.5083,1.4733,-0.1021,-1.0223,-0.6305,0.3342,1.1868,0.2591,-0.9792,-0.8223,-0.27,-0.2061,-0.8051,-2.4914,1.5155,0.5262,-0.67,-1.2471,0.5612,0.6425,1.235,2.5399,0.9559,0.0997,-1.1015,-1.4087,1.345,1.153,0.4935,0.1676,0.8731,-0.7584,0.7479,-0.4329,0.7839
