"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8"
-0.2873,-0.8284,-0.1771,-0.1644,-1.3696,-0.6063,0.915,0.911,-0.1744,-0.6693,0.637,0.4369,-0.3789,0.895,-1.5602,-0.1156,-0.0399,-1.3039,-1.291,-0.2121,1.2738,0.8986,0.9247,-0.5112,0.8726,1.0687,0.3864,-0.7938,0.4575,-0.2371,0.3749,-1.7667,-0.5396,0.3845,-2.1375,2.3608,0.4506,-0.6918,0.2742,0.5817,0.1269,1.9889,-1.1154,-2.573,0.3254,0.1343,0.6737,-1.1946,-1.2823,0.299,-1.5664,0.4988
1.3353,0.2682,-0.331,-0.1227,0.238,-0.2789,0.2606,-0.4027,-0.8484,-0.0055,0.5185,-0.5042,0.9148,0.1038,0.2093,-0.531,-0.9102,-1.4524,-0.8213,-0.7403,0.6374,-0.1041,1.1917,-0.9761,2.6652,-1.1263,-1.6994,-0.8537,-1.8176,0.2008,1.0672,0.6736,-1.0846,0.113,-0.1666,-0.503,0.1169,-0.6061,0.22,-0.0803,0.0893,0.0785,-1.5671,-0.4627,0.9833,-0.7199,1.4796,0.7082,-0.687,2.1326,-0.1306,-0.4916
-0.554,0.0853,2.2588,-0.233,-0.9715,-0.8483,-0.1036,0.3999,-1.6011,0.5353,1.3541,0.1322,-1.8284,0.5224,-0.8678,0.6515,-0.1443,1.1165,0.9548,-1.2546,-2.4561,1.0247,-0.8986,-1.71,1.1334,-0.671,-0.3057,1.4493,-0.6938,-1.1508,-0.3502,-1.313,0.4461,2.0338,-0.3252,-2.3265,0.7301,0.1219,0.7333,0.3041,0.6395,-0.5925,0.2148,-1.3006,0.9657,-0.5109,-0.3068,0.8712,0.7666,0.2657,1.2049,0.2335
-0.8593,-1.2553,-0.5084,1.4273,0.7711,-0.0691,1.3828,-0.4893,-0.4904,-0.6262,1.238,1.4186,-2.3878,0.7629,-0.2422,-0.338,-0.1925,0.0078,-0.0792,0.1601,-1.2226,0.862,0.9678,-0.4888,0.6907,0.9174,0.844,-0.7012,-2.1509,-1.882,0.8057,-0.4011,0.4037,-0.787,-0.5902,0.3253,0.3166,0.2358,-0.7346,1.707,0.0056,0.3937,1.3269,-1.6962,0.7482,-0.9081,1.1853,0.4727,1.0651,-0.4451,-0.4732,0.285
-0.8533,0.4079,1.3424,-0.0019,0.1991,-0.4957,1.0482,0.3914,-1.8413,0.221,0.4895,-2.1084,2.2109,0.6616,0.1879,-0.2436,0.4001,0.033,0.0346,-1.1686,-0.1469,1.8068,-1.2989,-0.8789,-0.5701,0.444,0.7289,-1.4941,1.173,0.7423,0.8387,1.3849,1.3846,1.0666,-0.3945,1.163,0.8539,1.1441,1.232,0.6,2.1062,-0.0872,-1.4804,0.3424,-0.3969,-0.5687,-1.5202,-0.4346,0.7526,-0.3324,-0.4213,-0.3577
0.9733,0.1769,-0.3012,1.7517,0.1572,-1.0942,-2.2807,-0.3294,0.2555,0.6525,-0.7306,2.8544,2.3128,1.2661,0.7112,-1.9482,-1.5213,0.1328,0.7947,0.0364,1.1524,-0.0442,1.8202,-0.0818,1.9369,1.7417,1.4096,-1.2411,-1.4798,0.6931,-1.6968,0.1153,1.9223,0.8171,2.0506,2.3711,-0.1291,0.087,0.172,1.0996,2.0534,-0.4987,-0.2869,-1.2887,1.6616,0.767,-1.8803,-1.0448,-0.1754,0.4068,0.5015,-0.1324
2.0955,-0.7515,-1.0465,1.2203,-0.239,0.6876,-0.9372,-1.494,-0.205,0.5966,1.8756,0.3181,0.3917,-0.3766,1.2606,0.161,0.7862,-0.7045,-0.8685,0.7882,-2.7005,0.7795,1.5145,-2.0431,-0.7414,0.2643,0.4395,0.5828,0.1345,-0.1218,-0.4247,1.5255,-0.0481,0.487,-0.3756,0.2855,1.5782,0.0605,-0.3661,0.7112,-1.2413,-0.4992,0.505,0.5567,-0.2971,-0.1486,0.1568,0.6733,0.6647,0.5762,-1.2834,-1.149
1.1383,0.0729,-1.6382,-0.5967,0.6645,1.3942,-2.0297,0.2288,-0.3437,2.1303,-0.1757,-0.7414,-1.0901,1.2908,0.7123,-0.6345,-0.5983,-1.2504,-1.6999,0.652,0.3288,-1.6546,-0.8765,1.1343,-1.7325,-0.531,0.3022,1.9974,-0.5279,-0.0126,-0.3266,0.5056,0.8103,-1.2971,-0.7098,-0.3404,1.8418,0.1212,0.2283,-0.8551,0.5591,-0.1466,-0.6244,1.5767,-0.2308,0.2606,-0.4114,0.575,2.097,-0.4277,-1.8973,0.0659
0.4916,0.7382,-1.9587,-0.6167,0.8591,-0.3437,-0.2218,0.6538,-0.9518,-1.3899,-0.6728,1.5291,0.5817,0.7244,-0.9172,0.5312,-0.6465,1.074,-1.0389,-2.193,0.7221,0.3892,-1.8904,1.3114,0.766,0.0774,1.5468,-2.1232,-0.9872,0.9506,0.6409,-2.026,0.1235,0.0716,1.1833,-0.5075,0.9015,-0.5154,-0.3351,2.4214,1.3678,-1.4976,-0.43,-2.9562,-0.8671,-1.0144,0.5042,-2.3709,-0.0293,1.3773,-1.4695,-1.8248
-0.3968,0.2721,0.7171,-3.1392,0.0653,-1.1775,-0.8212,0.0376,0.4086,-0.7342,-0.348,0.814,0.1788,-0.0689,-0.3689,-0.2516,-1.952,-1.5004,-1.3831,-0.2898,0.6203,-0.1228,0.5956,0.096,-2.3804,0.1393,-0.1514,0.6607,-0.4742,-0.8889,0.3462,-0.1179,1.3066,-0.7878,0.5827,-0.0091,-0.3021,1.3022,-0.5019,1.4453,0.4629,1.1453,-0.0859,0.7727,0.4504,0.7394,-1.5583,-0.3111,1.4773,-1.5526,1.1282,0.3232
