"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42"
-0.5354,0.1684,1.3851,-0.0261,0.9638,0.8432,-1.1897,0.6054,-0.9849,-2.5797,1.4942,0.2391,1.1588,1.7362,-1.6647,-0.3141,0.2881,0.3373,-0.062,-1.2,0.4009,0.0211,1.2053,-0.5301,1.0887,0.8498,-1.638,1.3545,0.3206,0.6834,-0.8846,0.3367,1.4153,-0.1073,0.1122,0.0495,0.3781,-1.5671,0.3538,-0.5272,-0.135,1.7572,-0.6104,0.7064,-1.2686,-1.9656,1.3421,0.8729,0.1779,-0.4436
0.1696,0.5489,-0.2745,7e-04,-2.1549,-1.8771,1.4961,0.3459,0.3377,0.4399,0.2969,1.3463,1.2857,0.1857,-1.0993,-0.7546,-0.7014,0.1211,-0.8713,-0.0036,1.1452,-1.4687,-0.4526,-1.0048,-0.733,-0.1233,-0.2867,1.1432,0.3911,0.3226,-0.1643,-0.9116,0.1206,-1.1282,0.8639,-0.3393,0.0574,-0.7555,1.7606,0.5988,1.4692,0.0169,1.7563,-2.5417,-2.1496,0.9551,0.2473,1.5604,-1.5617,-0.7308
-1.0646,0.7925,0.3628,0.9495,-1.5699,-1.6242,-0.2399,1.658,0.4863,-1.7254,-0.9649,0.1775,-0.8194,0.2762,0.3448,0.1219,0.2034,-2.4125,1.0795,1.8395,-1.0466,0.9583,-0.9723,0.0305,0.2753,-0.9028,0.1878,0.4593,-0.4983,-1.1731,-1.2266,1.3577,1.2577,-1.017,0.3875,0.6084,-0.3146,0.2791,0.8207,-0.5333,-0.5057,0.9267,0.473,0.141,-0.1266,-0.2398,-1.802,0.9201,-1.0441,-0.0286
0.4456,0.733,-0.8381,-0.5417,0.5027,0.1053,1.0932,0.3059,-0.1274,0.1982,0.4511,0.4549,-1.3873,-0.2081,1.7717,2.1273,-1.2136,0.428,1.3186,-0.084,-0.6544,1.7011,0.1723,-0.2969,-0.9267,-0.418,0.18,-0.9353,-0.5121,-1.7299,1.0327,0.919,-0.9191,-0.1807,2.3973,-0.5615,-0.6701,-1.5818,0.7852,-0.0037,0.0644,1.2047,-1.3145,-0.5965,-1.1037,-0.4865,-1.7596,-0.0738,-2.0754,-0.5867
0.0919,1.0865,1.953,-1.5185,-0.804,0.0353,-0.8441,-0.8149,0.6693,-0.3558,-0.3237,0.4144,-0.1417,1.5849,-0.2616,-0.5765,2.0329,-0.2854,-1.1402,-0.9802,-0.8126,-0.9608,-0.4277,-0.2649,-1.2442,-1.0443,-0.3171,-0.2686,1.7196,-0.385,-1.7595,-1.0451,0.0161,-0.3767,0.9314,-0.7108,1.672,-1.6494,-0.1823,0.6069,-0.0644,-1.2839,-1.0109,-1.6342,0.0471,-1.3736,-0.5886,0.8599,-0.3203,-0.0312
0.6297,0.5522,0.9059,2.1177,2.2802,-2.0866,-0.8002,-0.7367,-1.0439,0.5261,0.6632,0.1934,0.5231,0.4652,0.2144,-1.9121,-0.2986,-1.023,0.5013,0.7216,-0.7745,-0.0094,1.4909,-0.7698,-0.2211,0.997,-0.0852,1.1427,-0.6524,1.4008,0.6113,-1.1628,-0.0423,-0.9747,1.8737,0.5886,0.1646,0.2071,2.0761,-2.1309,-0.4779,0.3214,-0.1785,-0.2222,0.5394,-0.0379,-0.9509,-1.0921,-0.187,1.846
0.9362,-0.7001,0.2856,-0.1175,0.6127,-1.0725,0.0286,0.3361,-0.4793,-0.5259,-0.2609,2.0504,0.4575,-0.2508,-1.4212,0.5143,-0.8083,1.5653,0.5293,-0.1326,-0.8919,1.3846,-0.7014,0.1566,0.0693,0.3619,1.1706,0.9751,-0.1843,-1.232,-1.5733,-0.021,-0.0444,-1.1299,1.0115,1.3745,2.0946,-0.6719,-0.9763,-0.3022,-0.781,-0.5407,-0.0337,1.6392,1.58,0.1883,-0.775,0.7352,-2.4882,-0.392
0.5175,-0.4068,0.3035,0.6739,0.6272,-0.3463,0.5608,1.6085,1.1457,0.2097,2.7286,1.6302,-0.6183,0.105,-0.9985,1.435,-0.4684,-0.7824,0.6087,-0.1118,-0.9448,-2.1231,-1.6865,0.0135,-0.8245,-0.6026,-0.0329,-0.9854,-1.0695,-0.0475,0.0476,-0.1535,0.679,0.0721,-0.0617,-0.6406,-1.2276,-1.8434,1.3737,-2.6096,-1.7195,-0.1636,0.7859,1.3339,0.3293,1.0119,0.481,-0.289,-0.03,0.6321
1.2795,0.5053,-0.1476,-0.4145,0.9399,0.4386,-2.3471,-2.6575,0.8794,-0.708,-0.6621,-0.9353,-0.8382,0.0457,0.7146,0.7357,-1.1317,-0.232,0.0935,-0.6165,-0.979,0.9028,1.8805,-0.0238,1.4707,0.8942,-1.7478,2.0269,-2.4535,0.8188,-0.4224,0.3533,-0.3664,2.1676,-0.8748,0.7773,-0.0972,-0.4228,0.7568,-1.112,1.8519,0.4278,0.7008,-0.8745,-0.4617,-1.3202,1.3821,1.0348,-1.8767,-2.0454
-0.3687,-0.8692,-1.5138,-0.043,0.5527,-0.5976,-0.6172,0.5134,-1.2379,1.2252,-1.1516,-0.1225,-2.1462,-1.4308,-0.3129,1.6023,-0.9218,-0.3548,-0.845,1.1967,0.5496,0.4823,-1.0604,0.2092,1.1559,0.4057,-1.3002,0.3022,1.0338,0.1036,-1.0963,0.8532,-0.335,-0.4081,-0.0718,1.779,-1.1776,1.0132,-1.2578,-0.8487,0.7116,-0.614,0.029,-0.1191,-1.2938,-0.1176,-1.3922,0.6561,-2.2127,-0.8548
