"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20"
-0.7006,0.1868,-0.8982,-1.1662,1.9554,-0.6721,0.7987,-0.2596,0.7245,0.5093,-0.3479,-0.052,-0.3704,2.1613,-0.6506,-1.1506,2.6402,-0.1208,-1.4507,-1.524,0.1874,0.585,-0.2729,-0.1724,0.8411,0.2945,0.4516,0.6524,-1.2597,-1.4574,-1.5326
-1.0386,-0.2204,-1.4885,0.2843,-1.3919,0.3596,0.7528,0.1842,0.5938,-0.9768,-2.1809,-2.6459,0.7643,1.5385,0.0111,-1.9331,0.5686,1.5711,1.3436,0.8426,0.2241,0.639,-0.2993,0.1025,-0.7016,0.7943,1.4069,0.5957,-0.6883,0.6945,0.2437
1.7699,1.7382,0.9989,0.5912,-2.509,0.5681,-0.025,1.1837,0.9733,-0.884,-1.4082,-1.4214,0.3305,-1.0464,-0.0393,-0.4423,-1.0565,-1.5941,1.6911,-1.4706,-0.4745,-0.6427,0.0396,0.7912,-1.7996,1.0589,0.7597,0.0092,-0.5162,1.593,0.3178
-0.2063,0.9684,0.7448,0.4241,0.2619,-0.2603,0.5668,0.7887,-1.427,1.3638,-0.4931,0.5336,1.3241,-0.5773,-2.2046,-0.8037,-0.157,-0.3044,1.0052,-1.5202,-0.1273,1.1019,0.575,2.174,0.3966,-0.4373,-0.8632,-0.1629,-0.2073,0.6517,0.3982
-0.7048,-1.2487,0.2479,-0.8843,1.257,2.1336,-0.0921,-1.5961,0.2287,0.0257,-2.2627,-0.2671,1.4454,0.2811,-0.9534,-0.6997,-1.7689,1.3905,0.9412,-1.5784,-0.3497,0.1519,0.6678,2.1259,-1.3657,1.7603,-0.0124,1.4296,-0.6841,-0.9605,1.8632
-0.5982,-0.2325,-0.4472,0.3931,0.5202,1.3566,-0.4452,-1.3828,-1.2554,-1.5001,0.0659,1.1402,-0.2627,0.5498,0.8312,-0.0686,-5e-04,-0.7465,0.2392,0.386,0.0329,-0.7774,-0.7361,-0.2204,0.9033,0.8682,-1.6977,-0.1927,-1.7749,-1.543,0.2083
0.2527,1.0801,0.6984,-0.167,0.0726,0.0585,-0.4214,3.1017,-0.1238,-1.7661,0.3658,-0.6036,-0.477,0.8377,0.1237,-0.7833,-0.3234,0.0868,-1.5106,1.0078,1.4389,0.345,-0.5482,0.4264,-0.134,1.5075,0.3963,0.6864,2.8746,0.4098,0.571
0.0313,-0.3329,1.4922,-0.1069,-0.0398,-2.1312,0.7562,-0.5362,0.8532,-0.0054,1.3724,0.2091,-0.1446,-0.5495,-1.0728,0.1053,0.3501,-0.5993,1.3379,0.4275,0.5342,0.4113,0.1179,-1.0031,0.3794,-0.3388,-1.1193,-1.606,1.0478,1.2933,-0.4112
2.7418,-1.4926,0.3721,2.1767,-0.0187,1.3266,-0.2779,0.172,-0.1114,-1.4164,1.5457,-1.5356,-0.6325,-0.6361,1.8116,1.0145,1.0285,0.2925,0.0801,1.6464,2.675,-0.9321,1.0646,1.1,0.5918,0.1571,-0.6708,0.9546,-0.8287,0.5873,-1.1958
-0.7952,0.878,-0.8509,-0.3855,0.9137,-0.9173,0.1788,-0.5763,-0.6217,0.4633,1.0518,0.7981,-1.0297,0.0708,-0.1581,2.5683,-0.3075,-0.6236,-0.7787,-2.2896,-1.0469,-0.4508,0.8759,0.0243,0.4449,0.0978,-0.5019,1.8496,1.3592,0.7785,0.4765
-0.2903,0.6354,1.5045,-0.0906,-1.2969,0.7845,-0.604,0.5996,-1.3279,-0.1746,-1.6535,0.7029,-1.3361,-0.5455,0.5999,-0.176,-0.3714,1.1212,1.2966,-0.9798,0.578,0.6144,0.212,-1.1707,1.2551,1.4883,0.6896,-0.4406,-1.7793,1.3691,-0.4309
0.1258,0.5502,1.0206,-0.8847,1.052,-1.3025,-0.8506,1.3406,0.7883,0.4061,1.2553,2.0461,-1.1105,-0.4016,1.2395,0.0564,-0.1074,1.0423,0.4698,-0.7926,-1.3805,0.0712,0.6884,1.0966,-0.8756,0.9249,0.6926,-0.9289,1.1117,2.6811,-0.4558
-0.873,-1.1023,0.8884,-0.8801,-2.0966,-0.5582,-0.1382,0.0931,0.5933,-0.0151,-0.0714,0.0829,0.6434,-1.0162,1.4907,0.3338,1.1143,0.4858,1.5645,-0.0643,-0.1068,2.3572,-0.8504,0.8341,0.9091,-1.1037,0.3447,-0.6756,0.1387,-0.4441,0.0413
0.0885,-0.3617,-0.9278,-2.0623,0.9302,1.7992,-2.2447,0.2191,-0.5843,1.2151,0.6123,-1.0613,-0.0117,-0.4741,-1.0512,1.1793,0.5803,-1.0348,0.6897,-1.3408,-0.5597,-0.7693,-1.0389,-0.4157,-0.9442,0.2707,-0.7785,-0.2885,-0.2834,0.9869,-0.3029
1.8867,-0.0421,0.5701,-0.3236,1.2827,2.7527,1.717,1.7428,-2.5271,-2.3071,2.3336,-1.3848,-0.0479,-0.5144,-1.3748,-0.1942,1.7143,0.3704,0.082,-0.7799,0.1957,-2.1974,-0.6499,-0.1234,-0.3988,0.0045,-1.1984,-0.1288,0.0194,1.6908,0.5752
-0.9245,-0.8076,-0.4369,0.6862,-0.5905,0.1173,0.5612,-1.2393,-0.4607,-0.0197,-0.959,-0.7099,-1.3278,-1.2759,0.6241,-1.3483,-0.2078,0.3643,-0.1591,-0.8112,-0.6324,0.1993,-0.6759,1.2432,-1.1184,0.4229,-2.8188,0.048,0.283,0.3739,1.4143
-0.26,0.0683,-1.6842,1.1121,-0.2131,1.6553,0.3191,-2.2551,1.6474,-0.7491,-0.8825,-0.5366,0.7888,1.1307,-1.6866,0.4084,-0.3628,-1.5478,-0.7936,-0.07,0.9721,0.3827,-0.4064,0.0499,1.7156,-0.1913,0.6511,0.9683,-0.1132,-1.69,0.5541
-0.6372,-1.2947,-0.3349,-0.7611,-1.4722,0.2292,-0.1445,-0.6669,1.853,0.5049,0.7455,-0.3134,2.8436,-0.2353,0.1875,-1.4749,0.2737,-2.0935,0.0993,0.2015,0.0368,1.3736,0.011,2.2392,0.6858,0.5078,-0.5865,-1.3533,-0.1571,-0.9274,0.1149
-0.8678,-0.2711,-0.671,0.5584,-0.0386,-0.4497,-0.2681,0.139,0.1675,-0.8321,-0.2743,-1.2634,-0.1637,-0.4891,-0.0547,-1.1865,0.6911,1.1575,-0.3136,-0.8088,1.056,-0.6205,-0.7845,-0.4852,1.4253,0.3576,-1.5377,-0.5814,1.3311,1.2128,-0.5275
0.7404,0.8703,-0.1878,-0.076,-0.0706,1.752,0.4418,-0.5165,-0.4268,0.9919,-0.8432,-0.9494,-0.6057,0.605,1.1228,-1.6473,-0.3174,-0.773,-1.3752,1.7614,-0.7157,-0.2298,0.4058,1.2086,0.9365,0.1785,-0.3587,0.4999,0.0748,-2.0583,-1.5894
-0.5037,-0.3505,-2.2634,0.4934,-0.7208,0.0246,1.1499,1.7808,-0.1961,1.0198,-0.8132,0.3255,1.1738,0.0893,0.9581,-0.07,1.6989,0.0271,0.716,0.7141,1.9376,0.443,-1.3929,0.2647,-0.6338,0.0514,-0.9402,-1.3032,-0.2989,1.1429,-2.2879
-0.4781,0.0695,-1.7976,-0.701,-0.4437,2.7724,-0.0333,0.8054,-0.7813,-1.7146,1.2603,-0.1085,-0.5185,1.5984,-1.0475,-0.7629,-0.8369,-1.6509,-0.3825,-1.2788,0.5772,-1.3181,-0.1479,0.7816,-0.3477,0.419,-1.5221,0.5481,0.3345,-0.6026,-0.1143
-0.3616,-0.3875,0.2918,0.9759,-0.6152,1.9178,-1.6972,0.8144,-1.3515,-0.0482,-0.7854,-0.5237,0.1876,-1.5334,0.804,0.3052,1.7048,-0.1396,-1.23,-0.5393,2.2826,1.0068,1.8785,-0.678,-0.9953,-0.5739,-0.513,2.105,-1.3031,-0.5929,0.3786
1.0773,1.4267,-0.4805,-0.3724,1.3091,1.5382,1.6391,-0.3969,0.1183,0.2582,0.4719,-0.6155,-0.762,0.5432,1.1771,-1.3831,0.539,-0.2943,1.6984,0.9311,-1.0041,0.598,1.4461,0.484,0.8032,0.7323,0.087,-0.463,-0.3553,0.8678,-0.4086
-0.5948,1.3524,-0.7351,-0.9883,-0.8511,-1.3679,1.7087,0.5115,-0.1231,1.1006,1.0944,0.1423,-2.4497,0.9133,0.2286,0.9358,-0.302,1.3287,-0.1916,-2.2899,-0.0325,-1.9503,0.6216,-1.2307,-1.0384,0.5192,-0.6388,1.3112,1.5646,1.191,-0.1651
0.1875,0.2162,-0.0444,1.7841,-0.4623,-2.2907,0.7415,-0.0457,0.6957,0.3819,-0.0901,2.2641,1.3987,-0.4964,-0.3657,0.7297,0.2941,0.875,-0.9635,-1.3999,-0.4262,-0.4571,-0.0042,-0.7264,-1.0519,1.0256,1.1137,0.0361,-1.9809,-0.6655,1.0632
-0.1219,-0.0961,0.6873,-1.309,-0.1819,-0.701,1.0881,0.233,1.1074,2.2821,0.0382,1.0199,0.9605,-1.0801,1.5503,-1.3996,-0.3782,-0.481,0.306,1.5814,-0.153,-1.0756,0.5084,-0.3449,-0.0622,1.1923,-0.7309,0.2276,1.3431,0.4388,0.8513
0.3914,2.0903,0.1257,0.2978,-0.612,-0.4104,1.1109,-0.8767,1.2432,0.9673,1.421,-0.4184,0.1855,1.1518,-0.7139,1.1925,0.4997,1.8728,-0.9052,-1.0144,-0.3944,-0.0483,1.4599,0.3657,-0.0039,-0.1534,0.098,0.1738,-0.0071,-0.9099,-0.632
-0.1157,0.3351,0.0929,-0.6498,2.4796,0.0401,-0.6121,1.7651,-1.3013,0.2804,0.7121,-1.8594,0.2317,0.5359,-1.3678,0.1822,1.6224,-2.4828,0.5688,1.3775,0.8241,-0.4995,-1.1369,0.0322,-0.076,-0.3636,0.6111,0.1222,-1.1971,-0.3049,-0.3505
3.539,0.3797,0.1507,-0.2683,0.3031,0.5147,-0.069,1.0888,-0.8826,0.3437,-0.8723,0.2102,0.7465,-0.5322,0.8033,1.0009,-0.6394,-0.6911,-1.1346,0.0946,-0.674,-0.4427,0.1644,-1.4778,-1.0837,-0.4681,1.3255,-1.3712,-0.3201,0.739,-0.7728
-1.0827,-1.0391,-1.1023,0.0087,-0.1504,0.6391,-0.0036,1.3018,-0.4412,-1.7368,-1.3834,0.7583,1.2977,0.4816,-1.5908,-0.7343,-1.1156,-0.1937,0.4324,0.7771,0.718,0.2276,-2.2276,0.147,-0.7618,0.8805,0.8681,1.7538,0.1086,-0.9232,-0.8122
-1.3394,-1.6073,0.0981,-0.6426,1.2664,-1.9458,0.1041,-1.6083,0.3929,0.5114,-1.3915,-0.1978,0.2646,-0.5583,0.3318,0.8853,-0.1714,0.6263,-0.4746,1.434,-0.4515,1.216,0.2174,-0.2854,-0.3434,0.2383,0.1306,-0.9143,0.8492,0.7439,-1.5282
0.0067,-0.8244,-0.6583,-0.945,1.3978,1.5571,-0.1263,-1.02,-0.64,1.1331,0.9655,0.8363,0.2374,0.0732,-2.5683,-0.7801,0.4745,-0.7669,0.6689,0.0281,-0.4229,0.6191,0.1205,-0.1465,1.0967,0.3241,-0.7738,0.3803,1.276,-0.1953,-0.1188
-0.7036,-0.6982,-1.3351,-1.2387,0.9249,2.3728,0.2891,-0.0282,-0.3702,-0.2371,-0.5569,1.0619,-0.9799,0.5364,-0.9664,-0.0443,-0.1966,-0.4728,-1.0353,1.9317,-0.283,-0.3326,1.06,-0.8051,-0.5629,-0.2284,2.4863,0.5631,-0.4785,1.4755,-0.3804
-1.1715,-0.5527,0.2126,0.8849,-1.1339,0.7547,1.3489,-1.2681,-2.2167,-2.3143,-2.1776,-0.302,2.3608,-0.7207,1.1401,0.445,-0.137,-0.271,-1.0335,1.0984,-0.0297,1.2182,-0.7398,-1.4471,0.1128,-0.4276,0.8302,-0.969,-0.1437,0.464,-0.5844
-0.7369,0.2864,-1.234,0.8191,-1.9949,-0.1466,0.2247,-0.7254,-0.6722,-1.2138,0.4756,-2.0702,-0.4245,1.6443,-1.8456,2.0807,-1.0065,1.3361,-0.3206,-0.4026,-0.1932,0.7488,-2.0671,-0.0079,-1.1894,-0.2468,-0.8327,0.0079,0.1427,-0.5988,-0.4268
-0.171,0.0209,-0.738,0.5648,0.1214,-0.0176,-0.1395,-0.193,-0.3423,1.5622,0.0907,0.7214,2.7506,0.2078,0.0499,2.3002,0.3032,1.6123,0.4636,-1.39,0.6559,0.3521,-0.4464,1.3185,-0.9607,1.6629,-0.3811,-0.7617,1.857,-1.6016,0.5004
-0.0851,-1.3208,1.6553,0.6376,1.3584,0.3995,-0.4062,0.1477,-0.2196,0.8478,-1.067,0.5044,-0.0082,0.5724,-0.4933,-0.8138,0.3629,-0.058,1.5129,-1.373,0.4723,-0.1388,0.3699,-0.3552,1.6187,-0.5396,-0.4991,0.169,0.6582,-0.5722,-0.5749
-0.0489,-0.6774,-0.6775,1.1906,-0.5759,0.2584,-0.411,0.637,0.8028,-0.0887,1.1396,-0.1719,1.2147,1.0514,0.1481,-0.492,-0.2555,-0.206,-0.6896,0.3515,-1.303,-0.8297,-0.8469,-1.3761,0.191,-1.519,-0.9594,0.6167,1.0092,-1.0265,1.4461
-0.2235,-0.3242,-0.3627,-0.2904,-0.0837,0.925,0.3282,0.3369,-1.3485,0.0454,-0.0103,0.3545,1.1548,-0.5237,-0.9145,-0.1901,1.2169,-1.2989,1.2214,-0.7433,-0.2022,-1.8835,-1.3286,1.0645,1.3968,-1.0866,0.9245,0.2811,-2.5745,2.2981,-0.5396
-1.6081,1.2135,-1.2356,-1.8459,1.0643,-1.8374,0.4772,-1.8156,0.5929,-0.2351,-0.0377,-1.3497,-1.9208,0.9048,-1.8615,0.9387,1.7973,1.3674,1.2551,0.4632,-0.6957,-0.1773,-0.1894,-0.5567,-1.1992,-1.2699,0.9141,-0.1412,0.3293,1.0596,-0.4579
0.6198,-0.2495,1.5371,1.2784,-1.0775,-1.3593,0.2901,-0.9012,-0.1031,1.0349,2.3353,0.3795,-1.5386,-1.6835,-0.4395,-0.711,-0.4501,0.4301,0.4526,1.5294,-0.625,0.4955,0.3888,0.6792,-2.0474,-0.1662,0.3828,0.7648,-0.7241,-1.1975,-1.2283
0.2707,1.1982,0.9092,-0.8095,-0.6266,0.3838,0.6969,0.0978,0.6668,-1.0706,0.4019,0.0492,-2.3276,0.7149,0.828,0.0245,-0.6889,-0.102,-0.7202,-2.0821,0.5499,-1.5505,0.2234,0.0631,0.9138,1.94,-0.9379,-0.547,-0.9699,-0.626,-1.1357
-0.0195,-0.1364,0.8057,0.968,-1.3199,1.4575,-1.0079,-1.1092,1.081,-0.6691,-0.489,-0.2751,0.399,1.0087,-0.366,-0.2772,-0.2621,0.9079,-1.2614,1.6507,0.4224,-1.2651,-1.4115,-0.309,0.6998,0.9943,-0.1077,-0.5768,1.2888,-1.3907,1.2995
0.9925,0.2572,0.1137,0.533,0.141,0.5526,-0.4345,-0.4915,1.075,-0.7567,-1.0382,-0.9882,-1.6599,1.1417,-2.0338,0.968,0.1688,1.1334,-1.266,1.675,0.0927,0.4349,0.1878,0.9804,-0.5488,-0.4882,2.0581,0.0087,1.1279,1.8237,1.2901
-0.7259,0.9401,-1.8451,0.8513,0.7408,0.3893,-0.3439,0.4248,-1.6181,-1.0293,0.1551,-0.259,-0.9567,-1.4949,-0.2144,0.6362,-0.4638,-0.923,-0.1346,0.0827,1.4512,0.6274,-1.0099,0.6523,0.4679,1.5875,-0.2279,-1.4434,-2.7714,-0.2539,-0.2573
-0.5998,-1.409,-0.7719,0.518,-0.1577,0.5434,-1.1064,1.5737,-0.7632,0.0808,0.6607,-0.9532,0.3745,0.9903,1.8991,0.575,-0.7882,0.5674,-0.4339,-0.2855,0.5898,-0.5356,-1.1071,1.0029,-1.0179,-1.9467,-0.6748,-1.3789,0.0559,1.4323,-0.728
4.093,1.0043,-1.4599,0.267,0.8461,1.1593,0.3807,-1.0091,1.2348,1.1582,-1.0566,-0.2881,-1.5219,-0.0134,-0.9385,-2.1174,0.4213,0.378,-0.2216,-0.193,0.8201,1.6792,-0.2823,1.6177,-1.0733,-1.4469,0.741,-0.5117,-2.22,-0.4004,-0.4164
-0.2024,0.2722,-0.6621,0.7619,1.0519,-1.8735,-0.7096,0.0331,-0.3166,-0.2912,0.5348,0.9481,1.1851,-0.5559,-1.3266,-1.0979,-1.3916,-0.6309,1.7658,-0.4143,0.2869,0.2572,0.5097,0.7404,0.3884,1.6842,0.2338,0.9633,0.1017,1.2683,0.7132
2.0493,2.0927,0.466,0.3144,0.3681,0.0923,-1.4802,-1.0611,-0.3712,-0.6914,-0.9245,0.1913,-1.2224,0.723,0.6332,-0.787,-0.1849,-2.2793,0.2725,0.0698,-0.4884,0.2185,-0.9346,0.7995,0.577,0.4459,0.0021,0.0461,0.6903,1.6512,-0.7542
0.05,-0.9225,-1.0844,1.1619,0.1345,0.4624,-1.3904,-0.0106,0.5253,0.5451,-0.6135,-0.965,-0.4772,0.0713,-0.0239,-1.0715,1.091,-0.0739,-1.7359,1.0616,1.5588,-0.8804,1.4546,0.5327,-0.3956,0.7555,-0.2826,0.5641,-0.3196,3.0966,-0.7397
1.575,1.4926,1.807,-0.932,-0.3206,-0.7063,-0.8367,0.2739,1.6316,1.5137,0.881,-0.6166,-0.9586,-0.4045,-0.7172,-0.7016,-0.0477,1.2123,-1.0808,-1.0671,0.3965,0.3998,0.4438,-0.418,0.5952,-0.6945,-0.9896,-0.0295,1.1869,-0.3229,-2.5008
-0.0079,1.2926,0.2326,-1.4125,-0.4463,-0.7849,-1.3649,0.5554,-1.9894,-0.1221,0.2288,-1.221,-0.6411,-2.137,-0.942,-0.0938,0.1039,0.1296,2.1625,-0.9493,0.0771,0.6969,-0.1379,-1.5536,1.2232,0.1245,2.5363,-0.0547,-0.3656,-0.2147,-1.2738
