"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13"
-1.0605,-0.8458,1.6216,0.1735,0.7881,-0.0631,-0.4084,0.2407,1.2498,-0.628,-0.8159,-1.6884,-4.0246,-1.1945,1.7441,0.5349,-1.2897,-1.2265,-0.3568,-1.2603,0.852,-1.2394,0.4482,-0.766,0.7055,1.1915,0.1308,1.5755,-1.6206,-0.3916,-0.8538,1.2757,-0.193,1.8179,0.4182,-1.3309,-0.2236,-0.0449,-0.1298,0.2635,1.5722,0.1862,0.6576,0.6585,-0.3253
0.8164,-2.7383,-0.0981,0.389,1.3198,1.7921,-0.3638,1.3562,0.5587,-0.6013,0.5588,-1.087,0.8879,-0.8433,2.3105,-0.3574,1.2322,0.2837,-0.7173,1.3501,0.1565,0.375,0.4377,0.267,0.6977,-1.0163,-0.5051,-0.0689,0.2848,-0.8387,-0.9976,-0.7442,0.3167,0.6901,-0.2711,0.7102,-1.6287,1.6169,0.854,1.7428,-0.8675,-0.1623,-1.3161,-1.1074,-0.4575
1.6109,0.8955,0.1605,0.4243,0.7523,-0.0392,0.3657,0.7401,-0.3334,0.1845,0.7099,-0.3221,0.0929,-0.9997,-1.9732,0.9501,0.1208,-1.439,1.2539,0.4489,0.9929,1.9118,-0.2059,-0.403,-1.3031,1.374,-0.0759,-1.1209,1.5554,3.3737,0.9283,0.5348,1.602,-0.5988,-1.3864,-0.5148,0.7755,2.4934,0.3334,0.4777,1.5998,0.8549,0.4899,-0.6046,-1.2122
0.1615,0.2599,-0.9542,-0.2144,-0.6393,-1.0372,1.4615,-0.9562,-0.1908,-1.5209,-0.5771,1.6901,0.3723,-0.3032,-0.2541,-0.6551,-0.1629,0.317,-1.0448,0.7886,1.6702,1.0624,0.2962,0.1432,-0.9345,0.0497,1.0952,0.0298,-0.5534,0.2085,0.8923,-0.6131,-0.9092,0.3623,0.8158,1.515,0.6828,-0.3863,-0.3087,0.9481,-2.6016,-0.4792,0.5732,0.0763,-0.9838
-1.4308,0.162,-2.2146,-0.1339,1.3714,-0.4327,-0.0676,-1.0013,0.4244,-1.3933,0.354,-0.0763,-1.0737,-0.2619,0.039,-0.4685,-1.0941,-0.6851,-0.2155,-0.8105,-0.5192,-0.3282,-0.3791,-0.9966,-0.6408,1.3351,0.0881,-1.3457,1.6444,0.7157,-0.208,0.4567,-0.544,-0.129,0.2765,-0.1706,-1.9917,0.4453,0.0634,-2.2133,-0.7921,-1.1207,-0.5167,-0.266,0.1854
1.6054,0.5771,-0.947,0.4444,-0.9502,-0.0437,0.7696,2.2452,-0.1519,0.1725,-1.488,0.5253,-0.2801,-0.0221,1.619,0.1352,0.052,1.0278,0.8607,-0.3653,-0.097,-0.3382,-2.0004,-1.3309,3.2368,-0.9736,0.3954,-0.7996,0.5274,0.9723,1.0287,-0.0269,0.5167,0.2534,-0.0595,-0.0259,-0.4609,-1.2004,-0.4978,0.4218,0.8194,0.7328,-0.5908,0.5157,0.8986
-0.631,-0.7811,0.8124,-1.6327,-0.4272,-1.4239,-1.4392,0.3671,0.1999,-0.8534,0.8986,-0.8587,-0.0355,0.1385,1.3077,2.8634,1.2081,0.302,-0.9853,0.6933,-0.2169,0.1335,0.5631,1.1807,-0.0835,-0.9156,0.331,-0.0812,-0.2636,-1.2717,-0.7819,0.834,-0.3754,-0.0678,-0.9509,-0.9755,-0.7143,-0.9036,0.9379,-0.2369,-0.3336,-0.6159,0.8072,-0.0193,-0.9687
0.9308,0.6654,-0.5918,-0.1734,0.5008,-0.3379,-0.0082,-0.0172,-0.3237,-0.5727,0.0836,-0.9869,1.4073,1.3773,0.8155,-0.1584,1.2695,0.0281,-0.8916,1.566,-0.2052,1.1306,1.4051,-0.5036,1.7571,1.6054,-0.0686,0.1197,-0.2066,0.6731,-0.1423,-1.0929,-1.3585,0.2313,-1.6957,-1.3605,-1.6024,1.3109,1.2674,-0.8877,-0.4187,0.501,0.9492,0.2641,0.6078
0.6045,-1.4497,-0.9617,0.5744,0.4896,-0.8187,1.39,1.0657,-0.6777,-1.0234,-1.2016,-1.0728,-1.3068,1.66,0.7336,-0.7611,1.2155,0.4733,-0.0468,0.2124,-1.0441,-0.2339,0.0399,1.2357,-1.5636,-1.5245,-0.3946,-1.0627,1.3909,2.8568,1.3163,0.2161,0.5505,0.4907,0.3004,-0.046,-0.5356,-1.0163,-0.1331,-1.058,-1.3242,-2.2245,0.4871,1.1964,0.467
-0.6737,-1.6558,-2.0354,-0.2406,0.4656,-0.9719,1.6041,1.1741,1.3113,-1.1138,0.1998,0.9298,0.8777,-1.295,-0.8328,-1.7113,-0.1483,-1.6638,-0.8736,-0.0555,1.918,0.2931,2.2326,-1.3491,-0.915,-1.241,-0.0267,0.3852,-0.7672,-2.4345,0.5507,-0.2976,1.3545,-1.1521,0.7557,-0.8833,-0.2821,0.2905,-0.5777,-0.2046,0.2938,-1.1102,-1.4991,0.1349,-0.4233
-0.3924,0.8215,-1.4614,2.6045,0.7262,-1.4831,0.4768,-1.3825,1.0664,0.4115,0.7347,0.2912,-0.8381,-0.1237,0.0553,0.3027,-0.5911,-1.2492,1.224,-0.6377,0.0927,-0.6326,0.7534,3.1814,-0.5364,0.6998,0.638,-0.2684,-0.0848,0.4791,-2.0231,-0.776,1.1533,-0.6546,0.1091,-0.2609,0.8334,0.2171,1.6065,-0.3908,-1.5398,-1.0033,-1.0885,1.2847,0.434
-1.2923,-1.4497,-0.5486,-0.527,0.6981,-0.4629,-1.3581,-0.7285,-0.6546,1.6688,-0.4656,-0.252,-0.6068,0.2441,0.6586,0.3405,2.2011,0.1743,-1.1383,-0.4596,0.8609,-0.2924,1.1367,-0.011,0.0731,-2.6675,0.7098,0.0618,-1.0658,-0.5627,-1.1295,1.0454,0.6981,-0.2077,0.5813,1.4058,0.026,0.0578,0.028,1.5569,0.4346,-0.7849,2.646,0.8059,0.6318
-0.2352,-0.86,-0.7725,0.8111,0.6553,-0.0988,-0.2126,0.0158,-0.2137,1.2358,-0.377,-1.1471,-0.0453,0.2173,-1.0307,0.7325,0.0618,0.9149,-2.0256,-0.9592,0.8983,-0.0998,-1.5412,2.4623,-0.2744,-0.1658,-0.3483,-0.135,-0.5793,-0.3523,0.3922,0.3846,-0.7873,1.206,1.2538,0.3442,-0.7648,1.8192,0.1254,-0.6257,-0.6783,1.1602,-0.2168,-3.4387,-0.1702
-0.0136,1.4662,1.2775,1.6919,0.1812,0.9709,-1.064,0.9819,0.9588,-0.45,-1.2892,-0.5502,-1.4824,-0.0311,0.2789,1.1671,1.0678,-0.9928,0.0073,1.4,-1.3601,0.1421,-1.4867,0.557,-1.1388,0.0243,-0.4339,-0.6837,-0.3197,1.8968,-1.0862,1.0371,-0.1854,0.6412,-0.1505,0.6456,0.2792,1.2287,-1.5868,-0.4274,-0.1564,0.3746,0.0437,-1.6789,0.1428
