"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29"
-0.495,2.5589,0.0784,-0.5719,-0.4941,0.8974,0.1292,0.9087,0.6355,1.7508,0.8553,-1.5409,0.4167,-0.4179,0.0109,0.9771,-0.7305,-0.5965,1.6681,-2.3397,-2.157,0.3684,-0.6106,1.7166,-0.7852,-0.4147,-1.0843,-0.3321,0.4091,0.9856,0.4605,0.0666,0.5785,0.2752,-0.1487,0.0885,-1.1892,1.264,0.1421,0.669,-0.7567,1.5652,2.2465,-0.7955,-0.6471,-0.7568,-0.071,1.8719,-1.2015,-0.524,-0.7469,0.3042,0.0667,-0.5749,0.8288,0.2814,-0.677,-1.349,0.8897,2.0835,0.2654,-0.6379
-0.1436,0.6927,-0.557,1.4471,-0.5101,1.3564,-0.5221,0.8175,0.9267,0.9116,-1.232,0.5137,0.6207,-0.1567,-0.4163,-0.1904,0.5764,0.6812,0.3678,-0.6918,1.6892,1.0152,1.1326,0.235,-0.9798,1.6933,1.6887,0.8415,-0.7122,0.6735,0.4745,-2.192,0.5315,1.4182,0.9533,-1.6123,0.3032,2.1742,-2.043,-0.0578,-1.7452,-0.9593,-0.1307,-0.2832,1.1289,-0.7391,-0.3426,-2.4563,-0.076,-3.3004,0.2067,-0.5616,1.0814,0.4132,0.2828,-0.6842,-0.7156,-1.2438,0.0735,-0.4709,0.4109,1.0207
0.3531,-1.0872,-1.1308,-1.1451,0.7938,-0.1276,0.0096,-1.8869,1.3443,-0.3723,-0.3241,0.4465,-1.184,1.2197,1.187,-2.3026,1.2793,0.4811,1.1157,2.4341,0.071,1.0109,-0.439,0.0862,0.6146,0.7931,0.428,-1.3367,-0.8916,-0.7632,0.1963,0.0857,-1.1756,0.4616,-0.4465,0.4677,-0.4482,0.8826,0.6531,-1.8014,-0.0656,0.354,0.997,-0.4836,-0.1367,-0.1907,1.08,1.6236,1.6087,1.4664,0.4625,-0.1788,-0.3186,-0.3502,-1.1222,-1.3116,-0.1786,-1.3958,-1.6989,-0.1468,0.8534,0.8051
-0.6764,0.0299,-0.2397,0.6553,0.0035,-0.9977,0.9491,0.9575,0.2794,-1.274,1.053,1.0425,0.7781,-0.8584,1.2787,-0.4083,0.9833,1.2788,-0.7645,0.7675,-0.1572,-0.2175,-1.3241,-2.0076,-0.4079,-0.6012,-0.4089,0.6349,-2.0801,0.8553,-0.8184,0.4539,-0.8218,0.0384,0.7781,-1.5992,0.3887,-1.5062,0.9555,-0.1648,-0.5525,-1.0045,-0.9751,-0.1305,0.3204,1.0195,-0.5975,0.06,-0.5239,0.1733,-0.8868,0.0105,-0.0171,0.5318,-1.2211,0.4694,1.3503,-0.2244,-0.6006,-0.8873,-0.6574,1.3433
0.3553,2.5406,-1.0006,-1.4324,-1.5246,0.8972,-1.3339,0.6441,-0.5935,-0.1793,-0.0532,-0.07,1.5833,-0.9985,0.6321,-1.0591,1.5478,0.8891,-0.0439,0.4733,-0.3287,-0.4756,-1.1631,0.4265,0.1418,0.2033,-1.6291,0.9166,-0.5573,1.4042,0.766,-0.2052,-1.3067,-1.01,0.1964,0.4531,-2.1023,0.3803,0.196,0.0068,1.799,1.8996,-0.9189,-0.5699,-0.4615,0.5842,-0.5205,0.6666,-1.1857,-0.3286,-2.1713,-0.1512,-1.7597,1.6704,-0.7301,-0.0536,-0.4792,-0.5097,-0.0818,-1.7825,1.2768,0.255
1.3663,2.6406,-1.2943,-1.4079,0.0905,0.7428,-0.1177,1.5066,-0.5044,0.857,-0.1235,0.2695,-1.2189,-1.1849,2.0491,0.4902,-1.3414,0.4812,0.3067,1.1729,-0.4621,-0.7458,0.1839,0.0909,0.1894,0.8503,-1.8041,-1.8442,0.6608,-0.5033,-0.2426,1.786,-0.8615,-1.2265,-1.1729,-0.9498,1.2827,0.1699,1.516,0.4156,-0.9507,-1.71,0.6178,0.2,-0.3647,1.6603,0.3324,-0.0917,-0.276,-0.325,2.0324,0.2844,-0.3052,0.5374,0.5962,0.382,-0.1623,1.6585,0.1357,1.4516,-0.5372,-2.3612
-1.4121,-0.7635,1.395,0.6684,-0.863,0.0633,-0.4903,1.475,0.2171,-0.7603,-1.0077,-2.1159,-0.5388,-0.0229,0.2928,1.2855,-0.9855,0.4582,-0.1949,0.5547,0.0911,0.1122,1.7021,2.1467,0.4801,-0.8848,2.6287,-2.4831,1.859,-1.1068,-0.6804,1.4375,0.7952,-1.7326,1.7734,1.5251,-2.1373,-0.0985,0.3191,-0.1871,1.1319,0.3423,-1.4108,-1.6973,0.8236,-1.128,-0.7377,-1.0873,-1.3269,0.4852,-0.368,-2.169,1.4007,-0.2295,0.6781,0.3449,-0.7177,0.3419,0.6187,0.3154,-1.9345,1.5163
1.4327,-1.2272,-0.1282,-0.0259,0.0329,0.1149,0.214,-0.5057,-0.6604,-0.6764,-0.1872,-0.3469,-0.2852,-0.4389,0.0985,0.2975,-0.4051,-2.6133,1.6587,-0.1665,1.5881,-0.3372,0.9791,1.3869,-0.5057,1.5463,0.5777,-0.1398,-1.1361,1.414,0.1243,-0.0408,1.0267,0.619,0.7846,-0.3733,-0.2119,-0.7235,0.3218,1.6542,0.302,-2.089,0.3992,-0.1865,1.9606,1.0043,-0.5662,-0.99,0.6665,0.0022,-0.7307,1.0369,0.7083,0.9987,0.6455,-0.4793,-0.9045,-0.817,-1.129,-1.3622,-0.9773,-1.0721
-1.3481,1.066,0.1967,0.666,-0.0158,-1.4728,0.8739,1.1345,-0.3976,0.1789,0.1464,-0.1854,1.0247,-0.4749,-0.5078,-0.2255,-0.9593,-1.5002,2.2519,-0.6002,0.837,-0.293,-0.4693,-0.5276,1.8827,1.2703,-0.255,1.1985,0.7371,-0.4457,-0.5481,-0.0878,-0.5484,0.2771,-0.4256,0.9462,1.1564,-0.5391,-0.2083,1.906,-1.9487,0.1601,-0.1421,-0.7866,0.6478,-0.3996,-0.0622,1.2044,0.7284,-2.493,-0.6841,-0.3068,-0.9621,0.815,2.0425,0.6508,0.7619,0.4342,-1.2244,0.1291,-0.1163,0.3636
1.0369,0.1112,0.9258,2.1847,0.5312,0.0634,0.2172,-1.7935,-0.0541,-0.7198,-1.7136,-0.0627,0.4587,1.7234,-0.692,-0.95,0.0306,1.5782,0.3876,-2.2799,0.2671,-0.5154,-0.1047,-0.3893,-0.253,-2.3089,0.2879,1.0834,-1.1045,-0.9769,1.2261,-0.9714,-0.2172,-0.245,0.7588,-1.8064,-0.0884,1.2848,-0.5252,0.6588,-1.3339,-0.4912,0.4709,1.0036,0.8966,-1.1236,0.25,2.7863,-0.1175,-0.329,-0.0553,-0.7653,0.3615,-0.0807,-0.8872,0.6818,-0.241,0.4939,-1.7358,1.2309,-0.3074,-0.804
