"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24"
1.0029,-1.604,-0.5093,-1.4341,0.6345,0.7809,-0.7532,0.7663,-0.8413,0.8582,0.0921,1.6966,-1.5457,0.1082,1.0826,-0.5319,0.267,-1.8098,-0.3369,1.2148,-0.6234,-0.1494,-0.0682,1.0538,-0.7932,1.3735,0.4984,0.0937,-0.6076,0.5328,-0.4452,-2.027,-0.3258,0.1806,-0.0291,0.7427
-0.7579,0.8095,0.4066,-1.1979,0.0317,-1.4492,0.0041,-0.4255,1.1678,-0.9512,0.0745,0.386,-0.5855,-0.6108,-1.8007,-1.0058,0.481,1.6047,0.5022,-0.1394,0.2415,0.3558,0.7509,0.6518,-0.4137,-0.8584,0.245,0.6764,-1.1876,-1.0765,-0.5591,-0.4293,0.1544,0.6806,-0.1099,1.472
-1.0681,1.2543,-0.7118,0.9851,0.9335,-1.3292,-0.1271,1.1009,0.6189,1.8313,-0.227,-0.8147,0.8707,1.1212,-0.3895,-1.4023,-0.14,1.5781,0.3316,0.0129,0.6023,0.4873,0.8137,-0.1595,-1.0726,-0.7196,-0.4235,0.4308,0.1781,-1.6786,-0.1867,-1.1278,0.1925,-0.9169,-0.5252,-0.3218
-0.7041,1.1317,0.7349,-1.3867,-0.9274,-0.8425,-1.927,1.1255,1.8089,1.1822,1.1034,0.5498,-0.1507,-0.703,0.462,-0.0659,0.3313,-0.4855,0.9033,-0.7175,-1.5872,0.0142,-0.5783,2.1501,0.626,0.7,-0.1767,0.099,-0.4613,0.2384,1.4167,-2.5905,-0.0762,1.3259,-0.8037,-0.4782
0.1039,0.9548,1.7791,0.6297,-0.7416,-1.07,1.2435,0.5782,0.3736,-1.7987,0.1094,0.451,0.6793,1.2205,-0.9605,0.5642,0.1683,-0.181,-2.2166,-0.5412,0.5448,-1.2373,-0.9498,0.3509,0.7206,-0.5597,-0.8991,0.4948,0.3806,-0.0566,0.0045,-1.3316,0.1234,-0.8243,1.4423,1.1876
-1.263,1.0227,1.8254,1.3061,0.6447,0.4813,-1.1704,-1.1208,1.2554,0.7702,2.064,0.8099,-0.0495,-0.2657,0.1475,-0.0616,1.4496,1.616,-0.4815,-0.9569,-0.2844,0.3292,-0.0998,0.8111,1.6332,-0.5797,0.4747,-0.6249,-0.2747,-1.6415,-0.8567,0.5478,1.782,-0.2209,-0.795,0.1439
-0.1031,0.7395,-0.9192,1.4796,0.8506,-0.4963,0.4169,-0.7267,1.1324,1.0664,0.4126,1.5515,-1.4213,1.0621,0.8747,-0.9128,-0.1884,-1.0695,0.2748,-1.278,-1.8226,-0.0566,0.419,0.1307,0.2823,0.7181,-0.2882,0.5738,1.5189,0.8179,0.9065,0.4235,-0.2596,-0.8427,-0.3195,-0.3183
1.317,-0.9176,0.0598,1.3988,-0.6146,0.1068,0.7429,-0.0964,-0.8559,-0.2016,-0.1884,0.0788,0.375,-0.2778,0.0982,1.853,0.421,-0.8122,0.0325,0.4753,-0.9857,-0.657,-0.5093,-0.649,-0.4801,0.8588,0.5847,-0.8022,0.6437,-0.2646,0.7938,0.6886,-0.1327,1.4027,0.0636,0.2948
0.3447,-0.5012,0.2512,0.4293,-0.0571,-0.1199,1.0395,-0.8872,0.2936,-1.5584,-0.1499,-0.7221,-0.4612,-0.1067,-0.3358,0.3152,1.5901,-1.3798,-0.6045,0.1734,-0.0628,-1.0196,0.1398,-0.2502,0.5842,0.0119,0.7009,0.1771,0.3099,-0.4587,-1.9526,1.4113,-1.6278,-0.6425,-1.8277,0.2721
-1.2184,0.7584,-0.8855,-0.3444,-0.3806,-0.3177,-0.2392,0.2599,-0.9746,1.6496,2.1513,-0.0116,-0.0257,-1.5695,0.4864,-1.2601,-1.6667,-0.2986,-0.6044,-0.5466,-0.8391,1.2587,0.7159,-1.1318,1.8147,0.3945,2.6662,0.6182,1.0536,-0.9797,1.2712,0.1612,-0.6132,-0.6274,0.027,-1.1399
