"target","NS1","NS2","NS3","NS4","NS5","NS6","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23"
-0.4693,-0.5003,0.353,-0.4454,-1.1499,-1.1125,1.2077,0.3442,1.3153,-0.0416,-1.5164,1.7479,0.8551,-1.2271,1.4647,-1.7792,-0.0524,0.9221,1.4996,0.3981,-0.0049,0.5146,0.7469,0.5781,0.9207,-0.4761,1.0463,0.9618,1.1621,-1.0605
-0.333,0.8623,0.7303,0.8683,0.5748,-1.2093,-0.2781,-0.4133,1.2911,-0.8414,0.1518,0.5929,-1.2968,-0.979,0.0108,-2.2028,0.479,0.3194,-0.1768,-0.0946,-1.31,1.5111,0.4076,-0.2596,3.0707,-1.7803,0.6982,-0.1232,-0.583,0.0634
-0.2415,-1.978,0.4211,-2.4647,-1.3651,0.72,-0.8005,-1.8069,-0.6278,-0.8079,-0.6603,-1.404,0.6921,1.5914,1.1499,1.9902,0.5932,-1.2731,-0.3336,-0.802,0.0589,0.759,1.0177,-0.6402,-0.0869,-0.2927,-2.1268,0.3066,0.7476,1.0282
0.3927,0.1766,1.0929,0.9967,0.007,0.6773,0.1698,-1.6,-0.7621,-1.6391,0.5455,0.1422,0.1839,-0.348,1.3885,-1.4505,0.6292,-0.6339,1.0982,1.4113,-0.9927,1.6132,-0.0687,0.6345,0.7562,1.5434,1.3214,-0.1659,0.7363,-0.4183
-0.9937,-0.9261,0.0683,-1.118,-0.4041,0.3783,1.2327,0.7851,-0.7821,-0.5285,0.2738,-1.9941,1.761,0.2942,-0.1679,-1.1316,0.9228,0.3334,-0.3097,0.9952,-1.1123,-1.2479,0.5392,1.2797,0.6918,1.0598,-0.6623,0.5966,-1.5146,1.2916
-0.8901,-0.5205,0.3725,-0.8679,-1.3749,0.261,0.5127,-0.7354,1.0183,-1.1327,1.0034,1.4144,-0.6129,0.163,0.8448,0.4559,-1.2224,0.4183,0.0172,-1.6357,-0.7268,-0.4764,-0.1266,0.9381,-0.2897,0.1421,1.4033,0.6653,1.2789,1.7051
0.8538,-0.3438,0.0907,0.5751,2.0042,0.7657,0.6568,-1.312,-0.9862,-0.0298,0.7062,-0.6382,-0.5754,-2.0332,-1.5608,1.0281,0.0935,0.1439,-0.8506,0.5428,-1.3603,1.5972,0.4202,1.2408,-1.2679,-0.5074,0.203,0.0408,-1.1347,0.392
0.4444,0.2526,0.238,0.5889,1.8495,1.7362,0.6438,-0.3132,-0.1755,0.266,-0.0873,0.1343,-2.0584,0.8453,-1.4498,-1.1864,0.9646,0.5795,-2.6259,0.393,-1.8173,-0.9019,1.2236,-1.2223,2.1781,0.0336,-1.6865,-0.4808,0.0645,-0.059
-1.8836,-2.279,-0.4033,1.3272,0.1349,-0.6556,-0.5047,0.3988,-0.0153,0.0429,-0.2342,-0.8734,2.2982,1.6538,-1.0363,-0.1839,-2.5406,0.7095,0.8468,0.0173,-0.1624,0.8873,0.1623,0.0551,-1.7203,0.2981,0.6202,-0.1998,-0.5249,-0.1733
0.9087,2.0259,1.1037,-1.8507,-0.146,0.6499,0.9775,-0.897,-1.1128,0.9358,-0.159,0.3214,-0.816,-1.1621,-1.707,0.633,0.3691,2.0618,-0.3035,0.0611,2.0419,-0.2123,1.5054,-0.4569,-0.4665,-1.3313,1.1717,1.7528,0.0589,0.2902
-1.7296,-0.2812,-0.371,-0.5764,-0.1491,-0.2448,-0.7808,0.7829,1.1685,1.25,-0.3315,-0.0445,0.5477,-0.1558,0.0247,-0.2842,0.0966,0.62,0.8109,-0.9479,0.8866,0.6138,2.5019,0.4536,0.8603,-0.0441,-0.2593,-0.6402,-0.6911,-1.3186
-1.0564,1.5233,-0.5665,-1.1975,-0.3843,-1.2663,-1.1913,2.3368,-1.7908,-0.9637,0.4093,-0.2048,1.163,0.1991,-0.0248,0.6774,-1.2159,0.6714,0.3069,0.26,0.0325,0.2203,0.2043,-0.2618,0.1851,-1.054,-1.6712,-0.8525,-0.1659,-0.2626
0.4109,-1.0033,1.0567,1.3611,1.0168,1.2957,0.7221,1.8426,-0.8061,0.8183,0.2525,1.4815,-0.0665,-1.0922,-0.2487,-1.225,-0.7906,1.0908,-0.4111,0.7682,1.5526,-0.6145,-1.1465,0.0334,-1.7774,1.3794,-0.1222,0.652,-0.5266,1.4816
0.2736,0.3548,0.0218,1.7976,0.7405,0.5526,0.3077,-0.563,0.3187,-0.0803,1.2327,0.0979,-0.203,2.2091,0.7129,-0.6619,0.1291,0.8643,0.6048,-0.79,0.659,-0.0426,1.9212,-1.611,1.803,-0.4708,-0.5045,-0.8934,-1.3623,-0.1355
1.6003,-0.3458,-1.2159,0.3555,0.8224,1.2284,2.2882,-0.381,-0.4641,0.1368,0.1939,0.5852,-0.3291,-0.2871,-1.1239,-0.9719,0.8931,-0.5589,0.1652,-0.2407,-0.1325,0.0314,0.0032,0.408,0.8209,-0.1007,-1.3919,0.3934,-1.1272,0.7857
1.5783,-2.2681,2.4104,-0.1984,1.5474,0.4398,-0.4081,-1.1651,0.6455,0.9002,-0.389,-0.1693,-0.6785,-1.9924,1.7085,-0.4942,-0.533,-0.3981,0.5663,1.8107,-1.5559,0.3429,0.6428,0.559,1.9486,-0.4987,0.1023,-1.196,0.8403,0.0121
1.227,1.375,-0.5621,0.6765,-0.5351,-0.6952,0.0295,1.2212,-0.2027,-2.1629,-0.0716,-1.0944,0.7903,-2.7258,1.5436,0.7028,-0.8324,0.4077,-0.7041,-1.653,-2.06,-0.0976,-0.7095,0.2801,0.0384,0.4333,0.3009,-3.0529,0.0101,1.6087
-0.4196,-0.7299,0.0825,0.6175,1.7337,0.325,-1.1714,0.4135,-0.9618,0.4393,-2.7663,-0.6423,1.2958,0.9707,-2.6981,1.6441,-1.14,0.3516,1.4062,-0.5278,0.7162,-1.1454,0.8125,0.9977,0.7177,0.0486,0.2617,1.0037,-0.8582,-0.8001
