"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NS47","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46","NNS47"
0.0581,-0.2489,-0.6346,1.323,-2.0968,0.7313,0.4809,-0.5095,-2.7015,-0.27,-0.2072,-1.2263,-1.6359,-1.389,-1.8012,-0.3221,0.1676,-0.0222,1.5977,-0.5609,1.0425,-0.3257,0.9565,1.3273,-1.4149,-0.7454,1.0307,-1.971,0.7626,-0.9554,0.3335,1.0883,0.6004,-1.5047,-0.4719,-0.8723,0.3553,0.6365,-0.0927,0.016,0.8435,-0.2249,-0.4007,-0.2895,-1.3701,-0.4193,1.7006,0.9007,0.3956,0.5127,0.3827,1.3835,0.4621,0.0264,1.2449,-0.3163,0.0299,0.2861,1.1816,-0.0943,0.4364,0.2052,-1.4272,1.3082,0.9297,0.1052,0.998,0.1794,1.2373,1.0995,-0.0163,1.1827,1.1509,-0.2274,-1.9743,-0.7633,-1.7492,-0.025,-0.5764,-0.7776,-0.7355,-1.4992,1.2248,-1.1218,1.1394,-0.2408,1.1329,-0.4003,-1.128,-1.5904,-1.1742,-0.3165,-0.5363,0.2625,-0.0551
-0.0661,-0.5025,-0.904,-2.8046,0.5054,0.4733,0.3252,1.089,-0.0737,-0.0676,-0.8134,-0.7371,2.369,-0.9966,-0.4062,0.3651,0.1652,-1.7708,-0.8059,0.7609,-2.2275,-0.0408,1.0172,-0.6149,-2.0705,2.0206,0.5544,-0.1634,-0.5987,-0.1571,0.8175,0.6266,-0.1834,0.0558,0.4384,0.3387,-0.9117,0.2417,-0.2193,-1.3655,1.184,1.2719,-0.3289,-0.3087,-0.4083,-0.0909,1.5507,-0.6735,-3.2948,2.5195,-0.1092,1.2843,1.2456,-0.0315,0.6967,1.0466,-0.5386,1.5584,1.694,-1.8212,1.1688,0.6926,-0.048,0.7335,1.2322,0.6914,1.3288,-6e-04,-0.4799,0.4664,-2.3729,0.5919,0.2826,0.0655,0.6477,-0.4322,1.4723,-0.1311,-0.0604,1.0302,0.3685,1.3758,-0.037,0.4149,1.1144,1.3275,-1.6508,0.5274,0.7635,0.3757,-0.4198,0.8398,1.8342,0.386,0.2339
1.711,-0.1915,-0.7721,0.4267,-0.6951,-0.1064,1.658,0.713,0.7088,1.3791,-1.1685,0.4285,-1.2735,-0.1842,-0.5611,0.2485,0.5443,2.4631,0.2708,0.1131,0.5623,-0.2898,-1.3698,-0.224,0.7887,-1.0184,0.7119,0.3452,-0.3652,-1.438,0.1775,-1.4743,-0.3216,0.0266,0.2316,-0.2471,-0.8405,0.0549,0.5585,0.3469,1.1507,-0.2405,-0.0122,1.6596,-1.0109,-0.1834,0.9397,-0.1,-1.0484,0.0654,-1.6927,-0.1872,-0.0709,1.0358,-1.0367,0.5113,0.3689,-0.1885,-0.4775,0.5735,-1.3418,-0.1258,0.7563,0.3434,-0.6842,-1.2507,0.8994,0.1734,0.0585,-1.5518,1.1327,1.147,-1.0593,0.0132,-0.3856,-1.9878,-0.1797,0.8701,0.9074,0.4905,0.2536,-0.6073,-1.0315,-1e-04,-1.3967,0.9887,1.2952,-0.3254,-0.7074,-0.1692,0.6953,0.2515,1.8425,0.5765,0.28
-0.5972,-0.4094,0.6068,1.3541,0.6569,-0.4096,0.2673,-0.4957,1.1196,-0.925,-0.2099,0.0472,1.5833,-1.8608,0.5459,-0.1235,1.3281,-0.0885,-3.2144,1.2523,0.0273,1.4564,1.431,0.3441,-0.0414,0.3662,-0.5903,-1.5058,1.5279,-1.1225,1.0359,0.232,-2.7166,-0.3661,0.4892,0.4503,2.3228,-0.9352,0.397,-1.3873,0.0112,-1.8599,0.9008,-0.3164,-1.4456,1.5488,0.3368,-0.4484,-0.475,0.0226,-0.3596,0.8559,-1.3653,-1.8841,-0.3912,-0.4663,-0.9705,1.2561,-0.1157,0.7783,0.3885,-0.3511,0.0822,0.4313,1.0346,-1.7537,-0.3665,0.5533,-0.3305,0.3232,0.6468,-0.3745,-0.0425,1.2082,-2.0107,-0.7855,-0.8957,0.2034,0.5845,-0.5629,-0.9316,0.2568,0.395,-0.8762,-0.8586,-1.019,1.1323,-0.7657,0.3683,1.1167,0.0694,0.0736,-0.8463,-1.0329,-0.2497
0.7098,0.9124,1.153,0.8793,-0.3497,-0.2082,-0.631,-0.3203,0.7799,0.6936,-0.7671,-0.8522,0.539,1.3269,0.7729,0.0044,1.3868,2.3806,-2.17,-0.2553,-0.9252,1.2216,1.0316,0.3932,-0.7266,0.683,-0.3649,1.0562,-0.1872,-1.0957,-0.712,-0.2468,-0.1056,-0.3856,-0.0893,1.7648,-0.3957,-0.5876,0.1719,0.2146,0.5338,0.3952,0.8001,0.2001,-0.545,-1.078,-0.2929,-0.1662,-2.4311,-0.0161,-0.5544,0.9698,-0.6083,0.1215,1.1298,-0.2076,0.2695,1.1904,-1.2772,-0.0322,1.0593,0.044,1.2334,1.1636,0.9074,-0.8989,0.0617,-1.721,1.2175,-0.6008,0.4087,2.1803,-2.5222,0.4478,-0.0953,-0.8822,0.6907,1.15,1.0585,-1.0417,0.1368,1.4405,-0.3521,0.8136,-1.0463,1.8953,-1.0539,0.6652,-0.2755,0.2283,-0.3995,-1.0391,1.3806,1.6261,-0.384
1.3241,-0.1139,0.4079,-1.433,0.3946,-1.3191,0.8197,-1.1029,-0.322,0.1375,1.4162,-1.0826,-0.4954,-1.1559,-0.8437,-0.6339,0.8658,0.5412,-2.6027,1.0362,2.0695,1.4686,-0.3883,-0.9004,-0.3733,0.1732,1.2892,-0.0178,-0.4179,-0.5977,-0.7883,-1.7528,-1.6435,-0.6673,-0.5071,1.5917,-0.6983,1.0206,1.6598,0.9668,-0.4618,-0.8436,-0.3638,0.1078,-0.1744,-0.7501,-0.6339,-0.7191,-1.8918,1.9287,-0.0543,-0.0697,-1.562,-0.1987,-0.1624,-0.9041,0.2873,-0.5085,-0.4858,0.0982,-0.1973,0.3764,-0.7465,1.0997,0.7721,0.3943,-0.6081,1.5916,-0.633,-0.6263,0.9417,-1.4139,-1.5782,-0.7947,0.5758,1.7281,0.0909,-0.4601,0.9056,-1.3336,1.4168,-1.803,-0.761,1.1747,2.0086,0.5344,1.7102,0.9937,-0.9408,0.873,-0.2156,0.8072,-0.5849,-1.3545,0.5699
-0.5437,0.8615,0.7528,-0.1702,0.6788,1.0593,-0.8189,0.1046,-1.3556,-0.9982,-0.3531,-0.2652,0.4916,0.5716,-0.1927,-1.4026,0.2235,0.819,-0.6937,2.2157,-2.0077,1.8025,0.0274,-0.1468,-0.399,0.6355,-1.0862,0.3711,-0.5965,-1.2465,-0.355,-1.369,-0.5407,-0.106,0.036,-0.3846,0.5764,-0.8419,0.1369,-1.2989,-1.142,-0.0045,-0.1559,-0.9598,-1.0757,0.0144,0.3961,-0.8921,0.396,-2.6633,-1.2273,-0.5295,1.352,0.2803,1.5212,-0.3318,1.4374,-0.8378,-1.0759,0.7526,0.3544,-2.0678,-0.0539,0.5339,2.8837,-0.9459,-0.4763,-0.0611,0.5009,-0.0244,-1.2562,0.6887,0.5032,-0.2547,0.444,0.2665,-0.8461,0.4536,0.2409,0.711,-0.5954,1.0266,1.4266,1.6528,-0.5031,0.0325,1.358,1.1258,-1.1633,-0.8389,-0.0688,-0.6748,1.1805,1.0256,1.2344
-0.7572,-3.3635,1.8167,-0.4549,1.2002,-0.0203,-0.2297,2.495,0.321,-0.8948,0.1997,0.9626,1.4327,-0.1152,2.0701,0.1984,-2.239,-0.9849,-0.545,0.8211,0.5079,-2.0177,-0.2761,1.5597,0.5916,1.1778,-0.6922,0.944,-0.9054,0.2525,0.0328,-1.3042,-0.324,0.978,-1.0551,-0.5202,0.5183,0.5928,0.0506,-2.5364,-2.0875,-0.31,0.8387,0.7877,1.6695,-0.8161,1.2781,-1.824,1.3566,-0.5839,-0.2316,-2.1999,-2.2202,-0.214,0.4527,0.3134,1.417,1.8749,-0.9757,-1.1154,-1.1569,0.4331,0.6289,1.554,0.848,-0.9785,0.4569,-1.4588,0.7232,-0.7879,0.2024,1.6029,-0.2785,-2.4762,-0.7138,0.3941,-1.3702,0.2947,-2.1502,-0.9869,0.6016,0.5073,-0.1442,1.6175,-0.5046,0.1952,-0.6719,-1.1416,-1.01,0.8267,0.9785,1.1338,0.3254,0.2406,-1.2221
-0.2183,-0.2664,-2.0578,0.7573,0.9245,-1.4153,-0.4967,0.9172,0.0656,0.3375,0.1975,-0.2208,-0.2865,0.4312,0.2332,-0.937,1.2679,-0.2534,0.8201,-1.6535,0.3122,1.4765,-0.0867,0.278,-2.5226,2.3862,-0.03,0.9184,0.7503,-0.3165,0.0884,-0.7821,-0.1883,0.0414,0.1386,0.4982,0.8927,-0.3082,-1.2584,0.7813,-0.9597,-0.8417,-0.462,0.2795,-0.7419,1.6993,-0.6749,0.7455,0.2864,-1.8917,-0.0668,-0.7912,-0.6188,-0.4289,-1.9646,-2.8325,-1.0036,0.6889,-1.0764,0.5508,-1.2552,-1.4511,0.9603,0.5909,0.0761,-0.3507,1.5798,2.0361,0.4654,0.3459,0.0883,-1.6541,-0.9804,-0.6912,-0.7698,1.1608,1.6047,0.5481,-0.4365,0.6378,0.559,-0.1955,0.3675,1.1511,-0.8391,1.693,-1.1908,-0.2261,-1.7427,0.7754,0.636,1.1811,-0.8125,0.0991,1.5211
0.3549,-0.9985,-1.7916,0.2951,0.1912,-0.2969,2.0006,-0.6285,0.5018,0.215,-0.5733,0.3989,0.4554,-0.1565,-0.4969,-1.105,-0.5671,0.5763,0.3167,0.3728,-0.8004,-0.6293,2.1477,-0.311,-0.4262,0.5993,2.8913,1.1942,0.7343,-0.2688,-0.7451,-0.3579,-1.4663,-1.4202,-0.2003,-0.4157,0.1283,1.2397,1.3674,0.0731,0.7811,-1.0464,0.887,-0.0783,-0.5548,0.9815,-0.3199,2.0007,1.1036,-1.416,0.3507,0.7173,1.0088,-0.2875,0.1721,0.7875,0.9317,-0.1335,1.2238,0.3561,1.024,0.1856,0.5844,0.4064,0.9314,0.2887,1.0719,-0.2932,-0.5598,-0.514,0.1481,-1.7147,0.3495,-0.6337,0.3719,-0.2897,-0.3402,-0.3775,-0.0969,-0.208,-0.9451,0.395,1.1554,0.3485,-0.0423,1.4029,-0.6312,-0.7421,-0.4591,0.1307,-0.1098,-0.8043,-0.6299,0.079,-1.0942
