"target","NS1","NS2","NS3","NS4","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19"
0.7361,-1.6969,-0.3936,1.025,0.9031,1.9585,2.124,-1.2077,-0.5673,0.5289,0.4498,0.2297,0.8367,-1.3856,-1.1016,-1.1407,-0.5299,-1.5052,-0.3916,-1.0434,0.6831,0.0307,0.4002,-0.539
-1.0882,-1.9743,-0.0055,1.4621,1.2712,1.0688,-0.8885,0.7995,1.6532,0.5389,0.0387,-0.7999,0.7098,-0.1557,0.1131,0.7169,2.2577,0.8694,-1.1833,-0.5812,0.2576,-0.022,0.3606,-0.0729
-0.9282,-0.8116,1.184,-0.6775,1.8855,0.0528,0.76,-0.7897,1.3706,-1.0894,0.3285,-0.1938,-0.2804,0.5621,1.6672,-1.599,-2.6369,-0.8466,0.2503,-0.0395,1.4904,1.2125,2.3858,0.0673
-0.1873,-0.6176,-1.1477,-1.7152,0.6363,0.281,-0.9615,1.5607,0.3405,0.97,0.2183,-1.0871,-0.6458,-0.277,-1.0515,0.8596,0.1738,0.9097,0.7852,-0.0976,-0.1244,2.3202,-2.6306,-0.5364
1.3458,-0.5236,1.4138,-0.2946,0.6965,-0.0563,-1.5586,0.2143,0.4212,0.3403,0.4453,0.3747,-0.5386,-0.222,0.2638,1.3526,0.5073,-0.3159,-0.0159,0.4182,-1.9605,-0.7959,0.7219,0.4316
0.1897,0.5818,-0.1966,-1.3601,0.9905,0.9322,-0.6325,0.3935,-0.5845,-0.2786,-0.9784,-2.1487,0.0756,-0.829,0.5319,0.4093,-0.2889,-0.7423,-0.0253,-1.4955,-0.6222,0.8136,-0.5376,0.9304
-1.0247,-1.7158,-0.4151,0.3707,-0.6902,0.1064,0.0611,-0.2975,-0.5859,-1.1686,0.6222,1.3654,1.0743,-0.6923,-0.3662,0.0234,-1.0176,0.9798,-0.2009,0.614,0.0852,-0.4358,1.5548,0.6271
0.8661,-0.5026,-0.6622,0.765,-0.4711,0.589,-0.6564,-0.255,-1.8724,-0.0731,1.2573,1.0869,-0.1112,-0.2208,-0.6783,-1.1335,-1.4607,0.904,0.2413,-0.2047,0.228,-0.6622,2.5603,-1.837
1.5541,-0.2701,-0.1794,-2.0895,2.408,1.3878,0.7389,0.3671,-0.3191,-1.1384,-0.1187,0.8891,1.3222,0.4325,-0.6723,-2.4919,0.2719,-2.289,0.7284,-1.1086,1.3917,-1.4232,0.0921,1.3762
-0.7513,-0.1278,-0.7564,0.1471,-0.6178,1.8472,0.4332,-1.5009,-0.0694,-1.0925,-0.7633,0.4362,-0.0688,-1.0683,1.1593,-2.0146,-1.1338,-1.2984,0.32,0.8186,-0.091,-0.9029,-0.8568,0.4966
-0.9241,2.4517,2.0132,-0.6281,-0.129,1.7518,-0.0166,-0.4768,-0.1464,-0.285,-0.0665,0.0884,1.151,-0.1235,-1.279,0.674,0.6401,-0.5738,0.5192,1.704,0.7528,-0.4968,1.1151,1.2944
1.0791,1.797,0.2651,-0.6569,-0.7911,-1.1157,0.2657,-0.7164,0.3974,1.0124,-0.1097,0.7728,1.6477,-1.9899,2.7825,0.0528,-0.2878,-1.7136,-0.1154,0.0113,0.7055,-0.5741,0.1789,-1.3996
-1.491,1.727,1.3173,-0.3723,-0.4715,0.0424,-0.2996,-1.1699,-1.6739,0.8156,-0.2925,-0.418,-0.9244,-1.1005,-0.8797,-1.1071,-0.2914,-0.5554,1.0571,-1.3407,-0.1175,1.1246,-0.3559,-0.3613
-0.0843,-0.7176,0.1952,0.6529,-0.526,2.0328,-0.4626,-1.5634,-0.989,0.0364,0.6138,-1.1865,-0.2691,-2.1079,1.1264,-0.0367,0.1052,-0.3088,-1.193,0.2533,0.4286,0.2541,-1.1497,1.3167
0.7082,-1.2041,0.0725,-1.3022,-0.8023,-1.422,0.1322,-0.1812,-0.0031,-0.5199,0.856,0.0662,1.6719,1.3388,-2.1821,0.7013,-0.8484,-1.1786,1.4127,3.3504,-0.0065,-0.2353,1.8347,1.7267
