"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37"
0.2395,-1.8615,-0.1137,0.0981,-0.0171,0.2139,-0.1851,-1.2364,1.326,1.2494,0.6602,-1.4388,0.0144,-0.5465,0.2379,-0.8778,0.2619,-0.8203,-0.3831,0.4904,-0.5825,-1.2946,1.084,1.2748,2.0283,-0.4525,1.0939,-1.5946,0.983,-1.6452,0.2322,1.643,0.5243,1.9242,0.0233,0.8529,0.3181,-0.8204,0.8332,-2.3903,0.386,1.4147,-0.8366,-1.0384,1.0303,0.5096,0.0071,1.5805,0.6385,-1.7733,1.0161,0.8239,0.9483,-0.4687,0.4444,0.6826,-0.7086,0.809,0.8648,0.0529,0.1043,0.0595,0.0849,0.4423,0.6723,0.8422,-0.462
1.0251,-0.6182,-1.0456,0.3548,1.9215,-0.4331,-0.1814,1.1348,-1.9485,-0.0458,-1.3516,0.1813,-0.1763,-1.0787,-0.7451,1.9643,0.8848,0.0621,0.1283,-0.0401,0.6945,-0.9744,-0.2639,-0.3305,-0.5842,-2.0351,0.7786,-1.2751,-0.2741,0.7608,0.3491,0.6377,0.3994,-0.349,1.8723,0.0564,-2.0587,-0.2272,1.4612,0.0772,0.9057,0.4075,-1.2023,0.9853,-0.5358,1.3427,0.0486,-0.2769,-0.2162,2.1702,-0.8946,-1.4577,0.9226,0.5844,-0.0683,-0.6955,0.9977,0.1805,-0.8999,0.9494,-0.0168,0.431,-1e-04,-1.2529,-1.9714,0.5342,0.8141
-0.8315,-0.3342,-0.9972,0.959,0.5418,-1.4048,0.4423,0.3276,-0.106,-0.167,0.9025,-0.9673,1.0936,1.8285,-1.1123,0.9903,-0.4967,-1.3691,0.3564,0.8907,-0.0401,-0.1323,-0.4272,-0.7906,-1.8804,0.977,-0.5411,-0.953,-0.3516,0.0456,-0.5552,-0.256,0.0506,1.3445,0.6256,-0.768,-0.5411,-0.0492,0.8098,0.5128,-0.5109,-0.2136,-0.1942,-0.6052,0.6026,-1.4832,1.0056,-0.4862,0.4734,-0.4561,0.9811,1.2082,0.6238,-0.8371,0.0254,-0.8082,-1.1048,1.4551,0.9306,-0.0521,-0.7665,0.6492,0.3999,0.31,-0.1691,-0.8426,-0.0232
-0.256,-0.5161,0.4072,-0.6951,1.0472,1.7141,0.2953,-1.2999,0.8431,-0.2064,-0.8217,1.5075,-1.0741,1.7614,-0.3837,1.0668,0.425,-0.7676,0.9487,-0.2111,1.5304,1.5625,-3.3412,-0.7476,-0.3319,0.0997,0.2177,-0.932,-1.095,-0.7181,1.5243,-1.0733,-0.4005,0.1833,0.4673,-0.5154,-0.8856,0.7144,1.7009,-0.8324,0.5727,-0.1487,-0.7559,-1.8187,-0.9682,0.5161,-1.7282,0.1066,1.1605,1.064,-1.4609,1.3143,-1.2714,0.8763,0.3483,-0.1545,-0.829,-0.012,-2.0532,0.4308,-0.0095,-1.5095,0.235,1.4089,0.023,0.1903,0.7402
-2.1283,-0.0256,-0.935,0.0375,1.2761,-0.3289,-0.6902,0.1654,-0.4698,-0.4281,0.6895,-0.7351,-1.6307,-0.4182,-0.6497,1.2785,-1.9401,0.6764,-0.0331,0.6879,0.4621,-1.3431,-0.2637,-0.6457,-2.4805,0.0483,-0.3977,0.9323,-0.0521,0.3798,-2.4136,0.1894,1.7715,-0.1242,0.1749,-1.057,0.3695,2.0524,1.1074,-0.8179,-0.9351,0.1941,-1.1692,0.2734,1.6138,0.0095,-0.6426,0.2121,-0.4573,-0.9892,1.1794,0.1249,-0.3433,-1.093,0.7771,-0.0574,0.1997,0.7292,0.2677,2.9013,-0.7349,-1.1844,-0.9602,-0.5055,-0.8517,1.3761,-0.2756
0.8555,-1.8905,-1.0027,0.653,-0.8786,1.4792,0.9215,0.0189,-0.5752,-1.36,-1.0553,1.0008,2.1583,-0.2656,0.8108,0.5856,-0.2918,0.9525,0.1436,-1.426,-0.5143,0.1552,1.2847,0.9439,2.183,-1.231,0.3629,-0.7294,1.403,0.7276,-0.1499,0.3065,-0.2776,1.6283,0.3948,-0.3435,0.1293,1.8809,-1.0206,-0.0208,0.6952,-0.6215,0.7461,0.3743,-0.0159,-0.774,-0.104,-0.0109,0.5114,-0.6906,1.2652,-0.9798,1.055,0.5649,-0.8749,0.2639,-1.5437,-0.3176,-0.1328,-0.4464,-0.993,0.0648,0.5331,1.5349,0.4294,-1.9424,-0.2697
0.4672,-0.4448,0.8757,0.1741,-0.7085,-1.1147,0.414,-2.2539,0.3728,0.4901,-0.5474,0.4442,-1.4574,-0.3952,0.3394,0.1078,0.3701,0.5864,-0.0353,1.4854,-0.4513,1.6774,-0.3077,-1.4337,0.1115,-0.8171,1e-04,1.1175,-0.0725,1.7453,0.6139,-0.6855,0.4233,-0.3004,-1.4572,-0.8582,0.3598,0.3221,-0.4875,0.254,1.1386,-1.0665,-1.2039,0.3034,-0.3562,1.7441,-1.9174,-2.181,-0.3676,1.3353,-0.6353,-0.5374,1.5533,1.3088,-0.069,0.412,0.0164,0.7918,-0.9463,-0.3671,0.3426,-0.9311,0.8772,-0.0463,0.8871,-1.6427,0.1062
0.4401,-0.9689,0.2305,-0.1935,-1.4736,0.0332,0.4761,0.4549,-1.5459,-0.6317,1.7943,0.7157,-1.6273,-1.1893,-2.5006,0.464,0.5484,-1.0364,-0.5152,-0.3138,-1.7293,-0.4519,0.4208,-2.0348,-1.2626,1.128,-1.1348,0.425,-0.3063,0.1711,-0.1642,0.084,-0.296,2.356,-1.8816,-2.0299,0.1792,0.1932,-0.319,0.0846,-1.1777,-0.2555,0.0918,1.406,-0.7704,0.1991,-1.4499,0.2571,-1.4304,-0.9558,0.9719,0.1742,-0.7603,-1.2496,-0.4104,-0.4328,-1.0209,0.0366,-0.7343,-0.3109,-3.5751,-0.7783,1.2912,-0.8204,0.2557,-1.2912,-0.8606
0.1911,-1.2735,1.0847,-1.2239,-0.4199,0.8866,1.2011,-0.2526,0.1465,1.0046,1.5139,0.5166,-0.4002,-0.6053,-0.5443,0.8587,0.3073,-1.3887,2.1088,-0.7724,-0.9228,-1.0356,2.1019,-0.7391,-0.1094,-1.8452,-0.4646,-1.0485,0.4069,0.2087,-0.395,-0.4292,1.3679,0.793,0.133,-0.3928,-0.0517,0.6874,0.4988,-0.7333,-0.4624,0.995,1.8752,0.3623,-0.6807,0.4784,1.4335,0.3969,0.3231,-0.4324,-0.9285,1.4502,0.1475,-0.6346,1.4717,-0.1364,-0.6162,0.3484,-0.592,-1.6578,-0.1023,-0.082,0.5062,-0.8488,0.4718,-1.8882,1.8814
2.0025,-0.5166,-0.5472,1.999,1.8376,-0.3465,1.841,-0.0657,1.1692,0.7898,0.7632,-1.004,-1.1573,1.3408,0.1475,0.3081,-0.6916,0.2571,-0.5145,1.0872,0.5042,0.6073,2.7418,0.9326,0.1915,1.5777,-0.3829,-0.5436,-1.4509,-0.4867,-0.0459,0.9744,-0.6299,-1.1041,-0.204,-0.2664,-0.3209,1.4928,2.0812,-0.7218,-0.314,1.5861,0.0153,-0.8448,-0.8868,-1.3311,-0.3961,-1.3993,-1.9037,1.8598,1.5245,-0.6613,-1.1221,2.1694,0.1622,0.6152,1.5414,0.3621,-0.2197,-0.996,-1.548,-0.4296,-0.7827,-0.3064,2.3348,-1.955,0.623
