"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23"
1.4178,0.6736,-1.0782,-0.5168,1.4046,-0.0417,-0.8388,-1.1736,-0.679,0.8361,-1.5401,-1.6713,0.7287,-0.1346,-0.8125,0.6659,0.2658,1.1279,0.0623,0.7596,-1.4231,1.15,-0.5857,0.5684,0.9409,0.2204,0.6608,-0.2091,-0.6392,0.7646,0.1251,0.5894,-0.5125,-1.0807,-0.609
0.1728,-0.9969,-1.1559,0.6693,-0.4794,0.9503,-0.5831,0.1398,-0.3291,1.8343,-1.0993,1.0712,0.9538,1.2244,-0.3002,-0.0577,1.0139,0.5326,0.2496,-0.1002,-0.1517,0.1655,-0.2175,-1.3819,-0.31,-0.7213,0.5755,1.6741,-1.6564,-1.4201,-0.8876,0.2818,-1.2889,-1.2039,-0.532
-1.1933,0.6022,-0.755,0.8168,1.0351,0.5423,-1.1897,-1.3163,0.7134,0.6113,-0.0273,2.0238,-0.418,-1.5624,-1.087,-2.6914,-0.2049,-0.0246,0.8199,0.1971,0.2313,1.1262,1.7562,-0.6246,-2.3153,-0.1663,-0.733,-0.8977,-1.1916,0.4074,-1.8732,-0.1708,0.2957,-0.2129,0.0198
0.6065,-0.0385,1,-0.3172,-0.2181,-0.9241,0.2989,-0.4342,0.3457,0.1604,0.557,-0.4932,0.8239,0.3132,-0.2683,-1.7371,-1.0295,-0.7952,1.7925,-0.3992,0.2074,-0.2813,0.5648,0.8396,0.3841,-0.572,0.647,-0.4408,-1.2666,0.2981,0.4473,1.3393,1.3295,-0.0649,0.1055
-0.4458,0.3072,0.0092,0.7803,0.0025,-0.1794,0.3317,-0.8045,1.2679,1.2217,0.4308,0.229,-0.744,-1.2183,0.0066,-0.2805,0.5312,-1.1351,-0.2652,1.1454,0.6797,-0.667,0.8399,-0.1824,-1.3963,-1.0242,-0.3042,0.4468,-0.7224,-0.8642,1.4062,0.984,-0.3373,0.6327,-0.2963
-0.7989,-1.1518,-0.9297,1.1732,0.5747,0.3368,-0.2464,0.3874,0.753,-0.6059,0.3394,2.0428,1.2404,0.0859,0.2857,0.879,-0.7749,0.5801,1.7074,-0.2586,-0.0977,0.3377,-0.2514,-0.9699,-0.2417,0.2187,0.479,1.1353,0.1335,-0.8996,0.3066,0.6591,-1.5973,-0.5477,0.29
-1.0956,-0.9693,1.0076,0.2249,0.5106,0.5092,-0.6058,-0.6053,-0.482,-0.4167,0.1336,2.8734,-0.5053,-0.4824,0.1566,0.7856,-0.1986,0.518,0.2399,-0.3332,-0.5034,-0.0513,0.6861,1.0517,-0.6393,-0.3173,-0.6802,-0.1462,0.5475,2.2452,0.5241,-0.2002,0.0487,0.5585,-1.7048
0.6893,0.4815,0.8296,1.5928,-1.2815,-1.1233,0.0795,0.0248,-0.2742,-0.5093,-0.648,-0.2322,-0.1856,-0.9309,1.455,-1.3123,0.0114,0.2077,-0.9091,0.7583,0.7,-0.9752,1.5971,1.4154,-1.1154,-2.526,1.021,-0.3903,-0.3087,0.0933,0.3225,0.4085,-0.1727,1.1341,-0.0197
-1.5117,1.4594,1.5844,-0.0687,-0.258,-0.3846,0.4354,-0.2082,1.4159,0.1789,1.4737,0.8086,-2.1476,-1.4723,1.2756,-0.6078,1.1659,-0.4834,-1.3426,0.2667,0.2717,0.2249,0.0843,-0.6714,1.0864,0.5695,0.2114,0.6015,-2.089,-0.8859,0.372,-0.1909,0.2177,-0.7701,0.4534
0.4561,-1.3626,0.3239,-0.2217,0.5053,-0.9509,0.9803,-0.4477,0.2017,-0.0886,-0.155,1.0028,-0.734,-1.302,-0.2488,0.0484,1.5635,-0.3856,1.0514,-0.193,-0.8952,0.7678,-1.123,1.5733,-0.3902,-0.6506,2.5568,1.729,-0.8716,0.7141,-0.5657,-0.0314,-1.8262,-2.3238,0.2262
