"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NS47","NS48","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6"
-0.9974,-0.7128,-1.4398,-1.0601,0.4621,0.8805,0.2658,0.0775,0.0709,-2.1226,1.8122,0.594,1.296,-0.0256,0.6199,-0.4621,0.1457,1.8997,-0.0735,-0.3906,0.7472,1.0391,-1.0926,0.5916,0.7361,-1.068,0.5755,0.0455,0.1877,-0.4712,-0.4548,-1.3515,-0.5915,0.3645,-1.3381,0.735,-0.139,0.3974,-1.8576,-1.7774,-0.5014,-0.1194,-0.3953,0.0248,-0.9457,-0.8741,0.5964,-0.3348,-0.7286,0.717,-1.0367,-0.9548,0.6928,-1.2541,0.4146
0.3569,0.5305,0.4859,-0.3441,-0.9596,-0.8565,1.2544,-1.3748,-0.9132,0.3441,0.9505,-1.0509,1.7222,1.1601,-0.4901,0.5543,1.4201,0.5225,0.5674,-1.2596,1.2399,0.8216,0.907,-0.6369,-0.5595,-0.9864,0.1705,0.5261,0.0537,0.7426,-0.4256,-0.3016,-0.1277,-0.9263,0.5466,-0.2905,-1.1171,1.0168,-2.1391,0.0079,0.134,0.474,-0.9342,0.9579,-1.6214,-0.4593,0.7977,0.8002,0.0409,0.5533,-1.6876,-0.6841,-0.0794,0.8298,-0.3859
-0.3974,0.8257,0.9606,0.3176,0.002,-0.2988,0.5077,1.1224,1.171,1.1479,-1.0851,0.7374,-2.5962,0.4808,-0.9212,0.4662,-1.1926,-0.413,0.7609,0.7318,-0.8552,-0.1696,-0.101,-0.739,-0.725,-0.9128,-0.5571,-0.3928,0.4607,-1.2394,0.666,1.1891,-1.6079,-0.4383,-1.0242,0.0898,0.6707,0.4393,0.3489,1.0295,0.8062,-1.3934,-1.8671,0.6723,0.5896,-0.5227,0.7307,0.2897,0.429,1.3259,-0.6518,1.0553,0.4241,-0.7137,0.6137
-0.7665,-1.4073,-0.7217,0.6413,-2.1468,0.3035,-0.6591,-0.2729,0.8136,-0.412,-1.8429,0.8527,-0.1478,-0.858,0.2077,0.0407,1.6869,0.1784,0.6216,2.0911,1.3698,0.4261,0.4874,-1.8077,0.2687,-0.0917,-1.1619,1.1405,-0.9148,-0.8783,-0.4634,-0.8536,-1.9157,-0.0036,-0.8455,-1.5133,-0.1566,-0.2217,0.9591,0.6658,-0.5994,2.818,-0.2127,-0.8083,-0.6176,-1.2472,-0.3577,1.2284,1.7346,-0.3916,0.6402,0.2973,-1.561,0.1123,0.4904
0.4689,-0.0997,0.3957,0.3459,0.3211,-0.0244,-1.5165,-1.2251,0.5264,-0.9299,-0.5282,1.1292,1.3632,-1.5893,-0.9395,1.3963,0.5001,-0.8514,-0.2088,0.5556,0.2696,-0.219,-0.4645,-0.9641,-0.3946,-1.2863,1.5528,-0.4148,1.6262,1.4637,2.0995,-0.991,1.8198,-0.2088,0.7169,0.0982,0.5897,0.2873,-0.7061,1.412,-1.0789,-0.4317,-0.488,-1.2151,-0.2214,1.4274,-0.3333,-0.1623,1.3458,0.4012,-2.052,-0.0658,2.1382,1.1823,-0.2349
-0.2583,-0.8415,-2.1544,0.1059,0.292,0.8952,1.3085,1.8587,1.0594,-1.4615,-0.8877,0.9987,-0.3502,0.7065,-0.6809,-0.3327,-1.1105,-0.4011,-0.3846,-1.8346,0.0859,-0.329,-0.0243,0.1151,-0.9855,0.2288,1.0808,-1.3638,0.1812,-0.2568,-0.398,-0.6679,0.3911,-0.5496,0.225,-0.3879,0.4804,-0.7645,2.1653,-0.0973,-0.3891,-0.5421,-0.7579,1.9587,-1.2064,1.3289,1.0646,1.1539,-1.102,1.7862,-0.3568,1.2056,0.844,1.2971,-0.637
-1.4313,1.2347,1.0767,-1.5923,-1.1724,-0.7473,-2.1217,-0.7226,1.4326,1.2204,0.155,0.5933,-1.6057,-0.134,0.6841,-0.3977,-1.2551,-0.0824,0.8331,0.76,-0.0692,-0.0456,0.7231,0.1486,-1.3433,0.0538,0.3143,0.4078,-2.6393,-0.257,0.2138,1.5428,0.7366,-0.9988,-0.6924,-0.1506,-0.9093,-1.1884,0.2787,-0.7758,0.0351,-2.149,-0.0386,-0.3422,6e-04,0.169,-0.6302,-0.5071,0.9719,1.0449,-0.3878,0.4373,0.9191,-0.2734,0.5326
-1.1287,-0.2355,-0.4677,-0.265,1.0021,-1.0699,0.4921,-1.2606,-0.576,-0.6794,1.3636,0.2518,1.0911,0.6561,-1.2872,-1.9349,0.1384,-0.1568,1.3331,-0.1389,0.1677,-0.3348,-0.2913,0.1322,-0.608,-1.5208,0.3363,-2.3259,0.1422,-0.8122,1.508,1.6905,-1.9723,0.0016,-1.6679,1.2902,-1.0445,-0.2131,-0.1679,-0.2222,-1.1701,-0.3373,-0.0702,-0.7626,1.6342,-1.5774,0.4325,-0.9788,1.3006,-0.5958,-0.4016,1.9613,1.3654,1.3482,0.6971
0.9881,0.7589,-0.8169,-0.2355,-0.366,0.1497,0.4167,0.1376,0.148,-0.326,0.2528,0.5479,0.2275,-1.0584,0.9947,-0.3365,-0.4854,0.4537,1.2573,-1.9686,0.8938,0.703,-0.9667,-0.7668,0.6852,1.8166,-0.7524,-0.2468,0.9204,1.1087,0.6767,-1.0628,1.6326,-0.8037,0.6556,-1.4658,-0.0891,-0.5231,-0.3043,0.3571,0.0261,-0.7137,1.669,1.1287,0.1435,-0.5529,-0.0753,1.7189,0.4599,0.341,0.2324,-1.2566,0.058,1.3465,-1.3478
1.1406,-0.4863,1.3595,0.7919,0.7229,0.3261,-1.4113,-1.0264,0.0457,-1.4812,-0.3001,1.4418,0.929,1.4486,0.2004,0.2603,0.519,-0.1877,0.3435,-1.561,-1.3859,1.1949,0.2196,-0.0352,0.8412,-0.7512,-0.8381,-2.0047,-0.3466,0.1776,-0.0452,0.1688,0.1109,0.0513,0.996,-0.7752,-1.0117,0.7034,2.246,1.2121,1.5501,-0.1801,1.4096,0.2587,-0.4144,-0.1103,0.822,-0.7235,-1.2497,0.3581,0.4851,0.5471,-1.9525,0.0662,-1.0304
1.8383,0.2926,1.5687,-0.598,0.2323,-1.2468,-0.9532,-1.487,-0.4049,-0.1723,-0.0257,-0.2905,0.6861,0.2428,0.6858,-0.6146,1.2622,0.8373,-0.1255,-0.7896,0.3507,0.3799,-0.2026,1.3598,0.6547,-0.3898,-0.9179,-0.533,1.329,1.1484,0.4703,0.961,2.1738,-0.4243,-0.8634,1.1701,-0.7201,-0.9387,0.0458,0.4183,2.023,1.5275,-0.4025,-0.9162,0.1293,1.2637,0.3125,0.7629,0.7047,-0.5438,0.5418,0.0524,0.0334,0.5088,-0.1675
-0.6533,0.4711,1.0237,0.0066,0.8755,2.3689,-0.9025,1.1325,-0.1617,-2.1617,-0.2627,-0.4005,-0.4511,0.9324,-0.0159,-1.5082,0.5924,2.2928,0.7271,-0.7233,1.7567,-0.5852,-0.5799,-0.4777,0.086,1.8739,1.0012,-0.6207,-0.4226,1.8575,-1.5495,0.3509,0.7259,-1.3049,-1.5992,0.5354,1.0187,-0.541,-1.2375,-0.895,-1.3598,-2.069,0.0453,-0.9915,0.7844,-2.2034,-1.4309,-0.3928,-0.2639,-0.4921,-0.5858,0.8046,-0.468,0.2069,0.7009
0.0196,-0.2023,0.367,0.7652,0.0046,-0.6155,-0.7203,-1.7191,-0.8835,0.4988,-1.3109,-0.6073,1.2387,-0.5933,-0.8769,-0.4712,-1.8759,0.2072,-0.2485,-0.4033,1.802,-1.0487,-0.0429,-0.3791,0.3176,-0.4664,1.6438,1.0246,-0.1375,-1.1487,-2.13,0.2328,1.7289,-0.3452,1.2504,-0.595,1.0949,2.6114,-0.7737,0.4891,0.6221,0.4122,0.3143,-1.643,-0.2843,2.1114,-0.9009,-0.4222,1.6234,2.2549,-0.1919,0.0651,-0.9407,-0.1608,-2.2968
-1.9306,-0.1441,-0.855,-0.4142,0.2324,1.2148,0.7596,-0.1607,-0.2886,-1.5414,-0.847,-0.0809,0.0904,-1.6523,-0.9007,0.2573,-2.338,-0.8193,0.0458,-1.2097,-1.1116,0.0428,0.4014,-1.0666,-1.8232,1.3043,0.4267,-1.3085,-0.42,0.1958,-2.1808,0.0169,0.0374,0.1014,0.8055,0.5933,1.8361,-1.1096,-0.1509,-0.5498,1.4553,0.3867,-0.0121,0.977,-0.0367,0.2982,-1.0749,-0.9653,-1.0408,0.4477,-0.0718,0.7673,1.1079,1.7349,-0.8255
0.2658,0.2284,-0.8377,-1.0487,-0.1993,0.2798,0.6458,0.887,-0.5826,-0.4467,0.0517,0.1814,0.4541,0.2581,-0.1334,-0.6734,1.5294,-1.2608,1.1248,0.5185,-0.3273,-0.3299,2.2166,-1.0179,-1.5448,0.7389,0.3858,2.6273,-0.2465,-1.0268,2.1018,-0.4552,-0.6751,0.1481,0.8117,0.9282,0.2511,0.5255,0.9463,-1.5592,-0.5227,-0.9127,1.1271,-1.4843,-1.2468,-0.3856,-0.067,-1.0878,-0.1819,-1.0062,-0.7834,0.4761,0.6281,-0.7719,0.1552
-2.0858,-0.4537,-0.6946,-1.9267,-1.1645,-0.2038,0.1524,-2.0897,0.8053,1.0538,1.017,-0.515,1.6806,-1.7009,-1.2509,-1.0698,-1.1281,1.2268,-0.0262,0.0841,-0.2557,-0.5725,-2.0965,0.2329,-0.0973,-1.3189,0.7001,-1.9661,1.2462,0.3869,-0.1349,1.368,-1.3428,-0.0475,-1.4582,-0.383,-0.064,0.6579,-0.2219,-1.117,-0.3351,-0.5066,-0.1733,-1.3474,2.503,1.1007,-0.0184,-0.9833,-1.6024,0.793,-0.7398,1.3241,-0.1863,-0.3494,-0.2387
0.7501,-0.9094,0.8718,-0.8445,-0.2523,1.0218,-0.4058,0.636,-2.9706,1.1127,-0.6888,-0.225,-1.5113,-0.472,-0.2148,1.3984,-0.1979,-0.5688,-0.6235,-0.6003,0.7,0.4251,0.5574,-1.1009,-0.0371,0.7643,-0.3092,-0.2157,-0.4374,-0.1359,-0.6964,0.3122,-0.9253,1.9647,0.4162,0.6797,-0.2055,1.1227,0.5722,1.1515,0.2802,1.079,1.6505,1.2479,0.8338,-0.641,0.6391,0.9097,0.5095,-0.2825,0.1909,-0.996,-0.3407,0.278,0.6618
-0.2103,1.0902,-0.9197,0.1526,-1.3946,2.9645,1.2253,-0.278,0.628,0.5508,0.6722,1.2403,-0.5091,1.9389,-0.2242,0.6371,-0.0071,-0.3152,0.9944,1.3634,0.9033,-0.2644,-1.1637,-0.4335,-0.8733,-1.2888,-1.0204,0.4073,-1.5923,-0.5985,0.7443,-0.6835,-0.7641,-2.2987,-0.4911,0.7528,-0.0956,0.92,-2.8443,0.1856,0.4509,-0.5589,-0.1972,0.0513,0.8333,0.3625,-0.1923,0.863,-1.4596,0.471,-1.2942,1.1939,0.9475,-0.4984,-0.6967
0.3184,0.8429,0.3709,0.3249,0.3959,0.1465,1.5522,-0.2192,-1.2533,0.3588,1.0602,-0.6407,0.6764,-0.13,2.3612,1.0215,-0.3028,0.5604,-0.3815,1.1199,0.9672,-0.4565,-0.0906,1.2105,1.4495,-0.1454,-0.175,-1.4772,0.7999,1.0706,0.9865,-1.609,2.4623,1.4384,1.4437,-1.4879,-1.7714,-0.4949,0.6247,-0.7128,-1.592,-1.6062,-1.9385,-0.6982,-0.1371,-0.3745,-0.2069,-0.3677,-1.149,-0.0876,-0.8824,-1.9275,-0.4111,-0.62,0.0478
1.2137,0.4008,1.8313,-0.095,0.5981,0.6098,-0.1609,-1.1504,-0.4505,1.4197,0.9405,-0.6529,-0.5473,0.032,0.0843,-0.5593,0.6027,-0.1632,-1.1752,1.7645,0.9794,1.0281,1.6019,1.1777,-0.0975,-0.292,0.732,-0.4636,1.2287,-0.2244,-0.2658,-1.2318,-1.2906,-1.0482,0.0461,-0.7064,-0.2988,0.0865,1.5171,0.2544,1.7084,-0.6801,-0.7602,0.2856,-0.555,0.055,-1.3152,2.0512,0.2498,-0.0575,-0.6263,1.1193,1.4906,-1.3705,0.248
1.1,0.7274,0.4848,0.791,1.5944,-1.0024,0.7623,-0.6375,-0.3824,1.1386,1.2443,0.8011,-1.7577,1.399,-1.6547,0.1747,-1.1239,0.1214,-0.0384,1.529,1.2145,0.0918,-0.9754,0.2877,0.0588,0.055,-0.0061,0.2825,0.4728,-2.0827,-1.5724,1.3248,-0.4774,0.0483,0.804,1.004,0.807,-1.8484,0.4999,-0.0225,0.5015,0.9111,1.3344,-0.3444,0.7389,0.0739,0.7194,0.3019,0.2979,-0.6078,0.4622,-1.0621,0.2005,-0.5419,0.965
-1.1592,-0.3359,-0.0794,0.6248,-0.6663,0.5103,1.1363,-0.7886,2.3963,-0.9225,0.7295,1.0119,-1.2436,-0.0952,0.0641,1.1552,-0.9179,0.3762,-0.2205,-1.4297,-1.6357,0.2406,-1.474,0.1445,0.2145,0.1577,-1.5158,1.4981,-0.7897,-1.2159,-1.3783,-0.1261,0.7516,-0.6371,-0.127,-0.5657,-0.3798,0.5832,-1.8732,1.1587,-0.0763,-1.6254,-0.5397,-0.8983,-1.0041,-1.9022,1.6836,0.1512,0.8248,0.7448,-0.0841,-0.1581,1.1473,0.0478,1.0647
1.1588,-0.3968,-0.2456,-1.7201,-0.2064,-0.3928,-1.196,-0.1802,-0.8167,-0.0877,-0.021,-0.6425,0.9619,0.738,0.3186,-0.5406,0.8962,1.1051,0.642,2.3658,0.9238,0.5814,-0.8248,-1.1362,-0.8987,0.6415,0.4418,1.6852,0.0623,-0.2701,1.3069,0.6665,0.2556,-0.5838,1.9604,0.0075,-1.1671,-0.9244,-1.3884,0.6066,-0.1607,-0.7339,0.692,0.3494,0.9361,0.6495,0.6056,1.8189,5e-04,-0.5618,0.4334,-1.5783,1.7503,0.812,-0.198
0.4348,-0.4711,0.5008,-0.3947,-1.3343,1.8231,1.082,-0.8945,-0.7298,0.1008,-0.5084,-1.2416,-0.1402,-0.1458,-0.7104,-1.7775,-1.3591,-2.2078,1.3839,-0.405,-0.089,-0.0906,0.2121,1.1236,0.0938,0.9467,0.1181,0.3946,1.5259,-0.4728,-0.8662,-1.0005,-0.1194,1.2228,-1.4618,-0.7329,-0.8316,-0.2478,0.4443,2.6778,-0.8652,0.5992,-1.3028,1.4496,1.1828,1.1828,1.1938,0.2735,-0.2818,-1.4311,-0.8085,0.371,-0.4816,-0.4738,-0.3598
0.9405,-0.5801,-0.8505,-1.497,0.157,-1.9982,0.8222,0.1316,0.5824,-0.6748,-1.0613,0.0891,0.0362,0.6428,-0.3306,-0.7713,-0.3937,1.4037,-0.7004,-0.5298,-0.4143,-1.5982,2.4525,-1.4168,0.6531,0.0666,-0.0734,0.8533,-1.1605,0.0682,1.703,0.6899,1.3777,-0.3085,-1.1394,0.1109,-0.4781,2.7892,-0.3951,-1.8473,0.4213,0.4648,0.8821,1.7561,0.0386,1.404,-0.589,-0.4129,1.0889,0.7608,1.4285,1.5438,-0.4378,-0.512,-1.4919
0.1986,-0.5312,-0.8149,0.8637,-0.2564,-2.5298,0.4335,-1.2856,0.0447,1.2607,0.1714,-0.8208,0.2335,0.0361,-1.1814,0.5453,-0.0169,0.3197,1.4408,-0.1621,1.6894,-0.4002,0.4662,1.0834,0.6301,-2.1604,1.1363,0.0765,1.5801,-0.1991,0.7555,0.8083,1.0301,-0.7988,-1.0683,0.5139,-1.3205,0.1038,-0.9047,-0.2859,0.1301,1.3092,-1.3528,-0.6224,0.7619,1.1809,-0.9627,-0.8786,-1.3935,0.2201,-2.2654,-0.6467,0.6079,-0.6443,-0.7797
0.119,-0.0621,-1.136,-2.322,0.1135,0.6215,-0.0546,-1.7673,-1.7494,-0.8266,1.9854,-1.0299,1.6754,1.0404,0.8327,0.4044,0.0514,-0.1477,-0.6363,-1.102,-1.0577,1.7188,-2.167,-0.99,0.8417,0.6285,-0.3413,-0.4218,1.0975,1.6441,-0.1348,1.8086,-0.1765,0.5775,0.2424,-0.6141,0.1902,1.5031,-1.3804,0.0563,1.9714,0.3137,0.8935,0.5028,0.9732,-0.62,0.2263,-0.2543,-2.2159,-1.5621,-0.8215,0.5534,1.0238,-1.2579,-0.4496
-0.2933,0.6849,1.0303,-0.4377,2.5933,-0.3957,0.8093,0.4022,-0.9492,-0.9857,0.1459,0.9907,-0.4915,-1.4158,0.9161,0.0297,0.6995,-1.2214,0.4414,-0.2892,-1.4186,2.0115,-0.9984,-1.3026,2.1061,-0.2713,-1.3376,1.7607,0.1403,-1.7196,1.1817,-1.6726,0.4399,-0.7092,-1.0584,-0.5708,0.4764,-0.6293,0.1846,-0.0883,-0.0658,-0.5694,1.8494,-0.6129,0.2138,-0.082,0.7642,0.5412,0.2595,2.0405,0.6002,-0.2675,-1.9483,1.6258,0.0888
