"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32"
-0.5039,-1.8944,0.1721,-0.6325,-0.0554,-1.2729,-0.9963,1.1656,0.8251,-0.4634,0.5258,-0.4532,-0.8096,-0.4401,0.9399,-0.0963,-1.1531,-0.1215,-1.4922,-0.9484,0.2765,1.037,-0.7103,0.5175,0.6101,0.7436,-0.2941,0.4251,-1.4958,-1.5805,1.4355,0.407,0.6487,0.649,-1.8003,1.0763,0.9623,-0.3129,0.7833,1.1149,0.3026,-1.0388,-0.5165,-0.0721,-0.5332,-1.629,-1.8361,-0.524,-1.1463,0.5494,0.8762,0.6049,-2.6552,-1.3427,0.6719,-1.4785,0.6341
-0.2336,1.3457,0.0157,-1.5707,-0.2221,0.6966,0.798,-0.616,-0.5319,-0.3829,1.0235,0.0398,2.0438,0.3658,-0.0802,0.8131,-0.8628,-1.3479,1.033,0.6942,-0.1588,-0.7322,0.3676,-0.0486,1.6261,-1.1379,-1.7092,-0.8342,0.3521,-0.2422,-1.4008,-0.5054,-0.2984,0.6674,0.6851,0.2442,-0.0877,-1.3442,1.5941,-1.3495,-0.4523,1.2969,1.5543,-0.6433,0.2208,-0.1528,-2.1242,1.1057,-1.0087,-0.2914,-0.136,-0.5976,0.5862,-0.1798,0.0796,0.8752,0.791
0.9541,0.1338,0.1202,0.867,-1.1727,0.8252,0.9198,0.4941,1.3279,-0.7711,1.0877,-2.1958,0.8116,-1.4305,1.395,-0.6689,-1.2046,3.25,0.6352,-0.8903,-0.8905,-1.3649,0.5186,-0.6588,0.7494,-0.894,-0.3982,-0.0921,0.9189,0.0579,-0.6305,-1.4647,-1.4596,0.1966,0.7407,0.9896,0.2352,0.2291,-1.1024,-0.2075,-0.9337,0.3924,-2.0901,-1.0847,-0.7662,0.3494,-1.2138,-2.5475,1.0071,-0.9584,-0.2522,0.2182,1.2374,0.5952,1.5008,-1.9355,-0.2594
0.8075,-0.5753,0.3251,-0.694,-0.8465,-0.3139,1.6388,-1.0415,-0.139,-0.429,-0.7266,-0.9164,0.3738,-0.121,0.3049,1.0075,0.767,-0.8535,0.5847,0.6292,-0.0887,0.0124,0.7554,-1.0053,1.2386,-0.5421,-1.3495,1.4222,-1.5317,0.1864,0.0466,-1.168,-0.553,0.0092,-0.2817,0.2363,-0.0839,0.3795,-1.535,-0.2572,0.4173,1.216,0.8659,0.1298,2.5714,-0.8738,0.7612,-0.4629,1.6893,-0.9813,-0.362,-0.2139,0.3744,0.5913,0.0702,0.1982,-0.3598
0.2758,0.128,1.0857,-0.1387,-1.2798,-0.072,-1.0179,2.2301,0.12,-0.483,-0.5595,0.5148,-0.0948,-0.0259,-1.2352,-0.3745,-0.0176,-0.3841,0.1673,0.3982,-0.5982,0.8128,-0.9808,-1.5795,1.571,-0.7063,-0.2699,-0.9433,0.8077,-1.2725,1.3569,0.8995,-0.9887,2.3834,-0.0849,-0.1806,1.5583,-0.2775,-0.6126,-1.8747,0.6962,-0.7913,-0.4736,1.181,-0.8715,0.7863,-0.528,0.1512,-0.1683,-0.5785,0.9589,-0.4307,0.3351,-0.1997,-1.0005,0.1373,0.7353
-0.4428,-0.8747,0.3619,-0.8005,-0.0888,-1.0987,1.9058,1.3203,0.402,-0.9478,-0.5345,0.0203,0.0205,0.0298,-0.6855,0.4154,-0.8885,-0.1535,0.4618,0.4501,1.3475,-0.4583,-0.3487,-0.9785,-1.2028,0.9534,-1.0263,0.9268,-0.8696,-1.0966,0.0658,-0.1655,0.2952,-0.2444,0.4966,-0.9672,-0.4012,0.8734,-0.274,-1.2746,1.4239,-1.6962,0.5844,-2.1772,-0.4993,-0.3183,0.8071,1.4092,-0.9691,-0.3762,-0.4393,0.366,-0.1249,-1.4317,1.1038,0.6096,1.9065
-0.5743,0.5277,1.2854,-0.5566,-0.4645,0.2224,-0.6085,0.7143,-1.0619,0.0144,-0.3651,-0.533,1.3333,0.8159,1.1782,-0.5077,-1.425,1.3582,-0.1608,0.5966,-0.4868,-0.5101,-2.0124,-1.0028,-0.1069,-0.954,-0.8898,-0.0099,0.7874,-2.0127,-0.3515,0.8135,-0.7867,1.0247,-1.5491,-0.6478,0.4026,0.6849,-0.4484,-0.4187,0.2727,1.4751,-1.1303,1.0702,-2.0865,0.8401,1.2738,-1.6433,-0.7371,0.3342,0.0764,-1.3309,0.4827,0.2053,-0.5182,-0.8309,-0.4871
0.2736,-1.467,-0.0146,-0.8769,-0.2418,-2.5461,-0.7456,1.5885,-0.8043,0.3594,0.1102,8e-04,0.5402,0.9474,0.083,1.1959,1.2199,0.2066,0.8968,0.0544,-1.2919,-1.5957,-0.9781,-0.823,1.6769,0.6894,0.1574,-0.042,1.3776,1.5583,1.2035,0.0746,-0.6573,-0.5925,0.7497,-0.026,-1.2497,-0.0108,-1.6105,0.4712,0.0933,0.0905,-0.0863,0.9864,-0.1685,-0.1901,-0.4179,-0.0919,-0.7215,0.8376,-1.1025,0.0776,-0.804,0.5217,-2.4542,0.1022,0.2582
-1.2397,1.0692,-0.1564,0.5192,-0.1048,-0.4511,-1.6691,0.6411,-2.0102,1.094,-0.2572,2.0074,-0.4429,0.9221,-1.2819,-0.8418,-0.2337,0.0063,-0.5034,0.0384,0.2238,0.1667,-0.1452,0.6006,0.6853,1.3831,2.2919,-0.1487,-0.0081,-0.9452,0.2757,-0.2704,0.5005,-0.0355,-0.685,-1.4697,-0.1456,-0.698,1.1914,-0.341,2.2187,1.3875,-0.8426,0.5193,-0.8905,0.0912,-0.0783,-0.5929,-0.5453,-0.2615,-0.0393,-0.215,-0.6878,0.3928,1.4894,0.118,0.7856
0.8426,0.2473,-1.007,-1.6407,-0.2818,-0.6019,-0.3089,-0.2784,-2.4172,0.0713,-1.5071,0.4903,1.9362,0.4662,1.5469,-1.2998,-0.1455,-1.7837,-1.5002,-1.0583,-0.5752,0.6531,-0.7422,2.3348,1.1061,-0.1765,0.0719,0.2763,0.3251,-1.997,-0.2513,0.8445,1.9184,0.4602,1.3639,1.7375,-0.5704,-0.5188,1.032,-0.2521,-1.4587,-1.1208,1.1686,0.4542,0.2724,0.559,-0.79,0.1692,0.6423,-0.4598,0.1048,0.3032,0.5716,1.5249,-0.5894,1.6451,-0.3749
-0.6328,1.3993,0.1348,-1.5355,-0.576,1.4589,-0.2827,-0.1929,0.4379,0.2495,-0.7648,1.744,-0.3697,0.1155,1.9176,0.4553,0.8167,1.1974,-0.2723,0.0653,-1.0127,-0.4405,0.6753,0.7023,-0.9731,-0.1664,1.3708,-1.1175,1.322,0.1139,0.0225,-0.6328,-1.7542,-1.2635,0.8625,0.8607,0.4419,0.1195,1.0186,0.0819,-0.5207,-0.8206,0.896,0.7454,0.8737,-1.1396,-0.8728,2.0625,0.1001,-1.4215,-0.1091,1.1084,0.0786,-0.3884,-0.0782,-0.5651,-0.2106
-1.7366,0.3021,-1.0278,-0.1816,0.1134,-0.1354,0.0304,-1.8838,-0.7896,-0.3996,0.9841,-0.7015,0.4385,-1.6352,2.6879,-0.1124,0.2125,-0.2816,0.22,2.641,-0.1343,1.6239,0.3196,-0.66,-0.008,-0.1135,0.7792,-1.0725,-0.9913,-0.2409,1.5237,0.9239,0.0728,-0.3529,-1.895,0.2463,0.4151,-0.2664,-0.7639,-0.2408,0.8356,-0.5237,-0.0658,1.3418,-0.7747,0.6871,1.3684,1.6183,0.2962,-0.7526,0.3289,0.6272,0.7237,0.0579,-0.7004,-0.3903,0.9967
0.5264,0.3036,1.7675,0.8638,1.7319,1.3963,1.1411,-0.1279,-1.0577,-1.068,-0.3117,0.2274,-0.6738,-0.8268,-0.63,0.3369,-1.3569,-0.0849,-0.4595,-1.2371,-0.5895,0.2425,2.0962,0.2168,0.4175,-0.1936,-1.4073,-1.4875,-0.5093,-2.0447,-1.2768,-1.1969,-0.9306,-0.0109,-0.6644,-0.7184,1.5095,0.5829,-1.1855,-0.9356,-0.7966,-1.2229,-1.3591,-0.0433,0.4969,-0.7502,-1.8708,1.594,-1.32,1.8005,-0.1082,-0.2812,0.312,1.6389,-0.6662,-0.0294,-2.1853
2.6058,-0.6196,-2.5355,0.7406,0.1067,-1.0007,-0.6908,0.0734,-0.3817,-1.1963,-0.2934,-0.9367,0.6507,-0.7352,-1.3347,-0.0919,-1.3809,0.7791,-0.4491,-1.3491,0.755,-0.0934,-0.1077,-0.0267,-0.1288,0.2581,-0.9526,-1.4269,1.3282,2.088,1.3881,0.3325,-0.647,-0.497,-0.7121,-0.946,0.3022,-0.0225,0.571,-0.2705,2.1857,2.318,0.2894,0.1169,-0.887,0.852,0.759,1.585,-0.3964,1.398,-0.0689,1.1654,2.1588,0.539,-0.8695,-0.3975,-1.5283
0.1335,1.1295,-2.3656,-0.5572,-0.3405,0.9682,0.4055,1.2163,-1.2691,0.3097,-0.5252,1.3683,0.3308,0.4256,0.9779,0.7323,-0.007,1.077,-2.7066,-0.0706,-0.9142,0.8325,1.4432,0.3921,-0.8161,-0.5383,1.4524,1.8704,-0.2676,-0.3417,-0.1708,-1.8705,0.854,0.4746,-1.9914,0.4151,-1.1794,0.0675,1.2665,-0.7864,-1.5212,0.3256,2.3929,-1.6493,-0.0622,0.401,-2.0408,-1.1034,0.7916,2.6354,0.9675,1.2999,-0.1139,-0.3943,-0.024,-0.9008,-1.1527
1.6168,0.2004,-0.4584,-0.6099,-0.7775,0.0475,1.3558,0.2622,-0.1868,-2.264,0.9234,-0.5152,-0.0097,-0.5438,-0.3984,-0.511,0.0563,0.1501,-0.0067,-0.9057,0.3967,-0.8614,-1.1165,-0.3717,0.1082,-1.1791,0.3672,-0.0589,-1.4182,0.3954,-0.4369,-1.6122,0.1196,0.3947,0.5799,1.6742,0.2098,-0.9439,0.6314,-0.2725,0.7771,0.7549,0.0209,2.1841,-1.3067,-0.2365,1.2908,-0.9996,-1.3093,-0.0967,-1.1911,0.3054,1.2662,0.0934,0.3043,-1.4824,1.0379
1.3921,1.3939,-0.1506,-0.8236,2.3462,0.9198,1.0956,0.0923,-1.8992,-1.6672,0.6196,-0.2785,0.1531,0.584,0.426,-1.9708,-0.5064,1.1137,0.0355,-1.1736,-1.131,-0.2926,-0.3831,0.6509,-0.6769,0.9006,0.4215,1.2974,-0.013,-0.0114,0.6013,-0.7456,0.8266,-0.2346,-0.7781,0.1965,0.0241,-1.7886,0.6742,-1.0714,-0.7892,-1.0337,0.0534,-0.3757,0.0242,-0.5512,-0.657,-0.9803,0.3013,-0.3449,0.4089,0.8209,1.3364,0.4136,0.9086,0.1352,0.6642
0.7214,0.0754,-1.9032,0.3035,0.4207,0.1659,0.4705,-0.2555,-0.9705,1.6627,0.6134,-0.6748,-0.7762,0.4785,-0.0382,-0.6012,-1.5231,1.8602,0.326,1.5033,-1.4045,-1.2471,1.6074,0.5307,-0.0491,-0.0162,2.17,-0.3031,-0.7925,1.124,-1.5965,-0.8189,0.9058,0.7768,-0.3859,0.1439,-0.6693,-0.9939,-0.2707,0.8542,-1.671,-1.4442,0.2121,-0.9695,-0.6924,-0.8136,0.6364,-0.3337,0.0756,0.8154,0.4825,-0.1977,0.7067,0.2449,-1.8385,0.245,0.7904
