"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14"
0.858,0.2856,-0.1661,-1.4259,0.2011,-0.3183,1.0107,0.4852,0.7967,0.8823,-1.8232,-1.3143,-2.1574,0.6968,-0.0652,-0.0215,0.0433,-1.8011,0.9221,-0.2831,-1.972,-0.2203,-1.8168,1.1074,-1.4659,-1.2186,-0.5248,0.6647,1.3679,-0.7504,-1.3399,-0.0978,0.3613,-0.2229,1.2163,0.4228,-0.1062,0.8297,0.8697,-0.1408,0.1699,-0.2464,-0.4684,0.1501,-0.1388,0.6182,1.1968,-0.4996,-0.6721,1.14
-1.1929,-1.7412,-0.714,-0.9553,0.7901,1.2443,0.5131,0.0773,0.5852,2.4744,-1.0745,0.2636,-2.8091,-0.1153,-0.3044,-0.6999,0.8024,0.9788,0.3227,0.3515,-1.7477,2.6491,0.5198,-0.0867,-0.1561,-0.4102,-0.0081,0.9406,0.8191,-0.6538,-0.2548,-0.5773,1.3736,1.9241,-0.6151,-0.7384,-0.4346,0.6442,-0.4641,-0.6416,-0.8995,-2.8046,-0.5108,1.5672,-1.656,-0.6112,-1.2228,-0.8052,-2.3532,-0.0729
0.498,-0.2556,-2.0457,1.5107,0.6058,0.5071,1.0294,0.1526,1.9878,1.0225,1.5069,1.8843,0.1728,-0.1697,1.5356,-0.4689,0.6464,0.2843,-0.5622,1.6123,1.4503,-0.0156,0.0323,0.279,0.6913,0.6072,-0.9762,-0.097,1.4041,-0.1558,0.5425,-2.6235,1.6691,-0.1395,0.2997,-1.2068,1.1965,-0.1992,-1.3349,0.2626,0.5329,-0.3762,-0.3473,-1.4651,0.2735,0.3458,1.454,-1.1889,-0.8565,1.389
-1.7557,0.7464,0.2378,1.9479,-1.0667,1.3441,-0.0434,0.5863,1.4728,1.3321,0.9489,0.5645,1.9007,-2.5742,1.008,0.6964,0.9907,0.6712,0.4122,-1.2504,-0.652,1.5139,-0.8757,0.5086,-0.9341,-0.0854,0.5759,-1.4065,0.4855,-0.1855,0.958,-0.5189,0.3196,0.605,1.4071,-1.9186,0.4271,-0.1597,0.0312,1.0158,0.722,-0.9091,2.455,-0.3235,-1.0275,-1.8105,-0.6169,0.8144,-0.5369,0.8944
0.163,0.2183,-0.1003,0.8123,-1.8246,-0.2077,0.6041,-1.1173,-0.2816,-1.3119,0.3573,0.4136,1.8543,-0.49,2.1965,0.1989,-1.5185,0.3752,1.3418,-0.6792,1.3412,0.303,0.231,0.8929,0.5521,-0.9412,-0.9698,1.377,-0.3567,-0.8705,0.0215,0.941,1.0771,-0.1753,-0.2316,-2.5643,-0.7883,0.1541,-0.7719,-0.4228,-0.3514,-0.2366,-0.348,-1.4273,0.1121,0.3345,-1.787,0.8007,0.3913,1.5403
-0.309,-0.7941,0.5485,-0.5377,0.7025,-1.2299,1.459,0.1726,0.8053,-0.6785,-0.5964,0.2875,0.2521,-0.274,-0.1617,0.2632,1.2827,-0.3907,-0.3402,-1.7219,2.9615,-0.3593,1.0629,-0.0137,-0.9679,0.0684,0.5605,2.0919,0.7325,0.6768,0.016,-0.4935,1,-0.2033,-0.3497,0.412,-2.4033,0.4337,-1.4658,-0.3884,-1.6323,0.5159,1.2651,2.0465,0.5617,-0.6567,-0.4317,1.1553,0.544,0.4197
-1.3038,-0.173,-0.8872,1.852,1.5756,1.1648,-1.0241,-0.4589,-0.6275,1.1202,0.7894,-1.0629,-2.0682,1.3588,-0.6928,0.7601,0.8506,2.7561,-0.1854,0.7748,0.2975,0.6157,-0.6797,-0.6199,2.1744,1.1447,-0.3186,2.4725,-0.8223,-0.471,0.608,0.6399,-0.463,1.0017,0.3951,0.0201,-0.246,-0.0859,-0.148,1.2788,-0.8512,0.3045,-0.2916,0.7615,-0.0612,1.1523,-0.1273,-0.2167,-1.2061,1.0113
-1.3058,-1.1314,0.8476,-0.6356,-0.2691,1.1589,0.2235,-0.5777,0.4802,1.2136,0.2863,-0.8217,0.9764,-0.9845,0.3585,0.324,-0.0981,0.9371,0.1149,-0.2206,-1.2768,0.9037,2.5444,-0.4867,0.8474,0.1821,1.1894,0.2355,-0.3705,1.4241,0.8112,1.1692,-1.1833,1.6005,-2.4703,-1.136,-0.08,-0.1718,-0.849,0.3997,1.3932,-0.2942,-0.1964,1.2383,1.2334,3.0258,0.1747,1.1775,0.3336,-0.4571
2.2471,0.4212,-0.8089,-0.5696,-1.8417,1.4153,-0.8487,1.7955,-1.1814,0.7555,1.5052,0.3122,1.1303,-1.0046,0.5907,-1.3537,0.4591,0.6287,0.3541,-1.204,0.3432,-0.3878,0.9278,0.1328,-1.511,-0.9337,-2.3175,-1.6125,-0.4502,-0.5127,1.6286,-0.4562,-1.9469,-0.2239,-0.5759,0.4422,-0.3818,-0.7017,-0.9748,-0.2217,-0.8832,0.1777,-0.7339,0.0904,-0.7218,-1.6008,-0.2488,0.2963,-1.4062,-0.4706
1.1321,-1.2619,-0.8156,-0.712,-1.1807,-0.421,0.8665,0.5287,0.6518,-0.2603,-0.7127,0.6146,0.1306,-0.2216,0.5064,0.2338,0.2395,0.1973,-0.2583,1.686,0.9807,-0.2854,-0.4478,-1.695,0.2371,-0.0508,0.7636,-1.7365,0.4557,-2.1331,0.8179,-0.7467,-0.0962,-0.0763,1.1405,1.8506,-0.7995,2.1796,-0.8412,-0.7842,-1.2858,-0.6679,-0.6565,-0.1884,-0.3659,-1.6551,-0.1365,-1.7763,0.014,0.3048
0.1562,-0.5406,0.489,-1.0407,-0.0984,0.4055,1.485,-0.4048,-2.2463,-1.604,0.8194,-1.756,0.5531,0.9972,0.0822,0.0778,0.1745,0.9967,0.7295,0.3349,0.1803,-0.815,0.2197,-1.1638,0.2104,-0.1726,0.6758,-1.0296,-0.6206,1.0781,2.6373,0.5886,-1.1401,-1.6687,-1.0139,1.4352,0.3762,1.3329,-2.2659,-1.709,-1.159,1.0066,-0.4823,0.5317,-1.0685,-0.295,0.4179,0.3999,-0.4374,0.1037
0.365,-0.7055,-0.2685,-0.1624,0.1252,-1.4517,-1.3287,-0.3645,-1.3336,0.8026,-0.8382,-1.198,-0.0373,-1.5126,0.5585,1.3083,0.1747,0.1151,0.9698,0.7895,0.6272,0.8473,0.0219,0.0255,1.3119,0.6818,0.3622,-0.4131,0.324,-0.8798,0.6559,-0.0869,1.0154,0.2984,-0.525,0.0538,0.8071,0.033,0.8422,0.5072,0.2685,-0.6984,1.122,0.0683,2.5954,1.945,-0.3123,1.3502,-1.0123,0.4874
-1.8502,3.9828,-0.8903,0.8404,1.1968,0.4988,0.3716,0.2858,2.1186,0.2191,-1.032,1.6489,0.2776,0.861,1.3422,0.268,-0.8177,0.8345,-2.3445,0.4156,0.8624,1.1424,1.2397,-0.3473,0.1191,-2.3857,-0.9593,0.2057,0.9811,0.3909,-0.1732,-0.3069,1.3901,-1.037,0.903,0.3491,0.195,0.9222,0.252,-2.1219,0.4372,-0.1058,0.4264,0.3076,-0.5924,0.7399,1.1865,-0.1237,0.1936,0.3061
-0.4273,2.1175,0.9507,-0.4046,0.4012,-1.1924,0.1722,0.7232,-0.2805,-1.3298,-0.5098,0.0522,-1.0356,-0.8966,0.33,0.0287,0.8008,-0.5877,-0.3242,-0.5117,-1.1969,-0.0866,-0.374,-0.0505,0.3936,-0.2968,-1.9031,-0.8055,0.0364,0.5129,1.1335,-0.7435,-0.2733,-0.6666,0.6156,1.202,-1.0482,-2.0185,0.2471,0.1166,0.506,-0.2276,0.1396,-1.458,-1.5984,-0.4847,-0.1323,0.7984,-0.0576,-0.9965
-0.2783,-0.8838,0.9708,0.5573,-0.4481,0.8396,1.3379,1.5886,-0.0275,1.5025,0.9809,-2.0528,-0.3364,0.6917,-2.2188,0.9966,0.1491,-0.2351,0.6291,0.291,-0.2354,-1.1288,0.461,-0.8625,-0.1413,0.3031,-0.3623,-1.6501,0.5424,-1.1646,0.8356,0.5234,-1.3984,-0.8641,1.5171,0.4585,-2.0641,-0.1643,-0.4095,1.8347,-0.346,-1.574,-0.9307,0.2502,-0.2148,0.889,-0.5486,0.7407,-0.3111,-0.0205
0.9832,-0.0079,-0.1297,-0.9992,0.7343,1.033,0.1253,0.5419,-0.6343,-0.9816,0.2363,-0.1624,0.4713,-0.5514,-0.7678,0.1279,-0.5442,-0.3431,-1.1792,1.0982,0.2368,-0.1052,2.1861,0.7062,0.3947,-0.8289,-0.7488,-1.2185,-2.0819,-0.3285,1.6612,-0.4291,0.7924,1.3991,0.8421,-0.7007,1.6029,-0.71,-0.0233,0.5769,-1.1054,0.7158,-2.5946,0.9406,0.1416,-1.8781,0.5424,-0.2223,-0.8,-2.4453
1.65,-1.7166,0.5026,0.0266,-0.331,0.0733,1.0755,0.1439,-0.487,0.5622,-0.9875,1.0554,0.064,-0.5937,-0.2173,-1.608,-2.8831,0.1262,-0.7005,0.4003,-0.2522,0.5904,-1.0936,-0.0234,-0.5774,0.0634,-0.2758,-0.9271,1.3669,-0.5591,1.3017,0.0927,0.0374,-0.3323,0.206,1.2342,1.0516,1.2036,-0.1188,0.45,-0.0046,1.1164,-0.5509,0.7813,1.7533,0.4572,-0.6444,0.5948,-0.8845,-1.9985
0.0453,2.3572,0.7058,0.2917,0.767,-1.7235,0.195,-0.3881,-0.9008,0.1295,-1.0359,0.6992,0.7863,-0.1456,0.2846,-1.697,-0.0264,0.8641,0.6031,-0.829,1.5146,-0.6081,-0.3064,-0.7168,2.5594,0.2464,-1.8782,0.8544,0.3306,-0.056,0.4433,1.5492,0.7904,-0.2927,-0.5731,-2.0582,0.0359,-0.7676,0.0984,0.3741,1.9082,0.9064,-1.7933,-1.6959,-1.0429,-0.1346,-2.323,0.6144,0.8059,-2.9944
0.687,0.6365,-0.3655,-0.913,-0.3933,0.3597,1.3609,-0.3408,0.7434,-1.5454,0.8116,1.1644,-1.0241,-2.6577,1.0441,0.1499,0.1697,-2.5436,-0.5872,1.3575,1.7109,0.8274,-2.1752,1.3209,-0.1777,0.6875,0.9097,-1.5462,-0.7853,-0.5512,0.2604,-0.3402,-0.3727,-0.4828,1.3863,1.7941,-0.5259,-1.6294,0.5575,-0.5599,0.536,-0.905,0.1829,0.7457,-1.0682,0.4188,-1.2028,-1.4025,-1.2333,-0.8462
0.2767,-0.0977,-0.3079,-0.5665,0.3911,0.9953,-0.8118,0.5945,-0.1852,-1.4523,-1.3742,-0.7575,-0.9499,-1.4331,0.2043,1.8367,1.334,-1.2295,0.5485,-0.5175,-1.6946,0.1441,0.9597,1.1472,-1.3852,0.0617,0.3266,0.2414,-1.9755,-0.5046,-0.3315,0.2518,1.0908,-1.1753,-0.8004,0.7117,0.4031,0.2218,-0.0165,0.4168,1.8318,-0.8332,1.6649,-1.3308,-2.2865,0.062,-0.1078,-0.1698,-0.1254,1.8893
4e-04,0.1395,1.1746,-1.5566,-0.1713,0.3212,-2.001,1.1941,-0.8688,0.5168,-1.299,2.979,-1.425,0.5947,-0.4996,-1.8169,-1.641,0.7084,-0.3541,1.0134,-0.8086,1.3947,0.2493,-0.7562,0.7084,0.441,0.6596,-0.6074,1.6086,1.0955,-0.5323,-0.0402,0.6152,-1.1287,-0.9746,-0.6205,-0.6094,-0.8883,1.7415,1.4836,1.0577,-0.2171,0.9995,-0.3723,-0.8125,-1.3001,-0.178,-0.1899,-0.4209,0.2856
1.1545,0.2091,0.2648,0.2727,-1.2681,0.7046,-0.6966,-0.5032,-1.2206,-1.9753,-0.7841,-0.3905,1.3229,-1.7725,-2.5966,-1.4656,-0.2284,-1.1831,-0.2,-1.4949,0.1979,-2.4165,0.803,0.1965,-0.3939,-0.7245,-0.5261,-1.0863,1.0583,1.5757,-0.5263,0.4044,0.2702,-2.4268,-0.874,1.1933,0.5558,-0.0172,0.5434,-0.351,0.2449,1.4139,0.4229,-0.2342,-1.6589,-0.2017,1.3239,1.1775,-0.0111,-0.2148
-1.6313,-1.8749,0.7119,-1.9289,0.2513,0.5201,2.3932,0.1123,0.4527,0.0117,-0.7087,1.1798,2.0588,1.6227,2.0642,-0.7842,1.4752,0.3531,-0.1657,0.2351,0.2232,-0.4005,-0.3071,-0.3002,-1.0615,0.2615,-0.3863,0.3292,0.8759,-0.6356,0.5672,1.9396,1.2775,0.8434,-1.9423,0.2424,0.0179,-0.2742,1.2475,0.7274,0.1838,0.0681,0.2549,0.7973,-1.9944,-1.3366,0.0791,1.3849,-0.9308,1.2799
-0.5259,0.9087,0.0672,0.221,-0.4377,-0.2226,-0.1351,-1.2955,1.319,1.8561,0.7829,1.8599,-0.2455,0.8717,0.6548,0.7519,0.376,-2.0148,-1.8622,0.6763,0.4737,1.6198,-0.3463,-0.4411,0.6916,1.7727,0.2319,1.3331,1.5594,1.1029,-0.2424,0.3732,-1.8284,0.0357,0.4579,0.5494,-1.3982,-0.8179,0.8998,1.6124,0.8387,2.2304,-1.6349,-1.3096,-0.0438,-0.6998,0.4328,-0.8494,0.1084,-0.7568
0.9309,0.403,0.8865,-0.9848,-1.8618,0.0243,0.7883,-0.1312,1.2438,-2.134,-0.3801,-0.0119,-0.7658,0.7426,0.6988,-1.3581,0.0334,-2.4373,-0.5532,-0.172,0.3139,-0.3975,-1.3576,0.434,-0.1109,1.3021,-0.5263,-0.0553,-0.6507,1.4056,-0.3893,-0.0021,-0.446,-0.1545,0.5569,-0.3468,1.096,-2.2561,0.1161,-1.1363,2.5624,-0.3798,-0.7845,0.207,-0.2327,0.6364,1.5773,-0.6884,-0.9835,-1.3007
-0.6086,-0.9639,1.0264,-0.4079,0.4232,0.3409,-0.5037,1.2169,0.7976,0.3291,0.1545,0.1162,-1.3904,0.0443,-0.2059,-0.6554,0.4859,-0.8482,0.0252,0.0229,-0.8278,-0.3202,0.4054,-1.2411,-0.3121,0.6211,0.0381,-0.7985,0.7447,2.3666,-1.3556,-0.2269,1.4456,-0.1352,0.434,0.6855,0.3108,-0.9216,1.0959,1.9074,0.6256,0.627,0.2882,-0.6892,-0.4924,1.0923,-0.6227,0.3789,-1.172,-0.4169
0.5265,-0.4062,0.454,-0.7143,0.1064,-1.333,-0.6241,-0.6758,-2.1917,-0.0763,-1.5464,-0.9292,0.5172,0.791,0.626,-0.0802,0.4957,-0.7919,0.0462,-1.2381,-0.6712,0.2274,0.1581,0.3775,0.3969,0.6283,0.256,-0.4619,-1.5026,0.8105,-1.7321,-0.1364,-0.4157,-0.6082,0.4013,-1.1559,0.0992,-0.4765,-0.9495,-1.2273,0.8719,0.4453,0.362,1.4464,1.1732,-0.6591,-0.2552,1.01,-1.2633,0.1116
-1.0365,-0.025,1.0447,0.3899,0.0365,0.0157,-1.655,0.1603,0.5371,0.4044,-0.064,-0.3334,1.8165,1.4299,-0.0579,-1.2723,2.1064,-0.06,0.6773,0.0021,-0.3717,0.1949,-2.269,1.159,-0.4593,1.7692,0.9333,0.4971,-0.4062,0.8286,0.2601,0.3302,-1.4137,1.1878,0.1508,-0.1085,-0.3303,0.2911,1.7362,-0.236,-1.3013,0.3768,0.8063,1.7092,0.2486,0.7484,-2.645,-1.7933,1.2979,-0.2159
0.2584,-0.5106,1.2511,-0.4809,-0.9394,-0.7496,0.8454,0.766,-0.3272,-0.5738,0.4138,-0.7612,-0.6033,0.1393,-0.0813,0.4246,0.2013,-0.2585,0.4074,0.0084,1.0609,0.1699,0.1348,-0.7696,0.7693,0.4119,-0.2366,1.3197,-0.5295,-1.1396,-1.1035,-0.2145,-1.3636,-0.4055,0.2936,0.8841,-0.6547,1.0488,-0.7469,1.0745,1.8315,-2.1871,-0.6447,-0.9957,-1.1609,1.2268,-0.2385,-0.4562,-2.0671,1.0973
-0.1641,-0.0929,-0.9996,0.9869,0.4011,-2.509,1.1229,-0.1725,-1.2572,-0.3072,-0.4008,0.3349,0.4267,-0.9432,0.6937,1.2217,0.5479,0.193,-0.5732,-1.0447,0.8919,-0.489,0.4844,0.9246,2.0892,0.9531,0.214,0.3847,0.0719,0.6187,-0.6858,-0.5786,-1.5909,0.3802,1.1574,-1.2603,1.1978,-0.726,0.3252,1.4188,1.0681,-0.5801,1.0807,-1.7548,-1.2752,-0.1928,0.2546,1.4415,1.713,1.3937
0.7358,-0.2334,-0.3881,-0.1079,0.0838,0.6953,1.1754,-0.6675,-0.8441,-1.2121,2.2741,-0.4888,0.1569,-1.1484,-0.6561,1.5121,-1.2999,-0.1409,0.1952,-0.3328,2.423,-1.2608,1.1495,1.9362,0.3239,-1.1614,-1.0219,0.4533,0.1772,-2.6219,-1.8687,0.3343,-2.3348,-0.2445,-0.3552,0.7296,-0.8087,3.6414,0.0694,-0.156,1.9522,-0.8583,1.2157,-1.068,0.7945,-0.4307,0.5689,1.0463,-0.6059,0.4276
