"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42"
0.4684,-0.7995,-0.795,-1.1883,-0.3354,-0.7376,1.5085,-0.3306,-1.1207,-0.433,0.0754,-0.8776,0.4047,1.4268,-1.4513,-0.5598,-0.8838,0.5799,-0.1182,-1.282,-1.1246,1.493,-1.6113,0.1848,-0.902,0.0356,0.2516,-1.1435,0.0671,1.0242,-1.6418,0.2959,0.7505,1.6909,0.7012,-1.3102,-0.8576,-1.7363,0.2293,-1.6532,-0.7985,0.5847,1.624,-0.1982,-1.3642,0.9733,0.7053,0.9737,0.0643,-1.3582,1.4182,0.6231,0.2325,-0.4823,0.4297,0.6953,-0.1717,-1.121,-1.0866,1.1226
-0.0113,-1.1419,-0.2361,-0.2799,0.0773,0.5848,-0.5801,1.1622,0.1182,-1.7218,-1.7053,0.8791,-2.0353,1.1674,-0.8301,-0.3101,1.1717,0.2467,1.0783,-0.4381,0.2621,0.595,0.1921,1.1757,0.5346,-1.3006,-1.3757,0.6387,0.3185,-0.4464,0.1037,-1.0609,1.9797,-0.2417,0.0468,0.5725,1.072,-1.1886,1.1227,-1.7518,0.049,0.3624,-0.7499,1.0274,1.3945,-0.2288,-0.2698,0.3816,-1.0289,1.2892,-1.021,0.0718,-0.8869,-0.1744,0.0527,1.5256,1.1359,0.8616,-0.2375,-0.7523
-0.7344,0.7691,-0.837,0.0672,-0.2942,-0.1539,-1.6792,-0.858,-0.3371,-1.8413,-1.2274,-0.2401,-0.5285,1.1685,-0.2122,2.8824,0.2757,0.7972,0.0084,0.4946,-0.799,-2.0886,-0.4531,0.4506,-0.1992,1.2447,0.4483,0.7383,-1.1204,2.4018,0.5915,0.1131,-0.4116,-1.3058,0.1219,0.3416,-1.2611,0.0201,-0.9849,-1.1366,-0.9098,-1.1778,0.5767,0.9642,0.0801,0.6607,-1.4673,1.0168,0.2986,-1.8504,1.2292,-0.1847,-0.0384,0.1642,1.1147,0.3467,-0.3534,1.3266,1.4039,-1.2879
-1.1239,1.8131,0.0875,0.9676,0.4042,0.5676,0.9094,2.0749,-1.876,-0.6602,0.2593,-1.0264,-1.3981,-1.2138,2.0312,-0.6973,-0.0627,-1.2622,1.9669,0.1766,1.8071,1.4829,0.6968,-1.0432,-1.101,0.3095,-0.1021,-1.7234,-0.674,0.9238,1.1211,0.5181,-0.1858,-0.2934,2.6438,1.1239,-0.1944,0.6967,1.5391,0.5539,1.0489,0.589,1.6189,0.4255,-0.6905,-0.9744,-1.5701,0.27,-0.6016,-1.7606,0.4938,0.8708,-0.1004,-1.1287,0.7506,0.8176,-0.8598,-0.3955,0.8687,0.9203
-0.1429,-0.3519,-0.2854,-0.547,-0.8534,-0.2085,1.9003,-0.0051,1.13,1.1163,-0.0381,-0.1873,-0.0219,-1.3596,-0.9392,0.2498,2.0114,-2.2375,0.4837,0.3495,-0.7409,0.0645,-1.0086,-0.5416,-1.3355,0.9269,0.4863,0.6011,2.4981,-0.8569,-0.4284,0.6922,-0.2841,-2.3146,1.2707,2.1951,-0.2116,-1.1469,-2.8246,1.2691,-0.6303,-1.1966,-0.8307,-0.3641,-0.8328,1.7424,0.4581,0.1298,1.4026,1.3263,-0.8017,-3.0342,0.0052,0.2915,0.8502,0.1948,0.3786,0.2599,-1.2241,-0.5708
1.3252,-0.1365,0.8312,0.7447,0.1634,0.8461,1.3261,0.2304,-1.2253,0.0174,-0.9636,-1.193,-0.9474,-0.4332,-0.6521,0.0609,0.9183,0.8426,-2.0034,1.2644,2.0286,-0.3627,-0.4164,0.7637,-0.7878,0.0159,0.4839,-0.8349,-0.5379,-0.1043,-0.076,1.6516,-1.0047,-0.5912,1.0803,0.0036,0.1101,-0.2207,-0.316,-1.3468,2.3774,0.1079,-0.2042,-2.2421,-1.2464,0.2737,-0.3162,-0.2704,-0.0733,-2.1094,1.6045,-0.3777,0.0853,1.1639,-0.7578,-1.6109,-2.1444,-0.043,0.6012,0.4113
1.831,1.4079,1.2916,0.81,2.3924,-1.0671,-0.221,-0.4713,0.3105,1.2358,1.7787,-0.8422,-0.9242,-2.1824,0.1298,-1.0231,-0.5562,-0.3836,-0.2343,0.0413,-0.2859,-1.7251,1.2506,0.4691,0.7312,-1.652,-1.0579,1.7799,0.5636,0.1158,0.4092,-0.5915,1.3189,-0.5141,-0.1768,-1.0705,-0.4493,0.7411,0.6091,-0.1126,-1.6894,0.9824,0.0282,0.2166,-1.5068,-1.5963,-1.429,2.0353,0.9496,-1.1636,-0.015,-0.2759,0.46,1.4474,0.5282,0.4355,1.5485,0.7211,-1.6572,0.382
-1.7921,1.2765,-0.1907,0.7432,-0.7125,-1.3981,-0.9227,0.4727,-0.3971,-2.186,-0.506,-0.0108,0.6468,-1.1171,-1.3472,-0.1476,-0.6755,-1.4996,-0.5965,-0.8073,-2.864,-0.2985,-0.0683,-0.2171,1.5139,0.7585,0.1288,-0.8759,0.9478,-0.2245,1.1235,0.4278,-0.9257,0.0706,-0.3502,-1.8067,-0.0574,-0.963,-0.7263,1.9561,0.6166,-0.0359,0.9822,-1.5762,-0.6668,0.1229,-0.2738,-1.5712,-0.429,0.3051,-0.3115,1.0746,-0.7262,-0.1918,0.2416,0.728,-0.9479,-0.3799,-0.315,1.2499
0.3474,-0.0122,-0.8118,-0.0311,-0.1058,2.0518,-1.0372,0.3516,-0.8466,0.0271,1.3463,-0.4086,0.0073,-1.7353,-0.6977,0.0256,-0.7506,0.9263,-0.1796,-0.1342,-1.9393,0.2457,-1.1771,-0.5028,-0.0886,-1.4892,1.2282,-0.4191,-0.4848,-1.5106,-0.1507,-0.0496,-1.0203,-1.0985,-1.2479,0.9886,0.709,0.6193,-0.4217,-0.2109,-2.1355,-1.1407,0.5014,-1.2042,0.6631,0.8739,-0.3431,0.3118,0.619,0.4409,0.8014,1.0748,-0.5553,0.0306,-1.2138,-1.2666,0.9467,1.6544,1.8326,-0.5469
0.6544,1.084,-1.0971,2.3062,1.3334,-0.42,0.1622,0.823,-1.4665,-0.3902,0.4472,-0.731,0.5399,1.1743,-0.0884,0.5319,1.6114,0.8782,-1.1181,-0.5362,0.5476,-0.4426,-1.678,0.3633,0.2658,-0.1045,-0.2394,1.2915,0.5375,0.9917,-0.0886,0.3436,-1.9821,-0.4495,-1.333,0.5546,-1.2107,-0.8025,0.1465,1.1304,-1.1105,0.5187,0.5551,-1.4122,-1.0518,-0.8732,0.5469,-1.4296,0.6043,2.034,0.2611,1.8218,-0.1599,0.4124,0.7405,-0.9838,0.6037,-0.948,0.185,0.2989
