"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42"
0.6022,1.5822,1.9221,-0.5821,0.25,-2.3005,-0.5484,-0.2402,0.5349,1.278,-1.5296,-2.6332,0.863,0.0141,1.9374,-0.2019,0.7846,0.3146,-0.517,0.975,-0.5908,0.1406,1.7712,0.5283,0.2095,0.4825,-1.3105,-0.5283,-0.1057,2.5249,-2.5838,0.0624,0.6499,0.7546,0.4389,-0.1635,-1.1749,-0.3422,1.4969,-0.2004,0.0925,0.1458,-0.4298,-2.4008,0.2332,-0.6005,-2.749,-1.0241,0.5895,-0.3326,2.323,-1.3109,-1.4172,-1.3845,-1.2044,-0.0962,0.9474,-0.5331,-1.8818,0.2902,0.7748,-1.5355,-0.4761,0.3196,-0.8898,0.2248,1.5711,0.0506,1.3997,-1.6321,-0.5838,1.5619,-1.1414,0.6058
-1.0953,0.4663,-1.3064,-1.6117,-0.2367,-0.9502,-0.1661,-2.5366,2.7903,0.7842,-2.564,0.4061,0.8013,0.6438,0.1341,1.1182,0.6274,1.0455,0.0347,-0.3158,-1.6105,-0.6046,1.1094,-0.2605,0.4252,0.7214,1.0514,0.3819,1.1497,-0.8838,-0.9754,-1.7045,-0.9237,1.1832,1.3373,-0.1231,1.5667,0.9803,-0.1276,-1.4402,-0.8807,-0.5466,-2.7972,1.3374,-0.5889,-0.0144,-0.6621,-0.4468,-0.5268,-0.7809,0.248,1.8388,-0.3019,1.1426,0.5458,-1.8534,-0.2336,-0.3243,-0.4701,-0.0453,0.7144,-1.5317,1.3642,0.3429,0.1129,0.7679,-0.152,-2.7325,-0.487,-1.8522,-1.1954,0.2969,1.202,-0.1596
-2.2975,-2.0554,1.0445,0.9643,0.8546,-0.8479,-0.3778,-0.3662,-1.4995,0.5288,-1.4946,0.0725,-0.1372,1.0198,-1.0311,0.1626,-2.5294,0.1654,-0.8366,-1.1068,-0.5459,-1.1306,-2.7878,-0.6755,-0.6068,-0.5078,0.7383,-0.8823,0.9917,-0.4557,0.9608,1.1132,-0.3648,-0.7914,-0.3925,1.7285,-0.1716,0.8847,-0.7453,-1.6154,-0.315,0.4748,-1.0116,-0.8301,1.1114,-1.6405,1.4453,1.0563,-0.728,-1.3093,-0.33,1.3588,-0.1987,0.0388,-0.0562,1.3026,1.0905,-0.8296,1.0809,-0.24,-2.3368,-1.0073,-2.0093,-0.9825,1.2287,-0.2975,-1.4276,1.0691,0.1844,1.2154,-1.5688,-0.0726,-2.0893,0.2899
0.2839,-0.799,0.2986,0.7052,0.9966,1.4431,0.2473,-0.4014,-0.8851,0.0879,1.0563,-1.0641,-0.6956,1.232,0.0432,0.504,-0.6074,-1.2249,0.3264,-1.1592,-0.1435,0.0563,-0.5283,-0.496,0.1648,-0.0647,0.74,0.2769,1.8268,-0.9446,-0.2207,0.3474,-0.088,-0.4185,-0.0149,-2.1575,1.188,0.1521,-0.0911,0.9225,2.1659,0.4052,-0.5665,0.1087,-0.4899,0.0085,-0.9034,-0.3982,0.9352,0.8546,0.7657,0.1206,0.8509,0.3903,0.9568,2.3172,-0.2496,-1.8572,-0.5591,0.1611,0.1293,-0.4774,-2.2701,0.1232,0.8004,0.0911,0.67,0.3967,0.89,-1.0037,0.0803,1.8343,-2.6797,1.2645
-0.6555,0.9562,0.2808,-1.0697,-0.204,0.5277,-0.4105,1.0892,-0.3804,0.0098,0.0865,-1.3892,-1.9086,-1.7324,0.036,-0.334,0.7629,-0.5034,-1.6728,0.2595,-1.834,0.1364,0.3673,-0.1501,-0.1151,1.3021,-0.7118,-0.8278,-1.4231,-0.3693,0.8812,-1.4246,0.8699,-0.4076,0.1187,-1.1386,-0.8168,-0.5116,1.3653,1.9104,-0.0674,-0.4861,-0.5153,-0.531,0.7308,-0.3075,0.8199,0.2939,1.4905,1.2961,3.2183,0.1145,0.9039,-0.1237,-0.0103,0.9584,0.4072,-0.0685,-2.3728,0.1709,-0.0923,-0.5509,-0.4776,0.3734,1.3245,0.8154,0.0134,-0.1601,-0.5108,-0.3279,0.1324,0.5401,-0.5599,0.578
0.7373,1.2445,-1.2671,-0.1433,-0.4057,-1.9859,0.8558,0.6723,0.6672,-0.5714,-0.4654,-0.1819,1.4681,-0.6926,0.7954,-1.8661,1.4849,-0.8045,-0.5414,-0.0502,2.0283,1.206,-0.4752,-1.1493,-1.132,-0.2186,2.2605,0.8396,-0.4369,1.4934,0.5578,0.1473,-2.3082,0.3088,0.5748,-0.1368,-0.6649,0.2933,-2.4162,-1.3878,-0.14,1.6864,-0.6743,-0.5287,1.5644,-0.5158,0.5333,-0.1616,0.1877,0.6483,0.5163,1.6915,0.4604,-0.0472,1.7703,-1.0031,-0.4231,-0.3706,0.2766,0.1664,-1.1152,-0.5533,1.1745,-0.5553,-0.2177,0.1576,0.482,-0.693,1.6235,-1.7672,-1.2056,0.1909,-0.8191,0.3472
-0.2244,0.8683,-0.3664,-1.5605,0.386,-0.091,1.3237,-2.2373,0.2413,-1.8547,1.3459,0.0604,0.9555,-0.1453,-0.3019,2.4704,-0.6593,2.1669,0.1995,-0.7801,-0.9515,1.0703,0.3249,1.7514,-0.2488,1.2321,-0.8587,0.1558,0.198,-1.9855,1.1504,0.6249,0.4394,-0.1463,-0.0605,0.8206,-1.0405,-0.0899,-3.1581,-0.9756,0.1764,1.018,-0.8691,-0.2766,0.282,-0.8554,-0.7827,0.4272,-1.2763,1.2725,-0.0696,0.053,0.9276,-0.5315,0.5416,-1.2438,0.3373,-0.2039,-1.0708,2.2602,0.6597,-0.5917,0.7758,0.3065,2.0076,-0.0115,-0.4233,-1.1729,-0.8695,0.573,-1.416,0.4207,-0.9905,0.4635
1.1505,-0.1135,0.7839,1.1699,-1.4734,-0.5037,1.7422,2.1551,0.9557,-1.9612,2.7014,-1.3557,-1.1801,0.0712,0.0768,-0.779,-0.6375,0.5026,-0.4812,0.4376,-1.0251,0.9367,0.1729,0.4374,2.1476,1.495,0.1226,-0.9534,0.5081,-1.0747,1.6931,-1.1305,-0.0591,-1.3563,1.3947,-0.309,0.4645,0.409,0.4393,-0.9198,0.6237,0.2517,0.7972,-0.3694,0.8027,-0.3616,1.1821,-0.399,1.8095,0.8151,-0.8385,-0.6796,1.3594,-0.0233,0.556,0.9726,-1.4583,0.2367,1.8904,0.3962,0.8177,-1.2495,0.492,-1.0149,-0.4996,0.6994,-0.3023,0.6377,-0.1354,0.0468,-0.5631,0.1349,-0.3761,0.5808
0.4333,-0.4553,0.5541,0.4854,1.9113,1.6718,-2.2345,0.4669,-2.1451,-2.2515,0.7787,0.287,-0.7066,1.1725,0.6541,0.1129,1.0279,-0.7468,1.1399,-1.9813,0.2956,1.1379,0.1256,0.7234,0.1607,-0.164,0.4831,0.1234,0.5371,0.3916,-0.8248,-0.1661,0.0783,0.1259,-0.6099,0.9711,1.001,1.1414,2.2013,0.0701,-0.9269,-0.5832,-0.5074,0.2316,-0.9327,-0.1052,-1.3922,-0.3441,-0.18,1.5252,-2.0837,-2.0488,-1.5275,-1.1808,-0.7527,1.375,-0.1519,0.1958,-1.2074,1.9589,-0.5257,-2.1587,-0.6802,1.3731,0.6158,-0.2741,-1.1313,0.124,0.5705,-0.164,-1.0399,-0.7545,-1.3273,-0.5203
0.5049,1.5637,1.0861,-0.1996,1.5724,0.8342,1.4177,-0.1838,-1.5226,-0.3259,0.1744,-0.6702,0.5382,-0.9225,0.4055,2.5635,1.3832,1.0314,1.0285,-0.1691,-2.2486,1.2684,-0.1773,0.3091,0.592,-1.3843,0.0539,-1.2127,0.159,0.5523,-1.0453,-0.0669,0.2777,-1.4,-0.5271,1.8667,-0.0992,-0.1155,-0.4209,0.3527,-0.9719,0.0802,0.4692,-0.3546,3.1405,0.4943,-0.4084,-0.0911,1.6869,1.0243,-1.6874,0.9432,-0.5941,-0.2429,-0.2738,1.3077,0.9489,-0.1774,0.1261,-0.1738,-0.4128,0.4433,-1.2416,-1.5697,1.333,-0.8334,-1.7884,-1.3714,-0.3071,1.1602,-0.1032,1.6599,-0.0725,0.689
-0.4718,-0.1434,0.5981,-0.5222,-0.821,-0.6664,1.4286,0.5594,-0.8531,1.1349,-1.6984,-0.5417,-1.1761,2.7912,1.5549,1.7812,1.4621,-1.9504,1.3069,0.9311,-0.2539,0.0427,-2.0418,0.545,-0.7169,0.079,1.3541,1.0102,-0.0574,0.1201,0.07,1.0312,0.3393,0.6597,0.7823,1.2266,0.131,0.4696,-1.5262,1.0804,0.8864,0.4023,0.4885,-1.3761,1.9658,0.0545,1.1278,-0.0578,1.1153,0.746,0.9304,0.1983,-0.5266,0.737,1.7727,1.157,1.323,0.2978,-2.2035,-1.6868,-0.5069,-0.9628,-1.875,-0.7258,0.1113,-0.2948,-1.4432,-0.8807,1.1196,-1.1301,0.262,0.2861,-0.8644,0.4383
