"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33"
-0.5225,-1.3066,-0.544,-0.5809,0.4604,-0.4838,-0.4073,1.3189,-0.0339,2.019,1.3782,-0.6763,0.8203,0.4417,0.2082,0.7562,-1.6377,-0.2864,0.9285,-0.6491,-1.805,0.6407,-0.4595,0.4561,1.7972,1.8347,0.5514,0.2447,-0.5696,0.5993,0.1323,2.2066,1.5057,-0.0657,-0.0582,-0.515,-0.6508,0.515,0.839,1.1723,-1.3451,-1.2236,0.0986,0.3049,-0.697,-0.9202,-0.9994,-0.3137,-1.9772,0.8235,-1.45,-0.0558,-0.6131,0.0107,-0.6579,-0.0057,0.9026,0.0687,-0.3696,1.0427,-0.0601,-0.2523,-0.6518,0.6066,0.0342,1.3141,1.4398,0.7201,-1.2958,0.7708,0.656,-0.3509,-0.0101,-1.0481
-1.6704,-0.0282,-1.0541,0.0292,-0.5436,0.168,0.3691,-0.085,-0.5388,0.5747,-0.3722,-0.6232,0.9963,-0.0328,-2.4832,0.476,0.7526,1.3573,0.0976,-0.2814,-0.3069,-1.1703,0.5751,-1.5748,-1.1886,-1.7729,0.7827,1.5761,0.3186,-0.2423,0.2386,1.7585,1.39,-0.0012,-0.1021,1.8976,0.7526,2.0646,0.0499,-1.9669,0.2203,0.7096,-0.1955,-0.1388,0.4105,0.0722,0.5992,0.8195,-0.4096,-0.6313,2.5443,-0.0535,0.8662,-1.0169,0.7761,0.9091,-1.0232,-0.2619,-0.45,0.0284,-0.7382,1.1145,0.1539,0.8649,1.3684,-0.165,0.4594,-0.6573,-0.3208,-0.6532,-1.3901,-0.4139,0.4394,-1.2981
-0.3354,-0.4783,-1.3597,-0.8837,-0.3492,-0.0044,1.2354,0.1533,-1.1698,0.7864,0.1838,-0.3706,-1.2947,-0.1351,0.6144,-0.5151,0.7414,-0.3583,1.6503,1.7791,0.7977,-2.7602,0.4991,-0.3709,-1.1052,1.07,-0.1606,-1.261,-1.9682,0.6446,-0.5219,-1.4308,-1.0784,0.3019,0.3432,0.2809,1.0577,-0.8271,-1.0599,0.1682,-0.7001,-1.259,-0.3465,0.661,0.1074,0.3114,0.3638,-1.2759,2.6814,0.816,0.1425,-0.8477,2.2573,-0.6898,-1.757,0.5492,-0.8376,-0.4841,0.6506,-0.8793,-0.4976,0.5632,0.3972,0.7476,0.3477,-1.4325,-0.2357,0.0816,-0.5809,-0.4127,0.8979,0.7161,-0.8679,-1.0695
1.2537,0.4887,0.957,0.4842,-1.0478,0.4065,2.634,0.118,-0.1386,0.0692,0.3714,-0.2312,0.115,1.1836,-0.5925,-0.9427,-0.9622,0.0672,-0.8871,-0.2415,1.1406,0.1339,-0.1325,-0.5742,-1.4025,0.6539,-0.1932,0.4526,0.5984,0.6735,0.7575,-0.8789,-0.3952,0.0613,0.4195,0.8605,0.6628,-0.9203,-0.0637,1.2179,0.668,-0.7076,-0.5156,0.4017,0.6673,1.1301,-0.6281,0.0569,-2.0254,-0.0873,-0.0436,1.3719,0.3327,0.1562,-1.5189,-0.7286,2.5292,0.2058,-2.4093,0.1687,-0.7331,-0.5433,0.9402,-0.051,1.0501,-0.5403,0.4333,1.9678,-0.4101,1.2097,-1.4842,-0.5727,-0.8633,0.4626
0.8045,-0.5903,-0.7504,-1.3813,-0.1531,-0.0742,0.6565,-0.1148,1.0042,0.4542,-0.0923,0.2153,-2.0519,0.4768,0.0956,-2.0702,0.8242,0.6723,0.0175,0.1893,1.2535,-0.3565,0.2257,1.343,0.8668,0.5571,0.6782,-0.6837,0.4671,1.5448,1.1641,0.3378,0.7326,0.1092,0.3082,-0.2916,1.0633,-0.8731,-0.4802,0.0627,-1.0848,0.6815,0.0967,-0.4042,-0.1959,1.0101,0.3352,-1.2455,-0.3828,-2.5342,-1.3556,-0.2806,0.9615,-0.5313,0.2781,-0.8453,0.6546,-1.7728,0.6212,-1.8274,1.254,0.4395,-0.4852,0.3597,-1.8477,0.1213,-0.8418,-0.372,-2.1227,1.3878,-0.6713,0.7137,-0.2269,1.2948
0.8843,0.1488,0.3219,-0.5154,1.8663,0.5896,-0.1354,0.0893,0.3118,0.9621,1.7768,0.7555,-0.4664,1.0117,-0.796,1.6392,-0.0623,0.7453,2.0931,-0.9776,-2.0825,0.719,-0.7646,0.8799,-0.354,0.1936,-0.9415,-0.8639,0.683,-1.0475,1.6058,-0.2085,-1.0037,1.2823,1.8562,-0.5111,0.6587,-0.6075,-1.1684,0.9286,-2.0344,0.6575,-1.0394,-0.8328,0.2511,-0.2303,0.3475,0.024,0.0856,1.6325,0.2692,0.4357,-1.7697,0.7623,-1.5742,0.6645,-0.7876,1.06,0.1901,-0.2769,-0.6961,-0.2849,0.6407,-0.0374,0.0429,0.2861,0.0623,0.4354,0.1756,-1.2372,-0.6356,-0.502,0.2999,-1.0035
1.1348,-0.2131,1.3038,1.4512,-0.4067,0.3927,0.3914,-0.2086,-1.3089,-0.5261,1.7727,0.4354,1.2354,2.5148,1.3214,0.6253,0.8242,-1.6735,0.1097,0.2928,0.8089,-0.3639,-0.0706,0.752,-0.2627,0.4856,1.4347,1.2105,0.0987,-0.2748,0.893,-0.7309,1.3941,0.3094,-0.3298,-1.2077,-1.0606,-1.7589,-0.7282,-1.0075,-0.0617,-1.2705,-1.9211,0.7092,-0.4823,0.5003,-0.8296,-1.2398,-0.9584,0.9609,0.3887,1.737,1.1779,-2.0386,1.4406,-0.7945,-0.2385,-0.5154,1.8361,1.3016,-0.0331,-1.0152,-0.9675,2.1554,-0.0905,-0.548,1.1396,-1.7114,1.3578,0.206,0.2732,0.3474,0.6844,-0.4573
0.1853,-1.0526,0.867,0.4301,0.4124,0.8441,0.5706,0.8134,-1.2643,1.8941,1.3693,-0.2933,1.1862,-0.5606,0.3685,0.0599,-1.6255,-0.0188,-0.7381,-0.7191,0.3494,-0.4779,0.2902,-0.0258,0.2412,-0.0575,0.0183,-0.0985,0.4784,0.4506,0.05,-1.0175,-1.0238,-0.4577,2.1433,-0.3321,-0.3531,0.9971,0.6726,-0.3115,0.8788,-0.2293,-1.1946,-0.1572,-1.0926,0.174,0.9695,1.3981,0.4077,-0.7221,-0.9016,0.0383,1.7954,1.1908,0.6165,0.3594,-1.1312,-1.2849,1.9116,-0.181,-0.7425,0.7802,0.0749,-1.1469,-1.1511,1.1072,-0.8214,0.3083,1.903,0.3429,1.2117,-1.3068,-0.7411,-1.4145
0.5783,-1.2684,-0.8208,-0.6325,0.2397,0.6003,0.3697,-0.6869,-1.743,0.4155,-0.8985,-0.2987,-0.5942,0.1817,0.1227,0.604,-0.1431,-0.541,2.7853,1.6402,-0.4723,0.1274,0.6285,0.3751,-0.1778,-0.4628,1.1635,-0.5157,0.5777,-0.6188,0.1813,0.1328,1.2281,-1.2745,-1.7327,-0.1674,0.6214,-0.0541,-0.3084,0.6858,0.7652,0.9179,-2.5438,0.1735,0.0186,-1.4018,1.3987,0.8473,-1.4621,1.5765,1.1062,0.4203,0.4181,-0.4047,-0.0494,0.5224,0.4333,-0.4631,-1.4442,-1.3891,0.548,1.141,-0.8223,-0.1239,0.8975,-1.959,2.3993,-0.2919,0.8898,0.4923,0.0862,0.9106,-0.659,-0.8928
0.7823,-2.6204,-0.4025,-0.2916,0.9924,-0.6349,1.779,-1.3204,-0.7936,-1.1463,0.6805,-0.9731,0.6464,0.2138,0.5743,0.0491,-1.3798,0.9987,1.8131,1.1974,-1.6923,-1.1725,0.5581,-1.9746,-1.4464,-0.6352,0.5433,1.2698,1.8811,-1.1113,0.4679,-0.1124,0.8959,0.7637,0.1088,0.0884,0.3933,-1.6198,-0.1913,-0.612,-0.7652,0.1321,0.2307,-0.5366,0.8806,-0.4626,-0.1206,0.3885,0.3331,-0.1182,-0.2154,0.5423,0.2437,-0.1688,-0.6705,-0.711,0.4525,1.528,-0.079,0.1064,0.8242,-1.346,1.6288,-0.4116,0.3167,-0.3095,-1.2611,0.3717,-0.1013,-1.4724,-0.1565,1.4845,1.7867,-0.6406
