"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9"
-0.5466,0.9762,-0.275,-1.3651,0.2927,1.6433,0.558,-0.1237,-0.43,-1.0938,-1.2331,0.385,1.5359,-0.0493,-0.6265,1.1261,0.3154,-0.7586,-1.3846,2.392,-0.1746,-0.1441,-0.9877,0.8245,-1.5508,-0.6999,0.9029,0.7057
-0.0532,-1.7915,1.3696,-1.636,-0.8844,-1.0792,-1.2097,0.2572,0.0045,0.3066,-0.0231,0.4489,0.5837,-0.0251,-0.6767,0.601,0.8355,0.6464,-0.2605,0.7475,0.3001,0.8781,0.0145,-0.2707,-1.4734,-1.0842,0.0245,1.33
-0.3024,-1.2898,1.328,-0.4365,0.0111,1.067,-0.5347,1.9062,0.7666,1.2978,-0.3882,-0.3067,-0.1346,0.4158,0.6124,-0.3576,0.3182,0.2167,0.2929,-1.1008,-1.9153,0.2561,-1.662,1.6206,0.3674,-1.0622,0.5675,-0.5778
1.8728,0.295,0.3245,-0.4607,0.7812,1.0558,-0.4836,-1.0456,-0.3887,0.4121,-0.5155,2.0636,-1.4409,-1.9916,0.4032,1.3723,-1.7849,-0.6684,0.1077,-1.3742,-0.5092,0.5478,1.3059,-1.4636,0.6282,-0.614,1.8403,0.7865
1.12,-0.9149,0.5255,-0.8753,-1.6345,1.9507,1.2258,-1.0941,2.0315,0.6417,-0.4651,-0.9424,0.3497,4e-04,1.2919,-0.116,-0.7272,0.0433,-0.8942,0.6444,0.4238,-1.0637,-1.5535,-0.8543,-0.353,0.0286,0.304,0.2567
0.5745,-0.0909,-0.6248,-1.922,-0.3436,-1.0875,0.7301,-0.8667,0.4709,-0.7345,-0.9349,1.5101,-0.9089,0.6103,-1.3474,1.7625,0.3367,-0.4066,-0.5336,0.4192,-0.7867,-0.8051,-1.2431,-0.2337,1.9553,0.032,0.534,-1.3732
-0.5462,0.2931,-1.2751,0.2801,0.1159,-0.5907,0.8327,-1.0543,-0.3186,1.159,0.4319,-1.1146,0.5821,-0.247,-0.2965,-1.4435,0.7378,-1.0166,-0.1676,-0.9142,-0.6043,0.4211,0.3803,-0.7596,-0.9277,0.9515,-0.0112,-1.3929
0.2583,0.3983,-0.862,0.1871,-0.4696,0.3342,1.378,-1.2915,-1.102,0.187,0.5793,-0.1109,-0.1051,1.4709,1.0934,1.363,-0.427,1.281,-0.1421,-0.2709,-0.1658,-1.3974,-0.5441,-0.8874,-0.6685,-0.7334,-0.1168,1.2208
-1.5913,1.4476,2.3562,-0.9389,0.5165,-0.0531,2.4319,-0.2769,0.932,0.3714,-0.3119,0.4756,0.5536,0.4495,-1.1312,0.3711,-0.21,0.6836,-0.2361,1.1945,-0.925,-0.8024,-0.0613,-0.5734,-0.261,0.8783,-1.13,0.9867
-0.7859,0.2387,0.0316,0.1782,-1.3593,-0.5941,-0.4048,0.8129,0.0334,1.3512,-1.3578,0.053,-0.2184,1.4089,1.0107,1.3475,0.1641,-1.4688,0.0798,-1.639,-0.1059,-0.4789,1.1547,1.8099,-1.1845,1.8942,0.3417,1.864
