"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29"
0.6888,0.2343,0.0847,0.148,-2.0095,-0.4639,-0.4028,-0.4221,0.3038,-0.6415,-0.3101,-0.3784,1.1411,-0.395,-0.8891,0.2106,-2.2664,-0.2686,0.4865,-0.3882,-1.198,1.6335,1.3329,1.3221,-1.3933,0.1362,-0.0849,0.2751,0.3336,0.0596,-0.1907,-0.7921,-2.0243,-0.2823,-1.1614,-0.3148,-0.9108,0.1423,1.315,0.3589,1.2345,-0.561,0.8755,0.932,0.5263,0.0628,-1.5395,1.1599,0.1712,0.0129,1.2337,-0.7641,0.1336,-0.1086,1.3083
-0.0798,-1.0855,1.0064,0.497,0.0708,1.284,-1.6051,1.0086,-1.6374,0.9051,1.4799,1.2063,0.2944,-1.1151,-1.5768,-0.6927,1.6416,0.0117,1.9009,1.9074,0.805,-1.4576,-0.4692,-0.2231,-0.0188,-0.0076,-0.3566,0.5372,0.1419,0.3057,-0.4616,1.2815,-0.8744,0.6078,-0.6197,-0.7675,0.178,-0.689,-1.7525,0.746,-1.1564,-0.426,0.872,-0.8078,1.5578,1.3899,-1.3501,0.1996,-0.6152,0.5357,-1.4077,0.4441,-1.3761,-1.4061,0.1812
-0.9004,-0.6722,-0.4246,-0.2993,1.4112,0.6217,-0.1413,-0.086,-1.0873,-1.8638,-1.013,-0.0146,-0.7497,-0.4557,0.5127,-0.1279,0.9864,0.0819,-0.1848,-0.8499,0.121,-0.2222,1.7565,-1.506,-1.5506,0.5372,1.2325,-0.0145,-0.6961,-0.2029,0.9585,-0.3006,-1.477,0.011,0.0589,-1.1084,1.2255,-0.487,-0.1017,-0.7472,0.9055,-0.4437,-0.8844,0.4787,1.0834,-0.1603,-0.4933,0.6419,0.2671,0.2116,0.7848,-0.8681,0.576,-0.7536,-0.6068
-0.7912,-0.2565,-1.2358,-0.8628,-0.4423,0.2615,1.0408,0.9745,-0.4636,-0.4798,0.8073,0.5467,-0.9787,-1.6198,-0.1084,0.2686,0.3007,-0.2113,1.6118,-0.5106,-0.5722,1.1061,-2.482,1.4471,-0.5624,-1.472,-0.6117,0.4779,1.4231,-0.7542,0.1512,1.3601,0.4441,1.533,0.3253,0.9877,2.1572,0.1866,1.2909,1.2296,-0.5344,-0.129,-0.9443,0.9923,-0.0364,-0.9187,-0.9967,-0.1356,-1.3597,0.0845,1.6351,0.8653,0.4922,-0.0307,-0.1604
-0.4676,-0.0696,-0.7126,-1.2499,-0.6831,0.6071,-0.7495,-0.5057,0.1258,-1.4686,0.4218,0.0649,0.0272,-0.1937,-1.4099,-0.1865,2.0216,0.6348,-0.2492,0.4717,0.6748,0.3742,-0.3738,-0.8135,0.1439,0.229,-0.8182,-0.4257,-0.6816,0.0744,-1.7171,0.1687,0.1686,-0.2148,-1.8057,0.4495,0.3301,-0.0494,-0.9959,1.5342,-0.171,-0.3927,0.4127,-0.9568,1.9489,1.7835,-2.8206,-0.3189,-1.0652,1.6912,0.8555,-0.9713,-0.21,-0.3477,-0.0123
0.5542,0.9174,0.4207,0.1506,-0.4148,0.7298,-0.8681,0.7779,-0.4926,0.4723,2.1204,0.5181,0.2365,0.4518,0.5756,0.4171,0.8601,0.6377,-1.2627,0.8413,0.618,-0.7327,0.1504,-0.7698,0.6593,-0.6348,-0.183,-0.2113,-0.4413,-0.1654,0.9972,-0.0424,-0.0695,0.2896,0.4944,0.5925,-0.8755,0.6606,-1.9255,0.3482,-0.9302,-0.8831,-2.0466,0.2615,-1.6929,1.0814,-0.4924,0.3426,2.1809,-0.7425,-1.7669,-1.7102,-0.0495,1.0644,-2.3682
0.2574,0.6848,1.6703,1.1012,1.8523,0.5386,0.7763,0.9323,1.7935,0.7739,1.2719,0.2236,-1.5075,-0.1608,-0.6576,-0.7909,1.36,-0.9142,-0.3655,-0.6484,-0.4701,-0.2236,-1.0831,-1.6784,1.0317,-0.1057,-0.6863,1.3157,0.5258,-0.0182,-1.0683,-0.2474,-2.3032,0.2155,0.1726,0.9874,0.7799,1.9299,-1.2774,0.599,0.9393,0.3028,0.4013,-0.1237,-0.3363,0.7251,-0.995,1.0026,-0.5396,0.7359,0.1903,-0.4685,-0.9299,0.9125,0.2825
0.462,0.1987,1.4263,0.7575,-0.1053,-0.47,-0.0628,-0.1451,-0.8894,0.4915,0.2733,-1.6955,1.416,0.7886,-0.7551,-0.1338,1.2453,0.066,0.6561,0.7422,-0.0657,-0.0243,1.4703,0.6009,-2.5173,0.0762,0.6669,-0.7868,-0.6502,-0.7288,-1.2101,0.1141,0.2696,0.1858,0.7185,-1.3138,-0.4172,0.0818,0.4389,1.3971,0.7055,-1.1407,-0.0216,0.3544,0.5856,-2.1854,0.405,0.1773,1.0152,0.0301,-0.3165,-0.8471,-0.9192,-0.7834,-1.5264
-0.9596,-0.0122,-0.8142,0.5067,-0.296,0.7976,-1.2624,-0.0993,-0.0585,-1.2756,-1.7241,0.953,0.5068,-0.7093,0.0689,0.1097,0.4054,-2.6957,-1.1956,-1.7561,-0.4599,-0.303,1.6622,0.536,0.8056,-0.3274,-1.0642,-0.3828,-0.5482,-0.498,-0.637,1.1565,-1.886,1.3201,1.5525,0.9977,0.3322,-0.1206,1.0558,-1.7177,-0.7334,1.6053,-0.1293,-1.0449,-0.9509,1.0408,0.363,1.4547,-0.965,0.0778,0.8557,-0.0645,-0.2885,-1.4419,-1.427
-1.0401,0.1973,-0.6168,0.1337,-0.0895,0.8638,0.156,-2.1536,-0.0613,-1.1608,0.5523,-0.3551,-1.0885,-0.7478,-0.9009,0.3176,0.1617,-0.5156,-0.8176,0.0443,0.7287,-1.3952,-0.606,-0.7474,0.5543,0.7103,1.4247,1.8983,-0.6804,1.2618,-0.0124,0.3026,-2.0367,-0.2405,0.9174,-1.9286,-1.8222,0.654,-0.934,1.5807,1.6071,-0.5046,-2.8215,0.9164,0.1275,0.0711,-0.1234,0.8682,-2.0806,0.2389,0.2135,0.0791,-0.2623,-0.5997,-0.8186
