"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46","NNS47","NNS48","NNS49","NNS50"
-1.3474,-0.2288,-2.1718,-1.9801,2.6497,-0.953,-1.2336,0.5088,0.4181,0.7928,-1.3385,0.0568,1.7407,-0.6245,-0.9459,-1.3711,-1.3601,0.6718,0.5464,-0.7935,-2.327,-0.7874,-0.8522,0.5661,-0.2813,0.7393,0.0588,0.6818,0.0841,0.3937,-0.2657,0.0168,-0.1787,0.4082,0.7836,0.2284,0.8959,-0.9764,-0.2295,0.6736,1.7681,0.9889,1.0935,1.1171,1.3567,0.1668,0.9298,-0.4562,1.3344,-1.8273,-1.2645,1.2469,0.3383,-0.627,1.4674,-0.8199,0.0644,1.1556,0.1897,-1.0405,-1.0333,0.0888,0.1944,0.4421,-0.5399,0.0962,-0.6397,-2.0092,-0.4514,0.2099,-0.3484,0.037,-0.1348,-0.9819,-0.1017,0.4625,-0.8157,-0.3507,-0.5598,-0.7634,1.5557,0.6249,-2.3632,-0.3344,0.3041,0.5701,-1.0126,-0.959,2.5471,0.8599,-1.2318,-1.3527,0.4883,-0.9531,-0.9961,0.2578,0.7204
-1.4557,-1.1014,0.1712,-1.1528,0.5518,0.1638,-1.6905,0.6933,-0.6898,-1.0169,-1.9907,-0.2753,-0.4772,0.2814,1.0786,1.0246,-0.3027,-0.6625,-0.0885,0.4938,-0.018,1.5632,0.7315,-2.1783,0.2389,-1.7728,1.0887,1.0908,0.0023,-1.2331,-0.5193,0.114,-0.6491,-1.035,0.3661,0.0302,-0.3372,-0.642,-0.0706,0.361,0.6107,-0.5214,-0.9761,0.2394,-0.0258,0.9846,0.0079,-0.9486,-0.3025,0.6833,0.2329,-0.4787,-1.2056,-0.4666,2.4718,1.7214,1.1889,0.6055,-0.36,-0.5894,-0.6647,0.3409,-0.8845,-0.0555,0.3937,0.2721,-1.8491,-0.0324,-0.1215,0.2985,0.5371,-0.44,-0.595,-1.622,0.4481,-0.684,-0.3852,1.2337,0.7587,-0.4464,1.4436,-0.3103,-0.8146,-1.0278,0.8035,0.3254,0.7421,-0.3348,-1.6037,-2.1571,0.0778,0.2791,0.4332,-0.6651,-0.9435,1.5393,-2.0869
-0.2784,0.4008,-1.3694,2.802,-0.738,-0.056,1.0785,-0.7001,0.1299,0.13,0.5322,-0.133,0.7774,0.6714,0.7311,-0.2428,-0.5789,0.1475,-0.3742,0.5732,0.734,-0.7412,0.2552,0.0501,-1.0839,0.6569,0.7149,0.7871,0.8419,-0.2717,0.1041,-0.2162,-2.1174,-0.5618,0.8056,-0.9431,0.9104,-0.0824,0.4498,-1.1813,-0.2123,-0.9124,-1.0813,1.3641,1.1513,-1.4254,-1.0182,0.7222,0.0776,0.6151,0.0521,-0.8191,-0.0858,-0.2461,1.8251,-0.3144,0.3537,-1.4055,0.267,-0.484,0.0875,-0.7666,-2.6174,0.1947,-0.7734,-0.1144,-0.3325,-1.2206,0.5273,-1.0668,-2.1953,0.0714,-0.4759,0.6885,1.7434,-0.7767,-1.1098,-0.366,0.9326,1.0786,-0.6201,1.1385,0.4592,1.1307,-0.9292,-0.9132,-0.1312,-0.9276,1.3892,0.5539,-1.8683,-0.1267,-1.4233,1.2188,-0.8786,0.7917,1.5818
0.0421,-0.1687,0.6162,0.1946,-1.7846,-0.1794,-0.6457,-1.4632,1.0677,-1.2902,0.357,0.3383,-2.0922,-0.3955,-0.5305,0.9629,-0.239,1.5123,-0.1587,-0.5128,-0.333,0.4823,-0.8046,0.0029,-0.9715,-2.0555,-0.562,-1.368,0.2387,1.5351,-1.7206,0.1238,1.3449,-0.3799,-0.2184,0.0421,0.1891,1.4691,0.6727,0.7944,0.4364,-0.9194,-1.042,0.3113,0.4104,1.7106,-0.3534,0.3624,-0.7148,-1.1073,-1.2879,-0.0076,0.2257,-0.7433,2.6919,-0.0705,2.3705,0.9516,0.4199,0.4843,-0.3587,1.0368,-0.7687,1.0852,0.3274,0.9975,1.3221,-0.1105,2.1684,0.2518,0.215,-0.0767,-0.041,0.0061,-0.877,-1.392,-0.8526,-0.0741,1.0523,0.4197,0.2647,0.8228,-0.9807,0.7874,-1.3294,-0.022,-1.1022,1.0839,-0.455,-0.4529,0.5216,-0.1419,-0.0485,0.9282,-0.2483,0.2556,-0.291
0.4644,-0.886,0.917,0.4814,0.4725,0.2974,-2.3692,0.1212,0.3516,0.5632,0.5075,0.8475,1.0008,1.4168,0.0941,-0.9419,-0.1753,-0.6939,-1.251,-0.5067,-2.2111,-0.596,-0.6209,-0.8499,0.0833,-0.2578,1.4775,-1.2253,1.0474,0.0478,-0.1517,-1.7515,0.0143,0.2675,0.9279,0.4396,-1.8947,3.0642,-0.8697,-0.2169,-0.9093,0.535,-0.0977,-0.1654,1.4127,0.482,1.4691,-1.0746,0.3524,-1.4976,0.7357,-1.4117,-0.3521,0.5391,-1.5705,0.2611,-0.93,-0.0477,0.6631,-0.5122,-0.9986,0.0651,-0.0261,-1.5782,0.4965,-0.7956,0.9052,-0.7274,-0.0152,1.3416,0.9092,-1.9457,-1.0226,-0.1294,-0.2716,2.2471,-1.2081,1.1587,-0.2692,-0.2736,1.2652,0.3241,-1.3213,1.2086,-0.2489,0.6599,-1.5365,-0.0245,-0.4329,0.2713,-1.1879,0.3817,-1.2814,0.8259,0.7007,0.0346,1.5527
-0.444,0.3202,0.2293,-1.8908,-0.8613,-1.0592,0.1933,0.1802,-0.8193,0.139,1.4853,0.9098,-0.1561,0.6572,0.66,0.256,-0.1931,0.1916,0.1349,0.9694,-1.0234,0.9076,-1.786,-0.4768,-0.7381,-0.1477,2.1994,0.7899,1.9226,0.7863,1.1021,0.5101,-0.9948,-0.6253,-0.1844,-0.6215,-1.0591,0.6214,1.2666,0.0916,0.1663,0.0877,-0.0035,-2.3156,-0.5545,-0.9713,-1.081,0.2991,-2.0456,-0.9609,-0.3366,-0.02,1.1356,0.4224,-0.4159,-2.6456,1.1303,-0.2923,1.306,1.0145,-0.522,-0.8701,0.4712,1.3457,0.4035,-0.6603,-1.7687,0.0461,2.1159,-0.0473,0.6283,-0.0743,0.0257,0.3817,-0.8869,2.3437,-1.0258,-0.1722,0.2049,0.8452,-1.5091,0.4531,-0.9899,-1.3837,1.1097,-0.2671,0.0438,0.2148,-0.2884,0.2477,-1.2015,0.6595,-0.1254,0.175,0.6111,0.1585,1.424
1.0672,0.1389,0.7064,-0.7636,-0.0885,0.0363,0.8178,0.1102,-1.1064,-0.5725,0.5482,-0.0771,-0.5277,-0.1959,-0.1092,-0.9813,-1.0328,-0.2908,-0.8109,0.1866,1.1959,1.9122,-0.4667,0.0973,-1.0144,0.4138,-0.1081,0.6232,0.3616,1.0421,-1.0012,0.9923,0.0914,-0.3084,-0.1963,1.3294,-1.2415,-0.0236,0.8889,-0.7491,-0.1805,2.1804,-0.779,0.3153,-0.6075,-0.0621,-2.1397,-1.2003,-0.5909,-0.8165,-1.0758,-0.9749,0.0335,-0.275,-0.7463,0.9625,-0.8938,1.2864,-1.5958,1.5234,0.3087,-0.5913,1.3952,-2.144,-0.7776,-1.2467,-1.0085,0.446,-0.2702,1.9991,0.3618,-0.726,0.4843,0.3302,-0.4538,1.3161,-1.9435,1.0371,-1.0835,1.5217,2.2477,1.4124,0.2582,1.9584,1.0828,1.9862,0.2866,0.02,-1.1488,0.538,1.4895,0.247,-0.1033,-0.7385,-0.5822,0.3743,-0.1528
0.0066,0.2716,-0.3564,0.9533,0.1989,-0.0732,-0.5553,1.946,-1.3167,-0.0998,0.1816,2.1277,1.3513,-0.6733,2.1368,0.6724,0.0408,0.1843,-0.6101,2.0134,-1.4524,-0.6258,-0.0309,0.3893,0.5544,0.9611,-0.3227,-0.771,0.3927,-0.3669,-0.6885,1.2206,-0.6544,2.5617,-0.4255,0.9474,-0.4046,-0.8576,1.342,-0.0032,-0.2757,-0.8139,0.1305,-1.2559,-1.6854,1.3111,0.1319,0.663,0.0024,0.5362,-0.8257,0.4709,0.5239,-1.6186,-0.4523,0.5696,-1.2124,0.0591,-0.1089,-1.3497,0.9102,1.8446,-0.1167,-1.6244,0.117,-0.2517,1.4003,0.4298,1.8013,-0.7067,-0.957,0.1011,-2.728,0.0643,1.309,-0.2737,-0.7243,-0.1673,-0.4654,1.6945,-0.2843,-0.115,0.5913,0.7424,1.873,0.6152,0.765,-1.5149,-2.5954,1.0935,0.7847,1.7433,-1.2548,0.2441,-0.4841,-2.305,-1.5377
-0.6983,1.4727,-2.174,0.0578,-0.6563,0.2672,-1.1087,-0.2373,0.8611,0.8859,0.0891,-0.0227,-1.3571,1.4495,-2.5877,0.4871,0.6682,0.4303,3.4144,-0.5661,-0.3037,-1.2639,0.6226,0.0587,-1.7703,0.1334,-0.0049,-0.4567,-0.1998,0.2211,2.1619,-0.5585,-0.4989,-0.9415,0.0833,1.856,-1.183,1.3639,1.8721,-0.5839,0.3199,-0.0176,-1.0455,0.4771,0.0775,-0.1403,1.5967,1.9946,0.9046,0.2135,0.3104,-0.3842,0.4086,-1.1171,-0.9919,-0.7456,0.0622,1.0165,-0.1571,0.1114,-0.0418,1.2584,-1.9906,0.7427,-0.5797,-0.4483,-0.4206,0.1865,-0.0349,0.1413,-0.3161,0.6608,-0.4717,-0.8686,-1.2,-0.7957,-0.8749,-2.4274,0.3096,1.359,0.8541,-1.4208,-1.9801,-0.6541,0.5715,0.0643,1.7663,-1.094,-1.5454,-0.6249,0.6296,0.8746,-0.9677,1.5502,0.0526,1.335,0.0279
-0.9355,-0.1709,0.6284,-0.3184,-0.9053,-0.7091,-0.5294,-1.6455,-0.7234,0.2049,-0.161,-0.3923,0.2825,0.1727,0.6202,-0.3335,2.2537,1.1487,-0.1104,-1.3212,-1.3237,1.3985,0.771,1.5527,0.3633,-1.1406,-0.1342,-0.3278,-0.2877,-0.5314,-0.5886,2.1948,-1.7255,-1.3774,0.5247,0.7599,-1.6371,-0.1986,1.1369,0.2248,-0.5875,-1.1518,-0.2576,-1.105,-0.987,0.4972,-1.5123,-1.0041,-0.0322,-0.8039,-0.961,0.3945,0.1098,-0.4414,-0.7014,1.8646,1.2601,-0.7924,-1.105,0.9237,0.1088,0.4447,1.4859,0.1795,-0.1142,0.3986,-1.1021,0.5184,-0.506,1.7434,0.107,-1.4135,-1.2202,-0.5134,-0.9548,1.1222,-0.2922,0.5798,0.2043,0.2491,0.4371,-0.2578,1.2499,-1.6912,-0.425,0.2811,0.4423,1.8249,-0.0664,-0.0107,0.8111,0.8012,-1.3381,1.9729,-0.6944,-1.19,-0.9882
