"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44"
-1.288,-0.2756,-0.2385,0.6482,-1.1878,0.7527,1.0048,-1.4508,-0.0854,-0.4436,1.7926,0.0719,0.8269,1.3794,-0.2907,0.1782,0.0723,-1.0206,-0.2316,0.3681,-0.4816,1.5612,0.4488,-0.4601,-0.5993,1.6217,-0.7932,0.0916,1.2096,-0.4539,0.2604,1.1054,-0.3264,-0.3677,0.3099,1.1121,0.9441,0.5453,-0.4451,-1.3117,-0.7936,-1.0657,0.024,-1.1374,1.8588,-1.3407,-1.1425,1.1134,0.9222,-1.7779,0.3361,0.1445,0.0582,0.8715,-0.4731,0.3713,0.1166,-2.2818,0.4095,0.0594,0.6941,-0.4437,-0.2222,-3.1349,1.5144,0.2517,1.2854,-0.4774,1.5721,1.631,-0.0262,-0.1198,1.7879
-0.5274,-1.0419,2.0913,1.0379,1.5663,0.5872,-0.9488,-1.8845,-0.5861,1.0902,-1.0913,0.0519,-1.5442,-0.6207,0.1304,-0.538,0.3068,1.1791,-0.048,-0.1673,0.6206,-0.6758,0.0728,-0.3255,0.1346,0.7696,-0.8092,0.8211,-0.5209,2.251,-0.2997,0.226,-0.0448,-1.2053,-0.4625,-0.8208,-1.5109,-2.1918,0.4496,-0.9459,-0.2223,0.4843,0.8071,-0.6212,-0.5682,-1.3423,-1.1491,0.2693,1.1446,-1.056,0.6593,0.6221,0.6372,-1.977,-1.3002,0.5785,1.7539,-1.0636,1.2553,-0.3542,0.7369,-1.7462,0.7943,-0.1337,0.1889,0.4058,1.3729,-1.6451,1.2316,-0.7631,-1.4737,-2.3251,0.5866
-1.4405,-0.4034,0.8837,-0.8087,-0.0782,-0.9218,0.1145,0.063,-0.6946,1.1413,-0.7107,1.2798,0.6961,0.0737,-0.6023,0.7856,-0.3123,0.0769,1.488,0.7959,1.3032,0.68,-0.4018,1.1305,-0.9093,-0.5832,0.9629,0.5555,0.9799,1.3536,0.3041,1.1627,-1.057,-0.6055,-0.0073,0.5822,-1.7049,-1.6089,-0.4048,0.7469,2.47,1.4314,1.1772,-1.0792,-1.8159,1.3714,0.0852,-1.4238,-2.9236,0.0122,-0.0057,0.4972,1.8311,1.163,-0.8123,0.1902,0.6756,1.8612,-0.9402,-2.1003,0.3919,-1.2117,0.1136,-1.8078,-1.4505,1.8471,-0.1147,1.5389,1.2752,1.079,0.5276,-0.2521,0.7643
0.8987,-0.1101,-0.8701,-0.1747,-1.1669,0.1233,0.4145,0.1767,0.7829,1.5409,-0.7429,0.5099,-0.2575,-1.1056,0.9835,-0.3395,-0.0503,-0.4512,-0.1786,-0.8311,-0.2062,0.0987,1.5667,0.8798,-0.0837,-0.247,-0.1043,0.6989,-0.4096,-1.5162,1.5413,-0.7283,0.7181,-0.9842,-0.6157,-0.8027,0.3764,-0.267,0.8416,1.3149,-1.0065,3.2089,-0.9188,0.568,-0.1539,-1.3673,-0.906,-0.2471,0.6678,2.0498,1.1339,-0.0355,0.2656,-0.1603,-1.2554,0.56,0.0974,1.6166,-0.0581,0.0955,0.0343,0.9246,0.7475,0.6145,-2.0728,0.5197,0.3647,0.6446,-0.952,0.0514,-1.1944,0.3419,0.5488
0.2094,-1.057,-0.7998,0.1461,-0.7036,1.1563,-0.7911,-2.0385,0.8449,0.7354,-0.0899,0.7866,-0.131,-1.0087,0.9444,-0.3728,-0.1841,-0.7709,-2.4595,-0.3138,-0.0818,-0.0462,0.7889,0.1951,-0.7839,0.1427,1.565,-0.0393,-1.2979,-0.2229,0.2579,1.2722,-0.4646,0.6962,0.4604,-0.4896,0.1958,0.1658,0.8193,0.98,-0.7856,0.9289,0.1227,-0.1078,1.3544,0.2215,0.6575,-0.9273,2.0441,0.7811,-1.2182,-0.8528,0.0526,-1.2389,-0.5963,-0.8603,-0.0629,-1.6403,0.4216,-0.8652,1.6802,0.7734,-0.1302,-0.6544,0.7175,1.2219,-1.1168,0.2403,1.2209,-2.2214,-0.5225,-0.9617,0.1353
-0.6709,1.1069,0.26,2.0216,0.725,-1.3164,0.8591,0.3383,0.222,0.2946,-1.0745,-0.6014,0.2317,-0.8693,0.0282,1.3851,-1.4612,-0.1522,-0.6183,-0.2608,0.5098,0.0947,1.0279,0.1827,-0.9315,-0.7274,-0.7591,-0.9511,0.1387,-1.7006,-0.4532,-0.934,-0.8002,0.0301,0.0091,1.3613,0.5073,0.0708,0.3721,-1.1206,-0.2738,-2.0456,-0.067,-0.3455,-1.0086,0.8581,1.35,1.0507,0.603,-1.7077,1.1626,-0.1142,-1.3442,1.7627,0.0026,0.78,-0.3713,-0.0465,-1.8051,-0.1061,-0.0373,-0.2503,1.0332,-1.5906,-1.1478,0.6509,-0.0569,0.6181,-0.5229,0.153,-1.0276,0.9152,-0.0833
-0.8428,-0.5948,-0.7419,0.376,0.1018,0.7947,1.1079,1.2007,-0.4167,0.6635,-0.3021,0.8355,0.405,1.0696,1.1408,-1.1874,0.9518,0.2336,-1.4933,-2.258,0.2653,-0.0925,-0.6392,-1.3911,-0.0367,0.9146,-0.1473,0.3569,-0.1119,-0.497,0.8714,1.2001,2.8419,-0.6769,-0.325,0.3016,0.7899,0.3186,-1.284,0.552,-1.4628,-0.9305,-0.3794,0.0549,-1.2597,-0.3424,1.7661,-0.0897,-1.2683,-0.9137,1.814,0.0306,-0.0952,1.2638,0.1463,-1.2703,-1.5032,0.766,-0.1169,0.4385,-0.3694,0.3235,1.9068,0.7304,1.4375,-1.1335,-0.4437,0.1221,0.1113,-0.6085,-1.4698,-0.77,0.3977
0.5254,0.3259,0.494,-0.7882,-0.7471,0.2426,0.3642,-0.4198,0.1007,0.1365,-1.5556,-0.8814,-0.2282,0.9284,1.7657,-1.641,-1.1768,-1.2508,-0.0815,-0.8272,0.4436,-0.9798,0.604,0.5111,-0.4407,-1.2344,-1.2308,1.2472,-0.5872,3.4662,-2.837,-0.8181,0.9856,-0.0691,0.7519,-1.3401,0.1705,-0.9641,-0.0829,0.8704,-0.5938,-0.8527,0.6213,-0.6817,0.0735,-0.166,0.2337,0.1046,0.2999,-0.1787,-1.974,-0.9486,-0.5165,-0.3746,-0.4819,-1.2042,0.1397,0.2722,-0.8421,-1.0528,0.257,1.185,1.6909,0.894,-0.3221,-0.5987,0.6232,-0.6062,-0.8945,-0.5866,0.2697,-0.5873,0.1574
-0.4845,-2.3849,2.0277,-0.3701,1.6857,-0.5004,-0.5773,1.6893,-0.5399,-0.2957,0.8087,0.0244,-1.6611,-0.9798,-1.4237,0.3462,1.6814,-1.3066,0.2145,1.1262,1.0113,1.6135,0.9698,-0.758,-0.2846,0.488,0.1923,0.828,-0.3869,0.9695,0.2458,0.9368,0.5044,-0.5341,1.2246,0.4614,-0.3532,-0.7161,0.9136,0.0286,0.4197,1.0328,-0.3365,0.5978,-0.6569,-1.7246,0.1134,-1.2967,-0.2603,1.1821,-1.4615,-1.185,0.0662,-0.0463,1.0528,1.4875,-1.6062,-0.2162,1.0954,3.0099,0.0619,1.0174,0.291,1.1082,1.3193,1.0503,-0.3222,-1.1515,1.3632,-0.1672,0.8376,1.397,0.1072
1.2328,0.0993,0.2222,-1.1299,-0.1278,1.6403,-0.6323,-0.2869,-0.3669,-1.3029,0.3326,-0.0083,-0.8883,0.3069,-0.0846,1.1284,-1.1529,-0.4614,0.6238,-0.0736,-0.6122,-1.3471,-0.3014,-2.3627,1.9979,-0.9976,-0.1995,1.13,-0.4445,-0.7046,0.4565,0.3034,-0.1634,-0.2404,-1.0277,0.7705,-0.3845,-1.5008,0.0861,-1.4321,0.6365,-0.1644,-0.6454,0.3506,-0.5534,-1.4516,-0.8508,-0.6895,-0.0909,-0.9632,-2.0399,-0.8725,-0.727,0.2032,0.7551,-1.2962,-1.2885,2.8254,0.6598,-1.1289,-1.3353,0.4976,-0.4852,-0.5266,0.3679,-0.9767,1.361,-1.3413,-2.0463,-0.8038,1.1859,0.1107,1.0081
