"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26"
1.5472,-0.4116,0.1955,2.4137,0.0256,-0.4576,1.1545,0.3798,0.2428,-1.1981,-1.0882,-1.4006,0.4981,-2.0093,0.1295,-0.5522,0.7625,0.2679,-1.0278,2.3765,-1.4087,0.0924,0.1953,0.8361,0.537,-0.7616,-0.0531,-0.9118,0.4229,0.5309,-0.2461,0.1131,0.9281,2.2747,-0.5603,-1.5055,-0.8684,0.5032,1.4457,0.6375,0.012,-0.3046,0.1528,-0.1443,0.5813,-0.5275,-1.1491,-1.4616,0.49,1.0057,-0.7879,-0.2906,-0.0167,-1.0613,1.2516,0.4471,-0.0511,0.0767,0.387,-1.2006,0.4498,-1.3401,0.8831,0.7604,-0.6601,-0.8443,0.4174,-2.0843,-1.151,0.3012,-0.7156
-0.7844,0.6989,0.8722,0.0863,-0.7734,1.1877,-0.1401,1.2687,-0.254,-1.1388,-0.2868,1.1787,0.2706,0.3521,-0.3599,-1.2664,0.1784,0.7351,0.0389,-0.4359,-0.788,-0.2738,2.1132,0.6427,-0.5568,0.022,1.2834,-1.5136,0.839,-0.6287,0.4004,-0.9255,0.9891,1.3392,0.1414,0.8485,-0.1832,0.4253,-0.6942,-1.5768,-2.4573,1.038,-0.1103,-0.8728,-0.9105,-0.1389,1.1088,0.9941,0.0273,-1.0814,-0.865,0.6033,-0.4884,-0.3725,0.3214,-0.1556,0.1264,0.6786,-1.3663,1.0809,1.9634,-1.1958,0.0217,-1.2434,-0.8456,0.7503,0.9536,-1.2691,-0.7004,1.2221,1.4089
1.3876,-0.5698,-0.1191,-1.1077,-1.2178,-2.2987,-0.2242,-0.1399,-0.1782,0.6615,-0.6118,0.0695,-0.9987,-1.0258,0.622,0.1253,2.1529,-0.0907,1.4334,-0.1131,1.0001,0.1579,-0.9024,0.3603,-0.2888,0.7004,0.8688,0.5864,-0.1577,0.7252,0.2627,-0.4604,-0.2071,0.9819,0.8969,2.0822,0.7325,-0.1153,-1.2863,-0.7809,2.522,1.4324,0.0407,0.6237,1.927,0.2325,0.1837,-0.1131,0.8659,-0.4055,-0.3319,-2.0891,-1.3036,-1.3439,-0.3943,-0.0586,-1.8437,0.2965,0.3305,1.5857,0.2759,-0.0027,0.6693,0.6982,-0.8585,1.1075,0.602,1.1139,0.9519,-0.6293,0.4858
-1.0618,0.6696,-0.0099,-1.0188,-0.4229,0.563,2.6653,0.5955,0.3769,0.0125,0.712,-0.1038,-0.3834,-0.1475,0.1756,-0.0707,0.4007,1.3601,-0.115,-0.6437,-0.6749,-0.7326,1.3419,-1.5935,-0.5368,0.3902,-0.5581,-0.4809,0.8256,-1.6466,0.3807,1.713,0.2136,0.8153,0.8845,-0.359,-1.6784,-0.604,0.2792,0.406,-0.9143,0.408,0.8718,-1.4848,-0.4876,-0.8047,-1.0782,0.907,0.1562,-0.8039,1.7184,-1.089,0.2264,-0.2903,-0.1262,-0.7217,-0.1187,1.3127,-0.7376,-1.5816,0.6627,-0.1469,-1.152,0.9946,0.813,1.6897,1.5622,0.254,0.0495,-1.1505,-0.0778
2.0002,-0.0993,0.5493,0.9826,0.9915,0.5397,0.4659,1.3581,0.2046,-0.1478,-0.4913,-0.7277,-0.533,0.5811,2.3869,0.4675,0.1257,1.1653,-1.2825,0.3008,1.9284,0.4296,-0.5782,0.9121,1.7991,-0.6306,1.7419,0.9817,-0.752,-0.6908,0.8499,0.2117,-0.0464,-1.0779,0.4679,0.3098,2.0791,0.8344,-1.173,-0.3681,-1.6882,-1.4999,0.7694,0.2743,2.748,0.6323,-1.4663,-1.3767,0.2565,0.5785,1.5012,-0.064,-0.2865,-0.0257,-0.5491,-0.1688,-0.0748,-1.2919,-1.7949,-0.3191,0.1034,-1.0343,0.7424,1.1924,1.1984,0.4676,-0.8631,0.7664,-2.2474,-1.2188,1.517
1.3551,-0.4118,0.8881,-1.9258,0.2143,-0.0439,0.5424,1.4484,-0.917,-1.6268,-0.2885,-0.4594,-0.1179,-0.5832,-0.491,0.9911,0.4507,0.7473,0.1222,1.0494,0.09,0.5551,-1.5463,1.1008,0.9339,1.2373,-0.2935,-0.8404,-1.3298,-1.5721,0.2305,-2.0975,1.371,-0.5885,-1.0187,1.8042,-0.7741,-0.769,-1.3901,1.6596,1.6719,-0.1826,0.9189,-1.5546,-0.6738,-1.6904,0.7231,-1.5049,0.2792,0.6364,-0.4091,1.5011,1.694,0.2506,0.33,-0.7235,-0.1303,-0.0137,-0.8638,0.2817,1.0785,-0.8773,-0.7371,-0.3813,0.8305,0.211,-0.8842,0.506,-0.1386,0.9186,0.9958
0.089,-2.1783,1.1553,0.9431,0.8284,-1.9042,0.0266,-1.4051,-1.5943,-0.1234,1.4078,1.8175,-0.0798,-1.1715,-1.0961,1.3983,0.4672,-0.0681,0.7969,-1.1575,-0.5632,-1.2829,0.7308,-0.4556,-1.291,0.5768,0.1563,-1.3427,1.3938,-0.2368,0.1416,0.7933,-0.7629,-0.28,-0.0186,0.8569,-1.138,1.171,-0.765,-0.2652,0.7199,0.4408,1.6782,-0.3655,-0.9811,-1.1494,-1.0255,-1.676,0.1229,1.0255,1.4457,-1.0233,0.1109,2.3933,-1.8418,0.3349,0.1494,-0.0744,0.9303,2.2934,-0.4962,1.3878,0.8309,-0.1136,0.0684,-0.3083,0.1228,-1.2937,-0.323,1.737,0.0935
-1.2472,0.0122,0.0239,0.0204,-0.5317,-1.6512,-0.4629,-1.9589,-0.2505,0.0476,0.6448,-0.2344,1.0849,0.6754,-0.4548,-0.2468,2.8269,-0.5578,1.2232,2.5357,0.8915,1.013,-0.5614,0.2625,-1.421,1.669,-0.968,-0.1196,0.4798,1.1236,-0.1326,2.1105,-0.2467,-2.106,1.2836,1.0789,-1.4976,1.1387,-0.2724,0.3975,-0.8983,0.8099,1.1269,0.7183,-1.9767,-1.5812,-0.0137,-0.5263,0.94,-0.3725,-0.0409,-1.7783,0.0336,0.2627,0.0068,-0.6711,0.5434,0.6532,1.0113,0.0406,-0.3092,0.2211,-0.1287,0.8599,0.392,0.261,-0.1586,0.9571,-0.4972,1.0784,-0.738
-0.4134,0.2269,-0.7555,-1.8459,0.4447,-1.0239,0.8883,1.0282,1.3515,0.8417,0.7351,0.5554,-0.7154,0.7092,0.797,0.2689,-1.2844,0.826,1.0516,-0.9563,0.2438,0.2878,0.098,-0.1792,0.1181,2.3213,-0.1816,3.2091,-0.4553,0.6335,0.1058,0.1436,0.4304,0.9244,1.4283,0.6535,1.6294,0.8539,0.9264,-0.954,-0.6674,-0.7481,-0.2381,0.5501,-0.1674,1.3201,-0.1552,0.5577,1.2131,-0.3717,0.6243,-0.8754,-1.1196,-0.1249,-0.1142,-0.6021,1.7148,-0.3076,-0.1197,0.3645,0.0245,0.6724,0.2751,1.8605,-1.2606,-2.2447,-0.0088,-0.2212,0.601,0.3892,-0.3264
0.0376,-1.045,-1.6333,0.0276,-0.669,-1.6672,-0.2277,-0.3525,0.6483,0.551,1.2851,-0.1415,0.3666,-0.4307,0.6618,0.3432,0.3424,2.6617,-0.4612,0.301,-1.4451,0.2388,-0.2039,-0.967,-0.4873,-3e-04,-1.3421,-0.1243,0.0591,1.7482,1.7121,2.0422,-1.5217,-0.2733,-1.4019,-1.8728,-0.8214,0.4392,-0.4406,-0.7667,0.7241,-0.1703,0.7698,-0.3922,-1.65,-1.8581,2.6802,0.5823,0.3439,2.074,-0.5237,-1.5891,0.3443,-0.3651,0.6681,1.4517,0.1756,0.8817,-0.4863,-0.293,0.4021,0.2852,-1.0714,2.4179,-0.6642,-0.8074,0.0491,-0.0849,-0.5203,-0.2454,-0.9859
