"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23"
-0.4748,-0.4404,-0.155,0.3288,0.2885,-1.5858,0.4695,0.8247,1.6939,0.885,-0.0707,-0.059,2.1134,1.2127,1.2328,-1.6153,0.9984,-0.8837,0.2579,1.4391,0.2161,-2.3974,-1.9684,1.2852,1.502,-1.2688,2.0751,-0.1427,-0.9559,1.1834,0.1359
0.5941,0.4979,-0.5195,0.0524,0.146,0.1235,2.045,-1.3163,-0.1502,-0.8136,-0.2303,1.1774,-0.1461,0.0179,0.6747,-1.1135,-0.9587,0.1761,1.0045,1.8622,-0.2322,-0.5189,-1.5915,-0.6523,0.6615,0.4411,1.7727,1.2044,-1.4712,-0.3675,-0.439
-1.2835,0.2893,0.0093,-0.0624,-0.212,1.4687,-0.7784,0.7392,-0.0933,-0.4838,0.5137,0.0546,-1.4092,-1.7123,1.1392,-0.4567,0.7537,1.2405,-0.6765,0.7975,-2.0199,-0.1337,0.0257,0.0713,-0.6196,0.8199,-0.132,-1.1765,-0.6053,1.0986,0.8114
0.9156,-0.217,0.6284,-0.1986,-0.4496,0.135,-0.0252,-0.9665,0.7952,-0.4097,-0.9942,0.5389,-0.7479,-1.0172,-0.6538,-0.8156,1.1715,0.645,-1.7758,-0.7238,-0.1859,-0.9966,-0.2935,-0.942,0.0761,-0.5289,-0.1568,-0.3114,-1.02,-0.4696,-0.18
-0.6241,-0.7813,1.3357,-1.8958,0.2696,-0.1701,1.0851,0.3112,1.5816,0.9503,-0.2205,-0.1788,-1.6872,0.5232,2.262,-0.1804,0.3198,-0.6248,0.9554,1.1218,-0.5999,0.4948,-2.8696,-1.9058,0.3125,-1.336,-1.7286,-0.9369,-0.4496,-0.0789,-0.7407
-0.7241,-0.7408,-2.0891,-0.8244,2.3582,0.9118,0.5413,1.4867,-0.8424,-2.3216,-0.8165,-3.209,-0.5078,-0.0078,1.5002,0.6068,0.3606,1.6547,-0.1917,1.1209,-0.656,-0.1911,0.7899,0.5113,-0.083,-1.1377,-0.0482,1.4498,0.8337,0.4098,1.2394
-0.7501,0.1439,2.7158,0.1751,-0.2012,0.2231,0.9764,-0.4974,-0.3965,2.077,1.06,0.9885,0.4789,1.7396,-0.8818,0.7226,-0.3729,1.7458,-1.7622,2.2672,-0.4882,1.2281,-0.5773,-0.7588,0.0503,1.4337,-0.7619,-0.7883,0.7126,1.3035,0.4965
0.8104,-0.955,-0.4253,-1.4247,1.1211,-0.9731,-0.0761,-0.2373,0.4623,-0.7435,0.9956,-0.335,0.1609,0.2902,2.1553,0.7307,-0.1484,-0.4267,-1.113,-1.5299,0.3109,0.5629,1.1265,-1.2235,0.5156,-0.7196,0.1145,0.8251,-1.1402,-1.3814,-0.335
2.6291,-0.9776,0.4106,-1.4354,-0.6408,1.0168,0.4538,-0.6067,-1.4042,-0.5657,-0.4537,0.5962,-1.4163,-0.3046,-1.1844,-0.8165,-0.1301,1.3626,1.821,-0.4116,0.0078,1.8927,0.4603,-2.139,0.7291,0.216,1.4265,0.1638,0.4981,-1.1875,0.3648
-0.4591,0.4838,0.5757,-0.778,-0.497,0.5718,0.0448,-0.6173,0.8297,0.5668,-1.1669,-0.6229,0.0157,0.4821,1.2847,1.5945,0.449,0.3126,0.5251,-0.3649,-0.2582,-0.3986,1.0037,1.5286,-0.4962,-0.2082,-0.0763,0.5794,0.0106,0.5252,-0.1254
1.2695,0.1698,-0.0594,-1.3803,-0.7443,-0.5829,-0.2942,-0.1069,-0.7598,-1.4143,-1.1735,-0.4982,-0.0047,0.4224,0.4494,-7e-04,-0.6239,-0.37,2.0327,-0.1508,-0.3387,0.7745,0.1097,-0.9914,0.4674,1.1113,0.2981,0.189,-0.2533,-0.7869,0.7801
0.2382,-0.6675,1.1636,-1.2311,0.5083,0.7639,-0.9276,-1.4305,2.231,-0.6432,0.2414,0.5926,-0.7164,-0.0798,-0.6377,0.619,0.9937,-1.2064,2.0115,0.4395,0.646,0.2868,0.3217,-0.288,0.1309,0.6141,1.0076,2.2726,1.5506,0.8352,1.4089
-0.6151,0.4201,0.2166,-1.2948,-0.2511,0.9228,-0.9664,1.2371,-1.2645,0.0566,-1.1377,0.2172,-0.6751,0.6932,0.752,0.6283,0.7543,-1.0565,-0.0159,-0.4199,0.459,0.8872,-0.6856,0.3596,0.1657,-0.9723,-2.3604,0.8383,-0.6114,0.5225,0.5682
-0.5441,-0.0693,0.0058,-1.1738,-1.2441,0.1245,-1.4772,-0.9064,-0.8049,0.6902,2.625,0.6504,-0.7591,1.7363,-1.7357,-1.3135,1.9019,-0.7371,1.2766,-0.8781,-0.9316,0.9508,0.6059,-1.4667,-0.1614,3.1005,-0.0855,-2.36,-0.5459,0.2876,1.6136
