"target","NS1","NS2","NS3","NS4","NS5","NS6","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40"
0.9484,1.2105,-1.4117,0.1839,-0.3421,-0.0572,-1.7548,-0.0283,-0.389,-0.1927,1.3755,2.1579,-0.4158,-0.1017,0.0929,0.7452,0.4804,-1.756,0.0856,-1.5082,0.9785,1.9331,0.1871,-1.213,0.0131,-0.5203,-1.0367,-1.1735,0.1377,0.0883,1.3551,1.9427,-0.3416,0.8664,-0.9214,-0.0327,1.3793,-0.7219,1.661,-0.773,1.7372,1.7568,0.0101,0.5147,0.9998,0.4767,1.1702
1.5192,0.7136,-0.1722,0.0707,0.934,1.6644,-0.346,0.9293,0.0211,1.2753,0.2482,0.3524,-0.6548,0.3681,-0.6652,-0.9954,0.3631,-1.5928,-1.1716,1.8957,-0.8495,0.5067,1.3056,0.1495,0.2089,-0.7914,-0.9673,-0.3266,-0.9092,0.2287,-0.4248,-0.0692,0.5865,0.7661,-2.5127,-0.6238,-0.5308,-1.1131,0.118,0.6841,-1.0863,0.9335,-0.0181,-0.3214,0.9969,-0.7124,-0.051
1.9565,-0.3014,-2.6969,-0.966,0.7282,-0.0995,-1.0114,0.229,-0.8704,0.639,0.4234,-0.6669,0.6209,1.0846,0.7709,2.5754,1.7669,-0.3474,-0.7583,0.8132,0.1556,0.7504,-0.1142,-1.0591,2.004,1.609,0.4664,1.8952,1.3446,-1.3353,0.0808,0.9123,-0.5232,-0.5829,-0.9913,-0.4752,-1.7898,0.4838,0.0175,1.0756,-1.122,-1.4826,-0.95,0.5844,0.076,-1.1083,-0.883
-0.5094,-1.0393,0.4541,0.7241,0.6171,-0.0698,0.0774,-1.4851,-2.3104,-0.6711,-1.7842,-0.352,1.3646,0.3296,0.5513,0.7831,-0.6452,1.4142,1.6285,-1.6444,-2.1116,-0.5385,-0.2611,-0.4315,0.5126,-1.2743,0.4597,0.2284,-0.723,0.6418,-0.4816,-0.7473,0.9332,0.5771,1.1718,-0.1381,-1.5986,1.2973,1.2633,0.6563,0.5036,-1.2228,1.8862,0.3748,-0.4213,-1.4343,0.1657
-0.6898,1.1657,-0.4219,-0.5222,-0.5191,0.4148,0.26,0.5965,0.9619,0.1141,-1.8663,-0.6889,-1.9983,-0.3544,-1.4287,0.2981,0.4835,0.3561,0.8854,2.3434,0.6511,0.6279,0.0931,0.2315,-1.1765,0.4604,-0.7404,-1.0396,0.3433,-0.4077,0.4726,1.7354,-0.9389,-0.3376,-0.6761,-0.809,1.3319,1.7591,1.4601,-0.6867,2.0573,1.0873,-1.3328,1.7131,0.4783,-0.5172,-0.9596
2.7358,0.2987,0.4693,0.5125,0.4028,0.0385,-0.9753,0.2804,-2.3661,-0.4123,-1.1076,1.4241,0.5141,1.2,-0.2132,1.4243,-1.0077,1.5369,-1.4012,-1.4402,0.1115,0.3925,0.4417,-0.6128,-0.4878,0.2699,-1.4063,-2.4367,1.0244,0.198,-0.6081,1.0997,0.9242,0.383,1.7091,0.3164,1.3098,-0.2221,0.1737,-1.1756,1.3635,0.3961,-0.1469,-0.8615,-0.3615,-0.6518,0.9598
-0.4227,0.684,-0.7214,0.1319,-0.4303,0.801,-2.1278,1.087,-0.1232,0.1985,-1.0275,-0.9634,0.5861,-0.2446,1.5397,-0.7623,-1.0735,-0.1789,-0.6653,0.3805,0.5041,-0.7342,-0.2573,-1.2285,-0.7143,-0.3281,-0.397,1.0346,1.7066,0.594,-1.7382,0.8646,0.4939,-0.0785,1.5646,0.7352,-0.1545,0.057,-0.3811,-0.0881,-0.7493,-0.0098,1.0459,-0.2729,0.0665,1.4581,-0.6955
-0.2596,1.3745,-1.6219,1.0307,-1.4467,0.3236,1.3763,0.8936,0.2311,1.0823,0.2037,1.0748,0.5382,0.2235,0.7364,-0.7374,-0.1535,-0.0788,-1.5509,0.1825,2.0141,0.6221,0.3843,0.6009,-0.1344,1.072,0.5556,-2.4178,0.3578,0.7758,2.1494,-0.6601,1.0681,1.375,-0.0979,-0.7869,-0.8139,-0.5777,1.3121,1.2597,-0.0751,0.8773,0.0577,-0.7787,-1.0838,0.0625,-0.0661
-0.3095,0.311,-1.8167,0.1905,1.3273,0.8187,-2.5501,-1.7335,-1.0941,-0.3588,-0.7014,0.3102,2.1445,1.6089,0.4116,0.2975,2.0099,-1.01,1.2305,0.0309,0.6461,-0.3114,-0.3044,0.2054,-1.2928,0.0103,-0.3176,-0.2967,0.9714,-0.8933,-0.575,-1.2329,0.6867,-0.2001,1.4657,-0.4568,1.024,-0.7848,-1.3007,-0.91,0.3105,-0.2791,0.5948,0.1097,-0.4672,-0.7122,0.2822
3e-04,-0.1538,-0.3911,1.9796,-0.5347,-0.7803,0.0959,0.2068,-1.8654,0.0085,-0.3046,0.5627,0.6572,-0.1251,1.0943,-1.5701,1.6296,-0.7989,0.6285,0.3932,-0.3054,0.4238,0.516,1.3988,-1.1726,0.3601,0.4109,-1.8938,-1.506,0.1663,-0.2923,-0.16,0.7188,-0.7621,-0.6657,0.1499,-0.2156,0.065,-1.9039,0.157,-1.1732,0.1902,-0.6287,0.4041,2.2546,0.8401,-0.0421
