"target","NS1","NS2","NS3","NS4","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17"
0.394,-0.2902,0.8841,-1.6912,-0.6044,-0.3663,-1.2718,2.382,-0.9644,0.0446,-0.0624,-1.5702,-2.2763,-0.4488,0.8556,0.1112,-0.8167,-1.8441,0.5076,-0.0421,-0.7204,0.6806
1.5415,1.5204,0.8718,-0.0089,-0.0634,-1.543,-0.6536,-0.0667,0.6445,-0.6173,-1.0511,0.8962,0.6692,-0.0531,0.0226,-1.3387,-2.4068,-0.0821,0.2739,-0.1513,-0.1622,0.0512
0.5742,-0.7507,0.6469,-1.0094,-0.5573,-0.2062,-0.4016,0.0368,-1.1935,-0.0477,0.9416,-0.6255,2.6656,0.0962,1.1487,-0.9053,-0.3551,-0.4378,0.5969,-0.6162,-0.9387,-1.26
-0.8585,0.838,0.7813,-0.028,1.4195,0.5894,0.2277,0.272,0.0109,0.8321,1.9297,-0.6052,0.6337,-0.292,-0.417,0.0713,-1.8044,1.0044,0.0897,1.1903,0.5261,-0.5007
0.3732,1.4112,0.7446,-0.9475,-1.4047,0.3269,0.3636,-0.4195,-0.4244,0.6662,-0.3158,-1.391,1.7748,-1.2326,0.2605,1.78,0.8957,-0.0167,-0.3731,0.0609,-0.3508,0.63
-0.3137,-0.125,0.9788,0.8049,-1.898,0.5466,-1.0974,0.0137,-0.5252,0.5977,1.0652,-1.2669,2.2911,-1.9743,-0.2922,-0.0832,-0.8526,-2.4698,2.3658,0.4318,1.0303,0.7362
-0.5398,0.151,0.7746,-1.0992,1.7429,-0.702,-1.0828,0.1316,0.365,1.0986,0.1695,-0.6807,2.2076,-0.6253,-0.3977,0.9858,-1.3577,-2.2502,-0.0696,0.8452,-1.0841,0.4723
0.4218,-0.4327,0.2686,-0.387,0.7258,-0.2092,0.0116,1.2953,0.0209,-0.4681,-0.8035,1.5519,-1.2688,-1.5713,0.2001,1.1939,-1.1009,-1.0649,1.7286,1.8645,-1.9207,-0.2447
-1.1892,0.5884,2.7191,-0.1547,-0.1209,-0.8622,-0.2244,1.2753,0.3838,0.0811,-0.2087,1.6638,0.8645,0.686,-1.6388,-0.9779,-1.3203,1.6244,-0.9188,-1.272,0.728,-0.4452
0.785,-2.7444,-0.2585,-0.3855,0.5507,0.1896,-0.3176,0.1634,0.3642,-1.5755,-0.2842,-1.7952,0.0229,1.5137,0.8066,-0.5525,-0.7134,-0.8099,-0.5375,0.3557,-1.8414,2.3338
-1.5071,0.9263,0.8326,1.5755,0.3764,-0.058,-0.5714,0.5109,0.8446,0.1759,-1.0128,0.077,-0.0834,-1.3577,0.4952,1.4915,-0.2839,-0.1178,0.1431,-0.5927,1.8408,-1.5565
-0.8301,0.4569,1.068,0.152,-0.0682,0.9261,-0.8024,-0.4975,-2.1598,-0.3509,0.2607,1.7319,1.2993,1.964,-0.1005,0.6982,-0.3167,0.9658,-2.0595,1.5198,-2.1168,-0.4533
1.1332,-1.6408,-0.2547,-1.097,-0.2759,-0.3828,-0.7447,2.3466,1.6738,-2.6105,-0.2197,-0.6379,0.1251,1.3166,-0.6665,1.5693,0.7725,-2.0843,-0.274,0.3387,-0.2153,-1.0559
-0.6967,-0.6251,2.3,0.1079,-0.5377,0.0713,0.9063,-0.9511,1.4037,-0.9313,-0.7679,0.3209,0.9003,0.5557,0.5058,-1.8787,-1.2662,-1.133,0.6969,-1.3988,-0.2637,-0.7834
-0.6768,0.7987,0.7066,1.1674,0.8144,-1.4295,0.5751,-0.4211,0.4787,-1.083,-0.2901,0.0447,0.8884,0.7289,-0.6977,-0.231,0.7117,-0.6688,1.8235,1.2524,0.558,-0.7628
1.8006,-1.1455,-1.8307,-0.6413,-0.6161,-0.6444,-0.4178,-1.5609,0.0739,0.5127,0.0316,0.6334,0.3677,-0.5371,-0.4702,0.2428,1.387,-0.7254,-1.3308,-0.4027,0.5772,0.5602
-0.292,1.7551,0.912,1.055,0.2106,0.6045,-0.5398,0.5032,-0.2127,-0.482,-0.3005,-1.8446,1.7982,-0.5492,0.0543,-0.845,-0.4382,-0.3234,-0.1968,-0.4015,0.0717,1.6954
-1.2771,2.8101,0.407,0.4426,-0.5914,-0.4559,-1.1389,1.3044,-0.0166,-1.1858,-0.1188,-0.5264,1.4732,0.0041,-0.88,0.0955,-0.1803,-0.2737,1.0938,-1.713,0.3268,0.0387
-0.9355,0.7752,0.7937,-0.4115,1.2052,-0.0995,-1.3968,0.8105,1.4684,-0.5643,0.2743,-0.5076,-0.6129,-0.2114,-0.2989,-0.715,-2.16,0.5227,0.0105,-0.8179,0.0986,-0.4559
