"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NS47","NS48","NS49","NS50","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35"
-0.7468,0.6567,-1.6853,-0.3341,-0.1968,-0.9064,-0.5217,0.0371,1.4462,1.7408,-0.9774,0.8404,1.3687,0.6914,1.1153,-0.9276,-0.6608,0.5122,0.6593,2.0947,-1.9788,-0.2196,-0.307,-1.9272,-0.8951,0.1114,-0.6577,0.5229,0.4893,-0.236,0.9698,-1.9338,-0.2218,-0.1599,-0.9228,1.3357,0.3272,-0.7537,-0.244,-0.2539,0.7208,0.3483,2.1216,0.1186,0.4587,-1.4064,0.872,1.6405,-1.1157,0.9814,-1.7452,2.0263,1.1344,0.0528,1.1343,0.3012,0.5049,-1.0458,-0.3905,1.0524,-0.4543,-0.875,1.7357,0.1228,-0.6603,0.0317,2.3778,-0.3894,0.8027,-1.06,-0.2913,-2.3758,-0.3317,1.113,1.8284,-1.059,0.4115,0.0105,0.4332,0.7526,1.8482,2.8773,-0.7482,-0.0595,-0.9216,0.7562
0.0026,0.167,-1.0253,-0.1641,-0.1296,-0.753,-1.8467,0.124,-0.3179,0.1983,1.117,0.8525,0.5661,-1.8037,-0.6918,-0.2204,0.8688,-0.7299,0.4516,0.5377,0.2819,-1.3728,-0.0566,0.383,-0.3628,0.202,-0.75,-0.544,1.072,0.7092,-0.0472,0.6547,0.3813,1.1294,0.7936,0.174,0.1664,0.7121,0.8333,1.2356,0.2167,1.0471,1.2315,0.8353,-1.1367,-0.5334,-1.2458,-2.5075,-1.3498,1.6096,0.0615,0.0622,1.031,-0.1739,0.0359,1.1904,-1.4659,0.4866,0.9068,-0.0815,-0.6339,2.4613,-0.1492,-1.3527,1.0853,0.3374,1.4304,-0.1382,-1.22,-0.8319,0.5122,-0.6707,-0.9388,0.1216,0.8874,-0.2904,-0.1377,-1.3541,1.0443,0.6434,-0.7387,0.3445,1.03,0.6751,0.6858,-0.5577
0.1519,0.6808,0.1995,2.0639,-0.2194,1.2211,-0.5325,0.6838,-0.0873,-0.4648,1.5211,0.9635,-1.2025,0.8174,-0.528,-1.3055,-0.0293,0.1512,-1.7673,1.1643,-0.8189,0.4958,0.9012,-0.0033,0.8122,-1.4538,-0.512,-0.7018,-0.108,-0.3098,-0.6532,-1.4504,1.2133,-0.3191,-1.4478,0.8446,-0.3725,0.3451,-1.6709,0.1786,0.755,-0.0025,0.138,1.6528,-1.254,-0.1747,-0.7204,-0.5062,-0.3636,1.4169,0.2931,-0.3975,-0.778,-0.9941,-1.1943,0.0334,-1.2869,-1.6439,0.0549,0.9218,0.1344,0.1309,0.384,-0.1147,-0.4918,-2.1098,-0.0158,0.0603,1.0536,-1.5161,2.123,-0.8278,-0.0209,-2.0316,-1.4192,-1.365,-0.5297,-2.1252,-0.9662,-0.019,1.0854,-1.5702,0.2934,1.2393,-1.491,-2.0424
-0.8322,0.5929,0.9492,1.0295,0.0503,-0.2402,-0.1747,-0.9778,-1.5256,-1.6727,0.2016,0.0044,0.12,-0.0995,-0.7731,-0.5912,1.7351,-1.1822,1.2764,-0.6614,-0.7609,-0.0549,-0.0369,-0.1657,1.9776,-1.9921,-0.4211,-0.5206,-2.0551,1.4187,0.1679,1.4857,2.1914,-1.4848,0.47,0.6477,-1.6344,-0.205,-2.4267,-1.7561,-0.617,-0.9553,0.7517,-0.4277,-0.1213,1.2502,-1.3037,-0.9876,-0.2417,-2.3008,2.9072,-0.6569,-0.2174,-0.5887,0.2443,1.3935,0.3408,0.3373,-1.2204,-1.0595,-0.1626,-0.291,-0.7499,0.7765,-0.4754,1.916,0.166,0.0755,1.8963,-0.2408,0.1724,-1.8741,-1.2287,-0.8171,0.5347,0.1254,-1.6614,-2.0994,1.8715,-1.8854,0.7659,0.1442,-0.4859,0.0986,0.6673,0.5479
-0.8142,0.7822,-0.1711,-0.066,-0.8692,-0.4319,-2.6628,0.5945,0.0154,0.0595,0.6387,0.1716,0.3898,-0.61,-0.2552,0.3082,-2.0244,0.4525,-0.8468,-0.0922,0.0257,-1.2449,-0.3587,-1.7081,0.8181,-0.0171,1.2669,-0.921,0.0474,1.2505,-0.4754,0.5025,-0.4167,1.7088,0.5692,0.8207,-0.509,0.0684,-2.0655,0.1533,-0.7627,1.3916,0.3231,0.0518,-0.3846,-1.3507,-1.4906,0.8666,-0.079,0.7678,0.4295,2.0043,1.0151,-0.0836,0.6599,0.318,-0.5659,0.6673,0.101,-1.847,-0.6327,-0.7476,-0.0485,-0.0342,-1.4506,-0.3696,0.6435,-0.3446,0.5492,0.347,-1.2601,-0.1274,-0.7576,0.2977,1.7348,-0.9687,-1.5514,0.8487,-1.7332,0.0064,0.4951,0.769,0.003,-0.8854,1.0409,-0.2264
0.8386,-0.6999,-0.7406,0.3399,-1.4026,1.8938,-0.0307,0.2884,-1.9385,-0.3196,1.6524,0.9967,0.2618,2.0055,0.8593,0.7204,-0.4114,0.6286,-0.6534,0.8308,0.4753,-0.9238,-0.2989,0.7464,-0.721,-1.266,-0.23,-0.3952,0.0458,1.3086,2.3732,0.0208,0.479,0.0628,1.5542,-0.2751,0.151,1.8846,-1.5874,0.2831,-0.1101,0.297,0.1417,0.7145,-0.4714,0.0095,-0.2447,1.3882,-0.1649,-1.4258,1.9728,0.3017,1.7857,-0.8103,-0.0086,0.7748,-0.7306,0.3134,-0.7948,-0.7788,-0.5962,-0.604,-0.7595,0.6293,-0.5935,0.1318,-0.739,0.8384,2.1011,1.1851,-0.0674,-0.8275,0.3601,-0.8939,-1.505,0.6153,0.3042,-0.1597,0.5582,1.9615,0.2933,0.1834,-0.5188,0.5245,-0.1043,0.2051
0.0239,-0.6107,-0.9088,1.3197,0.5696,0.8424,-1.2131,-0.3284,-2.2178,0.5036,-0.8977,-0.3559,-1.2257,0.8134,-0.3027,-1.5109,-1.85,0.9084,0.646,-0.7782,0.2365,1.2878,-0.7539,-0.3753,-0.4727,1.2121,-0.9846,1.0794,-0.0887,0.7348,-1.7705,1.2275,-0.5485,0.124,-0.043,-0.6047,0.709,-0.1021,-1.172,-0.2912,-0.3815,1.5171,1.4757,-1.0804,-0.3294,-1.0427,-0.5805,1.4772,1.344,-1.5421,-0.481,1.2673,0.832,-1.3118,2.0973,0.13,-0.5445,0.5223,1.084,0.2498,0.3663,-0.5277,-0.4965,0.4697,-1.2324,0.0262,-0.1113,0.489,-0.0833,-0.3377,-1.4163,0.5317,-0.3842,-0.016,1.5566,0.5641,2.144,0.714,-0.2119,2.4963,1.1861,0.6539,0.0694,-0.8938,-0.5603,-0.7025
-0.0709,-0.0784,0.5753,0.8506,2.0143,-2.6898,-0.1094,-0.4908,1.3174,-1.2876,-1.6815,0.0163,-0.5973,-0.5969,-0.6184,1.295,-0.0393,-0.0746,0.0126,0.5295,1.164,2.2108,-0.4639,2.1199,-1.8505,0.6378,0.6213,0.799,-0.2381,-1.8791,-0.843,-0.1015,0.1895,-0.1903,-1.7039,0.4945,0.6333,-0.9319,1.0412,-0.3917,0.6166,-0.4071,-0.753,0.7023,1.5299,0.4676,-0.9437,1.2943,0.9447,0.7752,0.722,-0.5344,0.4338,-0.5699,2.7495,-0.4566,0.0617,-2e-04,-1.7986,0.507,-0.5413,0.308,0.3718,0.0499,0.8067,0.742,-1.0462,-0.7807,0.7141,2.038,-0.9838,1.4729,1.6721,0.48,-0.5441,0.6046,-0.1556,0.9636,0.9668,0.2229,-0.7091,0.1056,-0.6321,0.4637,0.6106,0.3398
0.4807,1.6934,0.9723,0.1574,-1.7695,-2.0215,0.1425,0.6688,-0.1687,0.4377,0.0487,-0.7032,-1.3823,0.3026,-1.9677,-0.2597,1.5997,-0.194,0.2159,-0.0944,-0.2368,-0.0527,-0.1844,-0.5035,0.5884,0.795,-3.4075,1.3796,0.4068,0.9171,0.1638,-1.479,0.6075,0.3993,-0.3231,-0.5077,-1.4685,-0.0555,-0.7181,-0.371,0.3119,-0.0623,0.2397,-0.4061,0.5981,-1.386,0.3728,0.8056,-0.5903,-1.3844,-2.2175,1.3002,0.1639,-1.0335,0.484,0.7818,0.8452,0.8353,1.2693,0.5149,0.9542,0.0909,0.5924,0.8947,1.5139,0.601,-0.3545,-0.4165,0.2632,-0.3283,2.0848,-0.7928,-0.338,-0.8058,0.057,-1.042,-1.1046,-2.0431,0.1307,-0.1862,-1.1787,-0.8418,-0.6943,0.9116,0.9357,1.5146
0.6924,1.4292,-1.3656,-0.4534,-0.9356,0.9712,1.6929,-1.1208,0.5986,-0.6293,1.1048,-0.1583,-1.9708,0.0922,0.7692,1.09,-0.2158,0.9435,-0.3733,-0.7909,0.5674,0.602,-0.7516,-0.8916,0.8422,0.4213,1.7074,0.6027,0.2963,-1.2562,0.2829,0.5291,0.72,0.4366,0.6599,-1.0645,1.1451,-0.1282,0.974,-0.2655,3.0172,-5e-04,-1.4316,-0.6767,-0.4362,-1.0211,0.9824,1.2107,0.5784,-1.4085,0.1006,-0.5384,0.9129,0.4821,-0.1555,-0.6337,0.7871,-1.0097,-1.8164,0.0951,2.0705,1.4529,-1.3873,-0.4331,-0.4342,-0.1297,-1.2917,1.4042,-0.6192,-0.2832,0.4133,-1.6521,-0.8836,-0.2669,-1.7838,-1.6041,0.3279,0.5272,0.452,0.0608,1.4334,2.2145,0.3896,-0.6605,0.006,-1.1122
