"target","NS1","NS2","NS3","NS4","NS5","NS6","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20"
0.7682,-0.5605,-0.3707,-0.4169,-0.101,1.3355,0.4922,0.3814,0.5683,1.5384,0.7895,0.5898,1.0705,-0.1056,0.5103,1.4243,0.2075,0.5783,2.2145,1.3259,1.4102,-0.9895,-0.3669,-0.2807,0.249,1.4479,0.1621
-0.2004,-0.2302,0.6444,0.2982,-1.3598,0.0073,0.2678,-0.7835,1.0107,-0.1097,1.5165,1.0966,-1.3511,-0.7305,-0.3331,-0.7841,0.8498,1.3647,0.9694,-0.6982,0.6435,-0.0528,1.0946,0.7341,1.4251,0.3491,-0.6516
0.7663,1.5587,-0.2205,0.6366,-0.6648,1.0176,0.6533,0.583,-0.518,0.5115,-0.1918,1.4457,-0.5226,1.905,-0.066,-0.6524,1.2246,-1.7016,0.768,-0.7494,-0.8213,0.8236,0.2092,1.5373,-0.6018,0.1808,-0.5593
-0.5149,0.0705,0.3318,-0.4838,0.4855,-1.1884,-0.1227,-1.3165,-0.2941,0.214,0.2839,-1.9251,-0.2492,0.3326,-0.1152,0.6508,-0.7018,-0.2807,-1.1083,-0.6196,-1.5459,-0.2555,0.4325,-0.4558,-1.7145,-0.5602,0.3332
-0.3545,0.1293,1.0968,0.5169,-0.3756,-0.7216,-0.4137,-2.8098,0.3978,-0.1861,-1.7511,0.4128,-0.9958,0.2306,-0.6505,0.183,-0.3512,0.0651,-0.7862,-1.585,-0.8265,-0.2207,-1.2409,-0.0327,1.0478,-0.1639,-1.0589
0.8688,1.7151,0.4352,0.369,-0.5619,1.5192,-2.6431,0.465,-0.5502,-0.1204,-0.8187,1.5934,-1.04,-1.6919,-2.0187,0.5488,-1.7271,0.5786,2.2841,0.8196,0.0345,0.3077,1.4968,1.6368,-0.6086,0.3737,-0.0858
0.6877,0.4609,-0.3259,-0.2154,-0.3439,0.3774,-0.0929,0.8405,0.0913,1.0128,0.0562,-0.414,-0.018,0.6598,0.3488,1.4047,-0.7366,-1.1692,-1.0933,0.1924,0.8881,-0.06,0.1594,-0.329,0.1203,-2.0637,0.4979
-1.5554,-1.2651,1.1488,0.0653,0.0905,-2.0522,0.4303,-0.2858,-1.9617,-0.2015,0.2991,-0.2122,-0.1322,-1.0236,0.7616,0.3871,0.6224,0.8062,0.2145,0.2072,-1.9399,-0.5557,-0.8563,-2.604,1.719,-0.6015,1.634
-0.5938,-0.6869,0.9935,-0.0341,1.5985,-1.364,0.5354,0.5041,-1.1199,-2.0377,-0.7594,-0.0365,-2.5493,-0.8915,-1.2887,1.0517,-0.2907,0.3074,0.8926,-0.0433,1.0232,-0.1386,0.309,0.514,-0.2504,0.586,0.4795
1.1148,-0.4457,0.5484,2.1285,-0.0886,-0.2008,-0.5553,-1.1559,-1.3278,-0.1959,2.6849,0.365,1.0406,0.9183,1.4824,0.6229,-0.2142,0.2638,1.0188,-0.5102,0.0055,1.8828,0.8704,-0.8865,1.5496,-0.2945,1.7148
