"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46"
-0.2083,-0.3215,0.2787,-0.0132,-0.6262,0.5485,1.6819,-0.2189,-1.2404,-1.6273,-0.9905,0.6071,-0.1365,0.6032,0.2005,1.7748,0.9367,-0.1966,0.2983,-1.8571,0.6819,0.4928,1.2751,0.0853,-0.6475,0.594,-0.5203,0.1025,0.0231,-0.1714,0.683,0.9698,-0.8629,-0.738,1.6517,1.3897,-0.3007,2.0464,-1.3958,0.71,-0.7758,0.6692,0.8071,0.1621,0.349,0.0177,-0.3286,0.4715,1.3332,-0.6426,0.3888,-0.3074,-0.4499,-1.4939,0.5953,-0.9632,-1.7377,-0.542,0.9372,-0.0581,1.0699,0.3393,-0.0446,-0.2338,0.7685,-0.6411,-0.1756,-1.0561,0.3783,-1.6804,0.8607,2.2506,0.6862,1.6858,-1.0066
0.0569,-0.7561,-1.2173,-0.2668,1.2864,-0.3122,0.9698,-1.2752,-1.1956,-0.0102,1.0625,-0.3666,1.1704,-0.3782,-0.1365,-0.1378,0.2245,-0.0482,-0.0444,-0.9938,-0.2739,0.7128,0.1048,-0.5793,-1.2326,-0.1616,1.1244,0.6459,0.9893,2.0136,-1.0585,1.2579,-0.6104,1.4013,1.0338,0.6423,-0.3164,1.0635,1.2035,-0.8174,-0.2557,0.4445,-0.028,-0.2827,0.6479,-0.2755,-0.9532,-0.0218,1.8387,-0.5947,0.2187,-0.622,1.1152,0.6307,-0.6242,-0.8254,1.3926,-1.9736,1.897,-0.0318,0.1049,1.3041,-0.0248,1.1123,0.5896,0.4507,0.202,-0.1021,-0.9936,0.7677,0.9395,0.4337,-1.0355,-1.6184,2.408
0.4023,0.2868,-0.0674,-1.2377,0.3974,-1.2934,-0.1978,0.5215,0.9714,-1.169,-0.6745,-0.6258,0.8096,0.2595,-0.0595,-0.595,1e-04,-0.2881,-1.7116,0.5779,0.0379,0.1367,0.2219,0.1811,-0.7935,-1.4827,-0.6456,-1.6303,0.1117,1.0756,1.5258,-0.3319,1.2209,-0.0201,-0.3441,0.4761,1.8862,-0.9859,1.3297,1.0231,1.8604,-0.5577,-0.6675,-0.4945,-0.3726,0.1088,-0.0046,-0.8715,0.5623,-1.7101,-0.24,0.307,-0.3912,0.5753,-1.2496,0.5887,0.3952,0.224,0.1409,2.3011,-1.8564,1.3442,-0.2197,1.1685,0.6958,0.3185,-1.0454,0.1534,0.8689,0.9562,-0.7933,0.1275,-0.1376,0.0405,0.636
1.2303,0.2012,1.1882,-0.4612,-0.1446,-1.2873,0.7441,-1.1082,-0.7069,-0.7035,-0.0648,-1.2628,-0.1086,1.0896,2.1422,0.4766,0.958,-0.2883,-0.0454,0.8082,-0.7532,-0.2345,0.9654,0.1994,-0.8077,-1.3406,-0.293,0.7227,0.2314,-1.0864,-1.6251,-0.0992,0.9252,0.0116,-2.0208,-0.3673,1.7085,0.9815,0.5474,0.4754,1.6893,-0.1866,0.5269,1.3671,1.2815,1.2452,-1.0554,-0.8661,-0.4026,-0.8066,-2.2496,1.6152,0.1803,-1.2539,-1.052,0.5814,0.2499,-0.6483,-0.0479,0.5645,0.7671,-1.0444,1.1396,-0.7316,0.4486,-1.1209,0.9065,0.0474,-1.8176,1.0849,-0.811,0.7114,-1.0518,-1.4031,-1.0493
0.7521,0.0786,2.4558,-0.7767,0.6313,0.3997,1.8452,0.058,0.3664,0.5358,1.0351,0.1159,-0.2365,0.6689,-0.1499,-0.9297,-0.3849,-0.5564,1.4665,0.6924,0.1137,-1.7133,0.8868,1.4173,-0.6968,-0.6789,0.276,-0.0715,-0.746,-0.2467,-0.9808,-0.5658,-0.2995,-0.6133,0.6814,-0.9539,0.3953,0.266,-0.067,-2.1594,-0.9152,-0.3219,0.3091,0.1037,-1.2529,-0.021,1.5466,0.459,0.3125,-1.2892,-0.3679,-0.1286,-1.7738,-0.3611,-0.67,0.8651,-0.2685,0.9059,0.8455,0.4993,0.0863,0.773,-0.9726,0.7593,2.5174,0.6142,-0.5358,0.5048,-0.2243,0.6349,0.0185,1.0786,-0.966,0.0407,-3.1441
0.2494,0.6846,-0.508,-1.486,1.5757,-2.006,0.3181,1.2147,0.3262,0.7696,0.3096,-1.5335,0.1984,0.201,0.2262,1.2149,1.5601,0.2618,-1.1317,0.0107,-0.8637,1.2476,-0.4355,-0.2646,0.3431,0.3475,0.7668,-0.4425,1.9078,-0.1334,-0.1253,-1.6809,-0.7191,1.369,-0.9101,-1.2572,1.2527,-0.8881,0.6942,-1.4455,-0.0821,-1.0687,0.6341,-0.4711,-0.0971,-0.8255,-0.1083,1.2306,0.532,0.4251,-0.4263,1.2309,0.0485,1.3372,1.7132,1.339,0.4125,-0.8398,-1.154,-2.278,-1.606,1.0005,-0.5279,0.8713,0.45,-1.0826,-0.4909,0.1139,1.0657,-0.1685,1.9538,-0.4887,-0.0397,0.337,1.1411
-1.4496,0.5181,-2.4858,-0.9146,-0.6928,0.2198,1.9956,0.9071,0.5271,1.2268,-1.0884,-1.0815,-0.2039,0.5265,-0.2759,-0.7068,0.4804,-1.1586,-1.3582,0.2099,-0.76,-0.8342,-0.7333,-1.2825,-0.4465,0.89,-1.192,0.4723,1.7164,0.3991,1.144,0.2109,1.3619,-0.1424,-1.1618,-2.1736,0.1197,-0.0881,-0.4601,-0.5887,0.256,-0.6207,-0.2415,0.6625,0.3831,-0.8246,-1.1609,-1.3392,-0.5358,-1.743,0.0688,0.6504,-0.5075,1.0663,-0.0649,1.4751,-0.3535,-0.9778,0.379,-1.2754,-0.299,-0.7364,1.1867,0.7601,-0.7126,0.6951,-0.7297,-0.1661,-1.1098,0.3318,-0.2139,-0.6712,-0.3306,-0.2131,0.6095
0.6229,0.1889,1.0682,1.6303,1.0738,-0.0435,-1.707,1.6553,-1.6314,-0.6747,1.7351,0.2294,-1.3921,-2.0442,-0.247,-2.149,-0.4949,0.0256,1.0026,-1.1909,-2.0333,0.4797,0.0714,-0.3544,-0.9183,1.2088,0.1849,-0.0293,-0.6521,-1.4255,-1.065,-0.9623,0.5188,0.6778,-0.2408,-1.5035,-1.6038,0.0051,-0.1001,-0.0939,0.5741,-0.5834,0.2935,0.2168,0.6208,0.3538,-0.1731,-1.4119,2.1914,1.0514,-0.0152,-0.1711,0.7219,-0.8038,0.5156,-2.0465,1.0854,-1.2318,-1.8779,0.9772,1.6582,-1.2656,-0.1197,-1.5866,-1.0756,-1.2953,0.7813,0.081,-0.2918,-0.4749,0.1879,-1.0675,0.8271,0.62,-0.6398
0.1307,0.1243,-0.1993,1.1028,1.1091,0.4644,0.9439,1.2387,1.444,0.4673,1.5722,-1.067,-0.3875,-0.1134,-1.3955,0.4727,-0.1839,1.231,0.8927,0.0149,0.9523,-1.36,-0.4924,0.19,0.0169,-0.5481,-0.2701,0.9532,0.8173,1.2333,0.0922,-0.3502,0.0729,0.1419,-1.8244,-1.4384,-3.7782,-0.1621,-0.0804,-0.6105,0.397,1.252,1.3205,-0.6064,0.6008,0.4857,-2.0301,-0.3515,-0.8511,-1.1972,0.6255,0.079,-1.282,-0.7918,0.1296,-0.2625,-0.3153,1.9137,1.4499,0.6487,-0.554,-0.3869,-0.0027,0.0677,0.1335,-0.6699,-0.892,2.585,-0.1641,0.1639,-0.9046,-1.76,0.8671,2.2046,0.5386
1.2006,0.2089,0.2582,-0.7256,0.1461,-0.4016,-2.4024,1.5148,0.5369,2.4959,-1.2188,0.9113,0.8091,0.845,1.4403,0.7739,1.7082,1.177,-1.4962,0.5985,-1.3234,0.1896,1.7033,-1.4475,0.6645,-0.8639,0.3167,0.5411,1.0199,0.8549,-1.0583,-0.956,1.4771,-0.1502,-0.0167,0.1465,-0.7624,-0.6832,0.0901,-0.7946,-1.0197,-1.2153,0.6737,0.8613,-0.2439,0.4843,-1.0255,0.4479,-1.2832,-0.3574,-0.4485,0.231,0.2008,-1.3838,-1.0147,-0.628,-3.1369,1.9196,1.1589,1.789,0.3178,-0.1114,0.2254,1.9141,0.6396,1.0801,1.7717,-0.4347,-1.068,-1.4563,-1.6913,-0.3166,0.9352,-0.6932,1.1305
0.918,0.6849,1.3547,-0.6136,-1.3122,-0.0428,1.4279,0.8663,1.3562,-1.1043,-0.1136,-0.4517,-0.6093,1.4351,-0.2256,-0.3005,0.6605,-0.4566,0.5562,0.1433,1.0181,-0.2301,0.6825,0.6133,1.2811,-1.6432,1.8934,0.2404,0.6662,0.771,1.1556,-1.8671,0.2947,-0.0671,1.3609,-1.4806,-0.2315,0.0625,0.7853,-0.0447,-0.4906,-0.1727,2.3533,0.9327,0.7844,-1.1997,1.3696,2.3525,-0.7018,-0.9651,-1.0677,0.243,2.2153,-1.5327,-0.8863,-0.4915,0.6813,0.2115,1.1474,1.2699,-0.1093,0.9693,-0.5863,0.1859,1.0655,-0.4091,-0.5791,-0.1439,-0.5864,0.6579,-0.6653,0.4913,1.6802,-0.9727,-0.0555
-0.1654,0.4116,-0.447,1.0775,0.2507,-0.1472,0.1628,1.2234,-1.7218,0.4396,0.2867,-0.6384,0.8196,-0.1463,0.4887,1.3769,0.4044,-0.2927,1.5728,-0.7475,-0.7335,0.3408,-0.7959,0.5275,-0.2318,0.1053,1.2275,0.503,-0.7604,0.6738,1.0884,-0.7582,0.4888,1.2041,1.6217,-2.3461,1.158,0.1344,0.2594,1.9378,0.1746,-0.464,-2.6717,0.2908,0.4664,-0.821,1.0059,0.88,-1.0792,0.1303,-0.1269,1.6628,2.0734,0.3313,-1.4234,0.4044,1.053,-0.27,-0.3332,-1.524,0.9072,-0.3408,0.2859,-1.0076,0.8206,-0.7149,0.9447,-0.7662,0.1862,1.8915,-1.473,-1.2462,-0.2016,0.4455,-1.7759
