"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13"
-0.8414,1.4466,0.3164,1.6301,-1.0591,-0.4229,-0.7743,1.6229,-0.224,2.1261,0.9662,1.7387,0.6828,1.445,0.1575,-1.9568,0.5934,-0.1243,-0.9036,-0.1074,0.7536,-0.1629,1.0153,-0.53,-0.6635,0.3502,1.0146,-0.5436,-1.3676,0.0372,-0.3009,-1.2407,-0.2284,0.5337,-0.4078,-0.3071,-0.025,0.2589,-1.4068,1.7305,1.2427,-0.2136,0.9223,0.2198
0.022,-0.5934,-0.0297,-0.4805,1.5677,-0.0981,0.7308,-0.6768,0.4435,0.1146,-1.4273,-0.7986,-0.239,-1.4828,0.0773,0.0287,-1.1917,0.107,0.931,-1.3856,2.2275,0.0578,1.1631,1.291,-0.093,-0.349,0.158,1.093,-0.7288,-0.5459,-0.2133,-0.2868,-1.9034,-0.508,0.3876,-0.0584,-2.2161,-1.2503,-1.884,-0.0051,0.917,1.1979,-0.5657,0.6916
-0.2878,0.276,-0.8695,0.4528,-0.3701,0.4047,0.5456,0.0763,-1.5637,-0.5939,-0.4575,0.765,-1.2034,0.4946,0.2575,1.5382,0.4022,-0.9485,0.0617,-0.5921,1.9338,1.5371,-0.94,-0.6071,0.7399,0.7256,-1.4726,-1.0225,-0.1215,-0.4325,0.2533,-0.3913,-0.2866,0.5227,-0.5583,0.3525,0.385,-0.2629,-0.2774,-0.7799,1.273,0.2318,-0.1639,-0.9805
-1.2318,-0.9648,-0.7742,0.1434,1.779,0.7999,-0.2884,-0.7054,0.0139,1.0781,0.9455,0.3179,2.1565,0.2952,0.3764,1.6346,-1.2377,1.3166,0.8268,-1.1053,-0.4949,-0.7267,-0.1855,1.7101,0.1034,-0.4592,0.2159,0.3381,-0.6352,-0.3445,-1.4201,-0.6169,0.9904,-0.1785,-0.022,-0.1823,-0.5267,0.0615,0.4304,0.3975,-0.4262,-0.5028,0.8985,-1.1406
-0.3341,-1.0165,-1.0621,0.557,0.5514,1.5895,-1.2224,-1.2402,-0.5162,-1.0996,-0.7384,-1.0636,0.702,1.0479,0.1368,-0.5628,0.9472,0.7227,0.0518,1.0391,0.5467,-0.2048,0.7306,-0.6662,0.192,1.6848,-0.1587,-1.7068,0.5947,-0.3197,-1.8354,-0.7738,0.3728,-0.248,0.8156,-0.735,0.3739,-0.34,-0.1288,-0.8092,-1.4643,0.6305,0.6892,-1.2155
-0.894,-0.7773,0.4364,-0.272,1.1903,-0.5091,0.6333,0.6359,-1.1905,0.7266,0.3456,1.1443,1.9466,-0.2312,0.6538,-0.697,-0.5397,-2.3293,-0.0584,2.5429,-0.7022,0.0787,0.8637,-0.8144,1.4788,0.1466,0.6719,0.2464,0.3675,-0.7517,1.8068,-0.1966,0.2721,0.6821,-0.914,-0.4129,-0.1912,2.0263,1.1293,0.0503,0.5112,0.9573,-0.819,0.0447
1.3122,1.3691,0.571,-0.6483,0.3306,-1.0156,1.4275,-1.0506,-0.4131,1.4409,-0.9004,0.0334,1.213,1.144,-0.3358,-0.5382,-0.2361,-0.6452,0.0906,-0.6737,0.6898,-1.3383,-0.5287,1.0364,-2.2039,-2.0299,2.1066,-1.568,-1.6087,1.0741,-0.575,1.134,1.0451,0.7462,-0.5548,-1.081,-1.0254,-1.7868,-0.2465,0.1018,0.6185,-0.0745,0.3201,0.6615
-0.3727,0.9403,0.3765,0.072,-0.0647,0.1009,1.3805,2.7352,0.372,-0.2102,-0.3704,0.8184,-0.6114,-0.445,1.1293,0.7101,-0.6795,-0.2341,0.4128,-0.0922,-0.0584,-0.921,-0.8785,0.9649,-0.4914,-0.4722,-1.5159,-0.2315,0.3173,0.0938,-0.4579,-0.3578,-0.169,0.2791,0.5322,0.4693,0.3332,-0.1054,-1.1655,1.1691,2.5404,-2.6782,-0.4671,0.9064
-0.0233,0.5937,-0.8429,0.2078,-1.0125,3.0221,0.8726,0.0926,0.0923,1.4513,-0.0408,0.2182,-0.4119,-0.4292,-0.0377,-2.5617,-0.8522,-1.1082,-0.6101,0.2797,0.2776,0.2003,0.3451,0.5517,0.1444,-1.6324,-0.5051,-1.7575,0.5417,-0.7731,-0.993,-1.2832,-0.3458,0.464,0.4157,1.332,0.5951,1.1788,1.5199,-0.5666,1.7195,1.6362,1.2519,1.4837
-0.9497,1.1155,-1.7862,-0.1853,-0.5585,-0.4286,-0.4831,0.0603,0.6935,0.6416,-0.6123,0.8685,-1.4407,0.0254,-1.7557,0.2477,1.7021,-0.2732,-0.6554,2.709,-0.859,0.4271,-1.916,0.2732,-0.7831,-2.1784,-0.1388,-0.6396,-0.2613,0.5912,0.1441,-1.0691,-0.254,0.3785,0.8069,0.2443,0.0543,-0.8362,-0.234,-0.3753,-0.4649,-0.7506,-1.5715,0.3292
0.3718,-0.4244,0.5309,0.0314,-0.0471,1.1457,-0.5313,-0.0665,0.9409,-0.6788,-1.9459,0.0217,0.7405,-1.0693,-0.0997,-0.4055,0.9918,-1.1334,-0.1848,-2.329,1.2054,1.1401,-0.9501,0.2419,1.061,0.0592,-2.1362,-0.7762,-0.0265,0.3502,0.5911,-2.0043,0.7345,0.2784,1.2527,0.8127,0.5671,-0.139,-0.284,0.124,-1.0068,-0.3491,0.8198,-0.1282
-1.9885,0.7596,-0.1771,0.4114,0.2821,-0.2431,-0.5877,1.8436,0.8285,0.5743,0.2431,1.1152,1.6237,-0.4566,0.447,-0.7439,0.6752,0.3593,0.1713,-0.514,-0.0842,-0.4657,0.7736,2.0548,-0.4455,0.6479,-0.0312,0.5548,-0.4322,-0.1376,-0.2286,-1.7105,-0.2693,0.0912,0.7699,-0.6511,-0.464,1.9433,-0.2632,0.8974,0.621,1.6186,1.3911,-0.6613
