"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10"
1.0381,1.1791,-0.3645,-1.4079,0.6702,-0.8285,-0.3936,-0.7667,0.3906,1.838,-1.0473,1.121,0.0581,0.5928,1.148,-0.7796,1.3736,-0.9732,0.3548,-2.3304,-0.9033,0.847,0.0464,-0.9676,-0.8705,-0.8094,-1.5203,0.9826,-2.1376,0.6602,-0.3266,0.4821,-0.1667,0.184,-0.4262,-1.0698,1.6145,1.6211,-1.4771,-0.814,1.9212,-1.1271,-0.7597,-1.1389,-0.7886,-0.7819,-0.0085,0.129,0.1057,-0.9303,-1.4277,-0.264,-0.1098
0.0342,-0.9326,-1.4973,-2.0812,-1.8244,1.2317,-1.0551,0.0122,-0.6527,-0.5643,0.1105,0.1965,-0.953,1.4487,0.0963,-0.0473,-0.8814,0.2996,0.7074,-0.3653,-1.1891,1.4332,0.4804,-0.5567,-0.5399,0.4632,-0.568,0.3293,0.4442,0.0551,0.648,0.9171,1.4029,-0.749,-1.1617,-0.4341,-0.1637,-0.7147,-0.5826,-0.3596,1.5099,0.8367,0.1537,0.3199,0.2649,-0.2389,-0.3891,0.5848,-0.4754,0.9305,0.0996,1.2528,-0.2231
0.4963,-0.0481,-0.5852,0.9542,-0.8872,-0.1511,0.6512,-0.7213,0.82,1.1404,-1.5681,0.6501,0.4058,-1.5661,0.1088,0.0354,0.3158,-0.3395,0.1529,0.6689,1.065,0.9127,-2.3445,-1.1102,-0.6227,1.5832,0.0887,0.6523,-0.1093,0.0757,1.6267,0.5547,-1.1137,-0.6081,0.447,-0.0249,0.1787,-0.6867,1.5493,1.0242,-0.8893,-0.9803,-0.0973,-1.0065,0.1665,0.6521,1.3282,1.8019,0.185,-0.5888,-1.5555,0.0537,0.1794
-0.299,0.8526,-0.1733,-1.5116,1.7623,0.145,0.4356,0.2197,1.4774,0.6241,0.0697,0.671,-0.9839,0.3954,0.4952,0.9345,-0.9684,0.2017,0.961,0.3191,-0.9586,0.3823,-1.7062,-1.1612,0.5285,1.2628,-0.3335,0.3314,0.5998,1.1575,-1.9257,-1.0555,2.3804,0.4199,1.1823,-0.7291,-0.0492,-0.9416,0.1069,-0.5666,0.1987,0.344,-0.2959,-0.8516,-2.345,1.0381,0.053,-0.8947,-0.4476,1.1051,1.9985,1.5457,-1.1688
1.2081,-0.4113,-1.4833,-0.2241,-0.6546,0.3003,1.2852,-1.7848,-0.9292,1.6577,-0.3072,-1.2842,-1.6101,-0.1532,-0.1426,-0.2334,-0.2306,1.3254,0.4397,-0.3642,-1.5337,0.552,0.3078,-0.4129,0.7708,0.305,-0.5789,-0.1489,0.1088,1.2816,-0.1357,1.2502,-0.6673,0.8418,0.2834,-0.3827,-0.2158,1.4847,0.2596,-0.0327,1.1514,0.1855,0.4638,2.0388,1.8966,0.3383,-0.3763,-0.4725,1.8699,0.9929,-0.357,-0.6022,0.7512
-0.3282,-0.3672,0.3024,-1.3465,-0.9661,-0.5311,0.1502,0.2844,-0.1822,-0.0421,-0.0121,-2.0261,-0.4302,0.2853,0.8329,-1.7008,0.3904,0.5038,0.6982,0.0501,0.778,0.1448,0.8887,0.9519,1.6032,0.3337,-0.1638,-2.1997,1.2948,-0.5919,0.9797,-1.2774,-0.5214,0.3802,1.7123,-1.1007,0.081,-0.7079,-0.216,0.103,1.1025,0.1412,-1.8248,-1.396,-1.3316,0.7094,-0.9462,-0.1085,-0.3832,-0.0498,0.3522,0.5786,0.7194
1.4295,0.4403,1.3731,-1.7946,-0.8577,0.3007,0.1608,-0.6363,1.0037,-0.3004,2.8949,2.2053,-1.2242,-1.0317,0.5598,-0.6558,-1.0095,-0.6296,-1.486,0.156,-0.0653,1.7084,-0.3809,-0.9202,-2.4486,0.4215,0.2692,-0.6088,-0.1707,0.9498,-1.1792,-0.4786,-0.0386,-0.5348,-1.6401,0.7492,-1.0306,-0.8374,0.2708,-0.1895,-0.8954,-1.8521,0.2524,-0.883,-2.6259,0.8401,0.27,0.2376,0.9408,1.0679,0.4413,0.1244,-0.3481
-1.936,0.1395,0.7821,-0.4421,-0.4343,1.5066,1.5138,0.9393,-0.852,1.7323,-1.3987,0.2314,1.0866,0.0455,-1.6851,-0.6305,0.595,-0.3502,-1.1263,-0.7524,2.2782,0.0524,1.2004,0.1182,0.4951,0.8984,-0.8558,-1.3783,0.7337,-1.1831,1.1668,0.3336,1.0747,1.1297,-0.7516,2.2098,1.1532,-0.804,0.6332,0.8061,1.4098,0.1624,0.9012,-0.5808,-3e-04,0.6093,0.3872,-0.7983,0.0011,-0.2679,-1.3075,0.3627,0.0593
1.6763,-0.2493,-0.7985,0.6471,0.1859,0.617,0.162,-1.9731,-1.7194,2.1565,0.4321,0.3756,-0.3348,-1.1536,-0.5556,-0.9323,0.2189,-0.9513,-2.2264,0.0546,0.3436,0.8071,-0.6138,-0.203,-0.3185,0.3859,-2.0749,-0.3781,-0.106,-1.1927,-0.3792,0.281,3.2355,1.0319,0.5246,-0.4252,0.6463,-0.5879,0.7075,-0.0424,-0.7046,-0.4932,0.8804,-0.5958,0.1074,-0.2237,-1.1381,0.9293,1.3304,1.011,0.4669,0.2054,-0.505
-0.6112,-0.2094,-0.6569,0.3159,-0.7037,0.7144,0.6822,0.0425,-0.4947,0.3185,1.8327,-1.193,-0.0378,0.6597,-0.5234,0.3219,-0.3166,-0.0898,-0.2533,0.1123,-0.3531,-0.9401,-0.1667,0.7931,-0.2664,0.6061,-0.9258,2.0541,0.6558,1.5958,0.7078,0.5893,0.4833,-0.9894,0.6334,0.4667,0.0788,-0.5977,1.3707,0.1549,0.1266,-0.7038,2.2318,-1.1255,-0.008,-0.1643,-1.3484,-0.3797,0.9307,-2.3064,-1.0729,0.7777,0.6899
-0.4682,0.2509,-0.4657,-0.6425,0.2017,-0.8345,0.4845,-0.2209,1.0665,0.1698,-0.611,1.1325,1.3806,-0.9462,-0.5061,2.5018,0.2455,-0.4996,1.4318,-0.7228,-0.6272,0.0392,1.3497,0.0384,-1.6417,0.6378,-1.9044,0.1382,-1.2313,0.0369,1.4738,0.8766,0.6196,0.3132,0.327,1.582,0.9454,0.6064,-0.7781,-0.8903,0.1688,-1.1836,-0.6398,-0.1877,0.1406,0.622,0.1842,0.9852,-0.6488,-1.0514,0.4585,-0.0077,-1.6588
0.1798,0.4667,0.6059,-0.0158,0.702,0.179,-0.0445,0.9405,-1.3618,0.7423,-0.8193,1.8395,1.8578,0.0635,1.0653,0.7942,0.075,0.7916,-0.9784,0.1982,1.6846,-1.9976,-0.0816,-0.1682,-0.0329,0.2278,0.6353,-0.7191,0.6066,0.0338,0.8986,-0.8097,-1.3735,-1.1597,1.7457,-0.3844,-1.2221,0.3017,-0.1581,-0.3823,-1.92,-1.1387,-0.9801,-1.038,-1.1849,-0.4554,-0.8189,-1.6292,0.2821,0.1476,-0.6188,0.9685,-0.2223
0.6581,1.2943,-0.0395,-0.0987,0.3362,0.2933,-0.5348,-1.58,-0.2483,-0.6725,0.0483,1.5279,-0.053,-2.1272,1.487,-0.1548,-0.8397,-0.4927,0.3151,0.3106,-1.2149,0.1387,0.0259,-0.5842,-0.776,0.7204,1.8702,0.8887,-0.3896,0.979,1.2143,-1.2874,0.1412,1.4667,1.6754,-0.3892,1.0851,0.4747,0.4135,-0.647,-0.1333,-0.8456,0.3261,1.3425,0.5925,-0.132,1.3486,-0.1622,-0.1458,-0.5107,-0.6799,0.4902,0.6234
1.1509,-0.4192,-0.9451,-0.0235,0.7498,-0.6551,-0.3375,-0.5487,0.9619,0.4978,1.3006,-2.0236,0.3333,0.327,-0.9218,0.5037,-1.3971,0.7103,0.441,0.5263,0.617,-1.4883,-0.8999,0.8919,0.3558,0.0578,-1.1455,0.4914,0.3948,-0.1967,-2.2078,-1.1677,-2.3598,0.2701,-1.4593,0.6473,0.212,-0.6302,0.8251,0.4743,-2.1004,1.247,-1.6853,0.1235,1.3807,-0.0918,-1.1072,0.3458,0.5028,-2.668,0.4142,-0.0095,1.6873
-2.0622,1.3167,-1.512,-0.446,-0.8009,0.1174,-1.9485,0.7119,0.0469,-0.9896,-0.3431,-1.0405,1.3091,1.1077,0.5414,1.4428,0.1061,0.7207,0.2385,0.711,0.5617,-0.1329,0.067,1.1393,-1.1128,1.0113,-0.8854,-0.0804,-0.8753,-0.8467,-1.2734,0.5745,-0.2583,1.0671,-0.4174,-0.9523,0.5032,0.7245,-0.333,1.1515,-1.9663,0.6952,1.2107,0.8581,-0.8387,-1.5868,-1.5489,-0.4922,-0.0464,-0.8352,0.3664,-0.1128,-0.9085
-0.0091,-1.4652,0.5593,0.3609,-0.1227,1.9735,1.2785,0.6129,0.5669,-0.2975,-1.0258,0.0978,-0.1745,0.7662,-1.1698,-0.3093,-1.0047,-0.4353,-0.2842,0.4103,-0.5728,-0.2401,-0.6443,0.0194,3.446,-0.4283,-0.8755,-0.2276,0.5416,0.1384,0.5815,-0.4628,1.4614,0.3881,-1.434,-0.1731,-0.4557,-3.0431,0.6508,-0.4606,0.3205,0.2748,-1.0471,-1.4054,0.3059,0.3342,-0.0698,-0.4787,0.4703,1.614,-0.2489,-1.2767,-1.1186
-1.7702,-0.6451,-1.044,-1.0827,0.6643,-0.9745,-1.5951,0.3563,1.624,0.7949,0.0705,0.6968,-1.0436,1.0537,-0.5571,0.6645,-0.0352,1.4265,-0.6181,0.3014,1.5357,0.972,-1.7994,3.2718,-0.7821,0.1938,0.7884,-0.1455,2.9915,-1.7086,-0.9108,0.4129,-0.1981,-0.1083,-1.0308,-0.5532,-0.7823,1.1277,-0.5485,-2.2153,0.3412,1.7165,0.4385,-0.0145,-0.2709,0.57,0.468,-0.6377,-0.117,-1.2088,-0.7363,-0.6486,-0.1082
