"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23"
1.3596,-1.5575,-0.403,-1.0444,-1.3257,0.6002,-1.7194,-0.184,-0.1876,-1.1202,-0.6835,1.0372,-0.1042,0.0739,-2.3897,0.3743,-0.5705,0.8927,0.08,0.2424,-0.068,-1.4709,0.4714,-0.7513,1.321,-1.849,1.4211,-0.7477,1.5007,-0.3075,-0.3698,0.2949,-3.4138,0.7914,-0.6561,-0.0604,-0.1326,0.3846,0.3909,0.8571,1.9327,-0.4313,-0.3609,1.009
-0.3169,0.6374,-2.0623,0.1676,-0.2325,1.1364,-1.0895,0.5965,2.312,-0.8258,0.9187,-0.7603,-0.9033,-0.0597,1.6452,-0.1832,0.1278,0.4768,-1.0687,-1.295,0.1883,1.1167,-0.8136,1.3784,-0.1042,0.2377,0.9606,0.729,0.2181,1.0952,-1.5008,-0.6484,-0.209,-0.3679,-0.1347,0.5199,-0.1924,0.174,1.1613,1.6367,-0.5228,0.1552,-0.0639,0.2525
-0.0208,0.1974,-0.2026,2.2338,-0.1891,0.0697,-0.9114,-1.3434,0.9528,-0.173,-2.167,0.9422,-0.8625,-1.1509,-0.6225,-0.1516,1.6321,-0.3119,-0.3776,0.7492,-1.3685,-0.1681,0.8112,1.2615,0.0653,-0.1493,-0.0464,0.6611,-1.6098,2.2588,0.7135,-1.7065,0.1882,-0.9202,0.676,0.2105,0.6733,0.3915,1.742,0.0587,1.7923,-0.4029,1.3619,0.7411
-0.3634,0.7395,1.4076,-0.6723,1.2023,0.8159,1.1413,1.001,-0.5139,-1.5488,-2.5689,-0.4474,0.5098,-1.7538,0.7182,-0.1149,0.199,-2.2444,1.4029,1.1687,-0.2015,-2.6928,1.2184,-0.6474,1.0991,1.3873,-0.7547,1.6488,1.5619,-0.579,0.557,-0.5131,-0.0707,1.4796,0.1319,-0.0368,0.8762,-0.8865,-1.3091,-0.8413,-0.4662,-1.2951,0.6111,-1.796
-1.8408,0.7814,-1.4074,-1.4946,2.3988,-0.2473,0.4662,0.7075,0.9311,0.8088,0.1362,0.8617,1.0889,-0.4716,-1.6966,1.5472,1.8759,-0.4862,-0.5414,0.7143,0.7775,-0.2385,0.7422,1.5689,0.3198,-0.3313,-1.2983,-0.9887,0.3106,0.8447,0.118,0.9979,0.201,-0.7379,0.6898,0.4479,-0.7583,0.1909,0.4348,-0.8142,0.4272,0.2801,0.3642,0.9917
0.2514,-0.6656,-1.0995,-0.1332,1.8229,-0.1536,-0.3704,1.5005,0.4093,0.574,0.0335,-0.2219,0.869,1.6452,-0.4462,-0.5529,-2.2168,-2.9243,-1.7249,-1.1496,0.3149,0.2114,1.1765,1.6658,0.3318,-0.3881,-1.0099,-1.0081,-0.2762,1.1183,0.4912,-0.4654,-0.4503,0.2883,-1.3906,-0.0573,0.8646,-1.6276,-0.6081,-1.289,0.5232,0.7629,1.0251,0.783
-1.6463,-0.6844,-0.3931,1.1702,1.627,0.0747,-0.2563,-0.3279,-0.1749,0.8426,-0.3474,-0.6105,-0.0052,2.2442,1.6311,0.9543,2.0339,1.7738,1.0892,1.4504,0.2413,-0.7713,0.3041,0.6262,-0.26,-1.839,-0.4423,-0.8152,0.725,0.4062,1.4301,0.8154,0.9524,-1.8608,-0.8302,-0.8694,-0.949,0.91,1.4108,-1.7962,-1.1772,1.6705,-1.0843,1.3136
0.3064,0.8143,-0.0595,-0.2771,1.6159,-1.1103,1.0723,0.4226,-3.2621,1.5455,0.8483,-1.2282,0.091,0.8352,0.3429,0.1644,-2.375,0.0337,1.1698,-0.2978,1.4468,-1.2658,1.0186,0.8921,0.0998,0.1642,-1.2076,-1.1474,-1.2502,0.4703,-0.3301,-0.2404,-0.3389,-0.6437,-0.1548,-0.0889,0.8386,0.684,0.6994,-0.3772,-0.7371,-1.4528,1.1467,-0.0558
-0.1436,0.8884,0.1049,0.5997,0.9287,-1.2056,-1.0042,-0.8732,-0.4316,0.9875,1.1923,-0.9976,-0.7575,-1.6203,0.3436,-0.2777,1.1331,1.2611,-0.6072,1.8366,-0.7546,0.013,1.4036,-1.0126,0.0072,0.6189,-0.1434,1.9841,0.0017,1.2262,1.01,-1.4025,-0.4587,2.4214,-1.5745,1.217,-0.5304,-0.0495,1.1916,-0.4808,1.8664,1.4251,0.0088,-1.0848
-1.3861,-1.1137,0.189,1.1566,-0.4545,-0.2907,0.5994,-0.2566,0.0243,1.448,0.9935,-0.3629,0.2951,0.7496,0.898,-0.6444,1.0632,-0.174,1.6541,0.4647,0.7931,1.2239,-0.9683,1.8641,0.576,-0.2346,-0.5357,-2.5095,0.2831,0.1209,-0.5509,-1.8961,0.9247,0.0915,0.1905,0.5699,-0.7869,1.6879,-1.2363,1.4172,-0.0237,-1.0241,-1.4435,-0.142
