"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32"
0.1964,0.418,0.0127,0.1839,0.8689,2.1618,-0.5872,-0.7959,-0.6291,0.4039,-0.158,0.5268,-0.4624,2.639,-0.6646,-0.2336,-0.2332,1.1753,-1.0215,0.2668,0.4527,0.7177,1.4385,2.3727,-1.6548,1.0422,-2.3758,0.1306,-0.6516,-1.1875,0.3889,0.2567,1.1505,1.4498,-0.1216,0.2983,0.1084,-1.2904,1.5521,1.7704,0.3897,0.0302,0.2934,0.887,0.9163,0.5418,1.5913,-1.5975,-0.7432,0.7372,0.3098,-1.117,-0.1876,-1.0311,1.3257,-0.2652,-2.5911,1.9498,1.0248,-0.2441,1.1288,0.1066,0.7702,-0.0818,-0.9328,-0.6888,-0.0115,-1.121,0.1207,-0.9414,-0.3668
-0.577,-1.3416,-1.8641,0.3238,-1.8164,0.0276,-0.6994,-0.9604,-1.3533,0.2554,-0.2532,-0.8503,-0.0109,1.4163,0.5919,-1.584,-0.6186,0.0766,-0.87,0.0104,1.7484,-0.85,-1.128,0.4301,-0.3926,1.2423,-0.2427,-0.8052,-0.4381,0.3356,-0.7345,0.04,1.7841,-0.2939,0.0023,0.406,-1.1164,2.0982,-1.1601,1.6864,-1.4864,-0.7249,0.1939,2.6191,-0.566,0.5078,0.8215,-0.1203,0.1487,-0.1028,-0.1288,-2.2649,-0.1069,0.8127,0.7283,-0.2867,-0.3681,0.0471,2.0179,-0.2939,-2.4254,1.9316,0.8859,-0.9508,0.6789,-0.3048,-0.5134,-0.5709,1.6002,-0.6834,1.4951
1.1041,-0.2209,0.8853,0.6505,-0.3188,0.1283,0.8828,-0.5313,-0.0939,-0.0143,-0.2355,0.2885,-1.1531,-0.2031,-0.2297,-1.738,-0.191,-0.9894,-0.612,0.9324,-0.3001,0.6741,-0.6854,-0.7855,-2.0401,1.8579,-0.7991,0.9261,0.2593,-0.4275,2.0477,0.4439,0.1668,0.476,2.3179,0.4441,0.2732,-0.1785,2.3995,-0.6661,-0.631,-1.0972,-0.6991,-2.1017,-0.8407,-1.2898,-0.4293,1.6521,-1.9095,-0.6712,-0.2122,-1.2201,-0.3603,0.6314,-0.3054,-0.1301,1.5709,0.857,-1.1175,-0.8213,-0.2163,-0.6165,1.8377,0.2641,0.6871,0.3007,0.4884,0.538,0.0249,0.6015,0.7007
1.3311,1.8016,0.4924,1.583,0.1248,-0.3526,-0.0599,0.3567,-1.2843,0.0553,0.9881,1.1076,0.2081,1.1158,0.1833,0.1645,-0.149,0.6954,0.44,2.3721,-0.1765,0.0047,-0.7779,0.4671,0.5407,-0.9293,-0.9255,0.947,0.4915,0.6115,0.9746,0.8408,0.1857,0.7624,-1.5034,-1.5018,0.9562,-1.4047,1.3256,-0.0026,0.7271,-0.2369,1.3915,0.8778,-0.7305,-2.0873,0.0143,-0.362,-1.3653,-0.0378,-1.1931,1.8489,-0.4033,1.2852,0.5984,-2.4375,-0.3426,-1.6219,0.1624,-2.2446,-0.9127,-0.5626,-0.4024,-0.3748,-0.4578,0.1286,-1.3592,-0.4778,0.8921,-2.6414,-0.0797
-1.4797,-0.5682,1.7471,-0.002,-1.469,-2.0869,0.5381,-1.0722,-0.4979,1.9831,0.7251,-0.2604,0.2823,-0.0784,-0.4348,-0.9015,0.4346,-1.1636,-0.712,-1.7933,-1.782,-0.3602,-0.3779,-1.146,-0.6653,-0.6532,-0.6153,-0.3218,-0.4952,-0.8704,0.5277,-1.3612,0.0354,-0.2113,-0.918,0.6872,0.5837,-1.0445,0.836,-0.286,2.1494,1.0129,0.8191,1.322,-1.0841,0.2442,-0.4024,-0.0392,1.3717,-1.2946,0.1754,1.522,0.0104,-1.0009,1.8119,2.8767,1.5501,-2.1761,-1.4565,-1.3659,-0.5946,-0.99,-0.3198,0.8302,0.0508,-1.5167,-1.1653,-0.9125,-0.8581,1.2189,-0.3497
1.4279,0.052,-0.262,-0.3088,1.0685,-1.9739,2.376,-0.0757,0.4226,1.0986,-0.0263,0.0402,-1.2008,1.9873,2.4354,-1.8311,-0.2949,-0.1446,0.2103,-0.3615,1.312,1.1178,-0.9039,-1.1151,1.3805,-0.0244,3.8478,0.7724,-1.0319,-0.2951,0.1962,0.7991,-1.1788,1.2519,-0.8234,1.1876,-0.4053,-2.0007,-0.4524,0.9566,1.7129,-1.1016,0.0862,0.4888,0.1096,0.457,0.0986,-1.1007,-0.3582,-2.2399,-1.4092,-0.7252,0.0023,-0.2615,0.1881,0.2579,-0.6834,0.9596,-0.4999,1.4922,0.9909,2.7312,-0.6887,-1.1237,-1.1727,-0.7326,0.6641,-1.4926,-0.1018,0.2792,-0.4551
1.2766,0.9957,0.4998,-0.6231,-0.4822,-0.136,-0.9941,0.7996,1.0302,2.0476,-0.9085,-0.3473,-1.2474,-0.5958,-1.762,-0.097,1.1008,0.3694,1.11,-0.6614,0.7308,0.2472,0.6431,1.2107,1.1819,1.2468,-0.9997,-0.2416,-0.6938,-1.2578,-0.8094,0.4019,-1.1583,0.5437,1.4466,2.0553,2.3606,-0.2042,1.6722,-0.3131,1.9542,0.8751,0.2951,0.5742,1.2245,-0.6918,-0.4959,-0.3329,0.2583,-0.7805,-1.0929,1.2477,0.4755,-0.9739,-0.4037,0.6701,0.7401,0.098,0.6285,-1.1154,2.0144,-0.7217,1.3211,-0.6878,-0.1072,0.6368,-0.8317,-1.7745,0.9485,-1.5128,-0.8041
-0.5268,-1.2199,-0.6889,0.9382,0.6596,0.0922,1.3272,-0.5481,1.1011,-0.4043,0.0519,1.2857,-0.0693,0.17,0.632,0.4924,-1.0541,0.7912,0.5433,-0.6811,0.9923,-0.7886,-0.1281,-1.1729,-0.7817,-1.9138,-0.9117,0.2128,-1.2668,0.5545,-0.4782,-0.0646,-0.5841,-0.7897,1.2502,-1.3175,-0.1866,0.1891,0.1817,0.2726,1.1417,-0.5434,-0.2675,-0.7545,-2.6064,1.0246,-1.0742,0.5175,0.7997,-0.0351,1.4144,-0.1371,1.4391,-0.2106,-0.5814,-0.5944,-0.3476,1.6216,-1.4496,-0.0224,-0.3302,1.3335,-0.4238,2.8556,0.8998,-0.9066,0.7704,0.7143,-0.1465,-1.9003,0.5459
0.0199,-1.3192,-0.9826,0.1027,-1.8176,-0.6903,0.6238,-0.0568,0.91,-0.4117,-1.2684,0.1187,-0.6799,-1.032,1.9117,1.029,-0.0498,0.6772,1.2483,-1.2894,-0.9995,-1.2679,1.1109,-1.5666,0.3522,-1.2228,-0.3811,0.8256,1.1232,-0.2044,0.0983,-0.4519,0.4632,1.1786,-0.9335,-1.1427,0.3325,-0.6438,1.0823,0.0415,0.4859,-1.3252,1.2173,-0.7355,-0.079,-1.368,0.6877,0.786,-0.072,-1.2268,-1.5347,-0.1804,-0.2193,0.2121,-1.1517,-0.7225,0.9078,1.0436,-1.0966,-0.341,0.0486,-1.22,-0.0567,1.3379,1.2685,0.2159,0.0946,0.7968,-0.0647,-0.935,0.2384
0.7256,1.1702,0.9807,1.088,-0.2786,0.6157,0.0154,0.1747,-0.2754,-0.3103,1.0971,2.6295,0.7212,-0.0907,-0.8455,-0.9927,-2.1017,0.5472,0.0883,0.4844,1.5237,0.3414,-1.526,-0.4702,1.1702,1.7491,-0.384,0.563,0.3809,2.7952,0.2228,0.3917,0.2628,-1.2327,-1.0681,0.4408,0.4775,-0.169,-0.5743,-0.0049,-0.2781,0.6349,0.3706,-1.0251,1.311,1.9369,-0.2939,0.1588,1.2293,-2.236,2.1311,1.0533,-0.2657,0.8304,0.2053,1.3537,-1.8489,-2.222,-0.353,1.6865,-1.7497,1.4018,-0.6057,-1.0661,-1.2599,0.1035,0.227,-1.2881,0.183,1.0785,1.0865
