"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7"
1.2471,0.6064,0.7728,0.8582,1.5437,0.4551,-0.9332,-0.3758,0.1911,0.8645,1.8161,-0.6461,0.0094,-0.842,0.4513,0.4122,0.481,0.1291,2.7605,0.13,0.8447,0.8222,-0.5614,-0.0213,-0.6086,1.7438,-0.7763,1.0101,2.5807,1.7295,-0.6044,-0.0021,0.3838,0.8132,1.0963,-1.4371,-1.4236,0.18
0.7223,0.899,0.8402,-0.7609,1.2265,0.2303,0.256,-1.4672,0.4791,0.0085,0.8312,1.0666,0.4112,-0.9942,-0.5174,-0.8949,-1.3314,0.9442,-1.1266,0.0393,0.724,-1.67,-0.9028,-0.7512,-0.1853,1.5517,0.3196,-0.9217,-1.4856,0.3503,0.5968,0.6134,-1.023,-0.2364,0.6252,0.5058,1.2617,-1.0688
0.8998,1.3318,-0.648,-1.2105,-0.9817,0.2814,-0.785,-0.2953,-0.5902,0.4712,-0.9869,-0.625,0.1191,2.2709,1.5494,-2.1594,-0.2362,1.1538,0.8198,-1.1571,0.2235,-0.6812,-0.0203,0.0035,1.1692,-1.0204,0.881,0.0262,-0.5862,1.4151,-0.829,0.8008,-0.4742,0.332,0.664,-2.0118,-1.7608,-1.1375
0.3754,0.728,-0.3688,-0.8595,-0.3635,-0.7238,-1.0636,-0.5631,-0.2537,-0.0987,0.236,-0.0162,-0.7323,0.0102,-0.376,-0.1198,-0.1785,-1.2564,0.5706,-1.1675,1.3005,1.6194,0.9972,1.0067,0.08,1.8635,-1.1335,-1.0069,1.1382,-0.2293,-0.5952,0.2696,-0.0378,-1.962,0.7147,-1.0365,0.4937,1.0975
-0.1111,-0.1239,-1.4896,0.6505,1.9397,-0.1087,-1.8319,0.1533,0.7957,0.3436,-0.3911,0.5411,0.7331,0.5582,0.4644,-0.0996,0.807,-0.0752,-0.0232,-0.9862,-0.1417,-1.8676,0.8531,0.2857,0.3921,-0.9827,0.4241,1.2965,0.1646,-0.0367,-0.2692,1.4183,0.2781,0.0772,-0.3348,1.9546,0.9296,1.1398
1.0634,0.3573,-0.0225,0.1853,0.7531,-0.4357,1.7137,0.5039,-0.4219,-1.4396,-0.5628,-0.3344,0.3644,-2.1089,0.7493,0.4554,0.491,-0.3779,0.4098,-0.0497,-0.1629,-0.4408,-0.0902,-0.1996,0.457,-0.6282,0.9543,0.7919,0.4482,-0.1869,-0.729,0.8397,-0.6503,0.0188,0.636,-0.078,1.4435,-0.2062
0.4332,-0.4002,-0.9272,-2.0438,0.6597,0.5986,-0.1265,0.2585,0.6337,0.056,-1.0969,-0.7148,-0.1186,0.1033,-0.5366,1.37,-0.205,-0.8094,0.8763,-0.0879,0.132,0.1348,1.0042,-0.7081,0.5326,0.2012,-0.0188,-1.2234,0.3324,1.5437,-0.2541,8e-04,1.2594,-0.3996,1.0612,-0.2583,1.9787,1.274
0.0482,-0.9239,-1.3865,-2.1761,1.8334,2.0161,-0.3337,0.6147,-1.1139,-0.2065,-0.7665,-0.2045,-0.4265,-1.8001,-0.6339,0.9113,0.4821,-0.7904,-0.206,2.1306,0.6835,-1.1336,0.1816,0.0527,-1.0736,-0.1913,-0.7973,0.6456,-0.3683,0.738,2.3664,-0.613,-0.4946,0.9644,0.397,-0.117,-1.4039,0.6928
0.2248,-1.4776,-1.1592,-0.3962,-1.1277,0.5635,1.4322,0.1601,0.9095,-0.1839,0.8412,-1.8582,0.7846,0.4735,1.0654,-0.7676,0.3803,-0.6287,-0.6216,1.1935,-0.8878,1.2608,-0.0769,-0.2456,0.3842,-1.8748,-0.194,0.4212,0.5896,-0.6587,0.9525,-0.8862,-0.136,-0.4409,-0.9355,-0.5196,1.0293,0.2538
0.6859,-1.4239,-0.1234,-0.8875,-0.4795,-1.2162,2.1326,-0.6405,1.269,-0.6216,1.8807,-0.2038,1.7461,0.725,1.3227,0.5657,1.0433,-0.6379,-0.6154,1.1808,-1.2506,-0.5445,0.0433,0.0348,0.8384,-1.2288,0.3686,0.6524,0.2413,0.0991,-0.7621,1.4059,0.3235,1.3946,-0.5358,0.9488,-1.408,-1.7708
