"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9"
-0.4067,-0.6557,0.8296,-0.8879,-1.1558,0.7157,-1.787,-0.11,1.3159,0.567,-0.6987,-0.5268,-1.2077,-1.3323,-0.8136,-0.4154,0.8785,-0.5223,-1.5938,0.6229,-0.1037,-0.7081,-0.8839,-1.7413
-0.1668,0.8973,1.3192,0.0572,-0.7138,-1.0441,0.1369,-1.0103,-0.4644,2.7536,0.8609,1.1421,1.4834,1.2095,1.0027,0.3893,0.2619,1.1464,-1.4888,-0.0768,-0.9645,0.3801,0.4038,0.638
-0.1687,-0.4079,0.2769,-1.293,-0.6502,0.7996,1.3903,1.0138,-0.7967,-1.0004,0.4901,0.4855,0.5333,1.0097,-0.5325,-0.4115,2.227,1.541,0.9764,0.3413,-0.6675,0.0663,0.7704,-0.4783
0.0848,0.3138,0.9356,-0.0266,-1.7003,0.0281,1.2531,0.763,0.7842,-0.6701,0.7405,-1.2976,0.8377,2.0745,1.0498,-1.4242,-0.6201,-1.2266,0.6978,-1.3904,0.5309,1.7401,0.1978,0.6739
-0.4621,2.2573,-0.5361,-1.5566,-0.2166,-1.1974,-0.4672,-0.5629,1.8068,0.5613,0.629,0.7325,-0.4869,-0.1176,-0.9803,0.7411,1.1324,0.5735,-0.7414,0.4374,-1.1522,1.6296,2.128,0.648
-0.3753,-0.0771,-1.1389,-0.771,0.2397,0.2475,0.9109,0.9501,0.0955,-1.5755,-0.5948,-0.521,1.4966,-0.45,-1.3891,-0.9745,-0.6187,-2.1646,-0.4746,0.7052,-1.0799,0.5548,-0.689,-1.71
-0.34,-0.7694,-0.9512,1.957,-0.0459,1.1386,0.8828,2.0369,0.8933,-0.0397,0.0021,-0.446,-0.5794,1.012,0.6182,-2.274,-0.8388,-2.7994,-0.1495,0.2119,0.5394,-0.6668,0.6512,0.5989
-0.7657,-0.4109,-0.7842,0.5672,-0.3225,0.359,1.4066,0.7253,0.9911,0.2249,-0.6562,-0.5554,0.1957,0.9793,0.0574,-0.1312,-0.6825,-0.9628,-1.1869,-1.2266,-0.4362,-1.4386,-1.7424,-0.5376
1.0434,-0.4058,-1.5722,-0.1528,0.641,0.966,0.8176,0.4568,-0.4626,0.2482,-0.3057,1.0135,-1.2951,-1.7573,0.0804,-0.2385,-0.8715,0.1725,-0.5782,1.1408,-1.8617,-0.5321,2.6924,-0.398
-0.2041,0.7661,1.0403,-1.1596,2.7393,0.3782,-1.4133,-0.6528,0.1452,0.054,-0.5037,0.7605,-0.7875,-0.1656,-1.3066,-0.007,-0.5505,-1.1231,-0.4725,-0.3876,0.9037,-1.2182,-0.8103,0.0135
0.577,-1.1895,-0.6892,0.7946,-2.3224,0.1281,0.7593,-0.8513,0.4372,0.7002,-0.1506,0.5156,-0.1281,-0.1206,1.3904,-3.1065,0.4103,-0.1989,-0.9042,1.1075,-0.4263,0.8455,-1.2742,0.2388
0.0249,-0.6304,-1.7681,-1.0659,-1.7558,-2.1447,-2.052,-0.103,0.6996,-0.3775,0.8009,0.7038,0.732,-1.7232,0.0229,-0.7863,-1.0211,-1.7985,-0.552,1.5881,-1.0029,-0.6578,-0.9376,-0.1133
-0.7458,0.8102,-1.0832,-0.5133,0.2662,1.0077,1.1212,0.761,-0.4352,0.2349,-1.1867,-1.8706,-0.4903,-0.2631,0.0343,-2.8137,0.5449,1.4773,-0.9457,0.2256,1.5432,0.2652,0.2464,0.7362
-0.4234,0.1292,-1.1653,-1.0659,1.4823,-1.5572,1.2837,-0.9182,-1.219,0.9444,0.4306,-0.0426,-0.6355,-0.913,-0.8195,-0.9557,-0.8057,-1.847,-0.4373,0.1021,-1.9958,0.614,-1.0306,-1.373
-0.0288,2.4737,-1.9131,-0.6432,-1.5591,-1.3749,0.2454,-0.8216,0.6705,0.5847,0.2167,-0.5803,-0.0203,0.2351,-2.4975,0.475,1.1405,-0.7107,-0.7264,1.5416,-0.9673,1.0776,-0.5328,-0.5483
2.1378,0.2461,0.4302,0.8174,-0.104,0.4841,-1.9426,-0.5006,-1.5071,0.2151,0.9613,-0.7652,-1.7857,0.827,-0.7856,1.1662,-0.3082,-0.4453,0.9611,-0.8297,0.6427,1.0101,0.2404,0.2648
-1.1465,-0.6784,0.2313,-0.6291,1.235,0.4192,1.0679,-0.6878,-0.4726,0.1003,-1.5566,-0.8257,-1.0738,-0.7247,-0.5316,0.2577,-0.2217,-0.9621,1.7166,0.7903,-2.2639,-0.1266,-0.2437,0.0487
1.166,-0.9743,-1.7753,1.4911,0.8854,0.3291,0.9221,-0.1346,1.0129,2.4143,0.5448,-0.3921,-1.5709,0.2402,0.3499,-0.8008,1.6898,-0.4469,-0.7069,0.3774,1.0042,0.1478,0.0586,1.4423
-0.6846,1.262,1.6095,0.2338,0.1093,1.6828,1.2958,-1.1758,-0.4832,-0.2623,0.3278,-0.8145,1.126,-0.2881,-0.5554,0.3485,1.121,-0.6176,1.6065,-0.297,-0.1289,-0.4925,-0.9284,0.0283
-0.0537,-0.7817,-0.6823,-0.0078,0.0383,0.9557,-0.1631,-1.5102,0.1987,-0.2401,-0.4888,-1.049,-0.1266,-0.2686,1.1898,0.1949,0.8174,-0.2959,-0.1716,-1.6291,-0.3319,0.1058,-0.5308,1.1793
-0.6153,0.1522,-0.4959,-1.3149,0.6135,-0.6006,-0.051,1.4524,-0.8545,0.2399,0.1241,-1.498,0.0528,1.6733,-0.0662,0.2937,-1.2917,-1.6507,-1.5981,1.0303,-0.06,-1.6271,-0.4874,-1.6695
-0.1748,-0.638,-0.4719,0.3354,-0.2155,-1.0915,1.3478,0.5864,0.2864,0.972,-0.3739,1.8754,-0.1165,-0.4531,0.3945,-1.3269,1.342,0.5431,-0.6473,0.7543,-1.3112,-1.4568,1.6357,-0.0536
3.448,1.1835,-2.5741,-0.0932,1.6535,1.5302,0.585,0.3497,0.7336,-0.0085,1.6696,0.472,-1.3846,0.2014,0.5144,-0.8043,0.7569,-1.4231,0.5907,-0.1777,-0.6576,0.4957,-0.3455,0.0729
0.3492,0.6866,0.3154,0.6466,-0.5575,-0.2685,-1.0841,-1.6203,1.1464,0.0402,0.3044,0.1019,-0.7811,-0.4439,0.2709,-0.2419,-1.2399,-0.5834,-0.3564,0.4289,-1.1762,0.0605,-0.6481,-1.0552
-0.8448,0.0987,-0.2022,-0.9693,-0.6756,-0.0211,0.6314,-2.7987,0.5879,-0.7685,-0.1297,1.3885,0.7293,0.3545,0.224,0.4139,-1.2406,1.0204,0.887,-0.9607,-0.1163,0.192,0.6862,1.5788
2.5008,1.4744,-0.3356,1.6812,0.9481,1.2191,0.4222,0.9522,-0.123,1.3926,-0.0614,-1.0206,0.1751,2.4149,1.0644,0.8759,1.4849,-0.3938,-0.1615,0.2958,-0.5168,-1.1589,0.8383,-0.6157
-1.0206,-1.5569,0.7026,0.3573,0.4105,-0.3953,0.6928,0.6879,-0.8786,-0.4057,-0.6042,0.0319,0.8555,-0.8655,0.2957,-2.3335,1.377,-0.0815,-2.0053,-0.3877,-0.1286,0.2862,0.0345,0.5131
-0.1907,-0.1307,0.3143,-0.9402,1.3038,-0.4235,0.5238,0.5503,-0.2708,0.314,0.2693,0.9946,0.3349,-1.0232,-0.471,0.3814,0.3768,-0.2064,-1.6841,0.0087,-0.0836,2.3773,0.9591,1.0084
0.5469,-1.3141,-0.6468,0.0596,-2.119,-0.7693,0.5203,0.7255,0.7192,1.1994,-0.9686,-0.4464,-0.1085,-0.3482,2.2892,-0.4285,0.3641,-0.1831,1.8652,-0.0419,-0.8804,1.3119,-0.7136,1.8801
0.5772,0.2332,-0.3175,0.0986,-0.1414,0.7536,0.7437,0.8897,1.7367,-1.6484,0.1907,-1.2895,-0.4497,-0.8499,1.0296,-0.5832,1.6077,1.4271,1.026,-0.865,-2.7014,-0.5324,1.3541,0.4989
