"target","NS1","NS2","NS3","NS4","NS5","NS6","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40"
-0.5906,-0.3379,-0.7658,0.2243,2.3599,-0.6376,0.6877,-0.3744,-1.3777,-0.5659,-0.7255,0.5767,0.7793,0.0196,0.5513,-0.944,-0.5111,-0.7551,-0.1557,-1.0191,-0.7838,0.7456,-2.1552,0.164,-0.686,-1.5865,-0.0471,-1.7281,-0.0156,-2.4459,0.1719,-0.8327,-1.9164,0.269,-0.5742,-0.2105,-1.0434,-0.8036,-1.6022,-0.6079,0.2287,0.5405,-0.7246,-0.5649,0.2663,-1.136,0.2162
-0.0065,1.4336,-0.8595,-0.1084,-0.5654,-0.0282,-0.1612,-0.6585,2.223,0.8217,1.2796,-4e-04,-1.3829,0.5854,0.8356,1.3712,1.965,0.1056,0.9717,0.1379,-2.2211,-0.5222,1.3641,0.455,-1.0112,-1.2397,1.8689,0.3188,-1.0973,-1.2171,-0.3153,1.699,1.185,2.2089,-0.2143,0.0244,-0.9222,-0.9846,0.1709,0.3399,0.4978,1.06,1.0694,0.3197,0.0113,-0.1233,-1.6437
0.6611,-1.3901,0.9556,-0.1259,0.3431,0.3937,0.2785,1.2203,-0.2088,-0.3166,0.3091,0.2249,0.3561,0.985,-2.0727,-0.7753,1.2283,0.6877,1.677,-0.8052,1.2944,0.2379,-1.3763,-0.3933,-1.1203,0.3438,0.7008,0.5175,-0.4988,0.7091,-2.1378,1.9619,-0.2898,0.0228,-1.1672,-0.9329,-0.06,0.7398,-1.2297,1.3867,1.8819,-0.7252,-1.0352,0.0984,-0.7466,-1.2704,-1.4809
-1.087,1.1102,-0.4638,1.6034,-1.323,-1.7554,0.7409,-2.0853,-0.3404,0.6605,0.1849,-0.2995,-1.207,-0.0037,-0.2927,0.8688,0.0103,0.3206,-1.6527,0.4762,-0.1088,1.749,1.0844,-0.8219,0.6943,0.9186,-0.9704,0.3731,0.9789,1.3877,0.7327,-0.0122,-1.4048,0.6933,1.8661,-0.1243,1.6626,-0.0225,-1.217,-0.8594,-0.4016,-1.611,-0.5952,0.5145,-1.2372,-0.0502,-1.688
1.0186,2.0904,0.0515,1.0214,0.3636,1.2619,0.4675,-0.0246,1.8762,2.0959,-0.7715,-0.4793,-9e-04,-0.5814,0.3768,-0.7402,-0.9847,-0.5266,0.2579,0.4398,1.3917,0.4669,0.9891,0.3714,0.4898,0.011,0.6042,-1.3627,-1.058,0.7191,0.0493,-1.2753,-0.8794,0.0678,-0.2638,-0.4359,0.5245,-2.928,0.6878,1.2937,-1.2996,1.6742,0.6859,-1.101,0.2351,1.07,0.1387
0.2729,0.7711,0.9907,0.4891,0.2513,-0.0758,-0.1187,0.3581,1.5773,0.0037,1.7658,-0.8707,0.0171,-1.0831,-0.3047,-0.1189,-0.0274,-0.3781,0.5782,0.3905,-0.3558,-2.0322,-1.6332,0.781,-0.8347,0.2875,-1.7533,-0.616,0.5021,0.7317,-0.1826,1.5844,2.543,1.8319,-1.3933,0.1529,0.8564,-1.6111,-0.3955,-0.2049,0.6251,-1.7457,0.6854,-1.5949,0.2185,-0.026,-0.3896
0.4663,-0.1806,0.1676,-1.4038,-1.4725,2.7894,0.4061,-0.4291,-1.8793,-0.6694,1.1694,0.0549,-0.0101,-1.2585,0.302,-0.6868,0.0367,1.1653,-1.0956,0.2141,1.0107,0.7654,-0.3355,-0.6871,-0.6948,1.7158,0.5724,-1.0482,-0.4543,-0.3937,-0.2532,-0.0801,-1.2853,0.7351,1.0093,0.6234,2.2685,0.9142,0.4256,-0.2974,-1.4322,1.5748,0.4909,1.1172,1.4998,-1.1111,0.1142
-0.2149,-0.3794,0.096,-0.9548,0.0388,1.2339,-2.3922,-0.1365,-0.2471,0.9689,0.4192,-0.9145,-0.7463,-1.1242,1.0378,-1.7265,0.4932,-0.4694,1.0031,0.9369,-1.7552,-1.9268,0.7846,-1.0311,0.5766,0.2714,0.5634,-0.7689,0.0172,0.1141,0.0628,0.4766,0.2922,1.1173,-0.1312,0.9918,-1.3241,-0.0052,0.978,1.0759,-0.3191,-1.0713,-0.9721,0.6452,-0.3922,-1.6174,0.1509
1.2122,-0.1636,-1.0571,1.4566,0.3193,1.8394,-0.5053,0.0337,-2.3411,-0.5115,1.6972,0.4723,-0.6778,-0.0252,0.7696,0.2642,-0.0583,0.464,1.6037,-1.5652,0.557,-1.861,-1.5899,0.5938,-0.2967,1.3658,1.8118,-0.2279,-0.9464,1.8174,0.7696,-1.4705,-1.8427,-2.0209,-0.6221,0.2154,-0.0888,1.5652,1.1965,1.3488,0.6,0.4973,0.9549,1.7405,0.2521,1.9983,0.6621
1.2879,0.0796,0.7657,1.262,0.4924,-0.2945,1.4875,0.0888,-0.5767,0.6418,0.1633,-0.0746,-0.7303,-1.2625,0.0449,1.0416,-1.2646,0.9841,1.4979,-0.2584,-1.1912,-0.4824,-0.2464,-0.6818,-0.3045,-0.8791,-0.011,-0.6875,0.8164,1.4387,0.3192,1.7319,-0.241,0.5312,-0.5763,1.8523,-1.934,-0.6185,-1.4397,-0.9434,-0.7133,0.0768,0.3649,0.5919,-0.0997,-2.0233,-0.506
