"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40"
0.6011,0.5378,-0.6424,0.9574,-0.1192,-0.635,-1.4223,-0.6548,1.5164,-0.0708,-0.12,-0.2974,1.1197,-0.1561,-0.2057,-1.1639,-0.3569,-0.2521,1.081,-1.6211,1.7502,-0.4478,1.0274,0.6472,-0.3899,0.3829,-0.8374,0.7294,1.8527,-0.5702,-0.3024,-1.1696,-0.5539,-0.5184,0.0857,-0.7891,-0.1738,0.9284,1.0512,-0.9948,-0.8963,1.6293,0.7032,0.4559,0.4068,-1.2073,0.0189,-0.0497,-0.42,-1.1339,0.2128,1.1111,-0.2615,-0.4537,-0.7037,-1.3975,-0.6778,-0.0695,-1.9092,-0.6801,0.6874,-0.0153,-0.1074,-0.4164,-1.1501,0.3996,-0.0287,1.6205,-0.2841,0.2718,-1.0277,-0.9615,1.5002,-0.0086,-0.8073,-0.0822,-1.2103,-0.159,0.0534,-0.5729
-0.5434,0.5004,-0.6253,-0.4902,-0.8844,0.0707,-0.1238,0.8938,0.385,-2.3213,-0.4171,-0.6757,2.8568,0.5213,0.2562,0.2095,-0.1859,0.2117,-0.1642,-0.0773,2.1012,-0.3989,0.2126,-0.3268,-1.2483,0.2548,1.6497,-1.156,0.3107,-1.0768,-0.0812,-0.1321,-0.3599,-0.1682,-0.6094,0.7136,-1.6245,-0.5581,1.2377,-0.4085,1.1551,0.2716,0.5147,1.3962,-1.979,-0.311,-1.856,-0.3063,1.3565,-1.2402,1.4264,0.8945,-0.3079,-1.5632,1.3238,0.6053,-1.1615,-0.2848,1.7784,0.8172,-0.1234,0.0333,0.1654,0.6692,-0.2165,1.6961,-1.5712,-0.4217,-0.8724,2.0191,0.1673,-0.668,-0.3722,-0.828,-0.6418,1.3008,-0.6514,0.4842,-1.1841,-0.3581
-1.1297,1.8773,1.6663,-1.6276,0.5719,-0.7702,2.638,0.511,-0.625,-0.4613,-0.2946,0.8101,0.5607,2.2236,1.6386,-0.9575,0.9037,0.505,-0.1794,-1.1403,-1.1212,0.6072,-1.1996,1.4197,0.3039,-2.297,-0.9095,1.4231,0.1288,-1.3438,-0.2942,-0.7059,0.0942,-0.826,0.3648,0.4607,-0.8731,1.2504,-0.1837,2.4135,-0.0555,-0.9847,-0.1239,1.6849,-0.6847,-2.2243,-0.4684,-0.5358,-0.912,0.2292,0.0792,0.0561,-0.2575,-0.2432,-1.0995,-2.0745,-2.2063,-0.7277,0.778,-1.7222,-0.1664,1.0574,0.3344,0.245,0.1074,1.8168,-0.9505,-2.3569,0.8986,-0.8056,2.0867,-1.4611,1.6026,-1.5418,1.3871,-2.7745,-0.6827,0.6632,0.8079,-1.0937
-1.2559,-0.5466,-0.5456,-0.5441,-0.3329,0.1296,2.4124,1.1566,0.9995,0.6398,0.2389,-1.795,-0.6849,-1.2931,-2.1237,0.6929,1.0072,0.3974,-1.564,-0.3948,-0.2687,-0.9983,0.2489,-0.2516,-0.0549,-0.0319,-0.4447,0.5111,-0.1775,-0.6424,-0.1329,-0.1111,-0.9745,-1.0161,0.6744,-0.9453,0.4001,-0.6025,-0.8219,-1.4377,0.1834,-1.5167,-0.9382,1.6323,1.6123,-1.5934,-0.2149,-2.0211,1.4964,0.4337,-0.2311,0.0177,0.386,0.7781,-0.6142,0.5547,0.247,-0.9747,-0.6407,0.9109,0.5857,-0.5749,-0.6967,-0.5636,0.1256,-0.3175,0.2551,0.0199,1.0196,-0.4721,-1.8869,-1.1854,0.5602,0.736,-0.409,1.5219,-0.1296,0.3441,0.8228,-0.7728
-1.0968,0.2083,1.8891,-1.4214,0.028,-0.9163,0.9937,-0.7425,0.1035,0.4548,-1.0209,-0.049,0.5483,0.5313,0.0878,0.6153,-0.2823,0.7809,1.1851,-0.8403,0.4204,-0.8927,-0.2437,0.237,0.5788,0.3637,-1.227,-0.4184,0.8672,-2.1462,-0.6391,-0.8116,-1.0234,0.1284,0.5536,1.3155,-1.0428,-0.0363,-0.5187,-1.1215,1.5991,-1.0165,-0.6847,-1.0036,1.8676,1.2117,1.6947,0.71,-0.2442,-0.7885,0.574,0.126,-1.0207,0.7285,-1.6231,-1.3055,0.0486,-1.685,0.1516,-1.562,-0.4833,-0.9231,1.4482,-0.3057,-0.4448,1.9273,-0.5016,1.5201,-0.9284,-0.4167,-0.9555,0.3813,-0.3952,-1.0386,-1.3488,0.6639,0.2125,0.087,0.1738,-0.2537
0.2295,-0.6461,0.068,-0.4589,-0.2437,-0.125,-0.1965,-0.9503,-1.0952,-0.6503,1.1271,-1.9923,-0.5159,0.846,1.7706,1.1099,0.433,-0.4416,1.0382,0.8169,1.9627,-1.2443,-0.4318,0.0392,0.4781,0.5824,0.0645,-3.1252,1.0986,0.2344,-0.4654,-0.3485,0.8403,-1.1256,0.4373,-0.8723,0.4876,-1.0889,-1.0139,1.9123,0.2558,0.3227,-0.8321,-0.2568,-0.8007,-1.0538,0.2459,0.7136,-0.039,-0.3934,0.8477,-0.8486,-0.1196,0.627,0.9897,-0.4575,-0.3364,0.0359,1.7967,0.0281,1.0519,0.8733,0.1075,0.4626,0.2913,0.2956,-0.1889,-0.3511,1.3204,-0.1889,-0.639,-2.569,-0.6146,-1.0163,-0.8127,0.9092,-0.3072,1.9309,0.1724,-0.4144
0.1435,0.4218,0.3733,-0.9213,-1.3153,0.0421,-0.4061,0.748,-0.3242,-1.994,-0.3599,1.088,-0.5935,1.1814,-0.3992,-0.0798,0.9794,-0.5217,-1.0776,-0.1885,-1.7908,-1.7487,0.6436,0.6319,-0.5132,1.9245,2.0804,-0.7623,-1.4677,0.3508,-0.3888,-0.1895,-0.9898,-1.3,1.3244,-0.293,0.6643,-0.2952,2.9271,-0.5057,1.1269,0.4579,-0.2315,-0.5917,1.3242,-0.1312,-0.5706,0.1163,0.8864,-1.1365,-1.0766,1.3486,0.0058,0.4204,-0.5149,0.1599,-0.8854,-0.5597,-0.224,-1.185,-1.0477,0.1294,-1.1794,-0.1414,0.4016,-0.7664,-0.524,-0.2344,0.0912,-1.2918,0.7146,-1.1994,-0.6292,-1.1079,2.3302,-0.6952,1.5922,1.3552,0.8884,1.1547
1.1458,0.0387,0.8365,-0.7243,-0.6263,-0.8791,-0.8833,0.6079,0.6132,-0.1979,-0.406,-0.5695,-0.2971,2.2811,-0.8161,-0.3882,-0.2218,1.0138,-0.0278,-1.5909,1.2168,0.8183,0.4596,-2.2559,-1.4153,0.3918,1.2033,-0.2578,-0.8891,0.0065,1.0136,2.4716,1.0817,0.2569,0.5558,0.292,-0.1426,1.917,0.888,-0.5982,-1.0098,0.097,-0.8606,0.0328,0.4427,0.6126,-1.2861,-1.1453,2.2317,0.3661,-1.9288,0.7063,1.4227,-0.6059,-1.3481,2.6018,-1.256,0.9119,-1.1481,0.8624,-1.2209,-0.3949,1.1736,-1.0034,-1.3295,0.5607,0.1779,-0.7015,-0.7856,-1.4478,0.6895,-1.0653,0.5795,-0.2331,-0.1892,1.0357,1.3034,0.9203,0.9861,0.4862
-0.339,-0.3259,0.055,-0.3538,2.4995,0.5385,-0.3786,-1.0116,0.7227,1.164,-0.263,-0.4462,-0.8213,-0.0577,0.2083,-1.3656,0.0163,0.0559,-1.1279,1.5819,-0.0411,1.0609,0.6958,0.0322,1.044,-1.908,0.218,-0.9312,1.8609,0.3968,-1.3517,-1.7945,-1.4817,0.5652,-0.784,0.1716,0.0475,1.9802,-1.0175,-0.323,-0.9155,-0.4194,0.0063,0.2838,-0.4016,0.2653,-0.251,-0.8483,1.364,-0.1156,0.1715,-0.1026,1.9597,1.8887,-1.2147,0.5885,-1.1211,0.5276,0.172,0.482,-0.4921,0.4241,0.9096,-0.2335,-1.6819,1.0776,0.6189,1.1712,-1.2596,-1.2102,1.7043,0.6318,-0.8684,0.7092,-1.0474,-0.7121,-1.6064,-0.6006,0.2006,0.2693
0.028,1.9273,-0.328,-0.8108,0.244,-1.0723,0.7219,0.5361,0.3583,1.4243,-1.1365,0.7832,0.3934,-0.8355,-0.8436,0.1153,-0.4196,-1.436,1.3312,-0.281,-0.2837,0.1495,-0.3771,0.0902,-1.1145,-0.1155,0.1133,0.4703,-1.116,0.6448,0.7121,0.1418,-0.2381,0.798,-0.7496,-1.0526,0.2244,-1.1759,-1.0866,-1.8898,0.2981,-1.0762,0.9143,1.4207,-0.678,0.5257,-0.679,0.2105,-2.4065,0.0432,-1.5719,0.5732,-1.0865,-0.6758,0.397,0.2142,-2.3378,1.3771,-0.2074,-1.4078,0.4101,-0.8651,1.4568,-0.8787,-1.5199,1.5195,-0.6701,-0.9726,1.4011,0.1398,-0.6258,0.1474,1.01,0.0627,-3.6705,-0.3707,-0.1007,0.2929,-1.364,-0.8399
