"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44"
0.3334,-0.9946,-0.074,-0.3831,0.535,1.0401,2.2724,-0.8109,0.1631,0.8373,-0.9193,-0.3121,-0.2189,0.1876,0.1088,-0.3737,1.6449,0.2196,0.01,0.5816,0.6077,-0.2065,-0.9287,-0.812,2.7624,0.6738,-0.8506,-0.3482,0.5254,-1.8234,-1.6362,-0.369,-0.6366,1.3474,0.3519,-0.3329,0.3985,0.956,-0.6591,-1.5206,0.4962,-0.0093,-0.5617,0.4159,0.1203,-1.6108,0.0338,-0.2735,0.9425,-0.162,-2.3099,0.0216,0.5338,1.0726,-1.3223,1.532,1.068,-0.8217,-0.1237
-0.8631,0.1334,-1.4396,-1.1266,-0.3258,0.5454,0.1139,1.5006,-0.5554,0.1869,0.3715,0.1171,-0.1452,-0.5707,0.4504,0.9411,-0.1068,-1.1232,-0.6934,0.4844,-1.9919,2.0679,0.4348,-1.3582,-0.4579,-1.0583,-0.6177,0.9829,-0.1941,1.0283,-0.3732,0.0095,-0.1609,-0.0903,-0.0392,-1.4085,-1.7169,-0.0387,-1.022,0.5708,1.2406,-0.2772,-0.0356,-1.2601,2.5318,-1.5728,-1.3392,-0.3399,-0.3511,0.0658,-1.3905,0.0109,-0.1677,-2.1188,-1.5792,1.0073,0.3372,-2.4733,-0.2541
-0.8858,0.2491,1.484,0.9947,0.1633,-0.0878,-1.9757,1.6755,0.101,0.6787,-0.7229,-0.9651,-1.8389,-0.0039,0.7539,-0.1299,0.4559,0.1039,-1.827,-0.0512,-1.1835,-1.0463,0.4191,0.7668,0.182,-1.964,-0.2353,-2.2603,-0.8096,-0.5587,-0.7801,1.8614,0.1794,-1.7717,-0.6051,-1.4604,-0.3467,-0.5318,0.8787,1.0538,-2.7228,-0.2247,0.6341,-1.4568,-0.8215,0.0129,1.9581,-1.1911,-1.2349,0.2909,-0.6822,0.3965,-0.2023,-0.4959,-1.0335,-0.9991,1.7287,0.3879,-0.0872
-0.4456,0.8496,0.9686,1.9132,0.1107,1.3008,1.8819,-1.0179,-0.4426,0.6019,-0.4762,-1.465,-0.7002,-1.5519,-0.1803,-0.9049,0.6212,0.2266,0.337,1.5471,1.1847,-1.2039,1.288,0.1242,-0.6497,-1.0706,-0.4291,0.4482,-2.8069,0.0311,0.3363,-0.9105,0.1608,-0.1409,-0.2463,0.4815,1.3663,1.1738,0.5061,0.2829,-0.5504,-0.598,-0.6209,0.2292,-0.0874,0.9511,1.5226,-0.6516,0.6992,0.7716,-0.86,1.84,-0.5869,-0.1907,-0.6237,1.0335,-0.876,3.3335,-2.4476
0.3128,0.8774,0.6133,-0.8013,-2.0272,0.0734,1.2879,0.3392,0.3419,-0.2573,-0.3147,0.151,1.9768,-0.7605,-1.0616,0.586,0.0237,-1.4294,0.9618,1.1875,0.5081,0.2159,-0.4431,0.1489,-1.3775,0.9011,1.336,-0.459,-0.0292,0.6103,-1.7697,-0.1709,0.4255,0.0865,1.8051,0.4367,0.2134,-0.4836,-1.3755,-1.3978,0.5251,-0.0896,-0.5749,-0.3194,-0.8355,-2.096,0.1493,0.9873,0.8772,0.1277,0.7755,-0.8471,1.3262,0.4162,-0.1033,-1.7673,-0.6405,-0.4277,-0.4897
-0.9429,-0.6794,1.2255,-0.3774,1.0822,0.5371,-1.0664,-0.1606,0.2035,0.3546,-0.3274,0.3213,0.6181,-0.6068,-1.0301,0.2215,0.1162,-0.715,0.6457,1.8118,-1.139,-2.0931,-0.3009,-1.2168,0.017,0.1678,-0.9121,1.1339,-1.9917,0.0183,0.6703,-0.1353,-0.2352,-0.6767,0.4783,0.8524,0.6724,1.6853,0.4288,0.343,-0.9416,0.767,-0.4588,-0.236,0.1964,-1.4668,-0.1554,-0.5969,0.7973,1.2103,1.2973,-0.1359,-1.0212,0.066,-0.0614,1.2263,1.5889,-1.2907,-1.1433
-1.5285,-1.3722,0.3877,0.0518,0.2648,0.0716,1.3333,-0.323,0.8304,0.377,0.3513,1.3112,0.6167,1.3506,1.8908,0.238,-1.0955,-0.9779,0.3191,-0.0181,-0.8548,0.5575,2.0062,-1.6937,-0.7179,-0.8617,-1.1826,-0.561,-0.8771,0.1993,0.3807,1.4346,-1.9797,-1.1533,-0.8243,-1.3555,0.9419,1.1381,0.4821,1.1027,-0.9669,0.5867,-1.123,1.1863,0.1161,-0.7007,0.1717,-2.5293,-0.2277,2.1843,0.247,-0.1765,0.4137,1.9813,-0.2655,1.3986,0.6696,-0.2465,-0.5206
-0.0809,2.0525,-1.1163,-2.253,-1.1092,-0.2282,1.0405,1.5372,0.155,-0.1448,-0.9119,1.5535,-0.4655,-0.3951,1.4983,-1.5974,-1.6497,-1.4669,1.0529,-2.7349,-1.4088,-2.9583,-2.1481,1.1912,0.9972,-1.2672,0.0096,-0.0587,-0.5114,-0.174,-1.9454,0.2534,1.0855,-0.1223,-1.5706,0.5613,-1.755,-0.9523,-0.3669,-1.4196,-0.7065,1.8535,-0.3179,0.1453,0.7251,-0.1585,-0.0828,1.2736,-0.0712,-0.3322,0.8078,1.1799,-0.5544,-0.914,1.0249,-0.0433,0.8448,-1.3237,0.8062
0.0471,-0.1083,0.3135,-0.0373,-0.0442,0.372,0.563,1.5517,1.0994,0.2474,-1.1517,-0.6967,-1.1836,3.2897,0.1289,0.0885,-1.6537,1.1842,-1.2937,-0.1064,0.5277,-0.3897,0.3813,-1.5644,-0.3672,-0.4952,-0.7135,-0.5093,-0.9005,-0.0385,-1.1185,-0.245,0.6352,-1.4546,-1.6712,-1.0467,-1.434,0.6525,-0.9445,0.25,-0.9572,-0.707,0.3417,0.0965,0.5882,0.4293,-0.6626,0.3346,-1.2621,1.8868,1.6674,0.955,0.4927,-0.5759,0.5624,-1.4298,0.4521,-0.2904,-0.4661
0.3749,0.7057,-0.2244,-0.8248,-0.3937,-0.9606,0.9297,-1.1276,0.5436,-0.6221,-0.4645,-0.9647,0.2898,1.4285,-0.3373,1.3999,-0.6436,2.638,0.0131,-1.9093,-0.264,-1.3442,0.3165,0.0568,-0.5751,-0.59,0.179,0.2873,0.3669,0.4464,0.6682,-0.1866,0.3418,-0.0381,0.3407,-0.8207,0.7812,-0.3645,0.6555,1.2841,-0.7059,-0.5184,0.8059,-2.1543,0.2498,-7e-04,0.0764,-1.1957,1.2677,0.1719,-0.413,0.5591,-0.6006,0.4456,0.3249,0.3251,-1.45,0.5722,-0.4066
0.6359,0.8359,-0.4787,0.2574,0.199,-0.8671,0.5436,0.5202,0.4216,0.085,-0.3984,0.0309,1.2048,0.9632,0.4635,-0.0271,-1.7515,0.045,1.154,0.425,-0.7848,2.2224,0.2556,-1.1011,-1.0296,0.4736,-0.8997,0.282,-1.3313,0.2697,-1.8599,0.4462,-0.2969,2.1104,1.2788,-0.5633,0.587,-0.8153,0.4412,-2.183,-0.5581,0.7705,0.5144,-0.7218,-1.9057,0.5278,1.6308,-0.6134,1.4748,-0.2228,0.0682,0.0267,-0.6426,0.6789,-1.2393,-1.456,2.1916,0.5062,0.1699
0.7298,-1.5343,-1.2804,-0.8428,-1.0098,0.4875,1.0777,-0.4994,-1.4114,-0.7063,-0.8829,0.1244,-0.3783,1.1323,-1.3514,0.3496,0.1422,-0.6488,0.0612,-0.7959,-0.5242,-0.597,-0.8551,-0.7429,0.1032,0.6878,1.0771,0.5089,0.0735,-0.4505,-0.9284,-0.6665,-0.4817,-0.0142,0.5552,0.2275,0.4404,0.7799,-1.2641,-0.3056,1.0728,-0.2857,0.4854,0.2177,1.7417,-1.8906,0.5292,-0.5791,0.4988,0.5603,-0.5729,1.638,1.9944,1.353,-0.3444,-1.7038,0.2432,1.7471,-0.0483
-0.8305,-0.872,-1.0481,-2.0968,-1.2295,1.456,-0.4641,-1.0775,-0.2732,0.6364,-2.1687,-1.4035,-1.4734,0.4767,-1.0921,-1.6738,1.2159,-0.5535,-1.5165,-0.7353,0.7044,1.5644,0.5734,0.016,-0.4158,-1.0897,-0.3905,-0.3717,1.9741,0.9252,-0.977,-0.1341,0.0221,-1.3487,0.9705,-0.5303,0.3398,-0.388,-1.1506,-0.3241,-0.1873,-0.598,0.9109,-1.0151,-0.6123,0.4967,-1.0839,0.3668,0.9438,0.921,0.414,0.6855,-0.3553,1.1823,-1.3121,0.1514,0.4554,0.0727,0.8496
-1.3001,0.2745,-0.0973,0.1472,1.1041,-0.3775,-0.1726,-0.2314,-0.4574,1.2874,-1.2587,0.7974,-1.2779,1.5536,0.4922,-0.5138,-0.9135,0.547,0.0902,1.2555,-1.4002,0.0118,-1.2275,-0.7844,-0.6275,0.6446,-0.5578,-0.0038,-1.5258,-1.7128,-0.8152,0.267,0.3391,-0.3399,-0.9092,-0.1434,-1.2149,-1.1596,-0.0115,0.0565,-1.3038,-2.0589,-1.3109,-0.5957,-0.6269,-0.6627,1.0043,0.697,1.9102,-1.2171,-0.1868,0.2697,0.0511,0.7329,-0.1492,1.1146,-1.1484,-0.9851,-1.1269
1.1529,1.4078,0.2793,0.1706,0.7471,-0.8444,0.2589,-0.0969,-0.1277,-0.9241,-1.0079,1.0422,-0.4367,-0.6657,-0.7732,0.1579,0.5823,-1.3198,-0.7837,0.9246,-1.3506,0.3603,1.4753,-0.0897,-0.2901,-0.2189,0.2409,-0.9906,-1.4252,0.0966,1.6533,2.2884,-1.2502,0.1728,-1.1569,3.2211,-2.6305,-0.0836,1.4489,0.8655,2.1222,-1.0937,1.1581,0.2043,-0.5906,1.369,-1.1861,-0.3227,0.141,-2.2308,0.5909,0.5411,0.0615,-0.4568,-0.4541,-0.1112,0.4169,-0.1848,-1.0353
-0.6365,-0.5404,-0.3626,-1.1856,1.0346,1.5446,0.4781,0.4594,0.5553,-0.6834,0.0641,-0.4767,-0.1675,1.7615,2.0406,-0.1722,0.503,0.5669,-1.0636,-0.7149,-0.5845,-0.7886,0.408,0.4182,-1.0004,-0.6608,0.3997,0.6605,0.2541,-0.0617,-1.5308,1.9237,0.0931,1.3575,-0.3415,0.9255,-0.6973,0.231,-0.269,-0.3162,-0.4909,-0.7869,-0.4426,0.303,2.1291,0.6301,-2.0967,0.7199,0.0399,-0.2226,0.9027,-0.2621,0.6073,0.2354,1.0532,0.0445,-0.6717,-0.802,0.9318
