"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39"
0.5044,-0.6262,-2.0712,-0.0955,0.8301,-0.5172,0.4647,0.0401,0.7924,-0.409,1.0803,-0.9073,-1.4889,-0.9716,-0.0765,-0.2097,-0.0937,0.3421,0.1848,0.1896,0.597,0.0472,-2.0412,-0.9501,-0.2092,-2.2664,-0.8968,-1.3941,-0.1124,1.3272,0.1314,-0.5223,-0.094,-0.7211,0.7167,1.392,0.7867,0.0228,1.0281,-0.5048,-0.0748,-0.6812,-0.2023,-0.6551,0.0279,1.5116,0.299,0.3997,-0.6443,0.9306,0.1645,1.8056,0.2217,0.049,0.5072,0.203,0.5513,-0.2904,0.5306,-0.4516,-0.8384,0.8553,0.6283,0.2638,0.8745,-0.6346
-0.9643,0.1546,-0.4153,0.5551,-0.4176,-0.2993,-1.0023,-1.0354,0.398,-1.1186,0.4377,-1.1039,2.739,-0.3169,-0.9445,-0.6828,0.0784,-0.1916,-0.7496,1.5164,0.3534,0.2233,0.0223,-1.238,0.0021,-0.3041,-0.7214,-2.8968,0.7442,-1.3204,-0.1337,-0.1629,0.6593,-0.4277,0.2104,0.4739,0.9099,-1.1426,2.1018,0.5856,0.1474,1.869,0.4301,0.7685,-0.1113,0.4728,-1.427,-0.6173,0.0681,-0.1025,-1.3544,-0.7197,1.0244,0.9741,-0.9387,0.7007,1.1795,0.1558,0.1574,0.5766,-1.4055,0.647,-0.1111,0.5374,0.3867,-0.8549
-0.1233,-0.94,0.409,1.3833,-0.293,1.9766,-0.4474,-1.449,-0.2241,-0.1511,-1.0542,0.73,0.4979,-0.2758,-0.2335,1.3971,2.0506,-2.4195,0.3339,-0.4929,1.7742,-1.0482,0.2524,-1.6016,1.6492,-0.1596,-1.0559,0.3397,0.037,0.293,-0.3331,-0.2655,-1.3701,0.4239,-0.2109,-0.7125,-0.8658,0.8766,0.0472,-0.6642,-0.4072,-1.3084,0.6203,-0.2363,0.1507,-1.3463,-1.2663,-1.4732,-1.1992,1.056,-0.1559,-1.0829,-1.5392,-0.3898,0.1005,-0.8215,1.7889,-0.5046,-0.7562,-1.8553,1.0705,-0.9967,0.2652,0.643,0.5243,1.4712
1.0354,0.9865,0.6344,0.5437,-0.6288,0.9489,-0.8583,0.3275,-0.5872,0.7613,0.7976,0.6825,0.675,0.8634,-0.1866,0.3714,0.7402,-0.3659,-1.1301,0.3873,-1.9936,0.9851,-0.068,1.0185,-0.7665,-0.7509,-0.625,1.2402,-0.5341,-0.2294,0.4974,-0.1211,0.0459,-1.3887,0.6036,1.0708,-0.5074,1.5445,-0.2867,0.2128,-1.0433,-0.7849,-0.4974,1.5343,1.1565,1.9028,-1.0134,2.573,0.2652,1.089,-1.6285,0.8012,-0.4461,0.3449,1.1168,-0.2474,0.6237,0.8544,-0.8536,0.6317,-0.8863,1.7758,-0.4668,1.1211,-0.609,0.5019
1.4933,-1.0693,-1.3124,0.9982,2.0666,0.6204,0.4306,1.0621,0.5646,0.2865,-0.6416,-1.7677,0.0413,-1.3464,-1.0787,0.8893,-0.7397,-0.5698,-1.0177,-1.0209,0.2255,-0.1172,1.0156,1.0398,0.0425,0.8197,1.9292,-0.6855,-1.5634,-0.2719,-0.0586,0.9136,0.8611,1.0796,0.7179,0.0327,-0.4774,0.2025,0.5455,0.7512,-0.3042,-0.0395,2.3483,-0.0505,0.5899,0.3262,0.68,1.1475,-0.7634,-0.9127,1.4837,-0.1821,1.2657,-0.3837,-2.9967,-1.0271,-0.0532,1.6726,0.4575,-0.8372,0.0789,1.3738,-0.8216,1.6598,-0.0319,-0.684
0.9737,0.7238,0.0483,-0.1898,-0.0694,0.5358,-0.1472,-0.8499,-0.2477,-0.5509,-1.5597,0.4883,0.3262,-1.6291,0.691,-2.0132,-1.8802,1.8553,0.8572,-1.0465,0.6764,-1.3984,-1.6934,-0.1383,-2.4203,0.7875,1.4646,1.2289,0.3405,-1.4492,0.8141,1.8515,0.0429,0.4274,-0.189,0.8887,-0.9485,0.0935,0.8945,-0.6383,0.518,0.0766,0.632,-0.6078,-0.872,0.1314,0.4225,1.2928,1.3468,1.5665,1.4647,-1.4407,1.5681,0.4599,-0.5168,1.3594,-0.6868,2.1244,0.0139,-1.1284,2.0555,0.2864,-1.005,-0.4358,-0.4671,-0.2383
-0.0997,0.1813,0.4826,-0.8223,0.3204,-0.4307,-0.9227,0.1413,0.2479,-0.2214,1.9748,-0.3643,-0.1609,-0.9891,-0.8007,-1.2785,0.8419,1.4485,-0.056,0.548,1.127,-0.3548,-1.2313,0.7867,-0.9612,-2.4059,0.1564,0.7431,1.0213,0.6916,-0.1558,0.4894,0.6177,-0.639,-0.3238,1.2958,0.4566,-0.2488,0.3883,-1.2371,0.4356,0.1851,0.3497,-0.4751,0.7093,0.5911,-0.9395,-0.2271,0.5723,-2.0211,0.0139,2.5159,2.8119,1.0722,-0.1712,-0.2506,0.1917,-1.1838,-0.429,-0.785,1.515,0.8174,0.5555,0.1939,0.2812,-0.0447
-0.4211,-1.4555,-2.1487,1.4905,0.0159,-0.2154,-0.0676,-0.2465,-0.3864,0.6841,-0.0553,-1.0283,-0.5579,1.0446,0.4675,-1.0851,-1.9395,-0.5679,0.0965,0.494,-1.7788,-0.103,-0.8938,0.6774,0.7546,1.4326,1.0032,-2.8407,-0.3385,0.2596,-0.7862,-1.1085,-0.1695,0.459,-0.7184,-0.4586,0.9451,0.6857,0.0397,1.0934,0.7107,-0.2525,1.1894,-1.4489,0.0937,0.0779,1.8878,-0.3967,1.9979,1.4617,0.3919,-0.9272,-0.0589,1.5408,-0.0446,0.0988,-0.3338,0.3221,-1.0765,1.4991,0.2412,0.7919,-0.9273,0.8002,-0.5871,0.0911
-1.6927,-1.2172,-0.2353,-2.9548,0.7192,1.3451,-0.4377,0.3761,-0.5093,-1.2997,0.9583,-0.3741,0.8242,-0.4331,1.1999,0.3168,-2.1213,-0.4805,0.7808,0.2515,-1.7022,0.4845,0.4797,1.3973,0.2654,0.1389,-1.3631,-0.4538,-0.2028,0.2528,1.9695,1.1902,-0.9979,1.4561,-1.0403,0.6514,-0.9939,0.6837,-1.4271,-0.3905,-0.6666,-2.0786,-0.0867,-0.102,-1.1311,-0.6648,-1.865,-0.9879,0.7106,1.3283,0.5955,0.619,-2.5705,0.5042,0.215,-1.4185,1.5241,0.2013,-0.04,-2.8795,0.0898,0.5488,-0.5652,0.0047,-0.6094,-0.1232
-0.7057,-0.1899,0.2879,0.3681,0.0849,1.5383,0.1289,0.7197,0.1908,1.3118,1.437,-1.8238,-0.4852,-0.6367,-1.0395,-0.1211,-0.3293,-0.9596,-0.3156,-0.2846,-0.0649,-1.5758,-0.6297,1.9118,-0.3871,-0.9423,-0.0625,3.0422,-0.7353,0.6356,0.6786,2.2195,0.5005,-0.4196,-0.9592,0.5251,0.4975,-0.8013,1.5271,0.2045,-0.8805,1.1691,-0.6226,1.7014,0.3205,0.7775,-0.1216,0.5899,-0.6493,0.6927,0.514,1.8591,-0.0627,-1.1647,0.8018,0.5514,1.1762,-0.3493,-0.2182,-0.7462,-1.076,0.0868,0.3531,0.1656,0.7141,-0.8085
