"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32"
-0.7417,-0.9968,-0.8698,0.0264,1.2418,-0.4537,-3.0775,-0.0915,-1.5621,0.4599,0.9448,0.6873,-0.8301,-0.5692,-0.0914,0.3666,-0.6461,1.1358,0.5169,0.4674,-0.5994,-0.5239,-0.8913,1.0959,2.4608,-0.0131,1.0211,1.921,-1.025,-0.9842,0.4462,-0.668,-0.4156,0.6931,0.3829,-0.5043,1.3169,-0.4355,0.2545,1.0754
-0.3743,-0.6265,0.3485,-1.0656,-1.1929,3.1554,-0.5836,-0.3976,-1.018,-0.0728,-0.1756,-0.8765,-0.1452,-0.6515,-0.747,0.1381,-0.271,-0.7273,-0.4857,0.4852,-0.7064,-0.7378,-0.8059,-0.436,-2.0841,0.6529,-0.6387,1.6048,0.3472,-0.4948,0.7349,1.7747,-0.3576,-0.5292,-0.5012,-0.9857,-0.4708,0.9124,0.9258,0.5468
-0.7124,0.2709,-0.0351,0.712,0.5369,0.6006,0.3358,-0.1043,-0.0372,0.1801,0.9361,0.0179,-0.6105,-1.4071,-0.8896,-0.8184,0.6833,0.6196,-0.9249,0.0486,0.37,-0.6294,-0.5273,-0.024,-0.2623,1.3924,-0.6151,0.4277,-1.3799,0.4806,-1.2618,-0.0204,-0.4454,-1.1549,-1.0676,-0.7879,-1.1036,-0.3173,-0.4278,-0.3371
1.5592,-0.6022,0.3906,0.0978,0.3536,-1.0914,1.0793,-1.3222,1.4518,0.0437,0.263,0.7274,-0.6342,-1.0292,-0.0665,-0.4093,-1.5058,0.807,0.1395,-0.0523,0.9295,-1.3135,0.2463,0.7301,1.4735,-0.0817,1.6373,0.6013,1.2335,-1.3717,2.385,0.4875,1.6155,0.9563,-1.3835,0.4191,-1.4116,0.3804,0.0066,0.2184
0.6897,1.294,-1.1758,0.0204,-0.8753,-0.8364,-1.4442,-1.1534,-0.5112,1.8291,2.7658,-0.5084,-0.5589,-0.0992,-0.2632,-0.9979,-0.1394,0.2123,0.1389,1.4728,1.9119,-0.3242,-1.3211,1.7322,1.3301,-0.5591,0.6474,1.5616,0.3307,0.81,-1.3521,-1.0907,-0.1612,0.2269,-0.6627,2.1614,-0.3926,-0.2012,0.6583,0.8198
0.6076,-0.6893,-1.5086,-0.5691,-1.9877,-0.477,-0.6158,-0.6722,0.8291,2.0511,-0.2086,0.5591,0.2858,0.3825,0.7914,-0.5439,-0.2141,-1.0885,-1.0432,0.1427,0.3438,0.0247,0.5335,0.6412,0.488,0.523,0.9662,-1.8251,1.0908,-1.8424,0.33,0.4246,-1.6738,-1.1287,0.4572,0.4769,1.7184,-0.9841,-0.1787,-0.8854
-0.3252,1.1529,0.6847,1.1748,-1.4586,0.343,-1.4385,0.865,0.9631,0.7668,-2.6631,-1.2546,0.9369,0.9483,-0.4369,-0.0407,-0.3716,-1.4264,0.752,0.3695,-0.6192,-0.0497,-1.1662,-0.5551,-1.2188,-0.9927,-2.4934,-0.4556,1.2421,-0.0233,-1.2596,0.2794,0.0623,0.8345,0.7676,-0.3646,0.9034,0.0588,0.1177,-0.9375
-1.3697,0.9741,-0.101,0.8451,1.0054,0.0661,-1.2232,0.5578,1.8417,-0.9456,0.3632,1.0175,1.7982,-0.5143,1.5023,0.6757,0.2399,-0.0443,-0.4313,-0.4188,1.0423,-1.8349,0.5103,0.4543,-1.1195,-0.6052,1.6292,0.8797,1.3566,-0.8248,0.2822,-0.6078,-1.0442,-1.4848,-0.3595,1.2307,2.2987,0.4475,-1.1293,0.9979
-0.7696,0.0916,-0.1659,-0.1802,-1.6984,0.9383,-1.8682,1.6417,-0.7216,0.1623,1.2327,-0.5864,0.0999,-0.2639,-0.3792,0.575,-0.6476,0.1604,1.1097,0.9932,1.151,1.0425,0.0167,-1.3414,-0.0148,-0.3051,-0.3719,-0.3774,-0.5148,0.2282,-2.0932,-0.2546,-0.4036,0.3002,0.9225,0.4722,0.4993,-0.2435,-0.751,1.3652
-0.7402,1.3314,-0.8086,-0.141,1.026,0.9994,0.2811,-0.0705,0.743,-0.2824,-0.8582,-1.225,0.6977,-0.8297,1.1954,0.2122,0.3308,0.7765,0.3073,0.7687,-0.3865,1.398,0.001,-0.9959,-0.7374,2.1658,-2.731,-1.4397,-0.2146,-0.7668,-0.3232,1.1873,-0.1585,0.7952,-0.6127,-0.8145,0.1496,-0.2514,-1.7635,-0.5385
-0.9467,0.7334,0.637,-1.2689,-0.0232,0.8582,-0.5712,-0.6683,-1.657,0.9837,0.7193,1.3476,-0.1514,-1.2561,0.2475,1.18,-1.4222,-1.1721,2.265,-0.1872,0.415,0.4738,0.2449,-1.5587,0.4038,1.7274,1.2641,0.6917,-1.3123,0.6015,-0.0891,0.0761,-3.1364,-0.3271,-0.1646,0.1805,-1.2116,-0.3413,0.9751,0.4739
0.171,-0.8074,-0.327,-0.6681,-0.9186,-0.9729,1.1601,0.0529,0.861,-0.3021,-1.0064,-0.0469,0.7151,-1.5387,-0.3981,0.3053,-0.4837,0.5325,-0.1808,-1.6216,0.547,0.0418,-0.0119,0.2163,-0.9941,-0.4966,-2.0313,0.3042,1.5254,-0.6768,-0.8043,-0.1298,0.0542,-0.7487,-0.5527,-0.0208,0.5527,1.6587,0.9776,0.5218
1.2303,1.1041,-0.0263,-0.1283,-0.7207,0.0422,1.2439,0.3213,0.7168,0.8355,5e-04,0.3808,0.6535,0.0565,0.7155,-0.3034,0.5373,0.751,-0.6559,-0.2576,-0.0462,-0.5904,0.6524,0.4187,0.2792,-1.3831,-2.5275,0.2305,0.5065,-0.2605,0.5193,1.011,-0.0482,0.6282,-1.4168,0.8802,-1.115,-0.5148,-0.219,2.7358
1.722,1.3051,-0.7073,-0.131,-0.4614,-0.4224,1.4956,0.4255,-0.5186,-0.3181,-1.3243,0.8747,0.1149,-0.0919,-0.4776,-0.9421,0.6446,-0.319,0.2581,-2.333,-0.3384,0.4962,-1.0261,-0.2501,1.2339,0.682,-0.0528,-1.7521,-0.1086,0.2856,0.2571,-0.173,-2.1112,1.6693,-0.4735,0.2482,-0.5101,0.6982,1.4634,1.7501
