"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14"
-1.4913,0.554,-0.3185,-0.0911,-0.026,0.6504,1.8111,-0.1826,2.3066,1.131,1.4316,0.7145,-0.706,0.0267,1.7213,-0.7045,0.5539,-0.223,0.2203,-0.4852,-1.2413,-0.886,-0.977
0.3741,-0.106,-0.7994,0.437,-1.369,-0.0613,0.9482,-0.5648,-0.8171,-2.4107,0.5861,-0.4697,2.0279,-1.0738,1.1433,-2.1181,0.3779,1.6819,0.4493,0.6972,-1.875,-2.7244,1.2142
-1.8757,0.9334,1.7213,-0.4677,-0.6251,-1.4444,0.8967,2.3668,-0.3564,-0.5211,-0.6711,-0.7784,-0.4058,-1.7695,1.765,-0.7092,-1.2097,0.0812,-0.1729,-1.0947,0.4919,1.8265,0.2482
-0.2031,-1.1013,-2.2705,0.1122,-0.0393,-0.2791,1.4773,1.119,-1.4584,1.2156,0.6781,0.5432,1.2536,-0.0963,-0.9442,0.2938,-0.3576,2.8444,0.5069,-1.8581,-1.2524,0.6704,0.3692
-0.38,-0.7035,0.2338,-0.2324,0.7364,-0.2206,-0.8198,-0.0468,0.3085,0.6776,-1.3643,0.8497,-0.6618,1.2065,0.2043,-0.6841,0.9684,1.1766,-1.0038,1.427,1.271,-0.7239,0.3561
-0.4705,-0.7544,1.1959,-0.7704,2.1571,-0.5494,-0.6709,0.9903,-0.9794,0.6108,-0.0266,0.2689,0.8936,-2.3039,0.0429,-2.1085,2.5147,-0.3222,-0.4496,-0.1694,0.5687,0.8812,-0.2024
0.1628,1.5358,-1.8248,0.77,0.6899,-0.0826,-2.5552,0.3811,1.4217,0.2661,-0.7647,-1.6559,0.8017,-1.2235,0.7556,0.1384,0.6154,1.9605,0.4757,-0.7288,-0.3353,-0.0227,2.0561
0.1144,-0.4956,-0.191,0.04,0.0247,1.0909,1.5222,0.447,0.705,-0.6767,-1.3861,-1.1788,-0.1762,0.0642,-0.9272,0.8748,-1.002,1.3616,1.621,-1.6042,1.0185,0.3289,0.4259
0.3542,0.1911,1.6243,0.0746,0.3411,-1.1112,-1.3624,1.1784,0.1125,-0.0273,-1.102,-0.374,1.0043,-1.2223,0.7761,0.5852,-0.4257,1.4996,-0.7773,-1.875,0.4051,0.2147,-0.8626
0.8347,0.8259,-0.3721,-0.533,1.0569,-0.1166,0.7464,-1.5176,-0.784,-1.0831,-0.0885,0.5966,-1.0321,0.2815,1.4447,0.2144,-0.0965,-0.7015,-0.9443,1.0474,1.5569,-0.0715,-1.0451
1.063,-2.1356,1.294,-0.8015,0.4623,0.0683,-1.2314,0.1607,-2.0197,1.7421,-0.3181,-0.8166,-2.1443,-1.1029,0.3302,-0.9917,-0.4486,1.9909,-1.3239,0.9436,0.0392,-0.9235,0.5356
1.1724,0.1413,0.1948,0.2712,-0.9709,-0.5318,0.608,0.3511,-0.3443,-1.7598,0.6983,-0.4759,-0.9676,0.1728,-1.0375,0.2639,0.2048,0.1067,-1.5339,2.3094,0.0933,0.9612,0.3902
-0.8087,1.6569,-0.2225,1.316,0.4224,1.3819,-0.2363,-1.2766,-0.5395,0.2417,0.3375,-1.4179,-0.3246,0.1717,0.1812,1.3821,-0.6019,0.1737,-0.9475,0.3835,0.0606,-0.3998,0.8358
1.0066,-0.4978,-0.2001,1.576,-0.9232,-1.2566,1.012,0.6617,0.7513,1.2834,-1.4559,0.521,0.9883,0.3183,-0.2685,1.243,0.5559,1.4907,-1.0736,0.7545,0.8659,0.3243,-1.4493
