"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8"
1.061,-0.9899,-0.0064,-0.7791,1.4743,1.6949,0.6357,0.5391,-0.8063,-1.4913,0.8613,1.5359,0.2726,0.2605,1.1081,-1.0657,-0.8159,1.6853,-0.6013,1.3003,-1.844,0.1268,0.7974,0.2645,0.5435,-0.79,-0.4483,0.6852
-0.9923,-1.7693,-1.285,-0.2346,-0.3622,-0.9917,-0.0508,-0.3924,-0.735,-2.1068,1.2503,1.7215,-1.0959,0.1494,0.5073,-1.5268,1.3096,1.1888,-0.8028,-2.1402,-0.7705,-0.1838,0.2613,-0.3611,-1.3514,0.314,-0.2096,-0.1765
0.1687,-2.0889,1.0626,-0.428,1.9433,-1.7077,-1.3358,0.8947,0.676,-1.758,0.0452,0.7645,-1.5301,1.1435,-0.27,-0.3073,-0.0842,0.3503,-0.7746,2.1826,-0.8094,-1.143,-0.1469,1.1346,-0.3729,-0.7357,-0.1513,0.9159
0.0386,-0.0669,-0.1119,0.0054,-1.1669,0.3732,1.0449,1.2277,1.3604,-1.774,1.1626,0.0446,0.4462,0.9855,0.8468,-0.6684,-0.0629,-0.1632,-1.0593,-0.4017,-0.0264,-0.7763,-0.6468,0.077,0.5933,0.7496,0.0686,-0.673
1.1656,-0.453,0.951,0.4869,-1.0449,0.6942,0.0482,0.3419,-0.6035,1.4888,0.6506,-0.548,0.5706,0.6688,-0.2023,0.9736,-0.9331,-0.718,1.2766,1.144,1.4703,-1.2077,0.0758,-1.9887,0.137,-0.1558,0.57,-0.771
-0.5063,-1.1302,0.5512,1.5874,0.3177,-0.7165,-1.2598,-1.5381,-0.4768,-0.4932,-0.5483,-1.0309,-0.155,1.9548,-0.0126,-0.2196,1.4293,0.4009,-0.7567,0.1727,0.6714,-0.413,0.3514,0.7041,-0.166,-0.1363,0.7734,-0.3851
1.4153,-0.0859,1.3962,-0.0585,-1.0116,0.0913,0.0242,0.5974,0.1525,1.1686,-0.2317,0.9065,1.2063,-0.0353,0.0953,1.2036,0.2852,1.4963,-1.1867,0.068,-0.483,-0.0559,1.08,-0.4109,-0.3436,1.5224,0.911,0.867
-0.4359,-0.501,0.4465,-0.5339,-1.3698,-0.0991,-0.4838,0.2775,0.815,-1.0423,0.8272,-0.1644,-0.736,0.4932,-0.6307,-0.5406,-0.7841,-1.1599,0.1091,-0.1927,1.512,0.32,0.2222,0.4882,-0.657,0.9589,1.7852,-0.7077
0.4784,0.2966,-0.0319,-1.4536,-0.4305,-1.251,0.3943,-0.9612,1.4142,-0.9596,0.8162,-0.3766,-2.1818,0.112,0.0585,-1.2284,0.7,1.5601,0.5831,1.0112,-1.1628,1.7681,-1.8793,0.9693,-1.091,0.0726,-0.9853,0.5302
-2.0625,-1.3183,0.075,1.7293,0.7348,-0.3268,-1.6542,0.8011,-0.9796,0.3994,-1.1576,-0.4067,1.3212,-1.7186,0.1036,-1.0939,-0.8099,0.5978,-0.5784,-0.3643,0.5571,0.1938,-1.5667,-0.6932,1.1597,0.8417,1.183,-0.4749
-0.3547,1.242,0.6775,0.8694,-0.3314,-1.0742,0.473,0.2146,-0.9583,0.7804,-0.0041,0.5981,0.4932,-0.287,-0.1785,0.5249,-0.5349,-1.1715,-1.1335,0.1179,0.9829,1.4249,0.8733,-0.3665,-0.1905,0.4025,0.0037,-0.3518
0.0275,-0.5899,-1.2246,-0.3155,0.3097,1.4679,-1.0252,2.6017,-0.1866,-0.7238,0.6817,-0.9814,0.7634,-0.1345,0.9162,-0.3162,0.2508,-1.1536,0.2511,0.7745,0.6322,-1.9203,0.8942,0.1916,0.629,1.4441,-0.4339,1.6489
0.143,-0.6694,-0.4976,0.0842,0.0891,-0.0342,-0.26,-1.0421,-1.1054,0.8913,0.3923,0.3248,1.2502,0.2179,0.8853,0.4598,-0.0868,-0.7534,-0.8554,-1.0724,-0.306,0.5366,1.4272,0.6514,-0.0232,-0.761,0.8948,1.2417
