"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25"
0.3321,0.3619,-0.5387,-0.0268,0.9345,-0.8077,-0.4899,1.0952,0.1021,1.3064,-1.1253,-0.0297,0.7201,-0.228,1.2384,-0.0645,-1.8114,-0.0977,2.057,-1.3856,0.631,1.7621,-0.6671,1.5566,1.2609,1.1826,-1.4843,0.7187,2.4092,-0.2178,1.3788,-0.3582,-0.1422,0.8826,-0.6779,-0.9331,0.1219,-1.3443,1.2502,0.4565,0.442,0.5954,-0.5665,0.1874,-1.3295,-0.2731,0.7689
0.2356,0.701,-0.0413,0.981,-0.4181,-0.3452,0.9888,0.0687,0.3799,-1.6415,0.7864,2.8993,1.1144,-1.0779,0.7872,-0.0773,0.1792,2.0011,-1.2441,-0.0182,0.6617,-1.7386,0.1165,-0.1297,0.7216,-0.4375,1.5629,0.6565,0.3741,0.5686,-0.4567,-0.0509,0.9041,0.0429,0.1515,0.4733,-1.0272,-0.3478,1.8367,-0.9109,1.3836,-1.6491,-0.2561,1.3252,0.3742,-0.2644,-0.2894
2.2153,-1.2157,-0.9459,-0.2627,0.3281,0.9236,0.9697,0.8299,0.1377,1.2333,0.7487,0.5616,-0.8441,2.0818,1.3186,-0.7486,0.0432,0.4069,1.2377,0.8623,0.3771,0.5622,0.1779,-0.3149,-1.3975,0.0684,-1.3681,-0.1412,0.8636,-1.7476,-1.473,-0.1621,0.0881,-0.5481,-0.2542,-0.8538,-0.3644,-0.0832,-0.1429,0.234,0.2363,0.8706,1.0176,-1.1677,-0.9376,1.4555,0.8686
0.1256,-0.8388,0.492,0.7395,0.2168,-2.1297,0.4774,-0.7289,0.7984,-0.8264,0.3729,-0.1236,-0.8,1.3417,-0.6989,1.1377,1.2722,-0.0811,0.7543,0.3918,0.7371,-0.4517,0.031,0.1675,-0.0448,1.1201,0.8883,0.5783,-1.8334,-0.201,-0.0986,0.0689,0.9647,0.9818,0.8808,1.6531,-1.1002,-0.5215,-1e-04,0.3806,0.5302,-1.1447,2.3286,-0.0369,-1.0095,-0.516,-1.2842
0.3942,-0.1537,-2.1111,-0.3891,-0.134,0.8676,-0.9369,0.379,-1.6931,-0.4439,-1.075,0.3007,-0.6391,1.6009,0.4872,1.1285,-0.0022,0.1444,-0.8804,0.693,0.0617,0.5223,-1.0925,-0.167,1.9671,0.7042,0.4331,0.9955,-0.9635,-2.8831,-0.1648,-1.7183,0.0019,0.1793,0.1424,2.6993,-0.4094,1.5462,0.4098,0.401,1.5286,-0.8025,-1.3826,-0.4005,0.3227,-0.4365,0.6484
-1.5183,-0.4736,-0.5294,-0.6843,-0.7642,2.273,0.0471,1.3024,-2.5833,0.9832,1.898,0.1981,-0.2992,1.1599,0.6467,1.5568,0.1492,0.965,0.305,0.0627,0.3603,0.0353,-0.3318,-0.6416,-0.9241,0.2434,-1.3079,1.0393,-0.3451,0.188,-0.8486,0.15,-0.5865,-1.5237,0.6209,-0.3348,-0.374,-0.1435,0.3537,-0.7506,0.7198,0.0867,1.859,-0.438,0.1251,-1.4135,0.9769
-0.2094,-1.6957,0.4747,-0.0577,-1.4705,0.281,-0.4256,0.1727,-0.163,-0.0835,1.3586,2.0936,0.5063,-2.4227,2.266,0.0412,-0.7025,0.9394,0.7254,-0.4096,-0.0894,-0.7356,-0.0113,0.5979,0.3031,0.6196,0.9723,-0.4868,1.2212,0.9981,-0.9335,0.0233,-2.4813,-0.5531,-1.0376,0.8247,-0.1694,-1.173,1.5758,1.5595,-1.0627,0.1284,-0.5143,-0.9098,0.0915,0.3614,0.5513
-0.6023,-0.069,-1.2097,-2.3354,1.0334,-1.0034,-0.1096,-0.6561,-0.2071,0.4307,-2.0084,-1.7073,0.9457,1.8382,-0.5947,0.1327,-1.1233,0.7765,0.2509,-0.4907,-0.4547,-0.1738,1.1091,-1.0366,-0.1424,0.9532,0.5838,-0.4846,-0.4223,-1.0811,-2.3041,1.1708,1.699,0.5678,-1.6752,-0.9691,1.0553,2.2299,0.0922,-0.6358,-0.7261,-1.8786,1.6599,0.3117,-1.563,0.1632,-1.077
0.0306,1.6553,-0.1852,-0.5581,0.7647,0.858,-0.1803,1.1465,0.9805,-0.9564,-0.8713,0.8148,-0.3688,-1.2334,0.1662,1.6772,-0.804,-0.8899,-1.4651,-0.2172,-0.1493,0.4056,-2.0559,0.3476,0.9619,0.9702,-0.8209,0.2856,0.0964,-1.2957,0.5439,-0.4307,0.7011,-1.0173,0.0202,0.1555,-0.2606,0.0013,0.6007,0.614,-0.5306,1.2447,-0.5891,1.0008,1.0622,1.1682,0.5292
-0.4182,-0.385,0.9352,-0.5029,0.5411,-0.0625,-2.2012,-1.657,1.0018,2.471,-0.2846,-2.9368,1.1324,-1.3194,-1.0325,-0.0164,0.0729,-0.7783,-0.0572,-0.3506,0.3788,-1.5657,-0.5969,-1.1215,-2.3003,-0.3429,-1.2273,1.3214,-0.9736,2.8416,-2.0274,0.7178,-0.8445,-0.8304,0.7302,-0.0279,0.7332,0.2256,-0.5183,-0.6842,-2.1203,-2.3039,-0.964,-0.898,1.4381,0.3033,1.0887
-0.0083,-0.4773,-1.2668,0.7586,1.8266,0.7237,0.6011,-0.2709,0.143,-0.2332,-0.9352,0.6351,1.4936,0.4867,-0.1069,0.3619,0.4722,-0.0355,1.1945,-1.0001,-0.1901,-0.9352,-1.7102,1.2956,-1.5723,0.7168,0.0168,0.8907,-0.1409,1.0036,1.3601,0.2297,0.7971,-1.1525,0.0685,-0.8632,-2.8527,-0.1936,0.8268,-0.6186,0.2158,0.6642,-1.9058,0.7452,1.4295,0.3662,0.0343
0.4596,-0.4622,-0.3875,-1.0767,-0.4691,-0.7049,-0.1714,-0.0101,0.0325,-0.135,1.1555,0.8635,2.6607,0.539,0.3416,-1.0154,-0.8276,-2.0662,-2.71,-0.9178,0.042,0.3325,-0.7353,-0.5179,-0.3297,-0.9261,0.7349,0.528,-0.5239,0.1972,0.72,-1.0007,-3.4712,1.1909,0.2515,1.6838,-1.023,0.6015,2.161,0.4886,-0.9206,-1.2752,-1.4098,-0.266,0.6469,0.5371,1.3519
-0.524,1.0964,0.4891,-0.4801,-0.6763,-0.0666,-0.1659,0.9348,1.0347,-1.1431,-1.3969,-1.6103,0.8548,-0.6043,-0.054,0.7512,-0.678,0.5981,0.7496,3.3291,-0.8373,-0.8222,0.9188,-0.2472,0.0335,0.5386,-0.3538,-2.0065,1.4595,0.3001,-0.6486,-0.8124,-0.428,-0.7275,0.5237,0.8959,1.7665,-0.476,1.5987,1.0266,-0.0597,0.9468,-0.5135,-0.2197,1.3838,-0.7096,0.2499
2.5523,1.0516,-0.3442,0.8217,0.8257,-0.8464,0.765,0.77,1.0582,-0.714,-1.2862,-0.8501,-0.4796,-0.8287,-1.2208,-1.7633,-1.7574,-0.2948,1.0735,-0.326,0.3471,-0.3759,1.2439,-0.9941,-0.5143,1.3565,-0.604,-0.2131,1.7611,0.1047,-0.9294,1.0748,-1.3163,0.6887,-0.2805,0.0463,0.6025,-0.7925,-0.4984,-0.3327,-0.7837,-0.4146,-0.5675,0.2747,0.9452,-0.9427,-0.0423
-0.4301,0.6069,0.641,0.2868,0.393,0.9113,-1.2246,-1.0701,-0.8379,1.7727,0.1241,-0.2463,-0.1716,-0.1287,-0.2134,-1.0905,1.0669,0.3618,1.9154,0.6919,1.1883,0.1014,0.1642,0.4673,2.4742,-0.2544,-0.2198,-0.6771,0.3803,-0.237,0.0488,-0.7777,-0.3451,1.5926,0.3567,0.8408,1.5229,-1.4589,0.0752,0.6835,-1.4834,-0.4034,0.0608,-1.4373,1.0889,0.1819,1.1547
0.0348,-0.1259,1.1933,-1.3421,-2.0907,-0.6497,0.6628,-0.1816,1.0013,0.953,-0.972,1.7509,-0.2133,0.441,-0.1865,-0.064,1.5616,-0.9057,-0.6372,0.6334,-1.002,2.1072,-0.1113,1.5625,-2.0501,-0.9227,0.2246,-1.078,1.2335,-0.2231,0.8007,1.1577,-0.3297,-0.7431,-1.9177,0.9992,-0.8202,0.6772,0.4561,-0.8698,-0.2384,-1.4019,-1.0182,0.8797,-0.3835,0.8206,0.1867
-1.2018,1.6368,0.4744,-0.2947,1.0933,-1.4245,-0.5748,-1.6344,0.5666,-0.0695,-1.2065,-0.6037,-0.1464,0.3153,0.8596,0.3057,-1.5775,-0.0142,-0.873,1.1856,-0.0315,1.7707,0.6999,-0.7534,0.0745,-0.5455,1.9195,0.0501,0.0754,-2.6806,0.5632,-0.0752,-0.9618,0.8153,0.8017,-0.4212,0.5836,1.3468,-0.8755,1.1316,-0.7358,-0.2154,1.0749,-0.1516,-0.9189,-0.5024,-0.6756
-0.3028,-0.0501,-1.0598,2.1892,-0.6155,0.3708,0.7112,0.2557,1.4714,-2.1071,-0.9396,0.7425,0.8142,0.0848,0.3979,-0.5008,-2.4658,0.839,0.7557,1.0797,-0.3251,0.7699,-0.1722,0.645,-1.2548,-0.9873,0.5128,0.9917,0.8228,-0.7694,-1.0199,1.6141,0.4015,-1.2801,0.1891,-0.0181,-0.5595,1.6638,-0.5148,1.1343,0.4618,0.2837,-1.1165,-0.471,-0.0169,0.4632,-0.2272
1.1979,0.6101,-1.1708,1.3869,0.4079,1.6736,0.5197,-1.823,0.3706,-0.1866,1.2635,0.9293,0.6023,0.4977,1.3322,-0.0676,-0.4811,1.7769,-1.5593,0.4983,0.2956,0.1748,0.1051,-1.3969,1.146,0.297,-0.4871,-2.0815,0.9784,-1.058,-2.7235,-0.0076,-0.6149,1.6039,-0.1535,1.2797,-2.5797,0.5993,0.8112,-0.2032,0.9101,1.1931,-0.2619,1.01,1.606,-0.7146,-1.7195
-0.2723,0.5132,0.5959,-0.9276,0.0016,-0.166,0.3795,0.5859,0.6918,-1.365,-0.3237,-0.8685,-0.118,0.1983,-1.5444,1.2641,-0.2443,1.3346,-2.9001,-1.4492,0.276,1.1578,0.5822,2.0572,-0.0869,0.0936,-1.9183,0.0442,-0.6207,-1.8725,-0.0451,-0.5274,0.2473,1.8878,-1.9356,1.3279,-2.7101,0.7734,-0.0392,0.1902,0.6832,0.7207,-0.6257,1.4378,1.8697,0.6187,-0.7627
