"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11"
-1.8068,-0.2611,1.8227,0.9288,1.9303,0.9391,1.3085,-0.6389,0.5013,1.3127,0.1923,-1.2951,2.6784,-0.699,-0.2403,1.3052,0.041,2.2503,-0.2541,-0.4105,-0.5043,-0.1324,0.9114,0.5372
0.5579,-0.8735,0.5963,0.4835,1.6379,-0.4416,-0.9589,-0.018,-0.4939,-0.6371,-1.6087,1.2686,0.479,0.1372,-0.6647,0.242,-0.1455,0.4606,0.7801,-0.4832,-0.2351,-0.5235,0.2494,-0.2288
0.3795,-0.8006,1.657,0.6208,0.1837,-0.9324,0.9734,0.3881,-0.5014,0.8331,0.2315,-1.1866,0.4323,1.9745,0.373,1.631,1.245,0.5986,1.2011,1.0136,-0.262,0.5552,0.4768,-2.2002
-0.6019,1.3142,0.0573,1.9658,0.6319,0.5648,-0.3369,-0.4078,1.2072,-0.9493,-0.3755,0.4408,-0.9337,-2.6354,-0.3118,0.369,1.0663,-0.1215,0.0724,-0.7249,-0.1216,-0.1429,0.3346,-0.3495
-1.2705,-0.4288,0.6926,0.5648,0.3326,1.5252,0.67,-0.3179,-0.4127,1.0822,1.4265,-0.0701,0.6068,0.4128,0.6533,-0.4831,-0.5091,-0.8031,-1.2377,1.2823,1.3778,1.6606,-2.2207,-0.5725
-0.8104,1.5271,0.6159,-0.0231,0.6245,-0.5169,1.2141,0.2255,1.4818,-1.2771,0.9118,-0.1068,2.4331,-2.6003,-1.5152,0.8254,-0.357,0.8628,-0.9515,0.7807,0.9592,1.3816,-0.4575,0.4408
-0.5973,0.8319,-0.2365,0.8355,-0.9185,0.4863,0.1508,-0.208,-0.7411,0.6413,-2.4483,1.5166,-0.7301,-0.5045,-1.9397,0.8546,-0.0029,-1.7759,0.5601,0.1313,-0.5667,-1.6925,0.9883,-0.4223
-1.125,0.9283,2.9396,-0.6325,-1.3705,0.3512,-1.7848,1.5114,1.6408,1.0068,-0.5279,0.4651,1.1641,-0.7978,1.4283,1.0566,-0.3855,-0.7357,0.3315,-1.0919,-7e-04,-1.8269,-1.3971,-0.0995
-0.548,-1.624,-0.2904,-0.262,-1.8778,0.7184,1.3629,1.3856,0.4094,0.4938,-0.5081,1.7463,1.1483,-0.1409,-1.9916,-0.443,-0.797,1.5609,-0.8007,0.6092,0.9688,1.1451,-0.894,-0.7137
1.0447,-1.4251,-0.2382,0.0321,-1.6453,1.4892,-0.1422,-1.4585,-0.1359,-0.3066,0.7184,0.2091,-1.1497,-1.4394,-0.3733,-0.2211,2.4303,0.6529,0.0823,0.4572,0.7396,1.7442,-1.2467,-1.913
1.5841,-0.4204,0.8911,-0.5462,0.0967,-0.1914,-0.3606,0.2804,-0.3228,-0.4382,1.1038,-1.4374,-0.731,-1.4452,-1.3675,0.4072,1.3885,1.1764,1.8601,-1.0214,-0.323,0.6804,0.112,0.0097
0.0708,1.4385,0.1673,-0.2148,1.9895,1.0186,0.5547,0.4053,-0.5051,-0.6937,-1.2193,-0.9979,0.6162,-1.1416,-2.1292,-0.277,-0.888,0.6373,-1.8668,2.2369,-0.2543,2.3925,0.2553,-1.3218
-0.4645,-1.6318,-1.0572,0.106,0.2886,0.1762,-0.0652,0.4931,1.6401,0.4853,0.8354,-0.5389,-0.5337,-1.4209,0.3217,1.5502,-1.5698,-0.4172,0.6555,-0.2916,-0.4207,1.2544,0.132,-2.6025
0.2439,0.2901,-0.4317,-3.0367,-2.1001,-0.2517,1.71,0.0591,1.3676,0.8658,-0.0207,-2.1112,-0.166,-0.0895,0.2212,-0.6221,-0.7048,0.6325,-0.3829,0.1261,0.1704,-1.3925,-0.0456,1.4967
0.5548,0.1371,-0.6,1.6095,1.1533,-0.8049,1.4451,2.2513,-0.8088,-0.9792,-0.3877,-0.4632,1.4441,1.409,-0.192,0.279,-1.499,-3.3902,1.0214,-1.3819,2.0244,-0.2203,-1.6721,-0.8737
-0.1952,1.3182,0.0543,1.3957,-0.7046,1.1853,-0.6672,-1.2704,-0.3758,1.0106,-0.0724,0.8979,0.2095,1.666,-0.4923,-0.7291,1.748,1.3888,1.211,-1.6313,-0.4977,0.5033,-2.6498,0.4675
2.3726,-0.1985,-1.823,-1.5872,-0.122,0.5302,-1.6658,-1.4425,1.8916,0.8413,0.3725,-1.279,0.2164,2.1122,1.9237,0.5921,1.6276,-1.219,-2.2039,-0.0742,2.0819,-0.8339,-0.3399,-1.126
0.7005,-0.4719,0.5761,-1.8144,-1.0894,0.2473,0.2056,-1.4882,-0.6576,0.2526,0.6577,0.166,0.3327,-1.0766,-0.5275,-0.0434,1.034,0.8449,-0.3755,-0.0825,0.7314,-1.1695,0.4427,1.6933
-0.4771,-0.0401,1.3576,1.6608,-0.1448,-0.5863,-0.4288,0.1593,0.9358,-1.2199,-1.8303,0.3002,2.1401,0.1816,-2.157,1.0878,0.1989,0.5058,0.1669,-0.9318,0.6185,0.3777,0.8313,-1.0596
0.3877,0.3611,-0.3143,0.0588,-0.2012,0.1312,1.1188,-1.4167,1.0477,-0.1426,-0.4218,-0.7054,1.1861,1.7623,0.019,0.0483,1.1537,-1.8784,-0.4947,1.4782,1.0347,-1.4366,-0.1287,0.6376
