"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NNS1","NNS2","NNS3","NNS4","NNS5"
0.355,1.7737,0.1336,-1.7561,0.5323,-1.2482,-0.1249,1.0433,-1.1213,1.5184,-0.4802,-1.1796,1.265,-0.0948,-0.3851,0.2384,1.0434,1.136,-0.7777,0.7794,-0.6581,-0.7291,1.6493,0.363,0.0134,1.4999,0,0.6497,1.3237,1.1396,-0.2779,-1.2786,-0.7316,0.6763,0.0301,-0.5191,0.2156,1.358,-0.5417,0.4117,-0.9751,-1.5139,-0.305,-0.1509,0.9056,0.8771,0.6089,-0.2606
0.8431,-0.8428,1.3271,-0.5211,-0.1344,2.1615,-0.1597,0.9996,-0.1034,-0.8049,2.4926,-1.3944,1.1789,-2.2233,-0.1499,0.6323,0.2055,-0.6715,-1.256,-1.2936,-0.2174,1.1882,-1.0109,1.0624,1.1157,0.4527,0.0224,-0.1732,0.2888,-1.0828,-3e-04,0.6157,0.6965,-0.5798,-1.0766,0.2211,-0.8829,0.699,-0.1321,0.7853,-0.7929,0.0132,-0.4622,-1.3941,-0.2909,0.5158,-0.7956,-1.4411
-0.4241,-0.6655,0.8282,0.1686,-0.3428,-0.1851,-0.9302,-0.0769,-0.6583,-1.1574,-0.971,0.3089,0.629,-1.5758,-1.3047,-0.3128,1.4521,-0.798,0.9032,-2.327,-0.0695,-0.791,0.4233,1.4062,2.3157,-1.2112,0.1133,-0.7795,-0.3459,2.5637,-0.4063,1.1274,-0.53,1.4748,0.7715,1.5645,0.3385,-0.3405,-1.1114,1.0636,0.1364,0.7104,-0.8225,2.0399,-0.532,0.2818,0.1581,0.5564
0.9075,-0.4093,0.394,-0.0498,0.6422,-0.4078,-0.2455,0.9277,-0.2801,0.3445,0.5445,-0.8556,-0.8556,3.1594,-0.0665,0.7622,-0.1888,1.1227,-2.2945,-1.6453,-0.3155,0.649,-0.4366,0.5326,-0.6491,-0.1907,-0.3858,0.6014,-0.5774,0.043,0.8107,1.1527,0.5373,1.1487,-1.9039,0.8386,0.3488,1.3744,-0.0634,-0.3158,-0.4555,0.7343,0.7244,0.1326,-1.1357,0.3735,-1.2645,1.0168
0.0901,0.3351,0.9544,0.1331,2.1825,-0.566,-0.578,-0.1547,0.3322,-1.0828,0.8031,0.8714,0.6501,-0.1761,-0.3182,0.7413,1.9082,-0.3885,2.0771,1.6343,1.3509,2.0346,1.8909,0.9381,-0.3057,-0.0879,-1.2717,-0.5335,-0.8084,-1.5682,0.7404,-1.3045,-2.6639,-0.783,-0.643,-0.7991,2.2765,-2.8949,0.3807,0.3378,-0.088,-0.0932,1.4021,-1.3399,0.4114,-0.3408,-1.1758,-1.9971
1.2606,1.8329,-0.1667,1.0331,0.4943,1.867,-0.2346,0.6509,1.8845,0.735,1.4212,0.7744,-1.2791,0.1268,0.695,0.5789,-1.4568,-0.2836,0.5365,-0.6795,-0.225,-1.0283,0.2278,0.548,1.565,0.2478,-1.2842,1.1842,0.0347,-0.1414,-0.0833,-0.5505,-0.1821,-1.104,-0.417,0.8018,-2.4063,0.3087,-0.0899,0.1937,-1.0329,1.3094,-0.2061,0.1559,1.2335,0.2714,-1.5794,-0.4468
0.2903,-0.5847,-0.0036,-1.2553,-1.2958,0.0506,0.217,0.4292,-0.6047,-2.2445,0.1623,1.3482,0.9936,-1.1658,-2.1443,0.6725,0.6911,0.0927,0.5462,-1.1794,1.0864,-0.8468,1.3349,-0.0679,-1.2767,-0.1665,0.1331,-0.2833,0.284,1.4319,-0.6343,0.057,0.1993,1.7273,0.0646,-0.1974,-1.1364,0.1497,1.6556,2.3182,1.6855,0.2687,1.1587,-0.3874,0.5149,-0.8488,-0.2047,0.6022
0.6512,0.0284,-0.8241,0.8662,-0.1608,-1.2801,0.5983,-1.9873,-0.3123,-0.9817,-0.5372,0.7144,0.5927,0.4816,0.7628,0.3418,-0.0888,0.1123,1.0202,-0.4892,0.077,0.2473,0.6476,1.6338,0.6069,2.2842,-0.0084,-0.511,2.0846,-0.3142,-0.8939,1.7221,-2.023,0.4265,0.1338,0.092,0.3966,0.2602,-0.6374,-0.6893,-2.1541,-0.3685,-0.5309,-0.5962,-0.4312,-0.3532,-0.4728,1.2564
0.1427,1.2957,-0.2897,0.0184,-0.4115,-0.1286,0.3079,0.5474,0.1571,1.6094,1.206,-1.5864,1.7384,-0.6432,-0.6388,-0.844,0.7839,-1.2056,0.5967,-0.4764,0.3558,0.1676,-0.8792,1.08,1.3873,-0.0945,-2.7357,-1.0007,-0.3754,0.1727,-0.9325,-1.121,-0.446,-0.947,-0.0914,0.9999,-0.3439,-0.2771,-2.2414,1.1205,0.84,0.4781,0.3307,0.4349,1.4552,0.1475,-0.5183,-1.8193
0.3242,-0.683,0.352,1.353,-1.6469,-0.3018,0.8586,-0.827,-0.4969,0.5217,-0.1755,1.0126,0.4221,1.3535,0.4597,0.1994,0.1627,0.3087,0.152,-0.703,1.4902,-0.2928,0.6677,-2.2378,0.282,0.3044,-1.1224,0.2132,-1.687,0.2461,-0.3336,0.9158,1.1318,-0.3311,-0.2975,1.0565,-1.3703,-1.3757,1.3109,-0.7924,0.5028,0.493,-0.4426,1.2602,0.2676,-0.8408,0.7731,-0.091
