"target","NS1","NS2","NS3","NS4","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6"
-0.0995,0.0018,-0.0096,0.7022,0.3657,-1.6265,1.9737,-0.1738,-0.3785,-0.0854,-0.9099
-1.0409,-0.5227,-2.174,0.026,0.698,-2.1095,-0.1534,-0.3066,-0.2834,2.0195,-0.0877
1.2648,1.5713,2.0297,-1.0247,-0.5628,0.6488,0.322,-1.0611,1.2922,1.0873,1.3951
-0.1479,0.3318,0.8265,0.4241,0.3458,0.6664,-0.5853,-1.1513,0.2822,-0.395,0.7408
1.6202,-1.1684,-0.1221,0.212,-0.2605,-1.6658,0.5118,0.2094,1.0869,0.06,0.1508
0.8961,0.9059,-0.7883,-0.3686,-1.6282,2.2671,-0.0314,-0.7311,-1.3662,-1.2967,-0.8794
-0.244,-0.5531,1.2346,-0.9341,-0.3586,-0.2959,0.1852,-0.6524,-0.3146,0.4839,-0.5563
-1.0666,0.2776,-0.5725,0.0833,0.1241,0.9749,0.2865,0.8342,-1.4758,1.0878,-2.2582
-0.4814,-0.1629,0.2123,-1.0345,-0.2792,0.5074,-2.198,-0.1985,-0.1439,-0.4864,0.6923
-0.95,1.0148,-0.0911,2.2108,-0.2386,-0.104,-0.0884,0.4064,0.2661,0.14,-0.504
1.172,1.3723,0.614,-0.3628,-0.2847,1.3105,0.9995,0.0642,0.2509,-1.4025,-0.4915
-0.4952,-1.1938,0.2422,-1.0851,0.5177,2.512,0.4198,1.1913,-0.9253,-1.3079,0.6989
-0.979,0.9559,0.9903,-0.9661,0.2005,-0.3047,-0.4198,-0.9352,0.8244,0.5547,-1.6183
0.6228,-0.121,-0.7201,-0.7463,0.3572,2.0409,2.3076,-0.2235,0.1394,-0.3788,-0.7142
-1.661,0.6226,-1.6058,0.0643,0.3168,1.7527,0.717,2.0101,1.6382,-0.2971,-0.4484
1.9412,-0.2725,0.2578,0.0805,-0.2327,-0.5535,-0.1402,1.1473,1.1431,0.3942,1.2265
-1.3043,-0.7781,1.6137,2.0628,-1.1783,0.9183,-2.8755,0.1191,-0.9376,-0.1182,0.1735
0.6546,-0.7269,-0.8012,0.466,1.797,0.3325,-0.1322,-0.3163,2.1031,1.2024,0.0098
1.6843,-0.084,-2.1338,-0.6525,1.372,-1.7533,0.0221,0.2847,0.7927,0.5457,0.3852
0.4159,0.347,-0.3519,0.0669,-0.549,-1.2347,-0.5266,0.8369,-0.2538,-0.2781,-1.1023
0.9295,-1.3776,-0.5995,-0.818,-0.6386,0.3315,0.3412,-1.6929,-0.1061,-0.2681,2.9067
-0.6,-1.2979,1.9677,0.1445,0.3855,1.5601,0.2065,0.1714,0.8686,-1.1569,-1.1041
-0.2198,0.7199,-0.0813,1.2453,-2.0538,0.0662,-1.0541,-0.4146,-0.6503,0.4252,-0.8423
-0.82,0.376,0.0147,1.6794,-0.2957,0.942,-0.0296,-3.0786,0.1462,-2.6085,-0.2787
-1.2183,-1.4102,-0.5349,-1.0957,0.1461,0.7433,-0.3654,-1.4419,0.1606,-0.7584,0.6966
-0.8968,1.135,-0.685,2.21,0.0779,2.0842,0.2513,1.0628,0.4277,0.6501,0.5018
0.3488,0.482,0.3337,-0.4902,-1.1668,-2.279,-1.0352,-1.1611,0.9658,1.2594,-0.1295
-0.0575,-0.9779,-0.3804,0.476,-0.2516,0.6547,-0.3569,0.9675,-0.2761,0.4208,-1.3144
0.7318,-0.353,0.078,-0.3886,-0.3492,-1.0395,0.6684,0.2133,-0.3019,0.2444,0.4253
