"target","NS1","NS2","NS3","NS4","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28"
-0.6504,0.8215,-0.9826,0.9501,-0.3298,-0.8504,-0.3058,1.8773,0.6177,0.0502,-0.7433,-0.6022,0.3358,-0.87,0.5849,0.4055,0.9206,0.2991,-0.7211,1.1982,1.2948,-0.0323,-0.5253,0.1223,-1.293,-0.9784,-0.3169,-1.5073,-0.168,0.2972,0.6707,-0.8022,-0.9269
-1.3497,-0.0374,0.7058,2.143,0.8889,0.1516,-0.426,0.7768,-0.9985,-0.5463,0.2118,1.014,-0.0119,0.8496,-0.4105,1.4043,1.3164,-0.1698,1.7913,0.5834,-1.201,1.1847,-1.1446,-0.4646,0.1307,1.0837,1.199,-0.6465,0.8646,1.2091,-1.7747,-2.7649,0.7112
0.9451,-0.4125,-0.3342,0.9991,-0.5547,1.1922,-1.5391,-1.0694,0.6833,0.6384,-1.5649,-0.7273,0.9903,0.2375,1.2191,-0.1845,0.9194,0.518,1.3241,-0.8197,0.9029,0.41,0.6474,0.2694,1.192,0.2902,1.1302,-1.3127,-0.7973,-0.3783,-2.4996,1.2486,1.198
-1.3169,1.3114,0.2673,1.6366,-0.0375,0.2403,1.0062,0.3627,0.2393,-1.0224,-0.5731,-0.3823,-0.3396,0.2724,1.1599,-1.0268,-0.1314,1.7398,-0.4061,0.3121,2.9915,-0.7565,0.2234,0.4572,1.7396,1.8896,-0.7203,-0.7011,0.2468,-0.4004,1.9715,1.3314,0.8334
-0.3869,-0.9233,-1.0279,1.9619,0.1868,-1.631,-0.9585,0.8032,0.604,-1.1606,-1.5226,-2.3919,0.6081,-0.0634,1.2591,-0.3714,0.8325,-0.6866,0.0124,1.1949,0.649,-0.6288,-0.2033,-0.4031,-0.127,0.5079,-0.6879,-0.6262,-0.252,-1.979,0.6079,-1.8201,0.1276
-0.6281,-0.0111,0.238,0.7797,1.5949,-0.8675,1.4887,1.7748,0.5534,-0.8444,-2.9497,0.3771,0.323,-0.6184,0.345,-0.0263,-0.779,1.4962,0.0778,1.173,0.8429,-0.6015,1.5123,0.6331,0.4092,-1.1907,0.133,-0.3191,0.6026,-0.7437,-0.9962,0.9008,1.4902
-1.2043,-2.2779,1.0046,2.2891,1.6331,-0.8019,0.7338,-0.4554,1.0371,0.0823,0.0305,1.1806,0.1152,0.8566,0.9054,-0.0711,-0.0218,-0.1084,-1.0117,0.0184,0.2514,0.452,0.7727,0.3977,0.1224,-0.0459,0.5502,-0.1793,-0.7302,-0.7016,0.1508,0.7208,1.3113
1.0425,-0.1113,-0.5911,-1.1966,-0.8042,0.9958,1.2252,-0.0804,0.0861,-0.4925,0.0953,-0.128,-0.4347,-0.2098,0.7765,0.4747,0.0354,-0.9156,-0.9582,-0.3482,1.0205,-2.2905,0.1961,-0.7193,1.0298,0.4047,-0.2009,1.0398,0.3334,-0.0424,-0.0581,0.7792,-0.6513
0.6673,-1.9048,0.2265,0.2634,0.3111,0.1115,0.2281,-0.0209,1.2236,0.0121,-0.6868,-0.3396,-0.7141,-0.4051,-1.0334,-0.5088,0.7134,0.2901,0.0673,-0.7492,-0.261,0.0617,-0.343,0.0433,1.5474,0.0392,1.0059,-0.296,-0.1929,-0.2655,0.1578,-1.0695,1.4254
0.5988,-1.0938,-0.8663,1.0281,-0.1867,0.8565,0.361,-0.1297,0.5453,-0.3611,0.3016,-0.5961,-0.543,-1.3556,-1.1671,-1.142,-1.0373,-0.254,-0.6373,0.174,-0.2495,1.6874,-0.2211,-0.3077,0.2954,0.4886,-0.3927,2.223,1.0938,0.2988,1.0806,-0.0919,-1.2095
0.7152,-2.1436,0.5523,-0.3145,-0.1825,0.7733,-1.1428,0.4241,-2.1788,0.8087,-0.5595,1.4845,0.3715,-0.1368,-0.7983,-0.6973,-1.1796,0.4316,1.7,2.2874,1.7066,1.2554,-1.0574,-1.5406,-0.3174,0.216,-0.0404,1.1024,-0.8726,-0.0201,-0.1232,-0.2672,0.5642
-0.0831,0.7387,0.3769,-0.3044,0.1981,-1.6061,-1.4597,-0.1157,-1.0226,-0.2289,0.1241,-0.0593,0.9218,-1.7445,0.3915,0.2608,-0.7565,-0.4512,-0.4994,1.6977,0.5333,-0.2818,-2.1003,-0.1866,0.1509,-0.3626,1.0701,-0.2067,-0.4441,0.1328,0.1887,1.0439,-0.3519
1.6504,-1.7707,-0.711,0.2419,-0.6957,-0.0048,1.9986,-0.8579,-0.0803,0.6153,-0.8442,1.0615,0.6286,-0.9981,-0.6172,-1.15,0.2161,0.7763,0.3311,0.1403,-0.6039,-0.8399,0.3836,1.1807,-0.5931,0.9217,-0.8306,1.3605,-0.3666,-1.3351,-0.1632,0.2142,-0.4685
