"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NNS1","NNS2","NNS3","NNS4"
0.0836,-0.9132,0.5852,-1.2292,-0.0566,-0.8415,0.4184,-0.1154,1.1576,0.5255,0.2447,0.3839,0.9192,1.2122,-0.7499,-1.4147,0.7394,-0.4698,0.4627,0.2746,1.6251,0.268,1.5799,-1.037,0.8215,0.4197,-0.3504,-0.1424,0.8611
0.9185,-1.6036,0.4393,1.0229,0.3785,0.5747,0.0023,0.0463,1.6483,-1.0403,0.6967,0.9091,1.1823,-0.582,-1.1581,-0.6407,0.2824,0.5742,-0.5565,-1.1162,-1.6704,0.7627,0.3265,-0.8359,1.2358,0.8531,1.792,0.6752,-0.2165
-0.5589,0.5579,1.0475,-1.1371,-0.6942,0.7066,-0.4281,-0.9644,-0.1136,-0.8109,-0.7507,-0.5565,1.5904,1.2337,0.9478,-0.7276,-1.1901,0.0236,-2.3302,-0.0289,0.0214,-0.9361,-0.0383,1.3469,0.3689,1.7553,0.1429,0.22,-0.7361
-0.3583,1.154,0.1359,0.5134,0.6042,0.9835,-1.2407,-1.9426,-0.237,-0.3585,-0.2037,-0.7398,-0.5312,-1.7091,-1.505,-0.416,-1.0716,-0.7016,0.9897,-1.1973,-1.0532,1.5456,-1.1881,-0.132,0.9382,-0.7485,1.7685,2.315,-1.5794
-1.5261,0.7272,0.6583,-0.9772,-0.5978,-0.8262,-0.9872,0.7117,-0.0888,-1.8538,-1.2246,1.1571,-0.5111,-0.0514,-1.063,0.4821,-1.2297,0.6055,-0.7898,-0.5168,-0.3496,0.5021,1.3459,-0.4356,-1.5698,-2.3283,0.0159,0.8793,1.8022
1.808,0.5443,-1.4219,0.2761,-0.9737,0.1835,1.6227,-0.2554,1.1603,-0.7092,0.6214,-1.317,2.1211,0.1201,-1.442,1.0739,-0.3945,1.2632,0.0286,0.6995,0.3743,0.9088,-1.4281,-1.3254,0.1094,-0.6406,-0.1927,0.4374,0.1561
-1.4341,-1.6194,-0.714,1.0054,-1.7097,-0.654,-1.9191,-1.1278,0.3214,1.2167,-2.1329,-0.0249,-0.2314,0.601,1.0546,0.0253,0.1541,-0.3371,-0.7365,-1.3365,-1.2252,0.7264,0.0832,-0.3561,1.3962,-0.6436,2.0891,-2.5059,-1.158
0.4093,-0.9868,0.6972,1.0928,-0.067,-0.8861,-0.3273,1.1082,-1.755,0.8899,0.3562,-0.4971,0.1449,-0.8904,0.0992,0.5207,1.233,1.2836,-1.2679,1.811,0.4974,-0.5162,-1.0697,-0.6099,-0.7534,-0.8288,0.4852,-0.2117,-1.128
0.3701,-0.7571,1.5828,0.5827,-0.5571,-0.1327,3.4277,-0.0215,-1.2627,-2.0222,0.9063,-0.2018,0.8421,0.3824,-0.6222,1.114,-0.7808,-0.0924,0.901,-1.687,-0.0566,0.6016,0.1058,0.3628,-0.8188,-0.6644,-0.3949,-1.4248,1.0226
0.7391,-1.3206,-1.0438,-1.1282,-0.8954,-1.4419,-0.261,0.8899,1.2185,-0.096,0.3889,-1.4533,-1.4417,-1.3116,-0.8659,-0.2664,-0.5326,0.0973,1.286,0.1067,-2.0979,1.0344,-1.1326,0.8801,-1.7343,-0.9087,-0.2741,0.4618,-0.4836
-0.4512,1.188,-1.5107,0.9625,-0.0555,-0.0374,-0.3861,0.0335,-1.8696,0.5375,-0.3175,-1.4298,1.0052,0.3998,0.1282,0.2619,-0.451,0.2834,0.0598,-0.5059,-0.3944,-0.209,-2.559,-0.4869,0.7379,0.9514,-0.5512,1.0536,0.0466
