"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38"
-1.152,0.1562,0.691,-0.1974,-0.1931,-1.0774,1.5781,-0.8894,-0.2024,-1.1742,-1.5932,1.8093,0.8761,0.9244,0.6073,0.1745,-0.5159,-0.569,-0.8655,-0.3911,1.6152,0.7982,-1.2036,-0.2558,-0.4414,-0.5707,-0.0348,1.0481,-0.6384,-0.5226,-0.1206,1.2267,-0.5879,0.9874,0.6024,1.1948,-1.5473,-0.8356,1.2609,-0.0294,-1.01,-0.2151,-0.0906,-0.6914,0.7946,-0.2545,-0.9973,-0.0024,-1.1013,0.5148,1.3308,-1.1048
0.3306,0.8665,0.6242,0.3708,1.2051,-0.3429,0.0798,1.2513,1.7108,0.6354,-1.2696,-0.3275,-1.4941,-1.6483,-0.5122,0.6654,0.3509,-0.009,-2.2093,0.5667,-0.9526,0.3183,0.9085,-1.3223,-1.034,0.2651,-0.3054,-0.6342,0.8476,1.2915,-0.6876,0.9468,0.6676,-0.6343,1.747,0.5644,1.8376,-0.7142,-0.6613,-1.4206,-0.3854,-0.688,-0.4156,-1.4801,1.0162,0.3961,-0.4824,0.6387,0.1772,0.2871,-0.2056,1.8789
0.2855,-0.0845,-0.7442,0.48,-0.1443,0.6099,0.0243,2.1827,-0.3939,-0.6784,-0.0899,-0.8113,0.0955,-0.3232,-0.2971,0.6197,0.5458,2.5878,0.2802,0.2639,-0.3093,1.4656,-0.5629,0.5472,-0.032,-1.947,0.6789,-0.4528,-0.0916,1.2363,-0.7765,0.8534,-0.1483,-0.841,0.9856,0.029,0.0609,0.6423,0.7083,-0.319,0.1274,-0.4635,-0.2811,0.381,2.0683,-0.8891,-0.3637,-0.4994,-0.1224,-0.0748,1.4458,1.4757
-0.2068,1.8973,0.8326,-0.2634,-0.7547,1.1156,0.9462,1.1149,-0.0551,1.8829,0.1207,-1.7191,0.0326,-0.4621,1.606,-0.8755,-1.5759,-1.501,0.1191,-1.3378,0.0243,1.3236,0.9021,0.3493,0.4516,-1.2312,0.0418,1.1269,1.7681,-0.1955,0.3774,0.316,1.0157,-0.652,-1.0852,-0.6295,-0.1128,1.369,-0.921,-0.5606,-0.1893,-0.4736,-0.6144,-0.2654,-0.8858,0.9238,-1.1068,-1.759,-0.7361,0.5087,0.4226,-1.6261
-1.2002,-0.2329,-1.4191,-0.0516,-2.0823,-1.064,-0.821,0.4341,0.2293,-1.1328,-1.3901,0.1923,0.4399,-0.5984,-0.378,0.0494,0.6051,1.4099,0.1237,0.6712,0.78,-0.6793,-0.0822,1.1672,0.5265,-1.2152,0.4265,-0.1101,0.8865,-1.3105,1.228,1.2861,-0.5709,0.1669,-0.1758,-0.9864,0.1397,-1.5015,-0.1591,-0.049,-0.8561,-0.6162,-1.6149,-1.3352,1.1978,0.9992,0.2564,-1.0469,0.6463,1.9075,0.2417,0.6694
0.0617,-0.3183,1.3559,-0.1274,-0.7452,-0.8624,-0.5193,-2.0016,1.6205,1.2044,-1.3507,0.4568,0.1649,0.4726,-0.4772,1.6662,0.1705,0.4731,-0.7968,0.5247,-0.3098,-0.0764,-0.3628,0.578,-0.1757,-0.0037,-0.4896,1.3775,0.8621,-0.3118,-2.3176,-1.4807,2.2353,0.0822,0.8967,0.2972,1.9106,0.2831,0.3874,0.9028,0.2414,2.1096,-0.4015,-0.4345,-1.9464,0.9807,-0.271,-0.3582,-0.2042,1.2252,-2.2173,-1.2408
-0.7972,-0.1541,-0.4932,-1.4969,-0.4556,0.9028,1.3664,-0.8491,-0.0439,-0.5229,-1.3203,1.9114,0.2724,-0.2708,1.2536,0.5179,0.4315,-0.8629,1.3571,1.0877,2.8703,0.0421,2.4082,-0.7797,-0.3547,-0.8597,0.5375,0.7153,-0.878,-0.1002,-0.9897,1.1149,-0.2049,-0.6409,0.4171,-0.0016,-0.4016,0.0224,-1.4147,0.4115,1.4509,-0.1641,-0.5304,0.0453,-0.3464,1.0164,1.3724,-1.6147,0.2933,0.6962,0.7603,1.1782
0.4529,-0.2814,-0.1078,1.2456,1.8756,2.6167,-0.3879,0.6223,-1.0073,0.0053,0.7503,0.9001,-0.4039,-1.2551,-0.0035,-0.0969,2.0675,-1.9294,1.4488,0.1328,0.4483,0.0262,-1.4268,0.9466,-0.3652,-0.0909,-1.6071,0.7899,1.7621,0.085,1.7187,-0.492,-1.1236,-1.7011,-0.7237,-1.7122,-1.3811,0.0391,-0.9826,1.1894,-1.1758,-1.6174,1.9311,1.3336,-0.2124,-0.9673,-0.1321,0.4955,0.2471,-1.3259,-0.6113,-0.663
1.7333,1.5571,1.5615,0.3115,1.3167,0.1059,1.1585,-0.9544,0.6522,0.7445,-0.9879,-1.0106,0.3729,0.2009,0.7485,-0.6915,0.3219,0.6215,0.1556,0.1172,-0.8961,0.7525,-0.1577,0.3094,0.6,-0.8695,1.4071,-2.0512,0.2362,-0.6757,0.1779,2.7937,0.6152,1.1475,0.1374,0.1751,-0.597,-1.0176,-1.4667,0.5658,-1.0462,-0.3073,-0.2693,-0.1988,-0.8104,-0.4646,0.2525,1.0377,0.0648,-0.3945,-0.2002,0.1023
-0.9845,1.1728,-0.2813,-0.2515,0.3973,-0.9759,0.6798,-0.5895,-0.3137,-0.5138,-0.2405,-1.3964,-1.1082,0.2579,-1.0739,-0.4694,-0.1191,0.4852,0.0615,0.6873,-0.9152,0.504,-0.3563,-1.1321,-0.7731,-3e-04,0.609,0.6791,0.6917,-1.2387,2.1063,0.8751,1.5842,-1.8341,-1.4041,-0.4941,-0.4792,1.6856,0.3474,0.0344,0.8833,-0.9671,-1.1524,-0.4009,1.3614,1.6175,-0.9938,0.4437,-0.5084,-0.7121,-0.6075,0.6048
