"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24"
-0.2266,0.1221,0.3051,0.2824,-1.3954,0.7631,0.3364,0.6963,-0.0282,-0.0846,-0.4088,0.3142,1.7547,-0.0782,0.3292,-1.3557,-0.5622,-0.0497,-1.5798,-0.1755,0.1342,0.5547,-0.0443,-0.5508,1.0136,0.894,0.7464,0.6151,-0.4269,-1.0319,-0.6936,-0.9765,1.0786,0.446,-0.7911,-0.1098,0.4681,-0.7377,0.2253,-0.5483,0.7153,-0.1295,-0.4583,-0.9007,0.3317,0.4147,0.2943,-0.233,-1.86,1.7656,0.7867,-0.8144,0.2788,0.8817,0.1004,-1.6865,1.3469,-0.2307,0.5512,1.4013,0.9093,-2.3,-0.5443,-0.4715
-0.1986,-0.5083,-1.1967,1.4461,0.7727,0.1311,-1.3131,0.7114,-1.5008,1.1676,-0.1519,0.8259,0.6314,1.2145,0.6139,1.7416,-0.5558,0.8544,-1.5368,0.2029,-0.4803,0.1323,0.7367,1.0976,-0.3909,0.4047,-0.9916,0.1534,0.9906,-0.2581,0.1087,1.9429,-0.1203,1.425,2.3084,-1.0375,1.0181,-0.9592,0.5103,-2.0976,0.9945,1.0427,0.4568,1.5816,-1.0791,0.8694,0.5267,-0.1413,1.5583,0.1008,-0.6932,-2.1401,-0.3694,0.6405,0.6704,-1.395,0.6719,-0.4136,0.0741,-0.7778,0.3464,-0.3884,-2.022,0.5022
-0.8371,-1.1829,-0.875,-0.8431,-1.1532,0.3636,-0.6357,0.3582,-1.3949,-1.8398,0.5958,0.0395,1.6191,0.2872,2.1761,-1.0111,-1.6733,0.5087,-0.0155,-0.276,0.2104,-0.0933,0.2743,-0.9115,1.0488,1.0079,0.5342,0.2661,-0.1797,-0.257,0.8919,0.905,-0.4083,-0.0564,0.1199,-0.8802,-1.2148,-0.9161,-0.0401,0.1828,-0.1774,-0.3335,0.2684,-2.4839,-0.0319,-1.3594,-0.881,0.6714,-1.7449,0.3652,0.1191,-0.3729,-0.8356,-0.5063,-1.1431,-0.6896,0.1884,-1.0397,-1.0856,-0.2347,0.0646,-0.8317,-0.1799,0.8034
1.7584,0.498,0.3091,0.6637,1.2724,-1.9997,0.6929,0.0035,-1.0126,-1.1481,0.9098,0.1797,0.4814,-0.2484,0.8793,-0.0524,0.716,-2.4749,0.5599,1.9096,1.1722,0.4889,0.572,1.6305,2.0905,1.8299,-1.0696,-1.1435,0.4811,1.2316,-0.5931,0.2575,1.9373,-1.1082,1.2611,0.5132,1.6406,0.42,0.5123,-0.1341,-0.8361,1.4333,0.0214,0.1382,-0.477,0.5238,0.3891,0.3411,0.6521,1.0154,-0.0126,-0.7818,-0.0425,-0.5049,1.1698,0.9061,-1.007,-0.2236,-0.9276,-0.3416,-0.5317,-0.1416,-0.5267,1.462
-0.6298,2.2435,-0.9797,-2.9273,-1.58,0.7652,0.7025,0.1962,-0.2916,0.1032,-1.3436,-0.7975,-0.1877,-0.0978,0.6203,0.2999,1.3611,0.8833,0.4086,-0.5909,-0.8021,0.0769,0.4874,0.308,1.2369,-1.2505,0.3531,0.9714,-0.4455,0.758,-1.6467,0.344,1.328,-0.445,-0.0149,0.4451,0.9388,-0.6672,-0.6718,-0.0924,-0.6158,-1.098,-1.2879,-1.9358,-1.6446,0.9159,-0.1273,0.0826,1.6926,1.3713,-1.2665,-1.5805,1.0898,-0.8746,-0.1208,0.0678,-0.8439,-0.7541,1.6383,1.4351,0.6982,1.8658,1.0184,1.2638
-0.0342,-0.5491,1.1852,-0.2925,-0.5861,0.9394,1.1048,-0.0179,0.6612,1.8928,-0.1508,-1.6444,-1.3481,0.9353,1.1654,-0.0893,0.9425,0.4629,-1.6658,0.2037,-0.545,-2.4823,0.8348,-0.2971,1.4519,-1.1686,0.4568,-0.2885,1.5982,-0.9158,-0.1893,0.7561,0.3145,1.7021,-0.5368,-1.3633,0.185,-0.1052,-0.2865,-1.5266,-0.7086,0.998,0.7836,-0.0037,1.5351,2.0385,0.5414,-0.8555,0.3227,-1.3783,0.2881,-0.8229,-1.349,0.3636,0.0841,0.5968,1.9195,0.2871,0.3369,-0.7314,0.475,0.8361,-0.9558,1.676
-0.6558,0.3046,0.2458,-1.0772,-1.6193,0.4169,1.5242,0.4077,0.6239,-2.1092,0.774,-0.5757,-0.7044,-0.3266,0.6487,-1.6029,-0.044,0.4673,0.2858,-0.2878,0.4345,1.0613,-0.2039,0.0073,-0.7455,1.7373,-1.2167,-2.1382,-2.9833,-0.693,0.7098,1.5754,0.4855,0.1188,-0.8072,0.1006,-0.4115,0.2465,0.96,0.2675,1.0961,-1.8405,-0.672,0.3271,-0.9275,2.6848,0.7157,0.8837,0.0912,0.2841,-0.9184,1.4453,-0.393,-1.2171,0.3799,1.7718,-0.6508,1.0134,1.4315,-0.3491,-2.0829,1.1932,1.3552,0.5173
0.9008,1.2111,0.6,-0.0156,-1.2177,-0.303,0.4268,-1.0479,-1.5392,2.3206,-1.9199,-0.3294,0.0413,-0.3137,1.9829,-1.9075,0.0241,-1.0582,0.6043,1.5227,0.0931,-1.3826,0.3345,1.7576,1.0282,0.788,0.158,-0.6235,0.5399,2.1961,0.5395,1.9008,-0.4013,-0.1102,1.2349,-0.2006,0.9049,0.461,-0.1341,-0.5221,0.5676,-0.8552,-1.0171,1.3394,-0.078,-0.2836,0.6219,-0.3244,-0.2444,-1.8857,0.3532,2.1025,0.9073,0.4824,-2.0693,0.8128,-0.0111,1.5496,1.0392,0.6681,-1.5195,1.1103,0.4116,-0.2704
-0.2023,0.2411,2.1681,-0.5125,-0.7209,1.5099,0.6633,-1.3177,-0.5749,0.3652,-1.0749,-0.4018,-0.3862,-1.5517,-0.2991,-0.2254,0.498,0.3259,-2.394,0.6008,0.1465,0.6457,0.2223,0.5984,-0.655,0.3373,0.3812,0.8455,-1.3206,0.5012,0.448,0.2549,-0.0011,0.8661,0.1982,0.4122,0.4812,0.5754,0.6351,0.0552,-1.7362,-1.2281,0.9533,0.5068,-0.9178,-1.1307,-0.0563,-0.2204,0.9855,1.0776,0.7826,0.1648,0.0714,0.1219,0.6382,-1.3073,-0.4117,-0.4523,0.7514,0.9392,0.8761,-1.872,0.7206,-0.2481
-0.7414,0.1089,-1.5122,-2.7768,-0.2372,0.3229,0.6151,0.7977,1.1522,-2.398,-0.716,0.0773,-4e-04,-0.0722,-0.4106,2.3953,0.9404,1.2666,0.1962,-1.0338,1.4206,0.2721,-0.5302,-0.7484,-0.6339,0.6181,-0.0316,0.9783,-0.5357,-0.2233,0.8205,-1.1849,-1.9954,-7e-04,0.5307,1.2384,0.4359,-0.723,0.0537,0.2257,0.3225,-2.1655,0.4337,-0.7593,-0.2769,-1.6491,-1.1833,-0.301,0.4251,-1.7211,0.2357,1.0156,-0.7441,-1.496,-0.4665,-0.2483,-0.9522,-0.918,-0.8697,-0.0056,1.1415,0.3905,0.782,0.4159
-0.237,0.5583,0.3155,0.0406,0.3226,-0.2834,0.3753,-0.3341,0.7241,-0.5989,-0.1317,-2.1401,-0.6518,0.088,-0.6714,0.3935,0.7963,-0.1233,0.6737,-0.2795,-1.5659,-0.7731,-0.7672,-1.345,-0.5438,0.3054,-0.5993,-0.7814,1.7961,-0.2686,1.4096,0.7264,0.6813,0.8689,0.18,-0.2643,1.6241,-0.8389,0.4065,1.5767,-0.657,0.1023,1.6809,0.2965,-0.5177,0.9183,1.1678,0.4264,-0.4913,1.1399,-0.2211,0.4357,-0.1616,-2.2415,0.4319,-1.63,1.813,1.0096,-0.6212,-0.365,0.8375,0.9443,-0.6182,0.1376
-0.5569,-0.3898,-0.5982,1.0381,-0.8756,0.8606,0.4734,2.3211,-0.7633,1.2413,-0.4426,0.1057,-0.4184,-0.1459,-0.4442,1.5943,0.4872,1.8074,0.8269,1.4739,-1.6318,-1.091,-0.8748,-0.3135,1.2986,0.1238,-1.3964,-0.2149,-0.7568,1.0069,0.1387,0.2328,-0.7921,-1.1487,-0.0713,-0.7086,-3.1498,0.0499,0.8161,0.1434,-1.1809,1.7736,0.4752,0.1674,0.1504,1.8722,0.7194,0.8614,0.1878,-0.7631,1.0217,0.2125,0.2054,1.1362,0.7182,-1.7861,-0.2059,1.1597,-0.1965,-0.5382,-0.438,0.6941,1.5463,0.3767
2.3366,-0.9393,-1.3099,-0.9613,1.6326,0.8816,-0.6639,0.3768,0.1177,-0.4951,-1.7978,-0.4141,-0.0827,1.4948,-1.2662,1.4413,1.0727,-0.8223,0.6821,1.6603,-1.4481,1.803,1.152,1.2198,0.4407,0.506,-0.5618,-0.5154,1.6752,-0.6874,-2.3823,1.5578,-0.683,0.5174,1.1728,1.9416,-0.5083,-0.8382,0.0292,-1.8333,0.2306,1.1766,0.0379,-2.1516,-1.7346,-1.1773,-1.2911,-0.8166,0.7404,-0.5173,-0.5316,0.6912,0.005,0.8983,-0.4721,0.9154,-2.3972,0.3045,1.7713,2.2082,-1.236,0.1269,0.0175,-0.6445
