"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NNS1","NNS2","NNS3","NNS4","NNS5"
0.2781,-0.6581,0.8505,0.1075,0.0259,-0.0357,-1.0312,1.0328,-0.0679,-1.6777,1.308,0.6323,-1.3445,-0.8653,0.3922,2.1603,-0.209,0.1777
-0.3232,-0.5241,1.0043,-1.6841,-1.0467,0.2308,1.7079,-0.1661,-1.9715,0.5769,-0.421,0.0735,0.9755,0.3201,0.0388,-1.0258,-1.0957,0.038
0.9312,-0.7096,-1.8157,-0.74,-2.4518,1.4323,-0.4634,-0.2156,-0.1032,0.7966,-0.6981,-0.3462,0.2062,1.1866,0.0108,2.5767,1.5199,1.1782
-0.3784,-0.5859,1.8553,0.1241,0.3526,-0.2843,-0.6178,0.5075,-0.9536,0.236,-0.7976,1.4952,0.807,2.2284,-0.799,-1.4488,0.4123,0.6723
-0.6966,-0.1078,1.5982,1.497,0.223,-0.5202,0.1336,0.964,-0.2895,0.2195,-1.0885,-0.1145,0.4879,0.4547,-0.9465,0.7435,0.642,-0.4341
0.0216,0.8746,0.4035,2.1757,-1.0766,-0.3477,0.3078,-0.3433,-0.4067,1.2749,-2.4446,0.6809,-1.0718,0.2472,1.7018,0.7588,0.8806,1.1375
-0.3583,-0.002,-0.657,0.4164,1.1708,0.824,-0.0783,-0.3558,1.1993,-0.1142,0.1776,2.313,-1.8299,0.0136,1.1234,-0.2553,0.1698,-2.4973
-0.6387,0.6314,0.6838,-1.247,0.8618,1.2679,0.3956,-0.3681,0.839,0.1589,0.005,0.027,0.3934,-0.9106,-2.2113,-0.0945,-0.9503,-0.1338
-0.0953,-0.7002,2.8228,0.4307,0.524,1.3626,-0.336,-2.6206,-1.2611,-0.4168,-1.0184,0.335,-0.2102,-0.2036,0.3901,1.4669,-0.1968,2.6008
0.5653,-1.3535,-1.0699,0.179,0.0618,0.5781,-0.0398,-0.7797,0.7599,-0.7734,-0.4079,0.23,-0.408,-1.0717,-0.3555,-0.9119,0.7302,-0.1441
-0.6658,-1.0777,-0.5262,-0.9993,0.3593,0.6268,0.142,0.6473,-0.3801,0.9335,0.7287,0.409,1.9294,-0.5736,-1.2508,0.9346,-3.2317,2.0396
-0.9581,-0.0365,0.3373,-0.3934,0.1823,0.1525,-0.1831,1.5484,-1.5626,1.4973,0.3911,0.2529,0.1049,2.1151,0.1349,0.852,-0.4835,-1.109
-0.1789,1.1118,-0.6507,0.1591,-0.1978,-1.018,1.4239,0.4422,-0.4077,-0.6914,-2.7459,-0.4765,0.4861,0.8965,-1.1779,0.2823,-1.1376,0.2137
0.8126,-0.3006,0.2528,0.0396,-0.6941,0.2856,-0.4825,-0.1203,0.5777,0.4543,1.0747,-0.5946,0.2159,-1.0294,-1.7253,-0.2742,-0.3411,-1.0101
0.1947,1.3017,0.7385,-0.6009,0.3916,-0.2362,1.7068,0.2487,-0.3543,-0.4133,-1.008,2.1825,-1.6361,-0.5061,0.2493,-0.319,1.2445,0.3274
0.5895,-0.6221,1.0515,1.5622,0.7544,0.5171,1.2574,-2.0425,0.1113,0.6928,-0.8909,0.3741,-1.6999,-1.751,-0.556,0.4993,-0.7746,0.7572
-0.8768,-0.0991,0.1312,0.1004,-1.5238,0.2725,-2.0779,1.4406,-0.6723,1.0953,1.7258,-0.4078,1.6864,1.1093,0.5897,0.1217,1.0474,1.8453
-1.5026,0.5994,0.9925,1.7995,-0.4097,1.2605,0.1436,-0.5812,0.9316,0.3546,0.0935,0.7865,0.5762,2.0777,-0.2987,0.1634,0.0081,0.3946
0.7492,-2.1258,-0.5671,-1.4307,0.2516,1.7889,1.6198,0.0731,0.4762,-2.0587,1.0453,-2.4189,0.2149,-0.2924,-0.6409,0.24,-1.1442,-2.5909
0.6364,-0.7132,-1.6765,-0.0357,1.0329,1.6567,1.0745,-0.0698,-1.4124,-0.7468,-1.2065,-1.4295,0.1465,-0.4201,1.2325,1.0859,-0.2585,0.5967
-0.7118,-0.4673,0.8556,0.5298,0.8152,0.875,-1.1461,0.8122,0.0543,-0.9396,0.1723,-0.0485,0.0917,-1.7488,0.2041,-0.4205,-0.7211,0.254
0.629,1.8839,-0.5282,-0.124,0.2597,-0.093,2.2163,-2.6451,0.5166,1.3659,-0.2319,0.4982,-0.8207,-1.5122,0.7943,0.3327,0.2788,-1.1319
-0.1224,-0.1342,-0.7366,-0.3438,-0.1647,-1.745,-0.3669,-0.4264,0.8684,2.4751,-0.3309,-0.6227,1.0463,-0.1882,-0.9628,0.1635,-0.7475,0.8618
-0.7024,0.7054,0.3737,1.1847,1.4328,-0.4683,-0.3356,-0.7002,-0.0046,1.26,1.859,-1.8379,-0.0066,0.2709,-0.2746,-0.3522,0.5807,0.2352
