"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15"
0.9605,-0.0051,-1.3553,-1.3439,0.2507,0.8775,-0.3645,-2.2598,0.1348,0.4394,-2.6331,0.9076,-1.0853,0.5253,0.1533,0.2117,0.6928,-0.2805,1.6613,0.6202,1.5303,-2.3486,0.1404,-0.7852,0.01,-0.8261,0.732,1.1266,-1.3635,0.3077,0.3912,-1.4465,-2.1102,-2.0269,0.2535,-0.1879,-0.6928,0.5717,-0.4175,1.0146,1.0804,0.2367,1.7889,0.652,-0.4669,-0.9104,-1.8547
-1.3276,-0.1561,-0.3811,0.4481,-0.8962,1.9994,-0.4242,-1.7859,0.2198,-0.1643,-1.1216,-2.4241,-0.3704,0.9171,1.1149,0.6035,-1.7945,0.3809,-0.0664,-1.8189,0.5768,-0.3997,0.2576,1.208,-0.9163,0.3653,2.8299,1.3069,-0.1706,-0.1394,-0.2339,-1.137,-0.4515,-1.0428,-0.6556,1.3209,0.3891,0.8953,-0.4529,0.7121,0.0226,-0.0239,-1.6387,0.2114,-2.9561,-1.1537,-0.4917
-0.3112,1.0411,0.5981,0.2279,1.4258,-0.2736,-0.6496,1.311,0.5429,1.6244,0.9239,-0.3267,0.5964,-0.104,0.2355,-0.0816,-0.877,0.1513,0.1122,-0.7932,-0.4624,-1.5416,1.4819,-1.3961,0.367,-0.2645,-1.0246,-0.3351,0.3689,-1.4866,0.4588,1.1182,-1.542,-0.2565,1.1966,0.9549,0.668,0.4057,-0.1847,-0.7811,-0.4871,1.0431,-0.4373,-0.4101,1.6032,1.5348,-1.1935
-0.2828,0.0899,0.0905,1.6882,-0.5207,-0.172,1.2778,-0.0889,0.7184,-1.127,1.6401,0.4035,-1.5648,1.0232,-0.3132,1.5772,1.2578,0.6748,-1.0297,-1.7696,-1.3218,-0.219,-0.8194,-0.9595,-0.0347,-0.556,0.9135,1.1804,0.8947,-1.7894,0.3948,0.5406,0.2871,-0.3071,1.0791,-0.9114,0.995,2.0395,-1.5212,-0.5333,-0.4014,0.5187,0.396,0.1905,0.5026,0.4846,1.4157
1.0022,-0.6375,0.8266,1.0938,-0.0155,1.8345,0.6039,-0.8558,-1.2156,-1.0432,0.0699,1.569,0.8426,0.6419,0.73,1.468,0.2226,0.5499,-1.3405,1.0863,-0.2178,-0.1067,-0.9557,0.5389,-0.0375,-0.06,0.9455,0.9721,0.2558,-2.5517,-0.5287,1.7092,0.4757,1.0885,0.1352,-0.921,-2.1074,1.6283,0.4878,0.7472,2.5763,2.2543,0.3936,-0.8449,-1.8101,3.3861,-0.248
0.771,-1.1818,1.8022,-1.0147,-0.6213,-0.8184,-0.646,1.992,-0.6109,0.3842,-0.5122,-1.6833,-0.9114,0.2196,-0.0274,-0.134,0.5045,0.9306,-0.3776,0.5095,-0.9501,1.0695,-1.764,0.6242,-1.9511,-1.0467,1.2172,1.0114,-0.2436,-0.7332,0.8632,1.3422,-0.8182,0.0479,1.153,-0.7272,-1.0495,-1.3025,0.0892,0.4228,-2.7496,0.897,2.5585,0.0826,0.2619,1.4035,0.122
-1.5177,-0.0027,1.2382,0.8665,0.6044,1.1777,1.1092,0.3071,-0.5839,0.2912,-0.2436,1.4172,-0.7377,1.6479,1.5205,0.6733,0.8544,1.0041,-0.7325,-0.0057,-2.3418,-1.107,-0.2176,-0.2081,-0.1658,0.1173,0.5689,1.7253,-0.6885,-2.433,-1.822,0.3764,0.1415,1.2357,0.0273,0.403,0.3759,-0.5387,0.9711,1.2577,0.1688,1.2479,0.5948,-0.7238,1.0893,0.1086,-0.6299
1.4504,1.5451,-0.1994,-1.0886,0.815,-1,-1.1625,0.4424,-0.4322,-0.2375,0.2065,0.6044,-0.437,1.3969,1.667,1.2381,1.9969,-0.6224,1.2116,0.7502,0.4726,-0.5346,-1.5935,0.9857,-0.4302,-1.4002,-0.5418,1.6652,0.0702,-1.7618,-1.5866,0.9279,1.2593,0.1019,0.8329,-0.7672,0.1034,-0.3064,1.1512,0.7136,-1.1148,0.5707,-0.9929,0.107,-0.5219,-0.3997,-0.2732
0.5462,0.372,1.0538,0.4711,-1.0437,-0.3313,-0.1431,-2.2181,0.7792,0.483,0.64,0.2372,0.5305,-1.0992,-0.32,0.0109,-2.3118,-0.583,0.1733,0.4138,0.2528,-0.1861,-1.5885,-0.6084,1.1065,-0.6847,-0.7573,-1.896,-0.297,0.0544,1.0472,-0.3101,-0.1293,1.7668,-1.0898,1.5624,-1.5238,2.5992,1.2766,-1.3983,-0.6662,0.5642,1.4058,-0.7595,-0.1891,1.238,-0.414
-0.6572,0.5618,0.0059,-1.8009,-0.4989,0.4091,0.0981,0.0429,-1.826,-0.0088,0.9095,0.4011,1.1393,-0.055,-0.5446,1.0795,0.0779,1.1706,0.9803,-0.9574,-0.8193,-0.5641,1.2893,-0.8467,1.1794,0.6636,2.1382,-0.6336,-0.3432,-3.0175,-0.1981,-1.841,1.8398,-0.0395,-0.9206,0.7889,1.1871,-0.6397,0.4534,0.653,0.1942,1.0475,0.0501,0.4692,-1.0205,1.0487,-0.2628
