"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46"
0.998,-0.4361,-0.3611,-0.8279,1.4391,-1.9852,-1.1377,1.0685,0.6035,-0.2046,0.6199,1.1005,-0.5101,1.3001,1.7138,-1.7312,0.4722,-0.1453,-1.3765,0.7042,1.0449,0.34,2.9213,1.5401,-0.3952,0.0276,0.2083,0.0894,-0.0177,0.2809,-0.0259,0.5865,0.4255,-0.4826,-1.2405,2.3083,1.565,0.9106,0.1422,-0.2576,0.3018,0.3689,-0.2764,-0.8687,-1.5378,-0.4343,-0.1608,-0.9723,0.2884,0.4072,0.4383,-0.2514,-0.6498,1.0404,-0.4497,0.5806,1.6719,-0.1384,0.1575,0.0197,-0.1722,-0.4353,-0.0967,-0.1567,-0.1062,1.1018,0.3893,0.7976,-0.9322,0.6842,-0.0698,0.2996,-0.4652,0.632,-0.2739,-1.2086,0.9466,-1.2593,0.3856,1.5899,0.1641,-0.514,0.1209,-0.607,0.1981
0.1372,-0.5385,0.2747,-0.7491,-2.7672,-0.1708,1.3676,0.5098,1.2063,1.1957,-1.4875,-0.123,0.1423,0.9121,-1.5747,-0.083,0.1986,1.2097,-0.0271,0.4874,0.1089,-0.0555,1.5408,-1.0783,-0.6241,0.9489,0.0299,0.0145,-1.247,0.0665,1.1007,0.2878,1.441,-0.6504,1.0287,-0.8496,-1.4522,-0.0209,1.4226,0.4791,0.6274,-0.1706,-0.0853,-0.2216,-0.989,0.0538,0.1442,1.4028,1.1115,-1.1898,-1.6978,1.1304,0.0057,-0.3121,2.6489,1.8373,2.3185,-0.8089,0.7602,0.2304,-1.1476,0.4699,0.5468,-0.0928,0.517,-1.2392,0.7061,-0.5785,0.3152,-0.16,1.0017,0.4606,-0.2842,1.3651,0.3894,-0.0275,0.651,-1.5339,-0.0034,-0.2405,-0.0732,0.6594,0.9599,-0.9229,-1.1049
1.4177,-0.7426,-1.3845,1.3489,1.0178,0.7642,-0.6366,-0.5097,0.9918,0.234,0.2659,0.9644,1.5774,0.8854,0.2456,-0.3343,-0.2331,-0.5442,1.7485,-0.2042,0.9623,-1.3267,1.6278,0.8877,0.0614,0.2763,0.1367,-0.1605,0.9692,0.1661,0.9399,1.3281,-0.9391,0.4075,-0.5115,0.2156,0.8269,-0.0046,1.0581,0.353,-0.736,1.375,-0.1538,0.8266,-0.7045,-1.1619,1.8617,-2.2301,-0.1034,-0.6901,1.1893,0.3645,0.5105,-1.6043,-0.5208,0.9498,-1.3781,0.3137,1.0122,-2.2024,-0.5596,1.7918,0.0706,0.959,1.8585,-0.2836,-0.9362,-0.5419,-0.1311,1.6893,-1.2686,1.3533,-1.6124,1.1298,-0.0957,1.2979,-0.0348,-1.4636,-0.4469,1.5971,0.882,0.3706,0.8871,0.3683,1.275
-1.5843,-1.1615,0.294,0.3515,-0.1906,-1.1685,1.2039,-0.2563,-0.1035,-1.7967,0.416,-0.6051,-0.4727,0.9471,-0.2527,-0.5382,-0.187,-0.1833,-1.4117,-0.9784,1.0317,0.1849,-0.3305,-1.2707,-0.1605,0.7148,-0.8225,0.9306,0.1799,-0.2622,-0.3768,-1.3756,0.1134,-0.3788,0.3523,-0.3386,0.2717,-0.264,1.679,-1.2606,0.017,1.365,-0.4712,1.9388,-0.8823,-2.1113,1.3854,0.3238,1.5225,0.9938,-0.444,-0.2083,0.1414,-1.3996,1.9576,0.0195,0.2384,0.2598,-1.3374,0.2027,1.7704,-0.3209,1.2045,-0.4007,-0.2147,-0.3995,-0.707,-0.0587,0.4171,0.4768,0.004,0.26,0.1077,-1.4555,2.5684,0.9176,-0.2062,-0.0195,-1.2403,-0.8051,-1.1513,-0.6988,-1.8822,-1.0175,1.6702
2.3115,0.7407,2.3659,0.1717,0.8005,-0.5819,-1.1527,1.4199,-0.8977,1.7406,1.2228,0.0976,-0.7175,-1.0597,0.7975,0.3934,1.0441,-2.1475,1.1371,0.7757,-0.0329,-0.4715,-1.5501,0.8104,-0.746,-1.5714,0.581,0.6799,0.6761,0.3835,0.0822,0.9723,0.414,1.4678,0.3625,1.9829,0.6983,0.4151,0.7996,0.0615,-1.0249,1.4923,1.5,-1.148,-1.527,-1.5348,-0.8344,-1.3903,-0.0277,-0.6281,0.5315,-0.0218,-0.6805,-0.2601,0.2465,-1.58,1.0915,0.1953,-0.0929,-0.1239,-1.9863,0.7432,-0.6767,-0.0706,0.3346,1.8702,-1.9305,0.2846,-0.439,-0.3187,1.5456,0.8529,-0.3751,-1.2685,-0.0795,0.9537,-1.4076,-0.2672,1.8735,0.9246,-0.134,1.5422,-2.5996,-0.836,1.0137
-0.4888,0.5892,0.6293,0.1169,0.6559,0.0205,-0.0737,-0.7928,0.3693,2.1083,-1.3585,1.1878,-0.5458,0.8695,0.6061,0.6166,-1.9605,-0.2581,-0.3128,-1.0901,-0.1106,0.6057,0.654,1.5382,0.5631,-1.5325,0.7386,-1.2902,-1.3724,0.5468,-0.4037,-2.2651,-0.4567,-0.5547,-0.1813,-0.2,-0.4416,1.4909,-0.0443,-0.2613,-0.2055,1.6754,0.245,1.567,-0.8438,-0.5138,2.0076,0.9797,-0.7288,-0.3852,0.1332,0.7851,-0.0935,-1.5077,0.7647,-0.7915,0.1824,1.3009,0.592,-0.1756,-1.1123,-0.5934,-0.9937,-0.2896,0.3319,-0.3827,-0.439,1.6183,1.1939,1.171,0.7257,0.0683,0.1027,0.7413,0.6423,-0.4823,-0.3134,1.0811,-2.0707,-1.5149,-0.4326,-0.2816,0.1256,-0.1768,-2.0032
1.4926,0.9126,-0.5806,-1.0567,0.4928,0.8808,0.0913,0.2759,-1.0549,-0.7904,1.682,0.6538,1.8632,0.4594,-2.6729,-0.0665,-0.3628,-1.148,0.614,0.85,0.2792,-0.3452,0.3326,1.5034,-0.0291,1.0605,-1.2292,-0.3788,0.6086,0.7214,1.2702,0.2336,-0.2365,0.6517,0.2714,-0.0843,1.5486,0.013,-0.546,-1.405,-0.9163,-0.8357,-0.2317,0.746,1.9993,-0.0294,0.2627,0.5574,1.156,-1.2399,-0.0142,-0.7674,0.9032,-0.7637,1.6685,-0.173,0.1655,0.9696,-0.0326,-2.6733,-0.1758,1.3762,0.7272,-1.3516,-0.4243,-0.5657,-0.2604,-0.036,0.1967,-1.0223,-0.632,0.2686,-0.7741,0.0337,2.3678,-0.2905,0.0885,0.7006,0.9315,-0.0785,-0.4518,0.2396,-1.0164,0.9124,1.1055
-0.5913,-0.6712,-1.2492,-0.6456,-0.4806,-0.9259,-1.7678,-0.8901,0.0846,-1.3945,-0.5561,-1.5449,-1.6266,0.6651,0.3296,0.7344,-0.3096,1.8804,-0.176,0.3571,0.6918,1.1728,1.3854,1.3094,0.4249,1.1357,-0.21,-2.0443,-0.9661,-1.7752,-1.2963,0.4605,-0.4788,1.442,0.5866,2.0239,1.465,0.2388,-0.7943,-0.964,2.2139,1.5272,0.29,0.1238,1.6535,0.7258,1.1567,0.4752,-1.3222,-3.0484,-0.4452,-0.5418,-0.158,-0.8993,1.0089,0.5325,0.3659,-1.2396,-1.167,-0.8293,-1.1449,1.504,0.6744,1.209,-0.9049,0.1118,-0.1915,0.3328,0.8895,0.4724,1.8961,0.8462,-0.4699,0.1492,0.2361,-0.0591,0.6929,-1.1331,-0.3039,2.3059,-0.1995,1.373,-0.6125,-1.1028,0.7935
-0.1965,0.9994,0.4732,0.2644,0.9936,-0.2549,0.8036,0.4725,-0.6394,-0.598,-1.1358,-0.5839,2.2468,1.5106,-0.2708,-1.0242,-0.0012,-1.0763,-0.1567,0.9241,0.2959,0.1545,-1.1865,2.5522,-1.6114,0.4352,-0.9907,-0.8365,0.7768,-0.5996,-0.2238,-0.6293,1.0169,1.0768,0.6958,-1.3127,-0.3603,0.1749,0.2314,0.6595,-0.4564,1.7261,-0.1056,-0.5248,0.4347,1.2457,-0.2192,-0.3919,-0.1155,-0.447,-1.264,-0.9168,0.2207,1.4882,1.3247,-0.0484,-1.6473,0.3888,-1.1156,0.0431,1.1349,-1.3983,1.952,0.7949,0.0089,-0.721,0.0558,0.9854,-0.2978,-3.1499,0.768,0.5256,0.6474,-0.6799,1.8565,0.2972,-2.3596,-1.6448,0.4105,2.4076,-0.6882,-0.2717,1.338,0.3109,-0.5532
-0.7369,-0.2203,-0.9488,0.5364,0.2965,-0.451,0.269,-0.1141,-0.8663,0.2818,0.5,-0.5403,-0.054,1.1001,-0.7614,-1.2473,0.4991,1.4633,-0.6921,0.1369,-0.1225,0.7064,0.2694,0.2899,-1.0545,0.0797,0.5297,-0.697,-0.8398,0.1712,1.7456,-0.7663,-0.2717,-0.505,-0.4837,-0.644,0.4769,-0.5379,0.3278,0.0797,1.1352,0.3106,1.3052,0.3204,-0.21,0.7512,1.1091,-1.4418,-2.9052,-3.0316,-0.2605,1.7749,-0.0925,1.6257,-0.8851,0.5065,0.3319,1.3402,1.0183,-1.7027,1.2723,-0.8445,1.757,1.0988,-1.0703,-0.4612,0.7178,1.8079,-0.3567,0.7359,0.6195,0.1366,-1.8179,-1.2393,0.0555,0.4239,-1.4016,0.2277,-0.2923,0.1491,0.8306,0.3123,0.9459,-2.1587,-0.3956
