"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45"
-0.2006,0.8895,-0.8629,1.7573,0.6992,-0.6465,0.3861,0.4582,-0.0027,0.197,0.1706,-1.4015,-0.0254,-0.8072,0.2724,-0.7207,1.5779,-0.69,0.4612,-0.9896,0.2791,-1.3919,0.3801,-0.1144,-0.6095,-0.0819,-1.2258,1.5418,0.8058,0.6585,-1.8314,1.6555,-0.2371,0.9443,-0.9756,-1.0102,0.3551,1.3482,0.4603,-0.9073,-1.9832,-0.5634,-0.7354,0.71,-1.543,-0.0472,-0.6574,-1.6839,-1.2975,-0.4188,1.7673,-1.1771,-0.5918,-0.7161,0.0481,0.4372,-0.8205,-0.3835,0.5388,1.4375,-0.3424,0.416,0.4486,-0.8074,-0.5093,-0.6502,1.8754,0.4711,0.4283,1.7148,-1.2163,-0.544,-1.1428,-0.0361,-0.226,0.4939,-0.0426,2.2327,0.3234,-1.0949,0.7549,0.1659,-0.4374,-0.1384,-1.7239,1.6747,-0.2416,-0.0401,-0.9088,-0.2344
-0.8997,0.6427,1.5468,-1.4436,-0.9928,1.0242,-0.3506,1.2798,0.1434,-0.0289,-1.4748,-2.3214,-1.0616,-0.8579,1.3272,-0.4668,-0.0877,-0.5116,-0.6781,0.7321,-3.0465,-0.0986,-0.7363,-1.0806,0.0091,-2.0855,-0.906,-0.044,0.4739,-0.5739,0.2354,0.6347,-0.0716,-0.6081,-0.6063,0.3713,-0.9999,3.4938,1.2248,0.0487,-0.3265,-0.153,1.0975,1.4381,-0.5271,-1.1732,-0.8531,-0.0766,-0.509,1.1233,-0.73,-0.0339,-0.8676,-1.3641,-0.0722,-1.801,1.5612,0.4469,0.9761,0.5105,-0.9597,0.6984,-0.597,-0.5882,-0.2878,0.093,0.9605,0.0395,-0.4501,1.1505,0.916,1.6059,0.5872,-0.978,-1.0897,-0.5657,-0.3015,-2.0802,1.2484,0.7285,-0.5774,1.2368,0.2798,-0.4439,1.0591,-1.5929,0.9253,0.1705,0.0778,0.9438
-0.2005,0.2108,-0.8987,-0.3475,-0.3331,0.8387,-1.6162,-1.1736,0.8586,-1.2938,0.7253,0.0387,-1.5342,0.2778,1.0113,0.6657,0.4302,-1.844,0.4259,1.4847,0.1643,0.1384,-0.3215,-0.2316,-1.122,-0.1688,-0.7152,0.8864,1.237,-1.4418,-0.1839,-0.1518,1.1441,1.3465,0.1933,0.2468,-1.635,-0.6524,-0.8939,1.1499,1.1109,1.0069,-0.6621,-1.5952,-0.7482,0.4255,0.7827,-0.1759,0.4344,-1.2223,0.1311,0.6197,-0.9578,-2.5146,-0.1951,-0.4405,-0.8847,0.2019,-0.6997,-0.511,0.7497,0.7496,-0.0247,-0.5377,0.0993,-0.167,0.0782,-0.8916,-0.3636,-1.4067,-1.8083,-1.2928,-0.9508,0,0.3658,-0.622,1.2974,0.1066,-1.4413,-1.1883,-0.6629,-0.3079,0.7667,0.0661,0.17,-0.1522,0.8687,-0.6637,0.276,-0.5167
-0.675,-0.1406,-2.7615,-1.3348,0.9056,1.3505,-0.4816,0.6159,-0.3155,0.6536,-0.5865,0.8974,-0.7616,0.5218,2.0577,0.6286,-0.6421,1.1756,0.433,-1.2381,-1.1219,1.4594,-1.6608,-0.0453,0.2588,-1.7021,0.5079,-0.4024,1.0639,-1.1344,0.5895,-0.1457,-0.6259,-0.3269,-0.034,-0.8949,0.2378,-0.0374,-0.1127,0.1839,0.9766,1.0186,-0.8604,0.5582,-1.3848,-0.6046,1.3905,0.2513,-1.1438,0.2489,0.0892,-0.3442,1.2759,-1.2413,-1.679,-0.1007,0.8011,0.1916,0.7211,0.8139,1.4282,0.0649,0.0317,-0.4378,-0.388,-0.6416,-1.219,-0.6843,-1.4195,0.4285,-0.3986,0.209,1.4988,-0.8209,0.4727,0.7356,1.6462,-0.3968,0.3857,1.4383,1.0116,-0.7857,-0.3389,1.1765,-0.8674,-1.272,-0.8513,0.9882,-0.8831,0.4715
-0.7429,-2.0126,0.4389,-0.1221,1.1773,-1.3912,0.1836,-0.7129,-1.1983,0.1341,-1.0741,0.0608,0.0725,-0.9997,-0.2576,-0.486,-0.8643,0.3218,0.4039,-0.1626,0.4933,-0.3625,1.4714,-2.06,1.7975,-0.9818,2.3888,-0.0504,-1.3444,-1.309,-0.2948,-0.6276,-0.9593,-0.0187,-0.2516,-0.2594,-1.1139,0.4347,0.5885,0.1529,0.9447,1.2771,-0.1081,1.6022,-0.1352,0.0164,-0.1755,0.0194,2.1669,-0.7781,-0.2822,-0.8349,0.4821,0.5982,0.2344,-0.2472,0.8466,0.1124,0.3901,0.0045,-0.3555,0.7569,-0.6235,0.4675,-0.7292,0.8462,-0.0701,-1.6398,-0.0813,-0.1873,-0.7252,0.4453,2.2408,0.1692,0.2459,-0.0399,-0.0661,-1.5505,-0.5174,-0.4934,1.0152,0.6802,-1.2611,-1.6482,0.1432,-0.5657,0.3076,-0.8911,0.8117,-0.2796
-0.3423,-1.4168,0.809,-0.6023,-1.1831,-1.4671,1.3131,-0.2215,-0.3586,1.1169,-1.497,1.3344,0.748,2.3988,0.6574,0.7205,1.0569,-0.6436,-0.973,-0.3985,-1.2048,-0.7223,-0.4954,-1.2544,-0.4171,-0.6743,1.2206,1.1028,1.3667,0.7936,-2.3716,0.3578,0.5092,-1.7454,-2.287,0.6025,-0.5782,-0.8901,0.6633,0.7114,-0.4433,0.4038,-0.9724,1.2092,0.8409,-0.1282,-0.643,-0.3076,0.4868,-1.0022,0.6631,0.8001,-0.7455,0.0661,0.4237,0.9308,-1.0701,2.1744,0.7309,1.1666,-0.5907,-0.0094,-0.186,-0.0463,-0.3221,0.6881,1.9042,-0.0547,-0.2541,0.6183,0.9649,0.6563,-2.0159,0.2971,-0.0138,1.0665,-0.1026,-0.5955,1.5259,0.9042,0.7354,-1.0163,-0.6314,-0.8706,-0.675,-0.3181,-1.7249,-2.1562,0.7262,0.9654
-0.0964,1.2378,-0.9934,0.2604,-1.2118,-1.5944,0.2004,-0.4586,1.3054,0.3557,1.4455,-0.369,2.1259,0.2624,1.2451,1.8145,-0.5864,1.256,0.4182,0.2874,-1.0647,-0.0088,-0.9164,0.207,-0.4118,-0.2631,-2.6236,1.0576,-0.0812,-0.2734,1.0354,0.1027,0.1606,0.7997,2.281,-0.3135,0.272,-0.2816,-0.2883,-0.9843,1.2234,2.0246,0.5779,-0.3276,-1.5264,0.5314,0.0467,0.0475,0.23,-0.5026,1.2534,0.5881,-0.6716,-0.0295,0.2109,0.06,0.9892,-0.9796,-0.7603,-0.1716,0.4667,-0.0538,0.697,1.4685,1.3194,-0.8443,-1.3509,1.0195,-1.0341,-0.2344,-1.1427,-1.303,-0.5576,1.4059,-0.3033,-1.0422,-0.3112,1.8148,0.9404,-0.6231,0.0249,0.0461,0.2593,1.1179,0.9663,0.0413,-0.0608,0.1639,-1.9328,-0.2108
0.4222,-0.4336,-0.3188,-1.2207,1.0952,2.4228,-0.8795,1.1119,-0.0439,0.9358,-0.6058,1.1306,-1.6651,1.6787,-0.5443,-0.3514,0.9731,1.583,-0.3788,-0.0954,-0.3545,-0.1566,-0.7126,0.8546,-0.6222,-1.0906,-0.195,-0.5642,-0.8635,0.0342,-0.7261,0.6737,0.1453,0.261,-0.4671,1.4939,0.6606,-0.0248,0.0276,-0.0583,1.0757,-0.4923,0.9748,-0.2628,0.4409,-1.1394,-0.1023,-1.0122,0.3119,0.9854,0.3435,1.8222,1.7046,-0.9754,0.0603,-1.6508,-0.2314,0.016,1.0671,0.1468,0.6703,-1.4913,0.3669,-1.0248,-2.7105,0.487,0.0722,-1.6844,-0.4163,0.6243,-2.1213,0.3744,1.2581,0.6506,0.5893,-0.6077,-2.1505,0.4492,0.2418,-0.6196,-1.385,-1.1971,1.4823,-0.4134,0.6441,0.2912,-2.0033,0.4667,0.4383,-2.1313
0.6141,0.6481,0.1157,1.1033,-1.0725,0.7446,0.1786,1.3969,-2.1021,2.0103,0.8146,0.9647,0.6529,1.3495,1.3537,0.2057,-2.1491,-0.3381,-1.1937,-0.0071,-0.5055,-0.2208,0.7781,-1.6243,0.0889,-0.3301,0.5636,-1.196,-1.4299,0.6798,0.252,-1.1862,0.9621,0.0886,0.3229,1.973,-1.0248,-0.9322,-0.7317,0.6302,0.6145,-0.3903,0.7232,-0.0141,0.5393,-0.1711,1.66,-0.68,0.2178,0.9632,1.0299,0.6617,0.3123,0.127,1.8819,1.329,-0.0422,0.7233,-0.79,-1.7768,1.022,-1.9985,0.0071,1.2501,-0.6678,-0.9208,0.2761,-0.735,-1.0211,-0.6472,1.0097,0.8105,0.7076,-2.5261,0.4688,1.2666,-1.5654,0.8391,0.3738,1.5739,-0.7748,-0.8653,1.0883,1.0158,-1.0674,0.0764,-0.049,-1.7117,-1.8393,2.0139
-0.2285,0.137,-1.5973,-0.0166,-0.6788,-0.4244,-2.2595,-1.1169,-0.9034,-0.9157,2.2764,-0.4828,1.3316,0.4943,1.4691,2.0249,-1.7698,0.8275,0.7054,0.7336,-2.0879,1.5506,0.2288,-0.4153,0.5154,-1.66,0.701,0.2583,1.4009,-0.599,0.4694,0.7546,0.3487,-0.3329,0.2853,1.1927,0.2525,-0.4707,-0.3756,0.2492,-0.138,-0.936,0.0492,0.457,0.0121,1.7057,-1.7886,-0.2917,-1.4316,0.8353,-0.0778,-1.2518,0.4215,-0.0592,0.0823,-0.7055,-0.2979,-0.1377,-2.0977,-0.9489,1.7769,0.3216,1.1028,-1.9636,1.267,1.2354,-1.8528,-0.7389,1.0871,-0.9601,0.1746,0.8114,0.4888,-1.1417,0.6783,0.4825,-1.307,-1.1013,2.197,0.8119,0.0878,-1.855,0.5475,0.1709,0.1709,-0.2742,1.6385,1.4519,-0.6365,0.0537
