"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NNS1","NNS2","NNS3"
0.636,0.88,0.227,-0.5372,1.4995,-1.232,-0.0161,0.6159,0.305,0.3689,2.502,0.3845,-0.0617,-0.0522,0.4076,0.116,-1.9089,-1.4348,-2.1396,0.2555,-1.0208,0.9279,-1.785,1.5015,0.349,0.9516,-0.0476,1.1733,0.8017,0.2883
0.2315,1.4815,-0.7245,-1.2323,-1.447,-0.6357,1.2763,0.2328,0.2126,-1.4785,-0.5188,-0.209,0.1485,0.6713,-1.6575,0.5827,1.8732,-0.5812,-0.0796,0.2247,1.2471,0.6315,-0.2453,2.1073,1.3295,2.0764,1.5186,0.0736,-0.1744,-0.1388
-1.356,0.2814,1.687,1.6985,-0.4982,0.0942,0.4793,-0.3175,-1.0546,0.6901,-0.3754,0.7133,2.6246,1.3635,-0.4238,0.3964,-0.2011,-2.3054,-0.5183,-1.4097,-0.5158,1.5976,0.4485,0.7863,1.5446,0.3363,-1.0752,0.5177,0.1268,1.2081
-0.1489,0.7725,0.9538,0.2425,0.1641,1.2503,0.063,0.3776,-1.2401,0.2948,-0.1568,0.4786,-1.5148,-0.1488,1.7348,-0.7769,0.3142,0.6311,-0.1112,1.2604,0.6028,-0.4736,-1.6426,-0.4137,-1.641,-1.7864,0.8116,0.9906,-0.929,-1.3023
-0.7038,1.6219,0.638,-0.276,-1.5991,0.9352,0.2849,-0.9156,-1.8458,0.2908,0.9871,0.9735,-0.3082,-0.3543,-0.1535,-0.5364,-1.294,1.2765,-1.7513,0.1407,0.1959,0.3483,-0.8644,0.1888,1.3625,-1.4626,0.2004,-0.1727,-0.7191,1.1616
-0.1743,0.6729,-0.1655,-1.8437,-2.3567,-0.8219,-1.5429,-1.54,-0.294,-0.3341,-1.6955,1.1174,0.353,0.9478,0.523,-1.2936,-2.5969,-2.8189,0.143,-0.2297,-0.0994,1.2128,-0.6705,0.4451,-0.0066,-0.1965,-1.145,0.6193,-0.2301,-0.6743
-0.1431,-1.9157,-1.7909,0.2487,-0.6084,-1.1067,2.5766,2.1645,1.9232,1.821,-0.1762,-0.3739,0.4961,0.0485,-1.2043,-0.2761,0.6241,0.5895,-0.5115,-1.6395,-0.5538,-0.9481,1.439,2.4687,1.2545,0.6538,0.2152,-1.346,-0.4336,0.9247
0.5661,0.5735,-1.7854,-0.6664,1.2616,1.0127,0.3557,-0.2498,0.7286,1.9312,0.0818,-1.4806,-0.859,1.2605,-1.0141,0.8794,0.7724,0.2298,1.3317,-0.2816,-1.446,-0.4541,0.3989,-2.2725,0.0999,-1.377,-2.7337,1.1118,-0.681,-0.5396
-0.6469,-0.0684,0.5117,0.833,-0.4665,-2.1751,-0.9622,2.7253,-0.0982,0.4863,2.9509,-0.7501,-2.033,1.1886,1.5925,1.3293,0.9493,-0.6214,-1.0423,-0.119,-2.5618,-0.4316,0.6015,0.0694,0.7642,0.7122,-1.0204,1.7603,1.5265,-1.5963
1.1963,-0.2129,-0.0918,0.0257,-0.2476,-0.1871,-1.6948,-1.1939,-1.1112,-0.2563,0.189,-0.843,-0.5342,0.5971,0.7713,0.9802,0.6671,-0.3442,0.05,0.9866,0.008,0.0704,-0.8769,-0.8706,-0.8542,-1.3877,-0.681,-1.1147,-0.1956,0.0666
1.6807,1.0211,-0.5685,-1.4099,-1.2795,-0.0329,0.5047,0.0259,-0.6633,0.1346,-0.0206,-0.4377,-1.4721,-1.3566,-1.5742,0.3063,0.2716,-0.4297,-0.8366,0.6245,0.1173,1.4149,0.9498,-0.3871,0.2992,-0.2425,-1.4445,-0.1368,1.4753,0.2412
1.9018,-0.1699,-0.0303,-1.0377,1.2646,-1.2836,-1.7221,1.4985,1.7408,1.0385,-0.9081,-0.1507,-0.437,-0.5314,0.1129,-0.5285,1.4063,0.1523,0.5221,0.5998,0.2007,-0.9258,0.4786,0.1373,1.8852,-0.7427,1.2631,1.593,-0.1809,-0.8034
1.579,1.4739,-2.7699,0.4296,0.1563,0.2253,0.4568,0.5472,-0.2652,-0.0761,1.0022,0.1719,-0.4958,-0.2346,1.4354,1.0565,0.1197,0.4409,0.5001,0.0602,-0.1867,0.2413,0.07,-0.4142,-1.4665,1.0381,0.24,-0.0371,-0.1999,-2.2207
-0.5518,0.1991,1.151,-0.22,1.0382,2.2987,0.2212,1.4228,0.1799,0.2823,0.6727,-0.7793,0.0942,1.5064,-1.3391,-0.5647,-0.1687,-1.8605,0.1546,0.5042,0.7322,-0.7362,0.1975,2.0507,-0.0277,1.8421,-1.0166,-0.0037,1.1205,0.1251
-0.7369,0.4813,-0.4124,-0.1698,0.9937,0.0336,-0.6366,-1.5631,1.6609,-1.6036,-0.7844,-0.3405,0.1147,0.5715,0.6836,-0.6678,0.2323,-1.2497,0.0767,-0.2339,0.0367,0.9209,0.2728,0.332,-0.2019,0.2758,1.6785,0.3899,0.3606,0.698
-0.6885,0.114,1.4161,2.314,1.0384,0.6291,-0.7234,-0.6611,-0.6803,0.6613,-0.576,1.889,0.4193,2.7733,0.9899,0.2316,0.4806,2.2633,1.8939,0.2938,1.2381,-0.8097,1.8396,0.0736,-0.2734,-1.3943,1.1951,-1.0838,0.8951,0.409
-1.3675,-0.4465,-1.9962,0.2942,0.7329,-0.0526,-0.1156,1.0457,0.7938,-2.1631,0.6255,-0.5859,0.3242,-0.5001,0.7912,0.9365,-0.5688,1.7597,-0.1729,0.2304,-0.3501,0.9258,-0.8258,-1.6177,0.7233,-0.7119,1.1483,2.2152,-0.2927,0.1911
-0.753,-0.1067,0.3579,-1.7403,-0.2756,1.3686,-1.2719,0.6444,0.0639,-0.0311,1.3908,0.26,-0.2634,0.4349,-0.2576,-1.3659,0.6194,-0.469,-1.3271,3.2228,0.5422,-0.2274,-0.7226,0.4881,0.8946,0.0407,0.6451,-1.149,-0.1061,-0.2745
-0.5207,0.7257,0.0513,1.707,-1.2572,0.3399,-0.138,0.0614,0.5878,-0.6512,1.5346,-0.0577,0.1983,0.9513,1.184,1.6058,0.7301,-0.6029,-1.434,0.5051,-2.0567,-0.2824,-1.2993,-1.7682,-0.2568,-1.0411,-0.026,-1.8089,-0.2486,0.7946
