"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NNS1","NNS2"
0.0641,-0.026,-1.4454,-1.0846,0.5604,0.1751,-0.1303,-0.3317,-0.0962,1.4318,0.1392,1.47,-1.5376,0.0124,0.2523,1.163,-1.739,-1.1358,0.3184,-0.1991,0.6938,-1.3024,-0.0634,0.4684,-0.29,0.7831,0.343,0.4546,-0.25,0.1037,-0.8294,0.3052,0.5588,-1.0294,-0.1771,-0.2108,0.0026,-0.2707,0.4833,1.2405,0.1577
-0.1777,1.3178,0.7247,-0.4868,0.4045,-2.5444,-1.7584,-0.6813,-1.2388,-0.714,-0.5423,0.1188,0.7135,1.732,-0.0583,-0.0061,0.8202,0.4375,-0.7112,0.8614,0.665,0.599,1.1661,0.1027,-0.8382,-1.4022,0.5183,0.1498,0.1354,-0.6618,1.2638,0.1375,0.9388,-0.3627,0.81,-0.3039,-1.5089,1.2127,1.1033,1.8803,1.1784
-0.4282,-1.603,-0.7384,1.1285,-0.7177,0.1759,-1.19,0.6681,-0.6396,-0.2589,-0.8564,0.4557,-0.435,-0.137,-0.4636,0.4838,1.693,-1.5309,-1.2004,2.1865,2.3294,2.2113,-0.0096,-0.0457,0.6466,0.097,-1.5451,-1.8196,0.3431,0.9438,-1.3045,-0.2143,-1.1869,-1.1338,0.2823,1.9009,0.4395,0.5633,-1.3947,-0.0984,-1.1196
-0.17,-0.877,-0.3605,-0.5429,-0.5072,1.7018,-0.1179,-1.1926,-0.5292,-0.825,0.6683,0.7544,1.512,-1.4772,-1.6096,-0.0303,0.8603,-0.3362,0.0036,0.9385,2.1977,0.5707,0.9783,-1.3537,1.8041,0.9198,-1.1039,-0.2409,-1.486,-0.0625,-0.3463,-1.3794,-1.5767,0.4667,-2.0762,0.0544,0.6096,0.5435,-2.0478,-0.191,1.1734
0.4701,-1.1934,1.2449,0.2617,-1.0561,-0.3171,-0.4567,-0.6334,1.9326,0.0422,-0.234,-0.0367,-0.1136,-1.6125,0.69,-0.2729,0.5937,-0.3965,-0.3289,1.8535,1.4614,0.3295,0.6828,-0.704,-0.8299,-2.3735,0.6264,-0.2889,-0.1462,0.3671,-0.4568,-0.9844,-0.49,0.9768,0.3396,-0.7076,-0.16,1.2761,-1.1744,-0.1961,-0.5231
-0.3745,0.0052,2.6165,-0.2805,0.5912,-0.107,-0.7149,-1.8514,0.2232,-0.8387,-0.9039,0.0678,-0.7083,0.9127,0.4478,0.2842,-0.6943,-1.4208,0.739,0.0956,0.4119,0.7216,-0.4239,-0.7028,0.5742,-0.2078,0.7126,-0.4163,-0.6761,-0.2719,0.3223,-0.2733,0.3495,-1.53,-0.3084,1.5765,0.6361,1.1518,0.3446,-0.0904,-0.1156
-1.0288,-0.4052,-1.1641,-1.0849,1.097,0.0298,-0.3694,-0.3557,-1.2249,-0.2145,-1.0794,-2.5727,-0.6688,-2.0888,-0.0498,-0.2088,0.0513,0.1778,-0.0608,0.0561,1.6685,0.3902,1.0334,0.4198,0.0763,0.2947,0.586,-1.5367,-0.5259,0.1649,0.1275,0.7417,-0.0413,0.0402,0.1333,-0.0124,0.6064,-0.8322,-0.1088,0.4838,0.7921
-0.8773,0.0985,-1.7352,0.3515,1.1802,-0.0611,-0.2311,0.1924,-1.1073,-1.1934,-2.2029,-0.6367,0.343,-0.2817,1.1813,0.3787,-0.2286,-1.0865,-0.0792,-0.5288,0.5104,0.8314,-0.3594,-1.1959,-0.9829,0.6231,-0.0928,0.638,1.8588,0.399,0.0859,0.44,-0.0335,-1.3139,0.4196,0.7073,-0.6292,-0.8608,-1.0393,-0.4626,-0.0795
-0.9753,-2.2145,0.3112,-0.4615,-0.8491,-0.1069,1.1536,-0.2999,5e-04,-1.0659,-0.4087,-0.677,1.2668,-0.6954,-0.1206,2.1754,0.037,-0.788,-1.6034,0.9218,1.6088,-1.8221,0.2448,-0.1645,1.457,-1.0617,0.0538,-1.1575,-2.1317,-1.5718,-0.1243,0.8929,-1.073,0.7595,-0.7542,0.8887,1.1158,-0.6864,-0.6484,-0.5039,0.3824
-0.8578,0.8063,0.5177,-0.6424,1.5741,-0.4149,0.2148,-0.7692,0.4621,0.3154,-1.1913,-1.2874,-0.5358,-0.4058,-0.0237,-0.0319,1.7815,0.4787,-0.8534,0.0418,-0.6808,-1.4639,0.2553,1.0547,-0.2609,-0.9942,1.1938,-0.6645,-0.3502,-1.6436,0.2725,-1.458,0.0829,-0.8755,-1.7469,0.7906,-1.6576,-0.2445,-0.8268,-0.6218,2.8169
