"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32"
-0.42,1.7386,0.9664,-0.272,1.2524,-1.36,-0.1944,1.7304,-1.4252,-0.1136,1.3814,-0.027,1.2125,0.7142,1.5514,0.7265,0.8111,-1.0357,0.1549,-1.5792,-0.2615,-1.0097,-0.6502,1.135,-1.7535,-0.1746,0.8843,-2.5587,0.5544,0.8294,-0.3568,-0.9113,-0.2495,0.2985,-1.1185,0.7634,0.5317,-1.293,1.2057,1.0636,-0.1367
-0.4022,-0.5898,-1.1193,0.1178,-0.0685,0.7751,-0.4119,-0.273,0.6756,-0.6731,0.995,0.0933,-1.3621,0.28,0.1662,0.9618,0.2957,0.8948,-1.5388,-2.0236,0.1143,0.0487,-0.6038,0.8988,0.9297,-0.4121,-1.2142,1.671,-0.4684,0.1311,-0.4646,0.2541,0.2446,-0.3821,1.9781,-0.74,-1.6208,1.7445,0.7448,1.2292,-1.416
-1.3271,1.2926,-0.3906,1.5122,-0.3118,0.3783,0.285,0.4327,0.0971,0.4678,0.7849,0.6386,1.3193,2.0452,0.6646,2.7228,-1.467,-0.6894,1.1661,0.401,-1.0951,1.1419,-0.4113,0.4488,1.4143,0.4005,1.0992,-0.084,0.381,-0.4837,0.5423,-0.0355,0.1713,0.3418,0.4364,0.4541,0.1121,1.2041,-0.8501,-0.6575,1.4574
0.8305,-0.2141,-0.8365,-0.897,1.0464,1.3645,-0.7005,0.598,-1.8936,0.7638,1.697,-1.0416,0.546,-1.6712,-2.9146,0.8653,0.1601,0.5396,0.3413,-0.4158,1.8638,1.1155,0.669,0.6119,-0.3086,-1.2104,-0.2346,1.1679,-0.7495,0.7579,-0.1456,1.0058,0.7544,-0.1382,1.451,0.7458,-1.4307,-0.0998,-0.5087,-0.2736,1.8768
0.1262,0.4645,1.3707,-0.362,0.2399,-0.4968,1.3128,-1.5765,-1.6466,0.1396,-0.3152,1.1144,-0.0273,1.7431,-0.0363,-0.4863,-0.3381,0.4547,-0.5919,1.6347,-0.4528,1.1507,-0.7289,-2.2431,-0.791,-0.7499,0.955,-0.8948,0.8535,-0.3563,-1.1904,-1.5516,-0.366,-1.0335,-0.3804,-0.481,-0.3797,0.7922,-0.1858,-0.0731,-0.1015
-0.933,-0.1126,0.1116,-1.0993,-0.1171,2.8282,1.3675,-1.6498,0.3858,0.2773,-0.0967,-0.4315,0.6063,0.8284,-0.4147,0.0596,-0.4941,-1.3695,1.2119,0.6865,-1.5825,-0.5174,0.272,-0.7991,1.216,-1.5148,-1.2619,0.5849,0.1761,0.3205,0.0395,-1.0005,-0.9049,0.6497,-0.4501,1.0206,-0.6642,0.5505,0.3915,0.1054,0.3819
1.8474,-0.8181,-0.1746,-1.1294,1.4405,0.7891,-1.0171,-0.5855,-0.9594,0.2988,-0.6198,0.2169,0.7457,-0.323,0.0128,0.3339,0.328,-0.3918,-1.0475,0.7689,2.0342,-1.3503,1.0926,-0.2173,-0.8518,0.5766,0.1228,-1.1552,0.9483,1.6034,-0.1512,1.1095,0.9387,0.5781,-0.3599,-0.5398,0.0537,-1.4268,0.0062,-0.4237,-1.46
0.4739,-0.4749,-0.3843,1.4641,1.5304,-1.1107,-0.9061,-1.2633,1.0829,1.8502,-1.5566,1.0327,-1.4661,2.3253,-0.2032,-0.136,-1.3197,-1.3671,-0.9532,-0.4176,-0.0357,0.6738,0.2787,-0.21,-0.5233,-0.9378,-0.749,1.5002,0.3884,1.7596,-3.1876,1.513,-0.2842,1.6638,0.931,1.384,0.8704,1.3183,2.6191,2.6236,2.0817
0.8152,0.1379,-0.7942,-2.1833,-0.4797,1.3327,-0.4139,0.5297,-0.6827,-0.9084,0.4615,2.0164,-2.0932,-1.2523,-0.1351,-0.1137,1.6658,0.1398,0.8258,-0.8085,-1.193,-0.1144,0.7633,-0.549,0.0561,-0.2761,-0.0904,-1.4584,0.2024,-0.4815,1.4754,-0.1211,1.6256,-2.081,0.5764,1.3428,0.6652,0.5329,-0.5997,1.132,-0.8035
-1.0111,1.2348,0.0982,0.7769,0.0234,-0.9026,2.1878,-0.9033,-0.7866,-0.8717,0.2694,-1.5699,1.077,0.3188,-0.4163,1.2341,0.2595,-0.5287,1.3491,-1.1611,0.0534,0.1212,-0.2265,0.4653,-0.3379,0.148,1.4997,1.3363,1.4511,-0.5769,0.0075,0.7088,-0.9783,0.6731,1.0464,0.9893,1.3392,-0.4808,0.3907,1.0005,-0.0384
