"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39"
-0.6181,1.1644,0.9933,-0.5589,-0.2377,-0.5518,-1.2222,1.8805,-0.1933,-0.1135,-0.8418,0.457,1.0215,0.138,1.3278,-0.3269,-1.0404,1.7918,-0.5916,0.4176,-0.1501,0.7679,-1.5456,0.8542,-0.2913,-0.5268,0.5941,-0.0174,-2.1452,-0.3803,-0.5563,1.0615,1.3952,0.1704,0.1374,-1.0183,0.3949,0.6095,0.5729,-0.4299,0.6584,-1.0968,-0.6515,0.6379,-1.1925,1.5103,1.2377,-0.4997,0.2103,-0.2499,1.2055,-1.4101,-0.171,0.1015,-0.519,0.0522
-1.3316,0.0796,-0.0415,0.6438,0.9573,0.3975,-0.8977,0.7448,0.2241,-0.4383,0.1945,0.2932,0.8326,1.2418,-0.9821,-0.6284,0.6123,1.108,-0.5188,1.2222,0.1848,-1.9839,0.0705,0.5479,1.0076,0.2948,0.0426,-1.5321,1.3806,-0.1608,-0.7978,-1.2654,-0.5136,-1.0547,1.4025,-0.5466,0.7474,0.554,-0.5512,-1.2577,-1.6299,0.1403,0.2312,1.1739,0.2531,-0.6673,-1.0526,0.4199,-2.5033,0.533,-0.2523,0.4436,-0.9787,0.6324,-1.5267,-0.6965
1.3719,-0.4586,0.619,0.4256,-0.6285,0.3502,-0.8595,2.1057,-0.2404,-1.026,-1.3142,-0.8068,2.0735,-0.9713,-1.1478,-0.494,-3.2017,-0.5097,-0.0187,-0.81,0.6798,-0.6151,2.0481,-0.5384,-1.2054,1.4357,-0.3636,2.0747,0.5888,-0.0855,2.0226,-0.225,-1.0671,0.2387,-0.7588,0.8973,-0.2637,-0.2262,1.161,-0.1098,-1.299,-0.4255,0.2075,0.6607,0.9695,-0.9336,-0.5531,2.8878,-1.1606,-0.3043,-0.3523,1.4064,-1.5746,-1.1281,0.6968,0.0938
-0.8885,-0.3572,0.6523,-1.9897,1.8533,0.7208,-0.4074,0.4575,-0.4093,-0.3517,-0.2839,1.309,0.3879,0.3274,-0.6304,0.1366,-0.3655,1.7125,0.0049,-0.926,0.2992,0.6298,0.8324,-1.0154,-2.2908,0.756,-0.8933,0.3855,0.0885,-0.0857,-0.7597,1.0629,0.6227,-0.8774,0.5615,1.4276,-1.2443,-0.1108,-1.9096,-2.4521,0.586,0.2298,0.1746,0.3421,-1.3437,-0.2234,-0.6022,-0.3212,-0.2052,-0.133,-0.007,-0.6338,0.7067,0.3034,0.4771,0.2221
-0.8423,-1.4387,1.2625,1.4687,0.607,-0.6624,-0.8455,-0.5476,-0.0625,0.3826,1.2349,0.5913,0.0193,0.2316,-2.8205,0.7258,1.2811,-1.2303,-0.3869,-1.346,-0.5614,-1.1703,-1.5915,0.6427,1.1278,-0.4357,-0.6139,0.3462,0.0533,-0.4788,0.0197,0.1565,1.4458,-0.3238,-1.2361,-1.37,1.4538,0.0562,1.5773,-0.7205,0.2057,-0.871,1.3546,1.3737,-0.243,1.7243,0.4871,-1.0951,0.0237,0.9252,1.0085,-1.4304,0.0439,0.523,0.4005,0.1542
0.2906,-0.7468,-0.1313,1.5918,0.5048,1.3919,0.0655,-1.0045,-0.6501,2.4072,0.6545,-0.3015,0.1484,-2.2376,-0.1511,0.3369,-0.223,-0.179,-0.0415,0.2718,0.4119,-1.8348,-0.9694,-1.7554,-0.4579,1.1626,-0.0386,-0.3408,-2.4426,-0.5875,-0.0174,1.4353,-1.7763,-1.0026,0.8939,-0.0886,-0.4721,-1.3927,0.0119,-0.952,-1.4008,-1.2984,-0.8955,-0.539,-0.9168,0.8199,-0.0311,-0.4033,-0.1569,0.7547,0.5896,-2.1718,1.3186,0.3045,0.8355,-0.2447
-0.4558,-1.3473,-0.1977,0.8296,1.6845,1.0178,1.2148,-0.394,-1.3613,-0.3313,2.2811,-1.7235,-1.5134,-0.6181,0.0407,1.1092,-0.2575,0.0357,-0.2035,0.5087,0.2085,1.3646,1.275,0.4395,-0.4306,-0.8752,0.1995,-1.2112,1.6128,-1.5482,0.7919,-0.4943,0.5008,1.6494,-1.6315,0.9585,1.8862,-0.0453,-0.8977,-1.4215,-1.3689,1.1958,0.4323,-1.587,0.1757,1.0974,0.9359,1.7326,-0.5878,-0.7571,0.3909,1.1295,-0.3598,2.7098,0.5076,-0.5385
-0.5419,2.9346,-0.5289,-0.8599,-0.189,-0.4943,0.7575,-1.1321,0.1923,0.623,-0.0805,0.4161,1.6122,-0.173,-0.6896,-0.9804,0.927,-1.8484,-0.4477,1.2367,1.3203,-1.1297,-1.3419,-0.7118,-0.5641,0.6028,-0.4342,-0.4394,-1.4352,0.6413,1.2128,0.2209,0.4772,2.413,0.1619,-0.0028,-1.6282,-1.6127,1.4043,-1.3158,1.054,-0.7124,-0.8037,1.1841,-0.3841,0.5054,-0.1934,0.2661,-1.4827,0.1309,-0.1145,-1.0523,-0.5593,0.4283,-0.1032,-0.5234
0.9949,-0.3471,-1.414,-1.7458,-0.4995,1.1899,-0.2793,-0.567,-0.2831,0.6664,0.3816,-0.0299,-0.6043,-0.4499,-0.6679,0.6643,-0.2276,-0.6678,1.014,0.1338,1.2477,-0.4001,1.0062,0.4881,-3.1439,0.6948,0.6771,-3.6289,0.0846,0.707,1.3859,-0.3721,0.2487,1.7489,0.0486,0.3337,0.1022,-0.9366,-1.2027,-0.5538,0.4134,0.0572,-0.0356,-0.1155,-0.1725,0.1153,0.3515,-0.7308,-0.3597,-1.5348,0.4073,-0.349,-1.439,-1.1975,-0.8062,0.2652
1.4355,-0.422,0.7022,0.848,0.3493,0.1612,0.422,-1.0961,-1.6125,-1.2892,0.1605,-0.6727,-1.9492,0.0479,0.2639,1.3068,1.097,-1.4673,0.7853,0.6685,-1.3327,-0.7203,0.2176,0.8032,1.3405,1.1518,0.9976,-2.3722,1.1928,0.6845,1.7111,0.5372,-0.3364,1.2674,-1.4547,1.1674,0.687,0.4874,-0.4362,0.8919,-1.8439,1.6206,-0.7008,0.0403,-1.4425,1.7435,0.7806,0.3626,0.4808,-0.6053,2.3125,-0.1598,0.6782,0.8081,-0.4193,-0.5328
