"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46","NNS47","NNS48","NNS49"
-0.1609,0.0577,1.3632,0.167,-0.7331,0.134,0.0611,-0.9204,0.6276,0.2878,-0.4175,-0.9984,-1.1776,-0.7267,-0.1391,-0.6384,1.8143,-1.2301,1.0113,-0.0817,2.1974,0.0723,-0.0446,0.5872,0.478,-0.9643,0.6347,-1.632,-1.1411,1.8296,0.0103,0.2946,0.04,-0.5878,-0.0887,0.2375,-0.0303,-0.7506,-0.8121,1.1178,-0.0335,-0.4985,-1.4539,-1.3952,0.8366,-0.3784,0.5629,1.1067,0.0318,0.2336,0.5831,0.6559,0.7618,0.4236,1.3514,0.8373,0.5033,0.2677,-0.1476,0.5852,-0.8519,0.4011,-1.7271,-0.445,0.0198,0.9248,0.523,-1.6039,-0.2865,-1.6699,-0.0772,0.2273,-1.0967,-1.8203,-0.4861,-1.8962,0.3525,-0.7166,0.8869,0.2694,-0.1492,-1.0382,0.0068
-0.3932,-1.1022,-0.4291,-0.0477,-1.1026,-0.677,0.1148,0.8595,0.0663,0.0318,0.4572,-0.9431,-0.5229,-0.287,-0.0742,0.7782,0.7889,2.0503,-0.8203,-0.0229,-1.8897,-0.2119,-0.4083,0.8276,-2.1215,-0.5969,-0.2754,-2.5303,0.5543,-0.5628,0.8313,-0.2522,0.9512,-1.2183,-2.7408,0.361,0.6866,0.3987,2.2495,-0.6103,-0.0987,1.2282,0.2672,-0.8183,0.6187,0.8488,0.9562,0.4952,0.7703,-0.4248,-1.1528,-1.7684,0.6614,0.2883,-0.1781,0.6292,0.5157,0.3316,-0.0807,-1.6729,1.2338,-0.1997,-1.007,-0.3248,1.0706,-0.5715,0.3283,0.632,-0.2013,0.8255,-0.1279,0.5947,1.188,-0.154,2.7983,-0.9671,1.6654,0.4843,-0.574,0.5717,-0.3905,2.2146,0.3959
-0.4813,-0.0867,1.0894,-1.7841,0.4637,0.6337,-0.6789,0.4944,-0.0564,-0.61,-1.3029,1.2261,2.4572,-0.43,1.7659,-0.1964,-0.1894,0.397,-0.4032,0.5308,-0.4065,0.2071,-0.4699,-1.924,-0.8917,-0.32,-0.1327,-0.539,-0.2414,-1.1225,-0.2011,0.228,-0.5028,1.2553,-0.8883,0.2144,-0.0577,-1.0498,3.16,-1.2168,-1.6819,0.0013,1.0133,-0.078,0.8599,-2.2093,-0.0092,-0.9165,0.3842,0.5773,0.5856,0.2018,-0.4639,-1.1949,-0.7764,-0.0884,-1.9271,-0.1211,2.1296,0.7207,-0.0429,-0.734,-0.1825,-2.2852,-0.3356,0.064,0.619,-0.4359,-1.3932,2.137,0.2026,0.2194,-0.8755,0.3113,-0.6488,-1.6126,-1.4216,1.4918,0.0618,0.5992,-1.1583,1.6015,-0.863
0.5975,-0.4916,1.0999,0.4085,-0.0133,-1.3824,-1.3753,2.1437,1.0141,-0.5718,0.2937,-0.8775,0.4814,-0.699,-0.6786,0.7905,0.6951,1.2507,0.4798,1.2117,-0.7238,-0.793,0.9214,-0.6802,-1.1913,0.3157,1.9296,0.9696,0.402,1.4085,-0.4384,0.752,0.1185,1.3625,-0.9647,0.1385,-1.6793,0.8726,1.0642,-0.4012,0.8078,-0.3014,2.3324,1.1164,-0.0209,0.1988,0.4,-0.2458,0.6397,-1.3872,0.2208,-1.2243,1.9518,0.6517,0.391,0.0231,0.47,0.8616,1.0957,-1.0017,-0.8324,1.7702,1.7756,0.6122,-0.0817,-0.4696,-1.5647,0.3303,0.3887,0.1131,0.6747,-0.0109,-0.4796,-0.0369,-1.3233,0.4971,0.3001,0.0402,-1.0541,1.8982,-1.6922,-0.3111,-0.6604
1.254,1.2062,-1.0444,-0.3539,0.2741,0.1751,0.8309,1.7442,-1.5058,0.6416,-0.017,-1.6227,-1.1387,0.8297,-0.2002,1.1924,1.3967,-0.1921,-0.6219,-1.1577,-0.3013,0.4975,1.0551,-0.361,0.7082,-0.991,0.3209,-0.0199,0.4742,0.3825,-0.7816,0.9889,-0.7509,-0.1994,0.7947,1.1028,0.2697,0.1223,1.4873,0.5063,0.1777,0.4042,1.5175,-1.5572,-0.5213,-0.3599,0.9033,0.2122,0.5877,0.5828,-0.2538,1.9571,-0.0562,0.1935,1.4045,-0.9526,-0.2731,0.322,2.1995,0.7744,-0.7645,-0.4187,0.4532,0.6862,-1.0447,-0.0277,0.1384,1.2923,0.7604,0.5999,1.2365,-0.8649,0.301,0.5664,-0.4361,-0.2639,1.1039,2.3601,0.8587,1.9035,-0.8289,0.6175,1.3997
-0.0226,0.0023,-2.6099,0.0274,0.1382,1.5697,-0.4344,1.2648,-0.091,-1.2393,0.676,-0.4754,1.0375,-0.0907,1.5069,-0.5916,-0.0225,0.1396,-0.8396,-0.0296,-0.4276,0.4143,0.3945,-0.1495,-0.0739,-0.9534,0.5031,0.5598,-0.2449,-1.4134,-0.8193,1.6553,-0.8117,0.7118,-0.7656,-0.6337,1.3002,0.5655,0.4188,-0.7854,0.3378,-0.0257,-0.4714,1.0379,0.5686,-0.9396,0.3062,0.5473,-0.1828,-0.5721,-0.0495,0.9815,-0.7065,0.3214,-0.9962,0.2822,1.1033,0.4331,-1.4922,0.4472,0.0535,0.9378,0.63,0.1141,0.6034,0.8752,-0.2636,2.7396,0.4333,-0.7347,1.4221,0.0611,0.6292,-0.7874,0.5741,-2.9843,2.0912,-1.3181,2.7867,-1.7857,0.5629,-0.5448,0.403
3.5738,-0.2839,1.3089,-0.6228,-0.3516,-0.7965,-1.0078,0.3784,0.9946,0.5024,0.5871,-1.3189,1.521,-0.1968,0.3267,0.5088,-0.832,-0.9749,0.1634,-1.8724,0.2584,0.1912,0.9704,-0.3432,-0.3289,-0.4548,0.0815,-0.8646,0.011,-1.5097,-1.0766,-0.6594,0.2754,-0.0333,1.2379,0.1299,1.7102,0.6635,0.2403,0.9855,0.2462,-1.2293,2.6678,-0.4047,0.6057,0.0463,0.7652,1.7553,0.0621,-1.6839,0.0103,-0.3471,-1.2657,0.5276,0.2367,0.299,0.6259,-1.4226,-0.0719,-0.2141,0.0966,0.3399,-0.9453,-1.8262,0.0184,-1.4411,-1.4349,0.3701,1.1615,0.4797,-0.4669,1.7624,-1.2347,0.3534,-0.8415,-0.0713,0.4012,-0.7847,0.2519,-1.5275,0.2104,0.2667,-0.0954
-0.4978,0.8019,0.2963,0.149,0.191,0.5307,0.7193,-1.8879,2.2027,1.0034,-1.2507,-0.1903,-0.2742,-0.1896,-0.1705,-0.5415,1.6196,-1.7629,0.3521,0.0342,-1.0592,0.5585,1.3887,0.5154,0.8908,-1.588,-0.3426,-0.4287,0.958,0.5755,0.2576,0.4157,0.3081,0.2657,-1.4462,-0.0174,-1.7421,0.013,-0.8929,-0.2876,-1.2386,-2.2088,-0.0148,0.7972,-0.5707,-0.9325,-1.6689,0.6438,0.6357,1.0056,0.964,0.5168,-0.1929,-0.6954,-0.0908,0.2987,-0.141,0.7336,-0.5489,0.7768,-0.1631,0.8819,-0.8067,0.0798,0.3647,0.9609,-0.1961,-1.6148,-0.2318,0.2224,1.1804,-1.4216,0.4176,0.6942,-1.1191,0.6023,0.0777,0.4774,0.6891,-0.2327,0.3036,0.3157,-1.1988
-0.2826,-0.3349,-0.5094,-0.364,0.3986,0.6753,0.3363,0.3667,-0.1532,-0.5973,-0.3302,0.508,-1.1654,0.6082,1.8242,1.6341,-2.5138,1.3345,-0.0991,0.7638,-0.0515,0.0886,-1.2074,0.5426,0.8851,-2.5603,-0.1591,-0.3922,1.0726,0.4628,0.0805,-0.2689,0.4286,0.832,-0.8527,0.7116,0.8389,-0.4255,0.2986,0.8287,1.2702,-1.0943,-0.5301,-0.3166,-0.2994,1.9087,-1.6054,-0.1822,1.2256,0.6886,0.3102,-1.2443,-0.5961,-1.8509,1.2158,-0.1838,-0.1437,1.8073,-1.6356,0.7376,0.548,-0.6099,-0.7216,0.8519,2.0025,1.6507,-0.1121,0.6722,0.8298,0.0839,-0.6278,-0.3167,0.0088,0.3695,-0.8062,-0.7089,-0.0232,2.2118,-1.7439,0.5807,-0.6555,1.5823,-0.0512
-0.3859,0.168,0.6158,0.2658,-0.062,0.1443,-0.9233,1.747,1.2372,-1.6284,-2.0642,0.0943,2.1683,-0.2586,0.1219,-0.2826,0.5012,0.2479,0.5439,0.263,0.154,-0.571,0.5909,-0.4535,1.1476,0.9838,-0.6011,-1.2526,-0.2381,-0.5256,-1.2659,1.2268,0.0688,1.607,0.2799,1.0032,-2.1948,0.4391,-0.9651,-3.7667,-0.0883,0.1707,0.9417,0.6336,1.6187,0.2199,1.3434,0.7727,-0.4596,-0.608,-1.2117,-0.0353,0.3371,1.2298,-1.0093,0.0517,0.6177,-0.7974,0.6869,-1.5712,0.0626,1.6925,-0.2556,-1.1644,-1.4675,1.7814,-0.5641,-0.5666,-0.6112,-1.0577,-0.4602,0.9718,-0.5439,0.0097,-0.6723,2.3194,-0.5917,0.2763,1.1219,-0.8297,0.4939,2.06,-0.2202
-0.5912,-1.0237,-0.2464,-1.4469,-0.3479,-1.0723,0.791,1.0174,-0.5584,-1.0683,-1.3213,0.479,-1.7995,-1.3117,-0.2705,0.2491,0.332,-0.4319,1.1732,-0.6179,-0.21,-0.4721,1.4326,-1.027,0.4591,1.6034,-0.7803,-1.5511,0.8965,-0.377,-0.5467,1.287,0.0878,0.2145,-1.7981,0.9615,-0.3508,-0.8406,-2.5039,-0.6356,0.4046,-0.2574,-2.2102,1.4979,-0.0235,0.0905,0.0835,1.2543,1.34,-1.0088,0.2394,1.4205,-0.8958,-0.4133,-0.4618,0.3451,0.8733,0.9066,0.4812,-1.6213,-0.0437,-2.3132,0.5001,0.5872,-0.8762,-0.3603,0.1171,1.253,0.8399,-0.2557,-0.1294,-0.9053,-1.1081,1.237,-0.8561,-1.5791,-0.1162,0.2823,-1.1393,-2.1753,1.2212,0.5647,-0.3158
0.7241,-0.2941,1.6773,-1.5259,0.0962,-2.019,-1.3438,0.1712,-0.037,-1.1038,0.6582,-1.2692,-1.2325,-0.8382,0.1972,0.0971,-0.3362,0.5085,1.5623,-0.8075,-0.1042,-1.5245,0.8082,0.0089,0.5646,0.1672,0.1067,-0.4674,-1.1138,-0.6034,1.1418,0.399,-1.6548,-1.5262,-0.5879,0.7594,0.3026,-1.1185,0.8705,-0.5285,-0.0918,-1.3904,-0.3155,0.5587,1.2827,1.9807,-0.4664,-0.2707,0.2662,1.2989,0.2884,0.4613,0.4314,0.0688,-1.4633,2.2225,-0.7189,-0.3335,1.0345,1.2575,0.9288,-0.1931,-0.5911,0.634,-0.8218,-0.8448,-1.3439,-0.8665,-1.3638,0.7581,-0.9697,-1.7071,-0.7504,-0.7964,-1.3226,0.8523,-0.9351,1.3411,-0.3278,0.677,0.0257,-0.1779,1.2189
-0.2698,1.2561,-1.017,-0.4494,1.2653,0.6041,-0.4114,-0.1996,0.1336,0.6652,-0.356,-0.8487,1.7194,2.0126,-0.3269,0.2405,1.1364,-1.1646,-0.6432,1.1,0.0735,-2.155,-0.3191,0.2794,0.6749,1.0544,-0.3858,-0.3914,-0.9386,0.622,1.959,0.8787,-0.3932,1.5579,1.0166,1.4808,0.3844,-0.6654,0.2172,-0.541,1.5844,-0.3495,-0.1434,-1.2778,-0.0147,0.5508,-0.7307,0.0919,0.5082,-1.6118,0.3595,0.1075,-0.7543,-0.5736,-1.9995,0.2329,0.2389,1.4062,1.0988,-0.0774,1.572,0.2844,0.9755,-0.7045,-0.7258,0.3386,-0.1156,-0.2499,1.1322,0.4012,0.6288,-0.9819,0.0423,-0.0993,-1.048,-1.1831,-2.2002,0.9596,-2.65,0.9489,0.9012,1.8059,0.7009
-0.1475,-1.5677,0.4325,-1.554,0.0389,-0.1324,1.0314,1.2531,1.0128,0.4427,1.0108,1.9648,0.0594,1.9416,-0.7801,0.8678,-0.1021,1.646,1.0146,-0.9792,-0.4894,-0.436,-1.463,0.3788,0.3734,-0.0022,0.4234,0.7997,0.4978,0.4632,-0.7081,0.723,-0.3741,0.8188,1.0769,-0.2076,0.8376,0.3346,-1.3449,0.0194,-0.84,0.8283,-0.6283,1.4967,-0.6013,0.5682,-0.7504,-0.3344,0.9819,-1.3679,1.6535,-0.2607,1.2147,0.3698,0.0403,-0.5,0.6517,0.4983,0.9755,-0.1807,0.4053,0.2152,-1.3401,-0.2788,-0.8754,-0.5175,0.0033,0.5335,-0.0084,-2.3979,-0.1979,-1.3926,0.1007,0.9861,-0.5506,-1.092,0.1802,0.7488,1.7765,-0.9094,1.0857,1.9299,1.5967
-0.8692,-1.2452,-0.2399,1.7937,1.3803,0.3102,0.4185,-0.5874,1.2667,0.9986,0.7504,-0.7316,-0.8729,0.2955,0.6621,-1.3283,-0.5936,-1.1451,0.2371,0.8772,0.2572,1.2445,0.6903,0.0813,1.8413,0.5256,-0.3608,-1.4105,1.0448,-0.1283,0.6018,0.4171,2.084,0.1348,-0.4475,-1.0509,0.6599,-0.4961,-1.5418,1.0601,0.5939,-0.8325,0.7739,0.2504,-0.0181,-2.0003,-0.3401,0.0684,1.0798,0.6854,0.815,0.8757,-0.2688,-0.6801,0.8034,1.5079,2.3373,0.0892,0.3384,0.8689,-0.1163,-1.078,1.1479,1.2674,-0.0486,-0.6684,-1.4775,-1.3904,0.9507,-0.6387,1.0344,-0.0452,1.2171,-0.9131,-0.8664,-0.3833,-0.4493,0.5484,-0.7392,-1.1116,1.271,-0.4096,0.7987
-0.3444,0.7962,2.9572,-0.8735,-2.3851,-2.8385,1.8311,1.3505,0.8977,-0.6435,0.432,1.9902,-0.9492,-0.7689,-0.7796,0.7418,-1.3219,-0.7435,-1.1782,0.6389,-1.4887,1.1414,0.762,-0.0861,-0.35,-0.0197,0.631,-1.3104,-1.7057,0.7108,0.1855,0.3297,-0.5307,0.0779,0.5585,-1.7611,1.5638,-0.2845,0.3344,-0.0616,0.5743,-0.5705,-1.5942,-1.2084,1.1265,1.5991,1.2022,-0.1604,0.9334,-0.4667,2.0691,-1.7268,0.5615,-0.7673,0.0852,-0.3896,1.1016,-0.6019,1.995,0.5261,0.3633,-0.8439,-0.2139,-0.5771,0.9816,1.1888,2.1871,-1.408,1.3564,1.2149,0.0662,-0.5292,-0.5003,0.4473,-1.2057,-1.9154,2.3046,-0.4537,-0.2279,1.9302,-1.9439,-0.4704,0.2433
-0.2101,-0.7817,-0.5557,0.2975,1.7396,-0.5191,-0.1881,0.2774,0.2905,-0.1831,0.3592,-0.2196,1.1831,2.2773,-0.1903,-0.4278,-0.7898,0.3413,0.4325,-1.0036,-1.0437,0.1217,0.2511,-0.0352,0.6349,1.6258,1.4043,-1.258,-0.6282,-0.4313,-0.0976,-1.3605,0.3227,0.9721,0.1439,-0.4905,0.0612,-0.373,0.6009,0.2955,2.3793,1.1411,0.5152,0.1212,-0.0456,-0.3606,-0.9515,0.8889,-0.8653,0.9087,0.622,-0.274,-0.6447,0.3061,-0.9508,0.0386,1.2744,-3.6607,-0.576,-0.8147,0.8019,0.5876,1.0967,-0.1108,-1.7646,-1.0777,0.5943,-0.5137,0.5188,0.2622,-0.0878,0.7547,1.2337,-0.9103,-0.3056,1.194,1.445,0.6794,0.93,-1.8106,-2.2363,0.1379,-1.0307
1.4258,1.8283,-1.388,1.2682,1.3943,-0.4314,-1.7598,-1.6665,0.3249,0.2626,-1.7107,-0.9107,1.658,-0.5371,-1.0914,-0.8855,0.3796,0.5034,0.7479,1.088,-0.2956,0.9332,0.4153,0.7099,0.3973,-0.3071,-0.1901,-0.7159,-1.2464,0.0208,-0.9254,0.401,2.4753,-0.7623,-1.3882,0.2152,0.1652,0.4139,-0.0505,-0.6084,-0.2591,-0.5376,-0.1931,-0.5515,0.0273,0.8111,-0.0901,1.1597,0.3037,-0.5506,-0.8162,-1.2348,1.0214,-0.1412,-0.5873,0.5666,-0.7879,0.0666,0.3095,-0.5085,1.306,0.8895,1.2152,0.352,0.2543,-0.0012,-1.386,-0.8663,1.4117,-0.4335,-0.9679,-0.3571,-1.018,-1.2269,2.4451,-0.4033,0.7423,-2.4968,0.6516,-0.8795,0.6276,1.8573,0.1163
-1.1763,-0.4764,-0.1613,0.2438,-0.4529,0.1316,-2.7615,2.0205,-1.2966,-0.9596,-1.5616,-0.5167,-2.5177,0.4322,-1.0605,0.423,-0.6426,-1.5071,-1.4586,-0.6756,1.9703,-0.6685,1.1077,0.9473,1.6648,0.9036,-1.0841,1.7409,0.4651,-1.8954,0.318,-0.1447,-0.3052,-0.2816,0.3549,-1.1093,0.3371,-0.3435,-0.2797,0.7629,-1.2936,1.0656,0.5439,-0.1622,-1.998,0.9911,0.2555,-0.6723,0.4923,-0.738,-0.4829,1.2753,-0.58,0.6153,0.2555,-2.579,-0.7993,1.0288,-0.297,-0.2313,0.9444,0.147,0.508,-0.5265,0.1989,0.513,-0.5414,-2.3905,-0.5909,-0.2798,0.4276,-1.0767,0.6908,-0.7338,-0.7535,0.5467,-1.144,0.4588,0.4342,0.0692,-0.4319,0.2537,-0.7159
-0.5807,0.6056,0.224,0.0167,0.3967,1.1051,1.2379,1.6196,-0.1079,0.3363,-0.4477,-0.394,0.4384,-0.1682,-0.2839,-0.8897,2.2812,-1.4681,1.3326,0.5422,1.1565,-1.3193,1.212,-0.9982,1.5071,-0.9452,-0.6579,-0.7083,-0.4529,0.8343,-1.0791,-1.3612,-0.0285,0.5575,0.1953,1.2354,-0.1738,-1.4864,1.2954,1.5337,1.502,-0.0416,-1.5711,1.1977,-0.4793,-0.2451,-0.5701,1.4551,-0.7843,-1.2683,-0.2373,-2.0422,0.8693,-0.1063,1.1645,-0.3011,-1.8159,-0.5257,1.0886,1.2826,0.5647,-0.0427,-0.173,-0.1805,-0.6199,0.4594,-1.1866,-0.8443,1.9364,-1.4072,-0.3873,0.085,0.1396,-1.5546,0.3956,0.3529,-0.0636,1.2707,0.908,-0.9095,0.484,-1.9505,0.8867
0.8714,-0.3406,0.4191,-0.0359,0.8574,-0.022,-0.3288,-0.7965,-0.1211,0.9387,0.5754,-0.0402,0.1495,-0.2894,-0.4983,0.3461,0.6414,-0.3036,-1.0035,-0.8194,-0.877,0.3957,-1.068,1.7307,0.2907,-0.8985,0.3028,0.7098,0.6388,-0.6859,1.1799,2.7284,-1.0886,-0.3449,1.3102,0.2742,1.4531,-0.2753,1.6389,0.3042,-1.0473,0.0171,1.0337,-0.1147,-1.4009,0.1161,-0.658,0.5651,-0.6965,1.0016,-0.6843,1.73,-1.9268,-1.0114,1.2261,-0.196,-1.6173,0.1931,0.5339,1.6441,1.5437,-1.2599,0.3011,-1.0319,0.128,0.3403,0.5603,-0.0927,1.081,0.9318,-0.8194,0.7926,-1.0993,2.3119,0.9303,-0.1309,-1.9483,0.337,-1.7652,1.6425,-1.1376,-0.9765,0.6459
-0.3219,1.3139,-0.1006,0.0364,-0.795,0.3007,-0.676,0.8732,-0.5969,0.2648,-2.1455,-0.1184,0.2348,-0.0422,0.8473,0.7558,2.7494,1.1344,-1.8582,0.7546,-0.3408,-0.0887,-1.0828,-1.5743,1.0953,0.1971,0.0746,-0.3182,-0.971,-1.3147,-0.4598,0.8026,-0.6435,0.652,1.0005,1.2001,0.1284,1.4146,-0.0791,-0.0577,0.6856,-0.8538,0.7614,0.5522,-0.0984,-0.7459,0.4762,1.1527,1.0447,-0.6924,1.1106,-0.0412,1.4879,0.5653,0.0378,-0.9734,-2.7952,-1.3355,-0.8365,0.1707,-0.3622,0.9828,-1.4764,-1.9301,-0.2747,1.3108,-4.3821,0.7194,0.7736,0.5682,0.3504,0.3765,-0.4261,0.8446,-0.9657,-0.3926,-1.18,0.7954,0.1961,0.5513,0.5198,0.0145,1.8785
-1.0206,-1.2767,0.1788,-0.3622,-1.563,-0.8862,1.4358,1.0818,-0.1718,-0.4997,0.63,0.8395,0.2233,-2.1,-0.1979,1.5016,-0.4664,1.6392,-0.1553,1.4071,-1.182,0.2357,-0.224,3.2732,-1.3454,1.0352,-0.5945,-2.2801,-0.4649,0.1811,-0.8238,2.1187,1.3247,1.3326,1.6279,2.8158,-0.6322,-0.392,0.9937,0.0449,-0.4649,0.5307,0.5952,2.6318,-0.7659,0.3054,1.2346,1.2185,0.9214,-0.4398,2.2117,0.2725,0.0473,-1.2159,0.144,1.1323,-2.9103,-1.3762,0.0426,0.056,1.1092,-1.0191,-0.1045,0.3077,-0.3668,-1.3813,0.0033,-1.0792,-1.1816,-0.5039,-0.3373,1.8165,-0.3919,-0.9322,1.0689,0.125,-0.1313,1.257,0.2913,-0.4085,0.3471,-1.342,0.1182
0.5752,-1.9567,0.5634,-0.1866,0.3088,-1.424,-0.162,0.3644,-0.7504,1.8979,-1.653,-0.3698,0.6452,0.2924,0.4563,1.5575,1.0559,-0.5289,-1.5068,-1.8972,-1.982,-0.2202,0.5212,0.5621,0.8384,0.5435,-1.4962,0.5018,0.295,-1.2283,1.3229,-1.0866,-1.8435,0.6443,-0.7975,-2.7803,1.6997,-1.0284,1.3857,0.5701,-0.2525,0.7067,1.577,-0.3959,-0.0497,0.6654,1.1771,-1.0016,-0.816,-0.9068,0.2201,0.3594,1.0007,-0.48,-0.4933,1e-04,0.3541,-1.7752,1.4489,-0.5465,-0.6556,0.1647,2.1497,-0.8399,0.329,-0.346,1.5956,0.9678,-1.1415,0.5936,0.0902,0.6053,0.132,5e-04,1.9774,-0.0422,-1.0488,1.2869,0.6654,-0.8758,-1.5483,-1.0744,-0.302
0.5087,0.0037,-0.3793,-0.8371,-0.313,2.0216,-0.1992,-0.7904,-0.1761,0.8137,-0.2287,0.642,1.3809,-0.7564,1.01,-0.0767,0.7791,-0.6198,1.5557,0.71,-0.8797,-0.2918,-0.9834,0.9636,-0.398,-0.0388,0.1084,0.0082,-0.6706,-1.0551,0.622,0.0439,-1.5171,-1.6928,0.0534,1.0878,-1.1176,1.6623,0.0258,0.2505,0.0166,-1.0354,-2.5285,1.3922,-0.7205,1.214,-0.6483,1.3611,0.3384,-1.4713,0.4037,-2.1552,-0.5145,-1.0791,-0.8819,-0.1433,1.1121,-0.5021,-0.1045,0.11,-0.8263,-1.5356,1.4861,-0.2904,0.5662,2.7467,-1.1819,2.4349,2.7247,-0.9596,-0.0931,-0.9042,1.5591,-0.087,0.245,1.2574,0.0912,1.6556,1.1685,-0.1375,-1.0961,0.5256,-0.4949
-0.2954,-0.7939,0.4617,-0.7873,0.1861,1.2414,-0.304,0.2143,-1.8694,-0.4189,-0.3446,0.4226,0.9569,0.756,0.3346,-0.6764,0.4935,-0.9563,-0.1341,-0.0949,-0.4801,0.1134,-0.3213,0.6201,-0.3144,0.6549,-2.0312,-0.1206,0.4395,-0.9323,-0.0733,-2.5409,-0.4287,0.4761,-0.3795,0.7451,0.7362,1.4954,0.8975,-1.7137,-0.8746,1.7282,-0.1384,-2.0493,1.0034,0.2683,1.0814,-1.7985,-0.1976,-1.7053,0.8183,-0.7738,1.5699,-0.1154,0.7982,1.191,-3.0054,-0.3731,-1.4142,0.4923,1.2984,1.3719,-0.4448,0.2273,-0.1155,-1.0997,0.2886,1.6991,0.1253,-1.824,0.7869,-1.148,-0.8774,-1.2262,1.1872,1.3105,0.5464,0.5884,-0.0588,-0.1835,-0.1522,0.3771,1.7044
-1.479,0.132,1.0148,1.0412,-0.9745,-1.544,-0.3319,0.7322,0.6459,-0.2392,0.325,-1.2254,0.4804,-0.4283,0.2958,-2.1799,-0.3492,6e-04,-0.9618,-1.601,-0.789,-0.1168,1.318,-0.2239,-1.2042,-1.3639,-0.9626,0.213,-0.6139,0.2647,-0.2869,0.9077,0.858,-0.0253,-1.4943,-0.3219,-0.6671,0.2114,-0.6769,-0.0452,0.9635,1.6896,-1.9453,0.7901,-2.2413,0.8645,-0.7594,0.9321,0.2941,1.7971,0.6045,-0.9482,-1.4519,1.465,-0.7259,-0.6442,-0.2213,1.1492,-0.6778,1.2248,1.6164,0.9645,0.9399,-0.0642,-0.8786,-1.6349,1.0073,0.5479,0.6307,-1.0427,0.079,-1.3353,2.0641,0.397,-0.0053,-0.2413,-0.4852,0.7305,-0.118,-0.0167,0.1535,0.9327,0.9957
