"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NS47","NS48","NS49","NS50","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29"
-0.3003,-0.092,0.7018,2.5267,1.2112,-2.1211,-0.9168,-0.4848,0.4337,1.9699,-0.7468,-0.3354,-1.0668,1.42,0.2259,-0.3958,0.9035,1.1678,-1.4541,-0.3001,1.0969,-0.3715,-1.1564,0.4461,-1.0029,0.4475,-0.1407,1.2119,1.0045,1.5677,-1.3848,2.3482,0.9087,-0.8825,-0.4874,0.24,0.2553,0.94,0.5592,0.2474,0.0171,-0.0932,1.3593,0.8726,-0.2339,-1.572,0.2868,2.913,-1.5226,-0.6241,-1.5226,-0.0695,-1.7701,-0.0069,-0.2012,0.1141,-0.3459,2.9254,-0.342,-0.2763,-0.6436,1.2078,-0.6537,-0.1631,-0.4673,0.8823,-1.092,-0.2359,1.4656,0.9018,0.5481,1.1877,1.2578,-1.5997,0.8052,0.6201,1.3003,-1.9051,-1.0545,-0.0788
-0.9388,0.2624,0.6801,0.3259,-1.1371,-1.2825,1.9306,-0.8252,-0.6474,1.0719,-0.2587,-0.4965,-0.0734,1.501,-0.375,1.5226,-0.2094,1.4615,0.7059,-1.9062,0.1994,-0.9286,-1.3443,-1.0349,1.7419,0.755,-1.665,-0.138,0.3059,-0.0353,-0.2328,0.4835,-0.254,-0.2939,-0.4379,2.5009,0.1998,1.8461,0.7847,-1.0405,0.0044,0.0632,-0.4587,-0.2079,-0.4612,0.6094,0.9543,-2.0009,-1.1387,0.8132,1.1758,0.9123,-0.5948,-2.3243,0.5276,1.9427,1.3272,0.7509,-0.4389,0.8064,-1.4428,0.7924,1.468,-0.1487,-0.2994,2.1204,2.0211,-0.8431,-0.7806,0.1331,0.4188,0.1326,-0.3975,-0.297,0.8492,-0.1291,-0.1982,0.4412,-2.0057,-0.5177
1.3711,-0.4786,1.3107,-1.0792,0.2408,-0.7667,-1.2692,1.1552,-1.2758,0.5471,0.1957,-1.5236,0.8398,1.146,1.0899,1.9044,0.2122,0.5233,-1.0063,-1.3441,0.4787,-1.2298,-0.3981,-0.2242,1.1952,0.4652,-0.5173,-0.3278,-0.4478,0.5025,0.5316,-0.131,-1.4939,-0.367,-0.4473,0.4593,-0.3534,-1.5016,-0.5791,-0.637,-0.5919,0.1835,-0.2753,-0.6153,-1.2922,0.4328,-1.1967,-0.9621,-0.3864,-1.0812,0.4014,0.1906,0.3011,-1.9754,1.0196,1.3577,1.8917,0.7873,-1.5048,-1.7979,0.8981,-0.6213,-0.8345,0.56,-0.647,1.3456,-0.681,-1.2924,-0.4498,-0.9246,-1.6074,-0.5746,-0.3815,0.4686,-0.4864,0.7758,1.6647,-0.0192,-1.6153,0.5497
-0.6628,-1.1529,1.7488,-0.4955,0.4486,-1.7321,-0.5294,1.6428,1.5878,0.6495,-1.725,0.5692,0.7835,-0.7659,-0.219,-0.8404,0.1824,-1.3747,0.6724,-0.8866,-0.5306,-0.5402,-0.1596,1.6377,1.4241,-0.7301,0.2638,0.5365,0.292,-1.0135,-0.0693,-0.3047,-0.1187,-1.0693,0.1776,1.0898,0.5419,0.2359,-2.0679,0.0013,1.7591,-0.7326,0.6463,-1.4723,-0.594,0.5914,1.6201,-0.524,0.3478,0.5199,0.3252,0.5324,0.5295,-1.4699,1.9311,0.4119,-1.8063,-0.048,0.451,-0.9836,-0.3225,-1.4855,-0.0292,1.4888,-0.2648,0.8878,2.0876,1.2578,0.0932,-0.3814,-0.6645,0.6403,0.6748,-0.6496,1.7638,-0.6764,-0.7166,-0.3407,0.1831,3.1073
-0.272,-0.2946,-1.2482,-0.3834,-0.3043,1.1995,0.7489,-1.4731,-1.7626,1.8406,-0.4126,0.4993,0.0037,-0.3083,1.3784,0.7468,-0.4021,2.3213,-1.5785,1.2539,0.4605,-0.0969,0.6533,-1.592,-0.4212,0.4502,0.0427,1.2685,0.5965,-1.4381,-0.4315,0.3899,0.2005,-1.9328,1.1444,0.0794,-0.3468,-0.0146,0.0608,-0.399,0.9565,-1.0592,0.0844,0.8482,-1.075,-1.7329,0.6607,-0.5638,-0.2877,0.8713,1.3825,-0.0256,-1.6991,-1.548,-1.5913,-0.4125,-1.0487,-0.0071,-0.7028,-2.1569,1.9536,0.1096,-0.0258,2.6436,-0.0955,1.2663,-0.694,-0.0761,-1.8053,-0.535,0.2842,0.5975,0.9935,-0.4605,0.6089,-2.1247,0.2923,0.6865,-0.5166,-2.0874
0.927,0.632,-0.9394,-0.5143,-0.0011,1.1445,-0.121,-0.9463,-0.9137,-0.7757,0.6241,0.4598,0.6455,0.1488,-0.1024,0.171,0.1455,-0.2642,0.1405,-0.7822,0.0691,-0.3258,0.2012,-0.9949,-0.494,0.0273,-0.4576,0.062,-0.6928,1.4071,-1.4987,-0.326,-0.5464,0.71,-0.7774,0.0461,-0.5596,0.6244,0.3291,0.555,0.0157,0.2137,0.5146,-0.1903,1.3019,-1.0978,0.8282,0.1483,-0.3943,0.3959,1.0884,-0.0762,-0.949,-1.4711,-0.3911,-0.2608,0.5577,1.3923,-0.3795,0.3756,0.7494,-0.906,-0.0511,-0.7545,-0.1166,0.4749,-1.5571,-0.2792,0.8372,0.7848,0.5124,0.565,0.9642,-0.6724,1.5006,-0.1806,0.2764,0.7737,-1.1205,0.5475
-0.0396,0.016,0.7287,0.418,0.4756,-0.6732,-1.9615,1.4797,-0.7551,0.1276,-0.2831,0.4146,-0.6846,-1.2085,-1.5377,-0.854,0.9593,-0.6813,-0.2418,0.2699,-0.3941,-1.001,-1.8881,-1.7346,-0.0543,0.4634,3.0667,-1.5813,-0.9181,-1.2941,-0.3259,-0.0117,0.0658,-0.3126,-0.3609,1.3292,0.1054,0.5756,-0.9718,-0.9501,-0.3772,0.4768,0.2291,-0.1211,-1.3179,-0.0898,0.7843,-0.5898,0.7477,1.848,0.8406,-0.3564,0.2202,-2.2022,0.7992,0.3703,-1.8475,-1.0898,0.8218,-0.0361,-1.008,-0.719,-1.5171,0.2203,-1.8032,1.3755,-0.3629,0.5068,0.6487,-0.4248,1.0228,-0.1594,-0.6746,-0.465,0.5632,-0.406,1.0214,0.3198,-0.8079,-0.422
-0.5046,-0.974,1.3423,1.4882,0.6886,-0.8978,-1.1649,0.4876,1.4463,-1.9937,-0.3895,-0.2833,0.3119,-0.519,-0.3553,-1.8336,-0.8749,-1.2888,0.7565,1.734,0.6009,0.5321,0.3389,-0.398,-1.1367,-0.332,-1.0991,-0.2796,-1.0535,0.1036,0.0258,-0.2755,0.0308,0.8093,-1.7841,-0.4189,0.9653,1.2927,-0.4671,-0.2259,0.2041,0.9286,-0.1088,-0.5178,1.1224,-1.0107,-0.9393,-0.8122,-3.0289,0.3316,0.1674,0.6632,-0.6095,-0.1268,-2.0993,1.5687,-3.0582,0.033,-1.0968,1.6891,-0.456,-0.0645,1.079,-0.2381,-1.7977,0.0414,-0.5894,0.5533,0.5237,1.5274,-0.1139,-0.3055,-0.7411,-0.5932,0.4079,2.5167,0.2254,0.566,1.4791,1.7688
-0.3508,0.2218,-0.92,-1.9134,-0.8345,0.4544,1.7559,2.2685,-1.6892,-0.8615,0.7704,1.1287,0.6507,1.1818,0.4823,-0.5998,-1.4286,0.5996,-2.3346,-1.1314,0.4604,0.0774,-0.7372,1.904,1.1053,-0.1483,-0.782,0.9122,0.773,0.3689,1.7503,1.0217,-2.2668,-0.3354,0.7497,-0.2221,-1.7768,1.48,0.612,-0.5205,-0.2003,1.0125,1.4434,1.0885,0.3029,0.3871,0.4392,0.1758,-0.2969,0.0474,0.8857,-0.4105,2.0946,1.4669,-1.1766,0.6893,-0.258,-0.6922,-0.0786,-0.2458,-0.1001,-0.9636,-0.935,-0.4835,-0.6001,-0.2414,-0.7278,0.5725,-0.201,-0.7071,0.1571,0.2934,-0.4739,-1.0517,-1.2601,-0.4318,-1.6024,0.4556,1.1133,0.5433
0.6873,1.46,-1.0484,0.1916,0.9212,-0.6369,0.2765,-1.4755,0.6665,1.1959,1.1222,-0.3584,-0.3388,-0.8416,1.128,1.118,0.6621,1.1183,-0.4324,-1.8155,0.9113,2.8061,-0.9648,-1.1368,-1.5331,-0.8408,-1.021,-0.1919,-0.2597,-1.5217,-1.7945,-0.2154,1.2388,-0.3145,-0.2402,0.001,1.1441,0.6492,0.4859,-1.2578,0.6321,-0.5659,0.7232,0.725,1.0485,-0.7968,-0.2784,0.1971,-0.489,-0.407,0.5508,-0.0779,-2.1761,0.5447,0.2732,-0.7066,1.7537,-0.7383,-0.1606,0.5675,0.391,0.5759,-0.6894,0.0569,0.438,-0.9028,-0.8551,-0.6184,1.4881,-1.0693,1.2511,-0.9777,-1.0664,1.2379,-0.1877,0.096,1.3985,-0.7244,1.0803,1.1429
