"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44"
0.3847,1.5664,-1.7968,1.4487,1.2426,-2.2123,-0.5177,0.4913,0.4159,-1.1019,0.1695,1.0759,-0.1769,-0.4331,0.9571,-0.2358,-0.7046,0.8338,1.795,1.2852,-0.7462,-1.0599,0.6046,-0.5205,-0.4406,-0.4153,1.0752,0.582,-1.3331,1.1487,0.6507,0.1141,-1.3434,0.5012,1.0482,-1.8867,0.4357,-0.0946,1.7903,0.352,0.2452,-0.0433,1.852,-0.5648,-0.1035,0.4602,-1.5285,0.6356,0.3163,0.1842,-1.8262,-0.2182,0.4144,0.8991,0.2552,0.0967,0.7132,-1.6444,-0.2227,-0.7451,-0.043,0.11,1.0797,0.9442,0.8052,-0.6683,0.1373,-1.9137
3.2558,1.6878,2.2848,-0.9242,-0.7023,1.4191,-0.0335,-0.0096,0.8096,2.3184,-1.3155,-0.7593,-0.6376,0.846,-0.3326,-1.7053,0.4139,-0.9542,-0.6152,0.7532,0.6498,-0.8943,1.6716,-0.5961,1.6832,0.3933,-1.7541,-0.444,-0.4793,1.3988,-1.9061,0.8576,-1.1761,1.5468,0.9072,0.3487,0.2204,0.3041,-1.4045,1.227,1.0433,0.262,0.3715,0.218,-0.0134,0.4138,1.0697,0.5221,-0.1442,1.0005,0.5302,-0.2904,-1.1559,-1.8458,-0.3,0.2637,-0.601,-0.7455,-0.4739,0.5442,-0.9843,0.7853,-1.0491,-2.8204,-0.0031,2.3739,-0.5938,0.6404
1.572,0.187,0.1234,0.2341,-0.482,-1.9471,1.8229,0.2353,0.4936,-0.6798,0.168,-0.7024,0.3078,0.0777,-0.062,-1.3487,0.2496,-0.0877,0.422,-0.6342,-0.1803,1.5114,0.6675,-0.6825,-1.6179,1.2823,-0.4889,-0.1865,0.8225,-1.491,-1.3577,0.7387,-0.0256,0.119,-0.6771,-1.0396,2.2709,-1.25,-1.1662,-0.0865,-1.2375,-1.5819,0.6029,-0.2578,-0.7433,-0.7258,0.9176,1.4858,-0.5525,1.5841,0.6736,0.9416,-0.8333,-1.1528,-0.4482,1.5334,1.2961,-1.6823,-1.0788,1.3081,-1.4037,-0.2445,1.6176,0.7771,-0.7074,-0.2167,-1.3019,-1.1514
-0.7153,0.7991,-0.0449,-0.5194,0.5893,-0.5056,0.0359,1.4679,0.6335,-0.8736,-0.8969,-0.2929,-1.6807,2.0935,-0.6899,1.4012,0.3281,-0.842,0.0027,0.4911,-0.6188,0.3595,-0.1678,1.4861,0.0802,-1.0474,1.3413,-1.2749,-1.3565,1.6791,-0.1346,0.8221,-0.3013,-0.4427,-1.4383,-2.2038,0.0651,-0.3131,-1.6489,-1.1184,0.4095,0.2895,0.1588,-0.8265,1.491,0.5861,-0.7444,-1.7801,-1.0449,1.0561,-0.3539,-0.2421,-1.3235,0.1165,1.6788,-0.1702,0.7235,-0.5168,-0.5895,-1.0112,0.2969,1.2587,0.1802,-1.4024,-1.9076,1.1122,0.7118,-1.7719
1.4495,1.0674,-0.6497,-0.9069,0.2134,-0.3741,-0.0633,-1.467,-0.7012,0.7269,0.2626,1.447,-1.4986,-0.2923,0.725,-0.7718,2.1545,-1.2815,0.8884,-0.4471,1.0355,0.0852,-0.1897,0.4353,0.0139,1.5296,-0.5474,0.4096,0.3338,0.1313,-1.455,0.1128,-0.4079,-0.2486,0.0864,0.8748,0.2493,0.4986,0.2652,1.6896,0.2234,-0.9831,-0.3051,-1.0667,0.6426,-0.4287,-0.6972,-0.8593,0.8894,0.152,0.8435,-0.9636,-2.0074,0.2553,-0.9732,-0.0321,0.5481,-0.3442,0.1617,1.4789,-0.3233,-1.1996,-0.7921,-1.3059,1.2972,-1.1764,-1.3106,-0.2194
-0.6015,-1.5947,1.2691,-0.1305,-0.1614,-0.1663,1.0566,0.4768,0.5092,0.5864,0.7837,0.9495,-0.9581,-0.5815,-0.7894,1.5453,-0.5258,0.6729,0.0055,1.0466,0.1899,-1.1618,-0.6461,-0.0555,-1.4262,-0.3764,0.1912,-0.6681,-0.0281,0.9347,-0.6378,-0.3145,-0.4005,-1.2751,1.9416,0.0489,2.0345,0.1717,0.247,0.5473,-0.8778,-0.0695,-2.0316,-0.18,-1.3874,-0.8548,-1.8677,-0.4316,-0.4068,0.9516,1.3476,0.881,0.3028,-0.8516,-0.2436,1.1342,-0.1605,-1.0323,1.0907,-0.5512,-0.5918,1.6178,0.2321,-1.9314,-1.1788,-0.0365,-1.3293,-1.0567
-0.5811,-0.4426,-0.1308,-1.9762,-0.956,-0.8395,-0.96,-1.3609,-1.0479,-0.4385,-1.2949,-0.7589,-0.3687,-0.7347,0.8895,0.4241,0.5305,-0.6971,0.4388,-0.3421,-0.034,0.5838,0.3342,-1.0599,1.7245,-0.3282,0.587,-0.4744,-0.0391,-0.2966,-0.5503,-0.2445,-0.473,0.4961,-1.8179,-0.4329,1.1898,1.5624,0.2928,1.8077,0.445,-0.6458,0.4692,-0.345,-1.1427,-0.0546,0.7962,0.2537,0.0621,0.8844,-0.3095,0.9409,-0.2249,-0.3014,-0.0731,-0.8694,0.9418,-0.3623,1.1573,0.5577,0.5749,-0.051,0.3079,0.3872,-0.8134,0.1833,-0.3965,0.5843
-0.0119,2.1476,-0.7112,0.3562,-0.5943,-0.6769,-0.4063,0.2848,0.4933,0.2129,-0.0483,-1.1767,-0.6845,1.2203,1.0922,-0.9409,1.7658,-1.015,-0.2017,1.3463,0.6903,0.4509,0.467,1.0349,0.6509,-0.1819,-0.7303,0.1589,-1.6281,2.7943,0.1056,1.0285,0.2835,0.9095,-1.2233,0.2019,-0.3522,-0.3482,0.1061,-0.1209,1.495,-0.4309,-0.4998,-0.8775,1.3325,0.9945,0.4806,-0.5775,-0.8566,0.1739,0.131,0.4624,0.5598,1.4017,-0.0743,1.8662,0.2072,0.7783,-0.1501,0.6524,0.8758,2.6097,0.5658,0.1617,-1.544,-1.0395,-0.5099,-0.1522
-1.3926,1.0438,-0.6754,-0.1329,1.1912,0.1061,-1.2038,0.5176,-0.8274,0.7117,-2.9639,-0.3897,-0.6425,-0.9443,0.4118,-0.9972,0.7223,0.0418,0.9411,0.2306,0.7961,0.5261,0.4012,-1.067,-1.4546,-0.3657,-1.0898,-0.1475,0.515,0.1064,-1.6496,1.7157,0.1702,-1.3132,0.2357,1.3047,1.288,0.03,-0.6322,0.1185,-0.5115,0.9963,1.5209,1.4106,-0.9792,0.127,-1.0625,-1.0555,-0.138,-0.1555,-0.1729,-1.3248,-0.7177,0.8019,0.7612,-0.2878,-0.1559,-0.5756,-1.3233,0.6045,0.2097,-0.0951,-1.3159,0.1593,1.652,1.3559,-0.2352,0.4831
-0.4522,1.4191,0.2175,-0.5794,0.064,-0.4557,0.5571,-1.7184,-1.061,0.1826,-3.1034,0.576,0.5311,1.808,-1.0654,1.9556,-0.8985,1.7185,1.9487,1.2006,1.0154,-0.3661,-0.7177,-0.278,0.5752,-1.5134,0.5262,-0.0821,1.2854,-1.1885,-0.3629,-0.9388,0.8592,0.7436,-0.0442,0.0237,-0.7549,1.476,-0.2894,0.197,-2.0726,0.0755,0.471,-0.6929,0.3191,-0.5096,-0.1238,1.0233,-1.3874,1.2683,0.3846,-0.4312,-0.8084,1.7179,2.0295,1.2873,0.2422,0.399,-0.2737,0.4129,0.7969,-0.3621,-1.272,1.0355,1.228,1.8458,-0.1264,1.7389
