"target","NS1","NS2","NS3","NS4","NS5","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10"
0.4912,0.8303,-1.4996,-1.6996,0.3973,0.3916,0.2723,0.4219,0.9934,-1.2217,-0.1291,0.2703,0.0533,-0.6931,-1.2152,1.4416
0.3625,2.1427,0.9323,-0.6378,-0.2065,-0.3216,1.4962,-0.3715,1.1667,1.0006,-0.599,-0.3233,-0.7751,0.376,-0.9069,-0.0206
-0.9578,-0.046,-0.9921,1.4336,1.1642,1.4543,-0.6687,0.436,1.363,-2.6463,2.2668,1.2708,1.0959,-0.6699,-0.5347,-0.374
-0.7452,-1.3199,-1.2613,0.8881,1.9527,0.1876,1.3992,1.545,-0.7869,-0.0545,0.6026,0.8154,-1.7192,0.0256,0.0441,-0.4458
-1.4531,0.128,1.1998,1.8015,-0.0735,-0.2096,-0.7669,-0.2276,-0.3374,-0.7263,-0.871,0.507,-0.4801,0.9466,1.2213,-0.3509
2.0148,-1.3661,-0.6478,-1.6115,1.8838,-1.7066,-0.2259,-0.6114,-0.3999,-0.4546,-0.0492,-0.2329,-0.3028,0.3547,-1.4724,-0.8279
0.17,0.7743,-0.8889,0.9399,-0.8626,-1.7708,1.706,1.356,-0.3988,-2.0296,-0.7487,-0.4142,0.703,-0.8395,0.5411,1.5088
1.4569,1.2294,0.0052,0.576,-0.4779,-0.0961,-0.7013,-0.268,0.4611,1.3325,-0.4088,1.8964,0.3162,1.0439,-0.7086,0.4196
0.0023,0.2185,0.2091,0.3445,-0.4203,1.3172,1.2508,2.2724,0.3107,0.3945,1.1333,-0.1263,-0.6347,-0.7562,0.2894,0.6477
0.0139,-1.071,-1.2182,-0.6413,-0.1792,-0.8428,0.2795,0.6823,0.0264,0.9648,1.1689,-0.6421,-0.7713,0.4305,-0.073,0.3766
-1.2831,0.3074,1.9207,1.162,1.1261,0.0762,0.9698,1.0693,0.2886,-1.6633,-0.3181,-0.0616,-1.0829,-1.1637,1.1885,3.6348
-0.3388,0.8937,0.6449,-0.129,-1.2277,-1.19,-0.4928,-0.4393,-0.8336,-0.6154,-0.4669,-0.863,1.1385,-0.349,-0.9963,-1.3639
0.2663,0.7464,-1.3033,-0.2172,-0.003,0.1549,0.0697,1.4499,1.6962,0.3282,0.2278,0.0827,-1.2494,1.298,1.5972,-1.3067
