"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21"
0.2102,-0.6138,0.2072,-0.572,-0.2245,-0.2556,-1.8988,1.657,1.8314,0.5632,0.3948,2.7353,-2.1313,0.1191,-0.1248,-1.3241,0.0498,-0.3791,0.5601,0.917,1.116,1.1082,1.7823,0.6793,0.5989,0.0222,0.013,-0.5596,-0.9785,-0.5819,-0.628,0.509,-0.2382,-0.664
-1.0218,0.6737,1.376,-0.6341,-2.6246,0.127,0.4383,0.1065,-1.0601,-0.2006,-0.6063,0.2874,0.1985,-0.1416,0.6349,-1.4232,-0.4938,0.1677,0.0992,-0.1931,0.1267,-0.2108,0.5438,-1.7331,-0.1738,-0.2379,1.8234,-1.8469,1.0754,0.6982,0.6316,0.9811,-0.4509,-0.2368
1.0468,1.2554,-0.5068,2.0396,-0.6976,0.6285,-0.3565,0.321,-0.5977,0.984,-2.7478,-0.7295,1.0005,0.494,1.5674,-0.1253,1.8439,0.5361,-1.1698,-0.9973,0.211,-0.1202,0.8186,-1.3065,0.0627,-2.2376,-1.2671,0.0693,-1.5485,-0.4224,0.3098,0.4367,-1.5012,2.8465
0.7278,-0.8609,1.361,0.9317,0.1754,0.0808,0.105,-0.0486,0.221,1.2602,-0.1881,0.6859,1.0129,0.1242,0.422,0.9553,1.3237,-0.0093,0.7827,0.6811,1.2125,-1.6767,-0.0861,-0.1698,0.8945,-0.4946,0.6938,-1.521,1.1303,-1.2428,0.966,0.7973,-1.3215,-0.8794
-1.419,-0.0565,-0.9455,-1.4739,0.3863,-0.0798,-0.0335,-0.4353,0.8361,-0.9507,-0.2605,0.4443,-0.7298,-1.3357,-0.3249,0.4289,-2.8677,0.101,-1.4676,-0.2213,-0.8089,1.7194,0.3849,1.9535,1.287,0.497,0.2382,-0.7137,0.0772,-1.026,-0.9994,0.3823,0.1617,-0.1315
-0.0458,-0.1597,-0.6722,0.6767,0.1414,-1.7257,-0.9048,0.3596,0.0705,-0.1428,0.3454,1.324,-0.0564,1.4149,0.7592,-0.9691,-0.7223,-1.2637,-0.4908,0.6979,0.7115,-1.1649,0.7836,1.0535,-1.5476,0.6463,-1.8496,0.8801,1.8391,-0.455,-1.2565,0.4019,-1.1621,-1.1447
1.9885,0.4317,-0.204,0.7485,-0.1638,1.4115,1.4459,2.3126,0.3002,2.0118,-0.4704,0.1308,-0.0904,-0.2854,0.7319,1.2163,-0.87,0.5211,0.8209,-0.0099,1.3903,-1.5311,1.8546,3.1324,-0.4059,0.3408,0.1526,-0.7987,-0.1217,-0.3044,0.1675,0.7423,1.531,-0.9134
-0.0782,0.1581,0.0045,0.6942,-0.7993,-0.8114,-0.5656,0.2217,0.128,0.9167,1.1394,-1.7438,-0.2799,0.2721,-0.3763,-0.6163,-1.5861,1.7421,0.6965,-0.0552,0.2209,-0.8689,0.6152,-0.1854,-0.4049,0.2716,0.5097,-0.3093,-0.5549,-0.119,-0.0766,0.7711,-0.4984,-0.3488
-0.1121,-0.5133,0.576,-1.4076,1.3552,-0.2811,-0.4389,0.655,0.1877,-0.2226,1.432,-0.2956,-0.1432,0.1042,0.0196,1.3086,0.2181,0.4812,0.5105,1.0158,1.1062,1.0587,2.1901,1.5814,-0.2221,0.2324,1.3635,1.0021,0.1846,1.0015,-0.6744,-0.7617,-1.7642,-1.1303
-1.5187,-2,-0.4288,0.3733,-0.6523,2.0602,-0.6295,-2.3712,0.5753,0.0554,-2.4311,-0.1695,1.0925,0.1871,2.0421,-0.3368,-0.3212,-0.4277,-0.6207,-0.9168,-0.5841,1.4737,-1.5798,0.6967,-0.7554,-0.0962,-1.7262,-1.2942,0.2602,1.5837,0.6193,-1.2409,0.9143,-0.5249
-1.0821,0.3171,0.3587,-0.2571,-1.2824,1.7113,-0.6456,-1.0015,-1.9555,-0.352,0.4787,0.2408,0.6955,-1.2231,0.0984,-1.4706,-0.9232,-0.4592,0.6062,0.6847,-1.1558,2.8441,0.1261,-2.1375,-0.1411,-1.0563,-0.5462,1.7833,-0.6733,1.206,0.0193,-0.4577,1.3286,0.4281
0.8231,0.4142,0.9289,0.4894,0.5343,1.7403,-0.6277,0.0263,-0.5243,0.3912,-0.3575,-0.3748,-0.2274,-1.4806,-0.4185,-0.0593,-1.6855,-1.5316,-0.678,0.3981,0.733,-0.278,1.1057,0.1835,0.1201,-0.274,0.4799,-0.4854,-0.3859,-0.7806,-1.281,-0.6112,0.8378,1.2185
