"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18"
0.137,0.6577,0.427,1.5443,-0.7472,1.1194,1.7987,1.086,0.2015,0.5515,1.7672,0.5969,-1.2734,1.3612,0.2762,1.4081,-0.0652,-1.5852,-0.9234,-0.6745,-0.0498,0.0514,0.7875,-1.4302,0.0303,1.5927,-1.7426,-0.2328,1.0156,0.4833,0.7048,-0.1499,1.6227,-0.5971,-2.8437,1.9609,-0.8698,-2.0116,-1.373,-0.0426,0.381,-0.5802,0.6366,0.3129,0.4647,-0.1104,0.2079,2.0807,-0.6778,-0.1795,0.6723,-0.1108,-1.0779,-0.839,0.23,-0.9956,0.2784,-0.6326,1.1471,2.0946,0.2078
-0.8592,1.2844,0.6695,1.2169,-0.9252,-1.123,-1.2571,1.0217,-0.1217,-1.1299,-0.762,0.2602,0.5656,-1.5264,-0.8251,-3.0081,1.1229,0.6745,0.0617,1.3809,-0.0328,0.0931,1.3153,0.2066,-1.0697,-0.951,0.2334,-0.0225,-0.351,0.9137,0.8987,0.8223,0.9528,0.655,-0.8339,-0.1197,-1.2514,1.9493,-1.4949,-0.464,0.8475,0.3938,1.2606,0.2453,-0.0118,-0.6169,-1.2747,-0.142,0.6165,-0.1549,-0.4586,-0.2888,-0.4212,0.1953,-0.6936,1.2408,-0.638,-0.5253,1.0661,1.5396,-1.2257
1.3606,-0.6451,0.5985,0.6463,0.2675,-0.8624,0.1799,1.2024,0.8568,0.9827,1.5261,-0.4477,0.3338,-0.772,0.0031,0.3708,-0.5061,-1.0211,0.6995,-0.3171,-1.106,-0.9869,-0.4807,0.6791,0.5711,1.4618,-1.6229,1.2896,-0.9577,-1.3124,-0.0414,-1.4117,0.2332,0.2623,1.2901,-0.5531,-2.7162,-0.0996,0.4696,-0.6566,-1.0542,-0.3562,0.4152,0.8624,1.1073,0.4264,-0.4656,0.8586,1.1058,-0.4473,-1.2591,0.4105,-0.5361,0.1042,-1.4896,0.7103,0.96,1.201,0.2646,-0.8574,0.2659
-0.4699,-1.0379,-1.7875,-0.4157,-2.6869,-0.4182,0.0297,2.2808,0.2798,-0.7462,1.5942,0.4645,-0.4086,1.4653,-0.4729,1.6923,-0.6487,0.6563,0.4438,0.2551,-2.8981,-0.4751,-0.6282,0.265,0.9836,-0.5704,1.0704,0.1887,0.7316,0.2847,0.8715,-0.3705,1.0178,-1.0888,0.7154,0.8243,-0.2664,1.173,-1.6622,1.5078,1.1119,0.9343,-0.7039,-1.1354,0.9181,-0.7852,-2.1683,0.2636,-0.0165,-1.356,-0.9596,-0.8856,-1.1251,-0.0607,-0.2056,-0.4408,0.0917,-0.4092,-1.7279,0.5617,-0.2695
0.3674,0.96,-1.3456,0.5651,2.1204,0.3308,0.8552,0.0644,-0.1123,0.5785,0.02,-0.6829,-2.268,-1.9654,-0.8576,-0.7021,0.6837,1.2545,-0.5836,-1.2024,1.189,1.3301,-0.1858,-1.3099,5e-04,0.1823,0.259,-0.4861,0.8317,-0.6552,1.2575,-0.5262,-1.4403,-1.6515,-0.5872,-1.4333,0.2766,1.1181,-0.5529,-0.5366,-0.9983,-1.3433,1.2044,-1.704,2.2012,-1.246,-1.2438,-0.1874,0.7647,-0.1752,-0.3455,-0.1813,-0.3923,-0.929,-0.3824,1.3398,-0.0504,1.2991,0.2651,0.115,0.9812
-1.0484,0.187,0.7929,1.6026,-1.1174,0.0674,0.2918,-0.3435,0.0277,-0.8544,0.1873,1.8016,-2.2151,-0.6877,1.0644,1.009,-0.5489,-0.2072,-0.5024,-0.3609,0.3255,-0.8271,0.2676,1.5186,1.3338,2.5106,0.4559,0.0791,-0.238,-0.5821,0.7418,-0.2286,-0.4884,0.9482,-1.7966,0.6414,-0.2496,-0.7972,-0.3386,-0.9323,-0.2429,-0.0679,1.3847,-1.608,-0.0578,-2.1793,0.1746,-0.2228,-0.0248,-0.8282,0.4867,0.9916,0.6423,0.6567,-0.9103,1.1207,0.999,-0.5604,0.0575,-0.1163,0.4594
-0.6973,0.5699,0.6427,-0.2999,-1.561,0.1318,1.822,0.7223,0.8247,-1.5472,-0.586,-0.9898,0.6455,-0.3133,-0.2925,0.6153,-0.0219,-1.4474,0.047,0.4947,-0.2329,1.4002,-0.2543,2.088,-0.8204,0.2959,1.0843,2.164,0.9663,0.3829,0.3761,0.5432,-0.4874,-2.1602,0.3477,-0.1784,1.0239,-0.7668,0.937,0.6808,0.1083,-0.8635,-0.255,1.5281,0.2147,-0.5642,0.0801,1.7591,-0.3172,-0.4385,-0.2386,-0.503,0.4915,-1.162,-1.0245,-0.6339,1.5126,0.3224,2.0805,0.6141,1.1393
-0.4846,1.4009,-0.4247,0.1593,1.1865,1.001,-0.1455,-0.0649,-0.3193,-0.1207,-0.5875,0.6906,-1.6515,-0.5212,-0.5276,-1.0946,-0.4823,1.3299,-0.0507,-0.8875,-0.0986,-1.7323,0.5317,-0.8393,-0.1596,-1.0213,-0.4961,0.6722,0.0654,0.0529,-1.144,-0.3074,0.2918,0.5306,-0.0684,1.3498,0.719,3.0536,-0.4999,-0.4336,1.5244,-2.1569,1.21,-0.1089,0.0534,-0.9605,-0.5489,1.9777,-0.0264,0.933,0.1434,-0.0077,-0.8512,-0.3976,-0.9157,1.0123,0.9018,-0.1326,0.7332,-0.7636,-1.5306
1.7045,0.3262,1.5617,0.828,-1.1149,0.3684,-0.3467,0.0075,-1.3501,-0.3765,-0.2987,1.0891,-0.7478,1.3156,0.9654,0.4023,-0.7577,-1.3863,1.553,-0.324,-1.0642,-0.0236,1.8472,-0.0642,-0.1229,-1.1916,-1.6075,1.1225,-0.5216,-0.9936,-1.0306,-0.0038,-0.6037,2.265,-0.2088,0.5604,0.4726,0.293,-0.61,-2.0537,-0.8982,0.6026,-0.7611,-1.6162,0.2808,-0.4756,2.2005,-2.7783,-1.2096,-0.2731,0.4816,-0.8926,-0.4645,1.1232,-1.5473,0.4174,0.9573,0.0499,-0.5352,1.3515,-2.1293
0.065,-1.9242,-0.7364,0.1122,0.4665,-1.6292,0.173,-0.5082,0.3233,-1.0655,1.4031,1.0294,2.1903,0.4708,-1.1107,-0.9887,-0.4156,-1.5868,1.696,-0.4257,1.9662,1.3318,1.4998,-0.8514,-0.9502,0.2049,0.5747,-0.8365,-0.4215,0.3772,-1.7096,-0.4992,-0.9744,0.0222,-0.5951,1.1824,0.3993,0.0452,-0.0375,0.8547,0.1978,1.2646,1.1778,-0.493,-0.0739,-0.5484,-1.4845,-0.9644,0.3055,0.0631,0.4477,-1.065,-0.5598,-1.1345,0.6644,0.0154,-0.0979,0.4187,0.5227,1.4173,-1.0757
